Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Age]	Unit[TimeUnit]	Characteristics[Genotype]	Characteristics[OrganismPart]	Characteristics[DevelopmentalStage]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [GENOTYPE]	FactorValue [TREATMENT]
GSM645104 1	Gene expression data from seedling at heat shock condition	7-day-old seedling of QK at HS condition	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7	days	QK mutant	whole organism	seedling	EFO	EFO_0001992	P-GSE26266-2	P-GSE26266-3	P-GSE26266-4	GSM645104 extract 1	total RNA	P-GSE26266-5	GSM645104 LE 1	Biotin	P-GSE26266-6	GSM645104	A-AFFY-2	P-GSE26266-7	P-GSE26266-8	GSM645104.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26266/E-GEOD-26266.raw.1.zip	P-GSE26266-1	GSM645104_sample_table.txt norm	GSM645104_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26266/E-GEOD-26266.processed.1.zip	QK mutant	heat shocked
GSM645103 1	Gene expression data from seedling at heat shock condition	7-day-old seedling of QK at HS condition	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7	days	QK mutant	whole organism	seedling	EFO	EFO_0001992	P-GSE26266-2	P-GSE26266-3	P-GSE26266-4	GSM645103 extract 1	total RNA	P-GSE26266-5	GSM645103 LE 1	Biotin	P-GSE26266-6	GSM645103	A-AFFY-2	P-GSE26266-7	P-GSE26266-8	GSM645103.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26266/E-GEOD-26266.raw.1.zip	P-GSE26266-1	GSM645103_sample_table.txt norm	GSM645103_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26266/E-GEOD-26266.processed.1.zip	QK mutant	heat shocked
GSM645102 1	Gene expression data from seedling at control condition	7-day-old seedling of QK at control condition	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7	days	QK mutant	whole organism	seedling	EFO	EFO_0001992	P-GSE26266-2	P-GSE26266-3	P-GSE26266-4	GSM645102 extract 1	total RNA	P-GSE26266-5	GSM645102 LE 1	Biotin	P-GSE26266-6	GSM645102	A-AFFY-2	P-GSE26266-7	P-GSE26266-8	GSM645102.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26266/E-GEOD-26266.raw.1.zip	P-GSE26266-1	GSM645102_sample_table.txt norm	GSM645102_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26266/E-GEOD-26266.processed.1.zip	QK mutant	none
GSM645101 1	Gene expression data from seedling at control condition	7-day-old seedling of QK at control condition	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7	days	QK mutant	whole organism	seedling	EFO	EFO_0001992	P-GSE26266-2	P-GSE26266-3	P-GSE26266-4	GSM645101 extract 1	total RNA	P-GSE26266-5	GSM645101 LE 1	Biotin	P-GSE26266-6	GSM645101	A-AFFY-2	P-GSE26266-7	P-GSE26266-8	GSM645101.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26266/E-GEOD-26266.raw.1.zip	P-GSE26266-1	GSM645101_sample_table.txt norm	GSM645101_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26266/E-GEOD-26266.processed.1.zip	QK mutant	none
GSM645100 1	Gene expression data from seedling at heat shock condition	7-day-old seedling of Ws at HS condition	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7	days	Ws	whole organism	seedling	EFO	EFO_0001992	P-GSE26266-2	P-GSE26266-3	P-GSE26266-4	GSM645100 extract 1	total RNA	P-GSE26266-5	GSM645100 LE 1	Biotin	P-GSE26266-6	GSM645100	A-AFFY-2	P-GSE26266-7	P-GSE26266-8	GSM645100.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26266/E-GEOD-26266.raw.1.zip	P-GSE26266-1	GSM645100_sample_table.txt norm	GSM645100_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26266/E-GEOD-26266.processed.1.zip	Ws	heat shocked
GSM645099 1	Gene expression data from seedling at heat shock condition	7-day-old seedling of Ws at HS condition	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7	days	Ws	whole organism	seedling	EFO	EFO_0001992	P-GSE26266-2	P-GSE26266-3	P-GSE26266-4	GSM645099 extract 1	total RNA	P-GSE26266-5	GSM645099 LE 1	Biotin	P-GSE26266-6	GSM645099	A-AFFY-2	P-GSE26266-7	P-GSE26266-8	GSM645099.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26266/E-GEOD-26266.raw.1.zip	P-GSE26266-1	GSM645099_sample_table.txt norm	GSM645099_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26266/E-GEOD-26266.processed.1.zip	Ws	heat shocked
GSM645098 1	Gene expression data from seedling at control condition	7-day-old seedling of Ws at control condition	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7	days	Ws	whole organism	seedling	EFO	EFO_0001992	P-GSE26266-2	P-GSE26266-3	P-GSE26266-4	GSM645098 extract 1	total RNA	P-GSE26266-5	GSM645098 LE 1	Biotin	P-GSE26266-6	GSM645098	A-AFFY-2	P-GSE26266-7	P-GSE26266-8	GSM645098.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26266/E-GEOD-26266.raw.1.zip	P-GSE26266-1	GSM645098_sample_table.txt norm	GSM645098_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26266/E-GEOD-26266.processed.1.zip	Ws	none
GSM645097 1	Gene expression data from seedling at control condition	7-day-old seedling of Ws at control condition	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7	days	Ws	whole organism	seedling	EFO	EFO_0001992	P-GSE26266-2	P-GSE26266-3	P-GSE26266-4	GSM645097 extract 1	total RNA	P-GSE26266-5	GSM645097 LE 1	Biotin	P-GSE26266-6	GSM645097	A-AFFY-2	P-GSE26266-7	P-GSE26266-8	GSM645097.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26266/E-GEOD-26266.raw.1.zip	P-GSE26266-1	GSM645097_sample_table.txt norm	GSM645097_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26266/E-GEOD-26266.processed.1.zip	Ws	none
GSM645096 1	Gene expression data from seedling at heat shock condition	7-day-old seedling of Col-0 at HS condition	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7	days	Col-0	whole organism	seedling	EFO	EFO_0001992	P-GSE26266-2	P-GSE26266-3	P-GSE26266-4	GSM645096 extract 1	total RNA	P-GSE26266-5	GSM645096 LE 1	Biotin	P-GSE26266-6	GSM645096	A-AFFY-2	P-GSE26266-7	P-GSE26266-8	GSM645096.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26266/E-GEOD-26266.raw.1.zip	P-GSE26266-1	GSM645096_sample_table.txt norm	GSM645096_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26266/E-GEOD-26266.processed.1.zip	Col-0	heat shocked
GSM645095 1	Gene expression data from seedling at heat shock condition	7-day-old seedling of Col-0 at HS condition	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7	days	Col-0	whole organism	seedling	EFO	EFO_0001992	P-GSE26266-2	P-GSE26266-3	P-GSE26266-4	GSM645095 extract 1	total RNA	P-GSE26266-5	GSM645095 LE 1	Biotin	P-GSE26266-6	GSM645095	A-AFFY-2	P-GSE26266-7	P-GSE26266-8	GSM645095.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26266/E-GEOD-26266.raw.1.zip	P-GSE26266-1	GSM645095_sample_table.txt norm	GSM645095_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26266/E-GEOD-26266.processed.1.zip	Col-0	heat shocked
