Source Name	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[developmental stage]	Term Source REF	Term Accession Number	Characteristics[genotype]	Characteristics[age]	Unit[time unit]	Characteristics[organism part]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	LabeledExtract Name	Label	Hybridization Name	Array Design REF	Array Data File	Comment [ArrayExpress FTP file]	FactorValue[genotype]	FactorValue[organism part]
ARF7-ARF19 DZ	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	arf7 arf19 double mutant	7	day	Root Decelerating Elongation Zone	P-MTAB-16967	P-MTAB-16965	P-MTAB-16973	E_ARF7-ARF19 DZ	total_RNA	P-MTAB-16966	L_ARF7-ARF19 DZ	biotin	H_ARF7-ARF19 DZ_1	A-AFFY-2	Holman_10-7_arf7-arf19-late-EZ_Rep1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2912/E-MEXP-2912.raw.1.zip	arf7 arf19 double mutant	Root Decelerating Elongation Zone
ARF7-ARF19 DZ	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	arf7 arf19 double mutant	7	day	Root Decelerating Elongation Zone	P-MTAB-16967	P-MTAB-16965	P-MTAB-16973	E_ARF7-ARF19 DZ_1	total_RNA	P-MTAB-16966	L_ARF7-ARF19 DZ_1	biotin	H_1_ARF7-ARF19 DZ_1	A-AFFY-2	Holman_10-8_arf7-arf19-late-EZ_Rep2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2912/E-MEXP-2912.raw.1.zip	arf7 arf19 double mutant	Root Decelerating Elongation Zone
ARF7-ARF19 DZ	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	arf7 arf19 double mutant	7	day	Root Decelerating Elongation Zone	P-MTAB-16967	P-MTAB-16965	P-MTAB-16973	E_ARF7-ARF19 DZ_2	total_RNA	P-MTAB-16966	L_ARF7-ARF19 DZ_2	biotin	H_ARF7-ARF19 DZ_2	A-AFFY-2	Holman_10-9_arf7-arf19-late-EZ_Rep3_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2912/E-MEXP-2912.raw.1.zip	arf7 arf19 double mutant	Root Decelerating Elongation Zone
ARF7-ARF19 EZ	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	arf7 arf19 double mutant	7	day	Root Early Elongation Zone	P-MTAB-16967	P-MTAB-16972	P-MTAB-16973	E_ARF7-ARF19 EZ	total_RNA	P-MTAB-16966	L_ARF7-ARF19 EZ	biotin	H_ARF7-ARF19 EZ	A-AFFY-2	Holman_10-4_arf7-arf19-early-EZ_Rep1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2912/E-MEXP-2912.raw.1.zip	arf7 arf19 double mutant	Root Early Elongation Zone
ARF7-ARF19 EZ	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	arf7 arf19 double mutant	7	day	Root Early Elongation Zone	P-MTAB-16967	P-MTAB-16972	P-MTAB-16973	E_ARF7-ARF19 EZ_1	total_RNA	P-MTAB-16966	L_ARF7-ARF19 EZ_1	biotin	H_ARF7-ARF19 EZ_1	A-AFFY-2	Holman_10-5_arf7-arf19-early-EZ_Rep2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2912/E-MEXP-2912.raw.1.zip	arf7 arf19 double mutant	Root Early Elongation Zone
ARF7-ARF19 EZ	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	arf7 arf19 double mutant	7	day	Root Early Elongation Zone	P-MTAB-16967	P-MTAB-16972	P-MTAB-16973	E_ARF7-ARF19 EZ_2	total_RNA	P-MTAB-16966	L_ARF7-ARF19 EZ_2	biotin	H_ARF7-ARF19 EZ_2	A-AFFY-2	Holman_10-6_arf7-arf19-early-EZ_Rep3_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2912/E-MEXP-2912.raw.1.zip	arf7 arf19 double mutant	Root Early Elongation Zone
ARF7-ARF19 MR	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	arf7 arf19 double mutant	7	day	Root Mature Zone	P-MTAB-16967	P-MTAB-16971	P-MTAB-16973	E_ARF7-ARF19 MR	total_RNA	P-MTAB-16966	L_ARF7-ARF19 MR	biotin	H_ARF7-ARF19 MR	A-AFFY-2	Holman_10-10_arf7-arf19-ref_Rep1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2912/E-MEXP-2912.raw.1.zip	arf7 arf19 double mutant	Root Mature Zone
ARF7-ARF19 MR	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	arf7 arf19 double mutant	7	day	Root Mature Zone	P-MTAB-16967	P-MTAB-16971	P-MTAB-16973	E_ARF7-ARF19 MR_1	total_RNA	P-MTAB-16966	L_ARF7-ARF19 MR_1	biotin	H_ARF7-ARF19 MR_1	A-AFFY-2	Holman_10-11_arf7-arf19-ref_Rep2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2912/E-MEXP-2912.raw.1.zip	arf7 arf19 double mutant	Root Mature Zone
ARF7-ARF19 MR	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	arf7 arf19 double mutant	7	day	Root Mature Zone	P-MTAB-16967	P-MTAB-16971	P-MTAB-16973	E_ARF7-ARF19 MR_2	total_RNA	P-MTAB-16966	L_ARF7-ARF19 MR_2	biotin	H_ARF7-ARF19 MR_2	A-AFFY-2	Holman_10-12_arf7-arf19-ref_Rep3_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2912/E-MEXP-2912.raw.1.zip	arf7 arf19 double mutant	Root Mature Zone
ARF7-ARF19 MS	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	arf7 arf19 double mutant	7	day	Root Apical Meristem	P-MTAB-16967	P-MTAB-16969	P-MTAB-16973	E_ARF7-ARF19 MS	total_RNA	P-MTAB-16966	L_ARF7-ARF19 MS	biotin	H_ARF7-ARF19 MS	A-AFFY-2	Holman_10-1_arf7-arf19-Meristem_Rep1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2912/E-MEXP-2912.raw.1.zip	arf7 arf19 double mutant	Root Apical Meristem
ARF7-ARF19 MS	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	arf7 arf19 double mutant	7	day	Root Apical Meristem	P-MTAB-16967	P-MTAB-16969	P-MTAB-16973	E_ARF7-ARF19 MS_1	total_RNA	P-MTAB-16966	L_ARF7-ARF19 MS_1	biotin	H_ARF7-ARF19 MS_1	A-AFFY-2	Holman_10-2_arf7-arf19-Meristem_Rep2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2912/E-MEXP-2912.raw.1.zip	arf7 arf19 double mutant	Root Apical Meristem
ARF7-ARF19 MS	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	arf7 arf19 double mutant	7	day	Root Apical Meristem	P-MTAB-16967	P-MTAB-16969	P-MTAB-16973	E_ARF7-ARF19 MS_2	total_RNA	P-MTAB-16966	L_ARF7-ARF19 MS_2	biotin	H_ARF7-ARF19 MS_2	A-AFFY-2	Holman_10-3_arf7-arf19-Meristem_Rep3_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2912/E-MEXP-2912.raw.1.zip	arf7 arf19 double mutant	Root Apical Meristem
ARF7-ARF19 LZ	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	arf7 arf19 double mutant	7	day	Root Lateral Root Emergence Zone	P-MTAB-16967	P-MTAB-16968	P-MTAB-16973	E_ARF7ARF19 LZ	total_RNA	P-MTAB-16966	L_ARF7ARF19 LZ_1	biotin	H_ARF7ARF19 LZ_1	A-AFFY-2	Holman_10-14_arf7-arf19-LR_Rep2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2912/E-MEXP-2912.raw.1.zip	arf7 arf19 double mutant	Root Lateral Root Emergence Zone
ARF7-ARF19 LZ	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	arf7 arf19 double mutant	7	day	Root Lateral Root Emergence Zone	P-MTAB-16967	P-MTAB-16968	P-MTAB-16973	E_ARF7ARF19 LZ_1	total_RNA	P-MTAB-16966	L_ARF7ARF19 LZ_2	biotin	H_ARF7ARF19 LZ_2	A-AFFY-2	Holman_10-15_arf7-arf19-LR_Rep3_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2912/E-MEXP-2912.raw.1.zip	arf7 arf19 double mutant	Root Lateral Root Emergence Zone
ARF7-ARF19 LZ	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	arf7 arf19 double mutant	7	day	Root Lateral Root Emergence Zone	P-MTAB-16967	P-MTAB-16968	P-MTAB-16973	E_ARF7ARF19 LZ_2	total_RNA	P-MTAB-16966	L_ARF7ARF19 LZ	biotin	H_ARF7ARF19 LZ	A-AFFY-2	Holman_10-13_arf7-arf19-LR_Rep1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2912/E-MEXP-2912.raw.1.zip	arf7 arf19 double mutant	Root Lateral Root Emergence Zone
WT DZ	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	wild type	7	day	Root Decelerating Elongation Zone	P-MTAB-16967	P-MTAB-16965	P-MTAB-16973	E_WT DZ	total_RNA	P-MTAB-16970	L_WT DZ	biotin	H_WT DZ	A-AFFY-2	Holman_3-1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2912/E-MEXP-2912.raw.1.zip	wild type	Root Decelerating Elongation Zone
