Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[treatment]	Characteristics[developmental stage]	Characteristics[ecotype]	Characteristics[germplasm]	Characteristics[growth condition]	Characteristics[RNA]	Characteristics[organism part]	Characteristics[phenotype]	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value [infect]	Factor Value [RNA]
GSM508447 1	This sample was grown for 3.5 wks under 12hr days in a growth chamber, then mock-inoculated.  Ten days after infection rosette tissue was sampled.	rosette leaf (pathogen infection: mock inoculated - RNA fraction: total RNA)	pathogen infection: mock inoculated - RNA fraction: total RNA - rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Plants are approximately 3.5 weeks at time of inoculation. Inoculation lasts 10 days.	a vegetative growth	Columbia-0 (Col-0)	RPL18-HF	LC-1 Soil Mix	total RNA	rosette leaf	All phenotypes to date of this transgenic line constitutively overexpressing RPL18 fused to his and flag epitopes are equivalent to those of wildtype Columbia-0 ecotype.	P-GSE20278-2	P-GSE20278-8	GSM508447 extract 1	total RNA	P-GSE20278-4	GSM508447 LE 1	biotin	P-GSE20278-5	GSM508447	A-AFFY-2	P-GSE20278-6	P-GSE20278-7	GSM508447.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20278/E-GEOD-20278.raw.1.zip	P-GSE20278-1	GSM508447_sample_table.txt norm	GSM508447_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20278/E-GEOD-20278.processed.1.zip	mock	total RNA
GSM508446 1	This sample was grown for 3.5 wks under 12hr days in a growth chamber, then mock-inoculated.  Ten days after infection rosette tissue was sampled.	rosette leaf (pathogen infection: mock inoculated - RNA fraction: total RNA)	pathogen infection: mock inoculated - RNA fraction: total RNA - rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Plants are approximately 3.5 weeks at time of inoculation. Inoculation lasts 10 days.	a vegetative growth	Columbia-0 (Col-0)	RPL18-HF	LC-1 Soil Mix	total RNA	rosette leaf	All phenotypes to date of this transgenic line constitutively overexpressing RPL18 fused to his and flag epitopes are equivalent to those of wildtype Columbia-0 ecotype.	P-GSE20278-2	P-GSE20278-8	GSM508446 extract 1	total RNA	P-GSE20278-4	GSM508446 LE 1	biotin	P-GSE20278-5	GSM508446	A-AFFY-2	P-GSE20278-6	P-GSE20278-7	GSM508446.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20278/E-GEOD-20278.raw.1.zip	P-GSE20278-1	GSM508446_sample_table.txt norm	GSM508446_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20278/E-GEOD-20278.processed.1.zip	mock	total RNA
GSM508445 1	This sample was grown for 3.5 wks under 12hr days in a growth chamber, then mock-inoculated.  Ten days after infection rosette tissue was sampled.	rosette leaf (pathogen infection: mock inoculated - RNA fraction: total RNA)	pathogen infection: mock inoculated - RNA fraction: total RNA - rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Plants are approximately 3.5 weeks at time of inoculation. Inoculation lasts 10 days.	a vegetative growth	Columbia-0 (Col-0)	RPL18-HF	LC-1 Soil Mix	total RNA	rosette leaf	All phenotypes to date of this transgenic line constitutively overexpressing RPL18 fused to his and flag epitopes are equivalent to those of wildtype Columbia-0 ecotype.	P-GSE20278-2	P-GSE20278-8	GSM508445 extract 1	total RNA	P-GSE20278-4	GSM508445 LE 1	biotin	P-GSE20278-5	GSM508445	A-AFFY-2	P-GSE20278-6	P-GSE20278-7	GSM508445.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20278/E-GEOD-20278.raw.1.zip	P-GSE20278-1	GSM508445_sample_table.txt norm	GSM508445_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20278/E-GEOD-20278.processed.1.zip	mock	total RNA
GSM508444 1	This sample was grown for 3.5 wks under 12hr days in a growth chamber, then mock-inoculated.  Ten days after infection rosette tissue was sampled.	rosette leaf (pathogen infection: mock inoculated - RNA fraction: polysomal RNA)	pathogen infection: mock inoculated - RNA fraction: polysomal RNA - rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Plants are approximately 3.5 weeks at time of inoculation. Inoculation lasts 10 days.	a vegetative growth	Columbia-0 (Col-0)	RPL18-HF	LC-1 Soil Mix	polysomal RNA	rosette leaf	All phenotypes to date of this transgenic line constitutively overexpressing RPL18 fused to his and flag epitopes are equivalent to those of wildtype Columbia-0 ecotype.	P-GSE20278-2	P-GSE20278-3	GSM508444 extract 1	total RNA	P-GSE20278-4	GSM508444 LE 1	biotin	P-GSE20278-5	GSM508444	A-AFFY-2	P-GSE20278-6	P-GSE20278-7	GSM508444.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20278/E-GEOD-20278.raw.1.zip	P-GSE20278-1	GSM508444_sample_table.txt norm	GSM508444_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20278/E-GEOD-20278.processed.1.zip	mock	polysomal RNA
GSM508443 1	This sample was grown for 3.5 wks under 12hr days in a growth chamber, then mock-inoculated.  Ten days after infection rosette tissue was sampled.	rosette leaf (pathogen infection: mock inoculated - RNA fraction: polysomal RNA)	pathogen infection: mock inoculated - RNA fraction: polysomal RNA - rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Plants are approximately 3.5 weeks at time of inoculation. Inoculation lasts 10 days.	a vegetative growth	Columbia-0 (Col-0)	RPL18-HF	LC-1 Soil Mix	polysomal RNA	rosette leaf	All phenotypes to date of this transgenic line constitutively overexpressing RPL18 fused to his and flag epitopes are equivalent to those of wildtype Columbia-0 ecotype.	P-GSE20278-2	P-GSE20278-3	GSM508443 extract 1	total RNA	P-GSE20278-4	GSM508443 LE 1	biotin	P-GSE20278-5	GSM508443	A-AFFY-2	P-GSE20278-6	P-GSE20278-7	GSM508443.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20278/E-GEOD-20278.raw.1.zip	P-GSE20278-1	GSM508443_sample_table.txt norm	GSM508443_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20278/E-GEOD-20278.processed.1.zip	mock	polysomal RNA
GSM508442 1	This sample was grown for 3.5 wks under 12hr days in a growth chamber, then mock-inoculated.  Ten days after infection rosette tissue was sampled.	rosette leaf (pathogen infection: mock inoculated - RNA fraction: polysomal RNA)	pathogen infection: mock inoculated - RNA fraction: polysomal RNA - rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Plants are approximately 3.5 weeks at time of inoculation. Inoculation lasts 10 days.	a vegetative growth	Columbia-0 (Col-0)	RPL18-HF	LC-1 Soil Mix	polysomal RNA	rosette leaf	All phenotypes to date of this transgenic line constitutively overexpressing RPL18 fused to his and flag epitopes are equivalent to those of wildtype Columbia-0 ecotype.	P-GSE20278-2	P-GSE20278-3	GSM508442 extract 1	total RNA	P-GSE20278-4	GSM508442 LE 1	biotin	P-GSE20278-5	GSM508442	A-AFFY-2	P-GSE20278-6	P-GSE20278-7	GSM508442.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20278/E-GEOD-20278.raw.1.zip	P-GSE20278-1	GSM508442_sample_table.txt norm	GSM508442_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20278/E-GEOD-20278.processed.1.zip	mock	polysomal RNA
GSM508441 1	This sample was grown for 3.5 wks under 12hr days in a growth chamber, then inoculated with TuMV-GFP.  Ten days after infection green-fluorescing rosette tissue was sampled.  Following immunoprecipitation of RPL18-HF, RNA (translation-initiated) was isolated by a modified trizol method.	rosette leaf (pathogen infection: TuMV inoculated - RNA fraction: total RNA)	pathogen infection: TuMV inoculated - RNA fraction: total RNA - rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Plants are approximately 3.5 weeks at time of inoculation. Inoculation lasts 10 days.	a vegetative growth	Columbia-0 (Col-0)	RPL18-HF	LC-1 Soil Mix	total RNA	rosette leaf	All phenotypes to date of this transgenic line constitutively overexpressing RPL18 fused to his and flag epitopes are equivalent to those of wildtype Columbia-0 ecotype.	P-GSE20278-2	P-GSE20278-8	GSM508441 extract 1	total RNA	P-GSE20278-4	GSM508441 LE 1	biotin	P-GSE20278-5	GSM508441	A-AFFY-2	P-GSE20278-6	P-GSE20278-7	GSM508441.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20278/E-GEOD-20278.raw.1.zip	P-GSE20278-1	GSM508441_sample_table.txt norm	GSM508441_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20278/E-GEOD-20278.processed.1.zip	turnip mosaic virus inoculated	total RNA
GSM508440 1	This sample was grown for 3.5 wks under 12hr days in a growth chamber, then inoculated with TuMV-GFP.  Ten days after infection green-fluorescing rosette tissue was sampled.  Following immunoprecipitation of RPL18-HF, RNA (translation-initiated) was isolated by a modified trizol method.	rosette leaf (pathogen infection: TuMV inoculated - RNA fraction: total RNA)	pathogen infection: TuMV inoculated - RNA fraction: total RNA - rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Plants are approximately 3.5 weeks at time of inoculation. Inoculation lasts 10 days.	a vegetative growth	Columbia-0 (Col-0)	RPL18-HF	LC-1 Soil Mix	total RNA	rosette leaf	All phenotypes to date of this transgenic line constitutively overexpressing RPL18 fused to his and flag epitopes are equivalent to those of wildtype Columbia-0 ecotype.	P-GSE20278-2	P-GSE20278-8	GSM508440 extract 1	total RNA	P-GSE20278-4	GSM508440 LE 1	biotin	P-GSE20278-5	GSM508440	A-AFFY-2	P-GSE20278-6	P-GSE20278-7	GSM508440.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20278/E-GEOD-20278.raw.1.zip	P-GSE20278-1	GSM508440_sample_table.txt norm	GSM508440_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20278/E-GEOD-20278.processed.1.zip	turnip mosaic virus inoculated	total RNA
GSM508439 1	This sample was grown for 3.5 wks under 12hr days in a growth chamber, then inoculated with TuMV-GFP.  Ten days after infection green-fluorescing rosette tissue was sampled.  Following immunoprecipitation of RPL18-HF, RNA (translation-initiated) was isolated by a modified trizol method.	rosette leaf (pathogen infection: TuMV inoculated - RNA fraction: total RNA)	pathogen infection: TuMV inoculated - RNA fraction: total RNA - rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Plants are approximately 3.5 weeks at time of inoculation. Inoculation lasts 10 days.	a vegetative growth	Columbia-0 (Col-0)	RPL18-HF	LC-1 Soil Mix	total RNA	rosette leaf	All phenotypes to date of this transgenic line constitutively overexpressing RPL18 fused to his and flag epitopes are equivalent to those of wildtype Columbia-0 ecotype.	P-GSE20278-2	P-GSE20278-8	GSM508439 extract 1	total RNA	P-GSE20278-4	GSM508439 LE 1	biotin	P-GSE20278-5	GSM508439	A-AFFY-2	P-GSE20278-6	P-GSE20278-7	GSM508439.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20278/E-GEOD-20278.raw.1.zip	P-GSE20278-1	GSM508439_sample_table.txt norm	GSM508439_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20278/E-GEOD-20278.processed.1.zip	turnip mosaic virus inoculated	total RNA
GSM508438 1	This sample was grown for 3.5 wks under 12hr days in a growth chamber, then inoculated with TuMV-GFP.  Ten days after infection green-fluorescing rosette tissue was sampled.  Following immunoprecipitation of RPL18-HF, RNA (translation-initiated) was isolated by a modified trizol method.	rosette leaf (pathogen infection: TuMV inoculated - RNA fraction: polysomal RNA)	pathogen infection: TuMV inoculated - RNA fraction: polysomal RNA - rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Plants are approximately 3.5 weeks at time of inoculation. Inoculation lasts 10 days.	a vegetative growth	Columbia-0 (Col-0)	RPL18-HF	LC-1 Soil Mix	polysomal RNA	rosette leaf	All phenotypes to date of this transgenic line constitutively overexpressing RPL18 fused to his and flag epitopes are equivalent to those of wildtype Columbia-0 ecotype.	P-GSE20278-2	P-GSE20278-3	GSM508438 extract 1	total RNA	P-GSE20278-4	GSM508438 LE 1	biotin	P-GSE20278-5	GSM508438	A-AFFY-2	P-GSE20278-6	P-GSE20278-7	GSM508438.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20278/E-GEOD-20278.raw.1.zip	P-GSE20278-1	GSM508438_sample_table.txt norm	GSM508438_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20278/E-GEOD-20278.processed.1.zip	turnip mosaic virus inoculated	polysomal RNA
