Source Name	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [age]	Characteristics [cultivar]	Term Source REF	Term Accession Number	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]
GSM1869376 1	WT_dex_rep3	WT plants treated with dexamethasone, biological rep3	four weeks	Col-0	EFO	EFO_0005148	WT	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	mature leaf	P-GSE72743-2	ArrayExpress	P-GSE72743-3	ArrayExpress	P-GSE72743-4	ArrayExpress	GSM1869376 extract 1	total RNA	P-GSE72743-5	ArrayExpress	GSM1869376 LE 1	biotin	P-GSE72743-6	ArrayExpress	GSM1869376	A-AFFY-2	ArrayExpress	array assay	P-GSE72743-7	ArrayExpress	GSM1869376_WT_dex_rep3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72743/E-GEOD-72743.raw.1.zip	P-GSE72743-1	ArrayExpress	GSM1869376_sample_table.txt norm	GSM1869376_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72743/E-GEOD-72743.processed.1.zip	WT
GSM1869375 1	WT_dex_rep2	WT plants treated with dexamethasone, biological rep2	four weeks	Col-0	EFO	EFO_0005148	WT	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	mature leaf	P-GSE72743-2	ArrayExpress	P-GSE72743-3	ArrayExpress	P-GSE72743-4	ArrayExpress	GSM1869375 extract 1	total RNA	P-GSE72743-5	ArrayExpress	GSM1869375 LE 1	biotin	P-GSE72743-6	ArrayExpress	GSM1869375	A-AFFY-2	ArrayExpress	array assay	P-GSE72743-7	ArrayExpress	GSM1869375_WT_dex_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72743/E-GEOD-72743.raw.1.zip	P-GSE72743-1	ArrayExpress	GSM1869375_sample_table.txt norm	GSM1869375_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72743/E-GEOD-72743.processed.1.zip	WT
GSM1869374 1	WT_dex_rep1	WT plants treated with dexamethasone, biological rep1	four weeks	Col-0	EFO	EFO_0005148	WT	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	mature leaf	P-GSE72743-2	ArrayExpress	P-GSE72743-3	ArrayExpress	P-GSE72743-4	ArrayExpress	GSM1869374 extract 1	total RNA	P-GSE72743-5	ArrayExpress	GSM1869374 LE 1	biotin	P-GSE72743-6	ArrayExpress	GSM1869374	A-AFFY-2	ArrayExpress	array assay	P-GSE72743-7	ArrayExpress	GSM1869374_WT_dex_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72743/E-GEOD-72743.raw.1.zip	P-GSE72743-1	ArrayExpress	GSM1869374_sample_table.txt norm	GSM1869374_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72743/E-GEOD-72743.processed.1.zip	WT
GSM1869373 1	WT_mock_rep3	WT plants treated with water, biological rep3	four weeks	Col-0	EFO	EFO_0005148	WT	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	mature leaf	P-GSE72743-2	ArrayExpress	P-GSE72743-3	ArrayExpress	P-GSE72743-4	ArrayExpress	GSM1869373 extract 1	total RNA	P-GSE72743-5	ArrayExpress	GSM1869373 LE 1	biotin	P-GSE72743-6	ArrayExpress	GSM1869373	A-AFFY-2	ArrayExpress	array assay	P-GSE72743-7	ArrayExpress	GSM1869373_WT_mock_rep3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72743/E-GEOD-72743.raw.1.zip	P-GSE72743-1	ArrayExpress	GSM1869373_sample_table.txt norm	GSM1869373_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72743/E-GEOD-72743.processed.1.zip	WT
GSM1869372 1	WT_mock_rep2	WT plants treated with water, biological rep2	four weeks	Col-0	EFO	EFO_0005148	WT	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	mature leaf	P-GSE72743-2	ArrayExpress	P-GSE72743-3	ArrayExpress	P-GSE72743-4	ArrayExpress	GSM1869372 extract 1	total RNA	P-GSE72743-5	ArrayExpress	GSM1869372 LE 1	biotin	P-GSE72743-6	ArrayExpress	GSM1869372	A-AFFY-2	ArrayExpress	array assay	P-GSE72743-7	ArrayExpress	GSM1869372_WT_mock_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72743/E-GEOD-72743.raw.1.zip	P-GSE72743-1	ArrayExpress	GSM1869372_sample_table.txt norm	GSM1869372_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72743/E-GEOD-72743.processed.1.zip	WT
GSM1869371 1	WT_mock_rep1	WT plants treated with water, biological rep1	four weeks	Col-0	EFO	EFO_0005148	WT	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	mature leaf	P-GSE72743-2	ArrayExpress	P-GSE72743-3	ArrayExpress	P-GSE72743-4	ArrayExpress	GSM1869371 extract 1	total RNA	P-GSE72743-5	ArrayExpress	GSM1869371 LE 1	biotin	P-GSE72743-6	ArrayExpress	GSM1869371	A-AFFY-2	ArrayExpress	array assay	P-GSE72743-7	ArrayExpress	GSM1869371_WT_mock_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72743/E-GEOD-72743.raw.1.zip	P-GSE72743-1	ArrayExpress	GSM1869371_sample_table.txt norm	GSM1869371_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72743/E-GEOD-72743.processed.1.zip	WT
GSM1869370 1	CPR5-C_dex_rep3	Dex:YFP-CPR5-C plants treated with dexamethasone, biological rep3	four weeks	Col-0	EFO	EFO_0005148	Dex:YFP-CPR5-C	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	mature leaf	P-GSE72743-2	ArrayExpress	P-GSE72743-3	ArrayExpress	P-GSE72743-4	ArrayExpress	GSM1869370 extract 1	total RNA	P-GSE72743-5	ArrayExpress	GSM1869370 LE 1	biotin	P-GSE72743-6	ArrayExpress	GSM1869370	A-AFFY-2	ArrayExpress	array assay	P-GSE72743-7	ArrayExpress	GSM1869370_CPR5-C_dex_rep3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72743/E-GEOD-72743.raw.1.zip	P-GSE72743-1	ArrayExpress	GSM1869370_sample_table.txt norm	GSM1869370_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72743/E-GEOD-72743.processed.1.zip	Dex:YFP-CPR5-C
GSM1869369 1	CPR5-C_dex_rep2	Dex:YFP-CPR5-C plants treated with dexamethasone, biological rep2	four weeks	Col-0	EFO	EFO_0005148	Dex:YFP-CPR5-C	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	mature leaf	P-GSE72743-2	ArrayExpress	P-GSE72743-3	ArrayExpress	P-GSE72743-4	ArrayExpress	GSM1869369 extract 1	total RNA	P-GSE72743-5	ArrayExpress	GSM1869369 LE 1	biotin	P-GSE72743-6	ArrayExpress	GSM1869369	A-AFFY-2	ArrayExpress	array assay	P-GSE72743-7	ArrayExpress	GSM1869369_CPR5-C_dex_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72743/E-GEOD-72743.raw.1.zip	P-GSE72743-1	ArrayExpress	GSM1869369_sample_table.txt norm	GSM1869369_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72743/E-GEOD-72743.processed.1.zip	Dex:YFP-CPR5-C
GSM1869368 1	CPR5-C_dex_rep1	Dex:YFP-CPR5-C plants treated with dexamethasone, biological rep1	four weeks	Col-0	EFO	EFO_0005148	Dex:YFP-CPR5-C	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	mature leaf	P-GSE72743-2	ArrayExpress	P-GSE72743-3	ArrayExpress	P-GSE72743-4	ArrayExpress	GSM1869368 extract 1	total RNA	P-GSE72743-5	ArrayExpress	GSM1869368 LE 1	biotin	P-GSE72743-6	ArrayExpress	GSM1869368	A-AFFY-2	ArrayExpress	array assay	P-GSE72743-7	ArrayExpress	GSM1869368_CPR5-C_dex_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72743/E-GEOD-72743.raw.1.zip	P-GSE72743-1	ArrayExpress	GSM1869368_sample_table.txt norm	GSM1869368_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72743/E-GEOD-72743.processed.1.zip	Dex:YFP-CPR5-C
GSM1869367 1	CPR5-C_mock_rep3	Dex:YFP-CPR5-C plants treated with water, biological rep3	four weeks	Col-0	EFO	EFO_0005148	Dex:YFP-CPR5-C	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	mature leaf	P-GSE72743-2	ArrayExpress	P-GSE72743-3	ArrayExpress	P-GSE72743-4	ArrayExpress	GSM1869367 extract 1	total RNA	P-GSE72743-5	ArrayExpress	GSM1869367 LE 1	biotin	P-GSE72743-6	ArrayExpress	GSM1869367	A-AFFY-2	ArrayExpress	array assay	P-GSE72743-7	ArrayExpress	GSM1869367_CPR5-C_mock_rep3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72743/E-GEOD-72743.raw.1.zip	P-GSE72743-1	ArrayExpress	GSM1869367_sample_table.txt norm	GSM1869367_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-72743/E-GEOD-72743.processed.1.zip	Dex:YFP-CPR5-C
