Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [age]	Unit [time unit]	Characteristics [developmental stage]	Characteristics [genotype]	Characteristics [ecotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]
GSM1319639 1	The content of flavonols in leaves and guard cells was increased	fls1-3, biological rep3	fls1-3, biological rep3	6	week	seedling	fls1-3 mutant	Col-0	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaf	P-GSE54593-2	ArrayExpress	P-GSE54593-3	ArrayExpress	P-GSE54593-4	ArrayExpress	GSM1319639 extract 1	total RNA	P-GSE54593-5	ArrayExpress	GSM1319639 LE 1	biotin	P-GSE54593-6	ArrayExpress	GSM1319639	A-AFFY-2	ArrayExpress	array assay	P-GSE54593-7	ArrayExpress	GSM1319639_F2-10-2-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54593/E-GEOD-54593.raw.1.zip	P-GSE54593-1	ArrayExpress	GSM1319639_sample_table.txt norm	GSM1319639_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54593/E-GEOD-54593.processed.1.zip	fls1-3 mutant
GSM1319638 1	The content of flavonols in leaves and guard cells was increased	fls1-3, biological rep2	fls1-3, biological rep2	6	week	seedling	fls1-3 mutant	Col-0	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaf	P-GSE54593-2	ArrayExpress	P-GSE54593-3	ArrayExpress	P-GSE54593-4	ArrayExpress	GSM1319638 extract 1	total RNA	P-GSE54593-5	ArrayExpress	GSM1319638 LE 1	biotin	P-GSE54593-6	ArrayExpress	GSM1319638	A-AFFY-2	ArrayExpress	array assay	P-GSE54593-7	ArrayExpress	GSM1319638_F2-10-2-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54593/E-GEOD-54593.raw.1.zip	P-GSE54593-1	ArrayExpress	GSM1319638_sample_table.txt norm	GSM1319638_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54593/E-GEOD-54593.processed.1.zip	fls1-3 mutant
GSM1319637 1	The content of flavonols in leaves and guard cells was increased	fls1-3, biological rep1	fls1-3, biological rep1	6	week	seedling	fls1-3 mutant	Col-0	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaf	P-GSE54593-2	ArrayExpress	P-GSE54593-3	ArrayExpress	P-GSE54593-4	ArrayExpress	GSM1319637 extract 1	total RNA	P-GSE54593-5	ArrayExpress	GSM1319637 LE 1	biotin	P-GSE54593-6	ArrayExpress	GSM1319637	A-AFFY-2	ArrayExpress	array assay	P-GSE54593-7	ArrayExpress	GSM1319637_F2-10-2-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54593/E-GEOD-54593.raw.1.zip	P-GSE54593-1	ArrayExpress	GSM1319637_sample_table.txt norm	GSM1319637_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54593/E-GEOD-54593.processed.1.zip	fls1-3 mutant
GSM1319636 1	The content of flavonols in leaves and guard cells was increased	TaFLS overexpression line 2 (OE2), biological rep3	TaFLS overexpression line 2 (OE2), biological rep3	6	week	seedling	TaFLS overexpression line 2 (OE2)	Col-0	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaf	P-GSE54593-2	ArrayExpress	P-GSE54593-3	ArrayExpress	P-GSE54593-4	ArrayExpress	GSM1319636 extract 1	total RNA	P-GSE54593-5	ArrayExpress	GSM1319636 LE 1	biotin	P-GSE54593-6	ArrayExpress	GSM1319636	A-AFFY-2	ArrayExpress	array assay	P-GSE54593-7	ArrayExpress	GSM1319636_F2-6-6-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54593/E-GEOD-54593.raw.1.zip	P-GSE54593-1	ArrayExpress	GSM1319636_sample_table.txt norm	GSM1319636_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54593/E-GEOD-54593.processed.1.zip	TaFLS overexpression line 2 (OE2)
GSM1319635 1	The content of flavonols in leaves and guard cells was increased	TaFLS overexpression line 2 (OE2), biological rep2	TaFLS overexpression line 2 (OE2), biological rep2	6	week	seedling	TaFLS overexpression line 2 (OE2)	Col-0	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaf	P-GSE54593-2	ArrayExpress	P-GSE54593-3	ArrayExpress	P-GSE54593-4	ArrayExpress	GSM1319635 extract 1	total RNA	P-GSE54593-5	ArrayExpress	GSM1319635 LE 1	biotin	P-GSE54593-6	ArrayExpress	GSM1319635	A-AFFY-2	ArrayExpress	array assay	P-GSE54593-7	ArrayExpress	GSM1319635_F2-6-6-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54593/E-GEOD-54593.raw.1.zip	P-GSE54593-1	ArrayExpress	GSM1319635_sample_table.txt norm	GSM1319635_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54593/E-GEOD-54593.processed.1.zip	TaFLS overexpression line 2 (OE2)
GSM1319634 1	The content of flavonols in leaves and guard cells was increased	TaFLS overexpression line 2 (OE2), biological rep1	TaFLS overexpression line 2 (OE2), biological rep1	6	week	seedling	TaFLS overexpression line 2 (OE2)	Col-0	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaf	P-GSE54593-2	ArrayExpress	P-GSE54593-3	ArrayExpress	P-GSE54593-4	ArrayExpress	GSM1319634 extract 1	total RNA	P-GSE54593-5	ArrayExpress	GSM1319634 LE 1	biotin	P-GSE54593-6	ArrayExpress	GSM1319634	A-AFFY-2	ArrayExpress	array assay	P-GSE54593-7	ArrayExpress	GSM1319634_F2-6-6-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54593/E-GEOD-54593.raw.1.zip	P-GSE54593-1	ArrayExpress	GSM1319634_sample_table.txt norm	GSM1319634_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54593/E-GEOD-54593.processed.1.zip	TaFLS overexpression line 2 (OE2)
GSM1319633 1	The content of flavonols in leaves and guard cells was decreased	TaFLS overexpression line 1 (OE1), biological rep3	TaFLS overexpression line 1 (OE1), biological rep3	6	week	seedling	TaFLS overexpression line 1 (OE1)	Col-0	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaf	P-GSE54593-2	ArrayExpress	P-GSE54593-3	ArrayExpress	P-GSE54593-4	ArrayExpress	GSM1319633 extract 1	total RNA	P-GSE54593-5	ArrayExpress	GSM1319633 LE 1	biotin	P-GSE54593-6	ArrayExpress	GSM1319633	A-AFFY-2	ArrayExpress	array assay	P-GSE54593-7	ArrayExpress	GSM1319633_fls1-3-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54593/E-GEOD-54593.raw.1.zip	P-GSE54593-1	ArrayExpress	GSM1319633_sample_table.txt norm	GSM1319633_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54593/E-GEOD-54593.processed.1.zip	TaFLS overexpression line 1 (OE1)
GSM1319632 1	The content of flavonols in leaves and guard cells was decreased	TaFLS overexpression line 1 (OE1), biological rep2	TaFLS overexpression line 1 (OE1), biological rep2	6	week	seedling	TaFLS overexpression line 1 (OE1)	Col-0	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaf	P-GSE54593-2	ArrayExpress	P-GSE54593-3	ArrayExpress	P-GSE54593-4	ArrayExpress	GSM1319632 extract 1	total RNA	P-GSE54593-5	ArrayExpress	GSM1319632 LE 1	biotin	P-GSE54593-6	ArrayExpress	GSM1319632	A-AFFY-2	ArrayExpress	array assay	P-GSE54593-7	ArrayExpress	GSM1319632_fls1-3-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54593/E-GEOD-54593.raw.1.zip	P-GSE54593-1	ArrayExpress	GSM1319632_sample_table.txt norm	GSM1319632_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54593/E-GEOD-54593.processed.1.zip	TaFLS overexpression line 1 (OE1)
GSM1319631 1	The content of flavonols in leaves and guard cells was decreased	TaFLS overexpression line 1 (OE1), biological rep1	TaFLS overexpression line 1 (OE1), biological rep1	6	week	seedling	TaFLS overexpression line 1 (OE1)	Col-0	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaf	P-GSE54593-2	ArrayExpress	P-GSE54593-3	ArrayExpress	P-GSE54593-4	ArrayExpress	GSM1319631 extract 1	total RNA	P-GSE54593-5	ArrayExpress	GSM1319631 LE 1	biotin	P-GSE54593-6	ArrayExpress	GSM1319631	A-AFFY-2	ArrayExpress	array assay	P-GSE54593-7	ArrayExpress	GSM1319631_fls1-3-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54593/E-GEOD-54593.raw.1.zip	P-GSE54593-1	ArrayExpress	GSM1319631_sample_table.txt norm	GSM1319631_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54593/E-GEOD-54593.processed.1.zip	TaFLS overexpression line 1 (OE1)
GSM1319630 1	Wild-type	Col-0, biological rep3	Col-0, biological rep3	6	week	seedling	wild type 	Col-0	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaf	P-GSE54593-2	ArrayExpress	P-GSE54593-3	ArrayExpress	P-GSE54593-4	ArrayExpress	GSM1319630 extract 1	total RNA	P-GSE54593-5	ArrayExpress	GSM1319630 LE 1	biotin	P-GSE54593-6	ArrayExpress	GSM1319630	A-AFFY-2	ArrayExpress	array assay	P-GSE54593-7	ArrayExpress	GSM1319630_Co10-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54593/E-GEOD-54593.raw.1.zip	P-GSE54593-1	ArrayExpress	GSM1319630_sample_table.txt norm	GSM1319630_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-54593/E-GEOD-54593.processed.1.zip	wild type 
