Source Name	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Characteristics[age]	Unit[time unit]	Characteristics[developmental stage]	Characteristics[organism part]	Characteristics[genotype]	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [compound]
GSM520763 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia ecotype	12	day	seedling	whole organism	wild type	H2O2 100mM plus BR.	whole seedlings, 100mM H2O2 and BL treated	100 H2O2, 1 BL, replicate 1	P-GSE20756-3	P-GSE20756-2	P-GSE20756-4	GSM520763 extract 1	total RNA	P-GSE20756-5	GSM520763 LE 1	biotin	P-GSE20756-6	GSM520763	A-AFFY-2	P-GSE20756-7	P-GSE20756-8	GSM520763.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20756/E-GEOD-20756.raw.1.zip	P-GSE20756-1	GSM520763_sample_table.txt norm	GSM520763_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20756/E-GEOD-20756.processed.1.zip	100 millimolar hydrogen peroxide and 1 micromolar brassinolide
GSM520762 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia ecotype	12	day	seedling	whole organism	wild type	H2O2 50mM plus BR.	whole seedlings, 50mM H2O2 and BL treated	50 H2O2, 1 BL, replicate 1	P-GSE20756-3	P-GSE20756-2	P-GSE20756-4	GSM520762 extract 1	total RNA	P-GSE20756-5	GSM520762 LE 1	biotin	P-GSE20756-6	GSM520762	A-AFFY-2	P-GSE20756-7	P-GSE20756-8	GSM520762.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20756/E-GEOD-20756.raw.1.zip	P-GSE20756-1	GSM520762_sample_table.txt norm	GSM520762_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20756/E-GEOD-20756.processed.1.zip	50 millimolar hydrogen peroxide and 1 micromolar brassinolide
GSM520761 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia ecotype	12	day	seedling	whole organism	wild type	H2O2 25mM plus BR.	whole seedlings, 25mM H2O2 and BL treated	25 H2O2, 1 BL, replicate 1	P-GSE20756-3	P-GSE20756-2	P-GSE20756-4	GSM520761 extract 1	total RNA	P-GSE20756-5	GSM520761 LE 1	biotin	P-GSE20756-6	GSM520761	A-AFFY-2	P-GSE20756-7	P-GSE20756-8	GSM520761.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20756/E-GEOD-20756.raw.1.zip	P-GSE20756-1	GSM520761_sample_table.txt norm	GSM520761_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20756/E-GEOD-20756.processed.1.zip	25 millimolar hydrogen peroxide and 1 micromolar brassinolide
GSM520760 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia ecotype	12	day	seedling	whole organism	wild type	H2O2 5mM plus BR.	whole seedlings, 5mM H2O2 and BL treated	5 H2O2, 1 BL, replicate 1	P-GSE20756-3	P-GSE20756-2	P-GSE20756-4	GSM520760 extract 1	total RNA	P-GSE20756-5	GSM520760 LE 1	biotin	P-GSE20756-6	GSM520760	A-AFFY-2	P-GSE20756-7	P-GSE20756-8	GSM520760.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20756/E-GEOD-20756.raw.1.zip	P-GSE20756-1	GSM520760_sample_table.txt norm	GSM520760_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20756/E-GEOD-20756.processed.1.zip	5 millimolar hydrogen peroxide and 1 micromolar brassinolide
GSM520759 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia ecotype	12	day	seedling	whole organism	wild type	H2O2 1mM plus BR.	whole seedlings, 1mM H2O2 and BL treated	1 H2O2, 1 BL, replicate 1	P-GSE20756-3	P-GSE20756-2	P-GSE20756-4	GSM520759 extract 1	total RNA	P-GSE20756-5	GSM520759 LE 1	biotin	P-GSE20756-6	GSM520759	A-AFFY-2	P-GSE20756-7	P-GSE20756-8	GSM520759.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20756/E-GEOD-20756.raw.1.zip	P-GSE20756-1	GSM520759_sample_table.txt norm	GSM520759_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20756/E-GEOD-20756.processed.1.zip	1 millimolar hydrogen peroxide and 1 micromolar brassinolide
GSM520758 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia ecotype	12	day	seedling	whole organism	wild type	Control BR rep 3.	whole seedlings, BL treated, control	0 H2O2, 1 BL, replicate 3	P-GSE20756-3	P-GSE20756-2	P-GSE20756-4	GSM520758 extract 1	total RNA	P-GSE20756-5	GSM520758 LE 1	biotin	P-GSE20756-6	GSM520758	A-AFFY-2	P-GSE20756-7	P-GSE20756-8	GSM520758.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20756/E-GEOD-20756.raw.1.zip	P-GSE20756-1	GSM520758_sample_table.txt norm	GSM520758_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20756/E-GEOD-20756.processed.1.zip	1 micromolar brassinolide
GSM520757 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia ecotype	12	day	seedling	whole organism	wild type	Control BR rep 2.	whole seedlings, BL treated, control	0 H2O2, 1 BL, replicate 2	P-GSE20756-3	P-GSE20756-2	P-GSE20756-4	GSM520757 extract 1	total RNA	P-GSE20756-5	GSM520757 LE 1	biotin	P-GSE20756-6	GSM520757	A-AFFY-2	P-GSE20756-7	P-GSE20756-8	GSM520757.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20756/E-GEOD-20756.raw.1.zip	P-GSE20756-1	GSM520757_sample_table.txt norm	GSM520757_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20756/E-GEOD-20756.processed.1.zip	1 micromolar brassinolide
GSM520756 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia ecotype	12	day	seedling	whole organism	wild type	Control BR rep 1.	whole seedlings, BL treated, control	0 H2O2, 1 BL, replicate 1	P-GSE20756-3	P-GSE20756-2	P-GSE20756-4	GSM520756 extract 1	total RNA	P-GSE20756-5	GSM520756 LE 1	biotin	P-GSE20756-6	GSM520756	A-AFFY-2	P-GSE20756-7	P-GSE20756-8	GSM520756.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20756/E-GEOD-20756.raw.1.zip	P-GSE20756-1	GSM520756_sample_table.txt norm	GSM520756_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20756/E-GEOD-20756.processed.1.zip	1 micromolar brassinolide
GSM520755 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia ecotype	12	day	seedling	whole organism	wild type	H2O2 alone 100mM.	whole seedlings, 100mM H2O2 treated	100 H2O2, 0 BL, replicate 1	P-GSE20756-3	P-GSE20756-2	P-GSE20756-4	GSM520755 extract 1	total RNA	P-GSE20756-5	GSM520755 LE 1	biotin	P-GSE20756-6	GSM520755	A-AFFY-2	P-GSE20756-7	P-GSE20756-8	GSM520755.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20756/E-GEOD-20756.raw.1.zip	P-GSE20756-1	GSM520755_sample_table.txt norm	GSM520755_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20756/E-GEOD-20756.processed.1.zip	100 millimolar hydrogen peroxide 
GSM520754 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia ecotype	12	day	seedling	whole organism	wild type	H2O2 alone 50mM.	whole seedlings, 50mM H2O2 treated	50 H2O2, 0 BL, replicate 1	P-GSE20756-3	P-GSE20756-2	P-GSE20756-4	GSM520754 extract 1	total RNA	P-GSE20756-5	GSM520754 LE 1	biotin	P-GSE20756-6	GSM520754	A-AFFY-2	P-GSE20756-7	P-GSE20756-8	GSM520754.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20756/E-GEOD-20756.raw.1.zip	P-GSE20756-1	GSM520754_sample_table.txt norm	GSM520754_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20756/E-GEOD-20756.processed.1.zip	50 millimolar hydrogen peroxide
GSM520753 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia ecotype	12	day	seedling	whole organism	wild type	H2O2 alone 25mM.	whole seedlings, 25mM H2O2 treated	25 H2O2, 0 BL, replicate 1	P-GSE20756-3	P-GSE20756-2	P-GSE20756-4	GSM520753 extract 1	total RNA	P-GSE20756-5	GSM520753 LE 1	biotin	P-GSE20756-6	GSM520753	A-AFFY-2	P-GSE20756-7	P-GSE20756-8	GSM520753.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20756/E-GEOD-20756.raw.1.zip	P-GSE20756-1	GSM520753_sample_table.txt norm	GSM520753_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20756/E-GEOD-20756.processed.1.zip	25 millimolar hydrogen peroxide 
GSM520752 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia ecotype	12	day	seedling	whole organism	wild type	H2O2 alone 5mM.	whole seedlings, 5mM H2O2 treated	5 H2O2, 0 BL, replicate 1	P-GSE20756-3	P-GSE20756-2	P-GSE20756-4	GSM520752 extract 1	total RNA	P-GSE20756-5	GSM520752 LE 1	biotin	P-GSE20756-6	GSM520752	A-AFFY-2	P-GSE20756-7	P-GSE20756-8	GSM520752.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20756/E-GEOD-20756.raw.1.zip	P-GSE20756-1	GSM520752_sample_table.txt norm	GSM520752_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20756/E-GEOD-20756.processed.1.zip	5 millimolar hydrogen peroxide
GSM520751 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia ecotype	12	day	seedling	whole organism	wild type	H2O2 alone 1mM.	whole seedlings, 1mM H2O2 treated	1 H2O2, 0 BL, replicate 1	P-GSE20756-3	P-GSE20756-2	P-GSE20756-4	GSM520751 extract 1	total RNA	P-GSE20756-5	GSM520751 LE 1	biotin	P-GSE20756-6	GSM520751	A-AFFY-2	P-GSE20756-7	P-GSE20756-8	GSM520751.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20756/E-GEOD-20756.raw.1.zip	P-GSE20756-1	GSM520751_sample_table.txt norm	GSM520751_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20756/E-GEOD-20756.processed.1.zip	1 millimolar hydrogen peroxide 
GSM520750 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia ecotype	12	day	seedling	whole organism	wild type	Control rep 3.	whole seedlings, control	0 H2O2, 0 BL, replicate 3	P-GSE20756-3	P-GSE20756-2	P-GSE20756-4	GSM520750 extract 1	total RNA	P-GSE20756-5	GSM520750 LE 1	biotin	P-GSE20756-6	GSM520750	A-AFFY-2	P-GSE20756-7	P-GSE20756-8	GSM520750.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20756/E-GEOD-20756.raw.1.zip	P-GSE20756-1	GSM520750_sample_table.txt norm	GSM520750_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20756/E-GEOD-20756.processed.1.zip	none
GSM520749 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia ecotype	12	day	seedling	whole organism	wild type	Control rep 2.	whole seedlings, control	0 H2O2, 0 BL, replicate 2	P-GSE20756-3	P-GSE20756-2	P-GSE20756-4	GSM520749 extract 1	total RNA	P-GSE20756-5	GSM520749 LE 1	biotin	P-GSE20756-6	GSM520749	A-AFFY-2	P-GSE20756-7	P-GSE20756-8	GSM520749.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20756/E-GEOD-20756.raw.1.zip	P-GSE20756-1	GSM520749_sample_table.txt norm	GSM520749_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20756/E-GEOD-20756.processed.1.zip	none
GSM520748 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia ecotype	12	day	seedling	whole organism	wild type	Control rep 1.	whole seedlings, control	0 H2O2, 0 BL, replicate 1	P-GSE20756-3	P-GSE20756-2	P-GSE20756-4	GSM520748 extract 1	total RNA	P-GSE20756-5	GSM520748 LE 1	biotin	P-GSE20756-6	GSM520748	A-AFFY-2	P-GSE20756-7	P-GSE20756-8	GSM520748.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20756/E-GEOD-20756.raw.1.zip	P-GSE20756-1	GSM520748_sample_table.txt norm	GSM520748_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20756/E-GEOD-20756.processed.1.zip	none
