Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[organism part]	Characteristics[developmental stage]	Characteristics[genotype]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue[growth condition]	FactorValue[developmental stage]
GSM429332 1	stratified seed / WT/replicate 3	stratified seed	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole organism	seed	wild type	P-GSE17159-25	P-GSE17159-26	P-GSE17159-4	GSM429332 extract 1	total RNA	P-GSE17159-5	GSM429332 LE 1	biotin	P-GSE17159-6	GSM429332	A-AFFY-2	P-GSE17159-7	P-GSE17159-8	GSM429332.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17159/E-GEOD-17159.raw.1.zip	P-GSE17159-1	GSM429332_sample_table.txt norm	GSM429332_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17159/E-GEOD-17159.processed.1.zip	wild type	stratification	seed
GSM429331 1	stratified seed / WT/replicate 2	stratified seed	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole organism	seed	wild type	P-GSE17159-25	P-GSE17159-26	P-GSE17159-4	GSM429331 extract 1	total RNA	P-GSE17159-5	GSM429331 LE 1	biotin	P-GSE17159-6	GSM429331	A-AFFY-2	P-GSE17159-7	P-GSE17159-8	GSM429331.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17159/E-GEOD-17159.raw.1.zip	P-GSE17159-1	GSM429331_sample_table.txt norm	GSM429331_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17159/E-GEOD-17159.processed.1.zip	wild type	stratification	seed
GSM429330 1	stratified seed / WT/replicate 1	stratified seed	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole organism	seed	wild type	P-GSE17159-25	P-GSE17159-19	P-GSE17159-4	GSM429330 extract 1	total RNA	P-GSE17159-5	GSM429330 LE 1	biotin	P-GSE17159-6	GSM429330	A-AFFY-2	P-GSE17159-7	P-GSE17159-8	GSM429330.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17159/E-GEOD-17159.raw.1.zip	P-GSE17159-1	GSM429330_sample_table.txt norm	GSM429330_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17159/E-GEOD-17159.processed.1.zip	wild type	stratification	seed
GSM429329 1	2d Red light (6.7 μmol/m2/s)/replicate 3	whole seedling (root, hypocotyl,cotyledon)	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole organism	seedling	wild type	P-GSE17159-22	P-GSE17159-24	P-GSE17159-4	GSM429329 extract 1	total RNA	P-GSE17159-5	GSM429329 LE 1	biotin	P-GSE17159-6	GSM429329	A-AFFY-2	P-GSE17159-7	P-GSE17159-8	GSM429329.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17159/E-GEOD-17159.raw.1.zip	P-GSE17159-1	GSM429329_sample_table.txt norm	GSM429329_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17159/E-GEOD-17159.processed.1.zip	wild type	red light	seedling
GSM429328 1	2d Red light (6.7 μmol/m2/s)/replicate 2	whole seedling (root, hypocotyl,cotyledon)	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole organism	seedling	wild type	P-GSE17159-22	P-GSE17159-24	P-GSE17159-4	GSM429328 extract 1	total RNA	P-GSE17159-5	GSM429328 LE 1	biotin	P-GSE17159-6	GSM429328	A-AFFY-2	P-GSE17159-7	P-GSE17159-8	GSM429328.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17159/E-GEOD-17159.raw.1.zip	P-GSE17159-1	GSM429328_sample_table.txt norm	GSM429328_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17159/E-GEOD-17159.processed.1.zip	wild type	red light	seedling
GSM429327 1	2d Red light (6.7 μmol/m2/s)/replicate 1	whole seedling (root, hypocotyl,cotyledon)	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole organism	seedling	wild type	P-GSE17159-22	P-GSE17159-23	P-GSE17159-4	GSM429327 extract 1	total RNA	P-GSE17159-5	GSM429327 LE 1	biotin	P-GSE17159-6	GSM429327	A-AFFY-2	P-GSE17159-7	P-GSE17159-8	GSM429327.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17159/E-GEOD-17159.raw.1.zip	P-GSE17159-1	GSM429327_sample_table.txt norm	GSM429327_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17159/E-GEOD-17159.processed.1.zip	wild type	red light	seedling
GSM429326 1	2d dark grown WT(Col-0) seedlings/1hr Red light/replicate 3	whole seedling (root, hypocotyl,cotyledon)	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole organism	seedling	wild type	P-GSE17159-20	P-GSE17159-12	P-GSE17159-4	GSM429326 extract 1	total RNA	P-GSE17159-5	GSM429326 LE 1	biotin	P-GSE17159-6	GSM429326	A-AFFY-2	P-GSE17159-7	P-GSE17159-8	GSM429326.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17159/E-GEOD-17159.raw.1.zip	P-GSE17159-1	GSM429326_sample_table.txt norm	GSM429326_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17159/E-GEOD-17159.processed.1.zip	wild type	darkness followed by 1 hour red light	seedling
GSM429325 1	2d dark grown WT(Col-0) seedlings/1hr Red light(7.5 μmol/m2/S)replicate 2	whole seedling (root, hypocotyl,cotyledon)	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole organism	seedling	wild type	P-GSE17159-20	P-GSE17159-12	P-GSE17159-4	GSM429325 extract 1	total RNA	P-GSE17159-5	GSM429325 LE 1	biotin	P-GSE17159-6	GSM429325	A-AFFY-2	P-GSE17159-7	P-GSE17159-8	GSM429325.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17159/E-GEOD-17159.raw.1.zip	P-GSE17159-1	GSM429325_sample_table.txt norm	GSM429325_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17159/E-GEOD-17159.processed.1.zip	wild type	darkness followed by 1 hour red light	seedling
GSM429324 1	2d dark grown WT(Col-0) seedlings/1hr Red light/replicate 1	whole seedling (root, hypocotyl,cotyledon)	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole organism	seedling	wild type	P-GSE17159-20	P-GSE17159-21	P-GSE17159-4	GSM429324 extract 1	total RNA	P-GSE17159-5	GSM429324 LE 1	biotin	P-GSE17159-6	GSM429324	A-AFFY-2	P-GSE17159-7	P-GSE17159-8	GSM429324.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17159/E-GEOD-17159.raw.1.zip	P-GSE17159-1	GSM429324_sample_table.txt norm	GSM429324_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17159/E-GEOD-17159.processed.1.zip	wild type	darkness followed by 1 hour red light	seedling
GSM429320 1	2d dark grown WT(Col-0) seedlings/replicate 6	whole seedling (root, hypocotyl,cotyledon)	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole organism	seedling	wild type	P-GSE17159-2	P-GSE17159-12	P-GSE17159-4	GSM429320 extract 1	total RNA	P-GSE17159-5	GSM429320 LE 1	biotin	P-GSE17159-6	GSM429320	A-AFFY-2	P-GSE17159-7	P-GSE17159-8	GSM429320.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17159/E-GEOD-17159.raw.1.zip	P-GSE17159-1	GSM429320_sample_table.txt norm	GSM429320_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17159/E-GEOD-17159.processed.1.zip	wild type	darkness	seedling
