Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[organism]	Characteristics[genotype]	Characteristics[ecotype]	Characteristics[organism part]	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue[growth condition]	FactorValue[genotype]
GSM457033 1	gene expression data from transgenic arabidopsis roots under iron deficiency medium	Arabidopsis ubc13A in iron minus medium	Arabidopsis thaliana	ubc13-/-	Col-0	root	P-GSE16964-2	P-GSE16964-3	GSM457033 extract 1	total RNA	P-GSE16964-8	GSM457033 LE 1	Biotin	P-GSE16964-9	GSM457033	A-AFFY-2	P-GSE16964-10	P-GSE16964-11	GSM457033.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16964/E-GEOD-16964.raw.1.zip	P-GSE16964-1	GSM457033_sample_table.txt norm	GSM457033_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16964/E-GEOD-16964.processed.1.zip	iron deprivation	ubc13-/-
GSM457032 1	gene expression data from transgenic arabidopsis roots under iron deficiency medium	Arabidopsis ubc13A in iron minus medium	Arabidopsis thaliana	ubc13-/-	Col-0	root	P-GSE16964-2	P-GSE16964-3	GSM457032 extract 1	total RNA	P-GSE16964-8	GSM457032 LE 1	Biotin	P-GSE16964-9	GSM457032	A-AFFY-2	P-GSE16964-10	P-GSE16964-11	GSM457032.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16964/E-GEOD-16964.raw.1.zip	P-GSE16964-1	GSM457032_sample_table.txt norm	GSM457032_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16964/E-GEOD-16964.processed.1.zip	iron deprivation	ubc13-/-
GSM457031 1	gene expression data from transgenic arabidopsis roots under iron deficiency medium	Arabidopsis ubc13A in iron minus medium	Arabidopsis thaliana	ubc13-/-	Col-0	root	P-GSE16964-2	P-GSE16964-3	GSM457031 extract 1	total RNA	P-GSE16964-8	GSM457031 LE 1	Biotin	P-GSE16964-9	GSM457031	A-AFFY-2	P-GSE16964-10	P-GSE16964-11	GSM457031.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16964/E-GEOD-16964.raw.1.zip	P-GSE16964-1	GSM457031_sample_table.txt norm	GSM457031_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16964/E-GEOD-16964.processed.1.zip	iron deprivation	ubc13-/-
GSM457030 1	gene expression data from transgenic arabidopsis roots under iron efficiency medium	Arabidopsis ubc13A in iron plus medium	Arabidopsis thaliana	ubc13-/-	Col-0	root	P-GSE16964-2	P-GSE16964-3	GSM457030 extract 1	total RNA	P-GSE16964-8	GSM457030 LE 1	Biotin	P-GSE16964-9	GSM457030	A-AFFY-2	P-GSE16964-10	P-GSE16964-11	GSM457030.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16964/E-GEOD-16964.raw.1.zip	P-GSE16964-1	GSM457030_sample_table.txt norm	GSM457030_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16964/E-GEOD-16964.processed.1.zip	control	ubc13-/-
GSM457029 1	gene expression data from transgenic arabidopsis roots under iron efficiency medium	Arabidopsis ubc13A in iron plus medium	Arabidopsis thaliana	ubc13-/-	Col-0	root	P-GSE16964-2	P-GSE16964-3	GSM457029 extract 1	total RNA	P-GSE16964-8	GSM457029 LE 1	Biotin	P-GSE16964-9	GSM457029	A-AFFY-2	P-GSE16964-10	P-GSE16964-11	GSM457029.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16964/E-GEOD-16964.raw.1.zip	P-GSE16964-1	GSM457029_sample_table.txt norm	GSM457029_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16964/E-GEOD-16964.processed.1.zip	control	ubc13-/-
GSM457028 1	gene expression data from transgenic arabidopsis roots under iron efficiency medium	Arabidopsis ubc13A in iron plus medium	Arabidopsis thaliana	ubc13-/-	Col-0	root	P-GSE16964-2	P-GSE16964-3	GSM457028 extract 1	total RNA	P-GSE16964-8	GSM457028 LE 1	Biotin	P-GSE16964-9	GSM457028	A-AFFY-2	P-GSE16964-10	P-GSE16964-11	GSM457028.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16964/E-GEOD-16964.raw.1.zip	P-GSE16964-1	GSM457028_sample_table.txt norm	GSM457028_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16964/E-GEOD-16964.processed.1.zip	control	ubc13-/-
GSM424791 1	gene expression data from transgenic arabidopsis roots under iron deficiency medium	Arabidopsis OE in iron minus medium	Arabidopsis thaliana	35S::CsUBC13	Col-0	root	P-GSE16964-2	P-GSE16964-3	GSM424791 extract 1	total RNA	P-GSE16964-4	GSM424791 LE 1	Biotin	P-GSE16964-5	GSM424791	A-AFFY-2	P-GSE16964-6	P-GSE16964-7	GSM424791.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16964/E-GEOD-16964.raw.1.zip	P-GSE16964-1	GSM424791_sample_table.txt norm	GSM424791_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16964/E-GEOD-16964.processed.1.zip	iron deprivation	35S::CsUBC13
GSM424790 1	gene expression data from transgenic arabidopsis roots under iron deficiency medium	Arabidopsis OE in iron minus medium	Arabidopsis thaliana	35S::CsUBC13	Col-0	root	P-GSE16964-2	P-GSE16964-3	GSM424790 extract 1	total RNA	P-GSE16964-4	GSM424790 LE 1	Biotin	P-GSE16964-5	GSM424790	A-AFFY-2	P-GSE16964-6	P-GSE16964-7	GSM424790.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16964/E-GEOD-16964.raw.1.zip	P-GSE16964-1	GSM424790_sample_table.txt norm	GSM424790_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16964/E-GEOD-16964.processed.1.zip	iron deprivation	35S::CsUBC13
GSM424789 1	gene expression data from transgenic arabidopsis roots under iron deficiency medium	Arabidopsis OE in iron minus medium	Arabidopsis thaliana	35S::CsUBC13	Col-0	root	P-GSE16964-2	P-GSE16964-3	GSM424789 extract 1	total RNA	P-GSE16964-4	GSM424789 LE 1	Biotin	P-GSE16964-5	GSM424789	A-AFFY-2	P-GSE16964-6	P-GSE16964-7	GSM424789.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16964/E-GEOD-16964.raw.1.zip	P-GSE16964-1	GSM424789_sample_table.txt norm	GSM424789_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16964/E-GEOD-16964.processed.1.zip	iron deprivation	35S::CsUBC13
GSM424788 1	gene expression data from transgenic arabidopsis roots under iron efficiency medium	Arabidopsis OE in iron plus medium	Arabidopsis thaliana	35S::CsUBC13	Col-0	root	P-GSE16964-2	P-GSE16964-3	GSM424788 extract 1	total RNA	P-GSE16964-4	GSM424788 LE 1	Biotin	P-GSE16964-5	GSM424788	A-AFFY-2	P-GSE16964-6	P-GSE16964-7	GSM424788.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16964/E-GEOD-16964.raw.1.zip	P-GSE16964-1	GSM424788_sample_table.txt norm	GSM424788_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16964/E-GEOD-16964.processed.1.zip	control	35S::CsUBC13
