Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics[organism part]	Characteristics[germplasm]	Characteristics[developmental stage]	Characteristics[genotype]	Description	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[genotype]
GSE6161GSM142726	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	Wassilewskija	Boyes key 3.9	wild type	Hampton_1-5_ws2_Rep2_ATH1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 82.17 Background Stdev (float) = 1.64 Background Max (float) = 86.5 Background Min (float) = 77.6 Noise Avg (float) = 5.06 Noise Stdev (float) = 0.21 Noise Max (float) = 5.7 Noise Min (float) = 4.5 RawQ (float) = 3.11 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 620 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: CH001_ATH1_A005-Hampt-wsb_repeat.DAT. OrganismPart: Whole roots; Ecotype: Wassilewskija; NASC:Growth Stage: 3.90; NASC:StockCode: N1601	P-G6161-1	GSE6161GSM142726 sample	P-G6161-3	GSE6161GSM142726 extract	total_RNA	P-G6161-2	GSE6161GSM142726 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	CH001_ATH1_A005-Hampt-wsb_repeat	A-AFFY-2	P-AFFY-6	CH001_ATH1_A005-Hampt-wsb_repeat	GSM142726.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6161/E-GEOD-6161.raw.1.zip	E-GEOD-6161-processed-data-1628828175.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6161/E-GEOD-6161.processed.1.zip	wild type
GSE6161GSM142732	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	Wassilewskija	Boyes key 3.9	cngc4 mutant	Hampton_1-11_cngc4_Rep3_ATH1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 94.49 Background Stdev (float) = 1.78 Background Max (float) = 100.0 Background Min (float) = 91.0 Noise Avg (float) = 6.33 Noise Stdev (float) = 0.25 Noise Max (float) = 7.4 Noise Min (float) = 5.7 RawQ (float) = 3.52 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 426 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: CH001_ATH1_A011-Hampt-c4c.DAT. OrganismPart: Whole roots; Ecotype: cngc4; NASC:Growth Stage: 3.90; NASC:StockCode:	P-G6161-1	GSE6161GSM142732 sample	P-G6161-3	GSE6161GSM142732 extract	total_RNA	P-G6161-2	GSE6161GSM142732 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	CH001_ATH1_A011-Hampt-c4c	A-AFFY-2	P-AFFY-6	CH001_ATH1_A011-Hampt-c4c	GSM142732.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6161/E-GEOD-6161.raw.1.zip	E-GEOD-6161-processed-data-1628828175.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6161/E-GEOD-6161.processed.1.zip	cngc4 mutant
GSE6161GSM142733	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	Wassilewskija	Boyes key 3.9	cngc1 mutant	Hampton_1-12_cngc1_Rep3_ATH1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 143.09 Background Stdev (float) = 2.89 Background Max (float) = 152.7 Background Min (float) = 136.6 Noise Avg (float) = 12.89 Noise Stdev (float) = 0.47 Noise Max (float) = 14.7 Noise Min (float) = 11.3 RawQ (float) = 5.34 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 1251 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: CH001_ATH1_A012-Hampt-c1c.DAT. OrganismPart: Whole roots; Ecotype: cngc1; NASC:Growth Stage: 3.90; NASC:StockCode:	P-G6161-1	GSE6161GSM142733 sample	P-G6161-3	GSE6161GSM142733 extract	total_RNA	P-G6161-2	GSE6161GSM142733 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	CH001_ATH1_A012-Hampt-c1c	A-AFFY-2	P-AFFY-6	CH001_ATH1_A012-Hampt-c1c	GSM142733.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6161/E-GEOD-6161.raw.1.zip	E-GEOD-6161-processed-data-1628828175.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6161/E-GEOD-6161.processed.1.zip	cngc1 mutant
GSE6161GSM142730	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	Wassilewskija	Boyes key 3.9	wild type	Hampton_1-9_ws2_Rep3_ATH1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 83.95 Background Stdev (float) = 2.52 Background Max (float) = 90.9 Background Min (float) = 77.6 Noise Avg (float) = 5.12 Noise Stdev (float) = 0.19 Noise Max (float) = 5.6 Noise Min (float) = 4.5 RawQ (float) = 3.11 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 299 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: CH001_ATH1_A009-Hampt-wsc_repeat.DAT. OrganismPart: Whole roots; Ecotype: Wassilewskija; NASC:Growth Stage: 3.90; NASC:StockCode: N1601	P-G6161-1	GSE6161GSM142730 sample	P-G6161-3	GSE6161GSM142730 extract	total_RNA	P-G6161-2	GSE6161GSM142730 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	CH001_ATH1_A009-Hampt-wsc_repeat	A-AFFY-2	P-AFFY-6	CH001_ATH1_A009-Hampt-wsc_repeat	GSM142730.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6161/E-GEOD-6161.raw.1.zip	E-GEOD-6161-processed-data-1628828175.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6161/E-GEOD-6161.processed.1.zip	wild type
GSE6161GSM142725	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	Wassilewskija	Boyes key 3.9	cngc1 mutant	Hampton_1-4_cngc1_Rep1_ATH1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 125.01 Background Stdev (float) = 4.37 Background Max (float) = 137.7 Background Min (float) = 116.6 Noise Avg (float) = 6.65 Noise Stdev (float) = 0.40 Noise Max (float) = 7.9 Noise Min (float) = 5.9 RawQ (float) = 4.26 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 369 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: CH001_ATH1_A004-Hampt-c1a.DAT. OrganismPart: Whole roots; Ecotype: cngc1; NASC:Growth Stage: 3.90; NASC:StockCode:	P-G6161-1	GSE6161GSM142725 sample	P-G6161-3	GSE6161GSM142725 extract	total_RNA	P-G6161-2	GSE6161GSM142725 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	CH001_ATH1_A004-Hampt-c1a	A-AFFY-2	P-AFFY-6	CH001_ATH1_A004-Hampt-c1a	GSM142725.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6161/E-GEOD-6161.raw.1.zip	E-GEOD-6161-processed-data-1628828175.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6161/E-GEOD-6161.processed.1.zip	cngc1 mutant
GSE6161GSM142724	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	Wassilewskija	Boyes key 3.9	cngc4 mutant	Hampton_1-3_cngc4_Rep1_ATH1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 71.40 Background Stdev (float) = 1.68 Background Max (float) = 76.5 Background Min (float) = 67.9 Noise Avg (float) = 3.91 Noise Stdev (float) = 0.17 Noise Max (float) = 4.4 Noise Min (float) = 3.6 RawQ (float) = 2.70 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 468 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: CH001_ATH1_A003-Hampt-c4a_repeat.DAT. OrganismPart: Whole roots; Ecotype: cngc4; NASC:Growth Stage: 3.90; NASC:StockCode:	P-G6161-1	GSE6161GSM142724 sample	P-G6161-3	GSE6161GSM142724 extract	total_RNA	P-G6161-2	GSE6161GSM142724 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	CH001_ATH1_A003-Hampt-c4a_repeat	A-AFFY-2	P-AFFY-6	CH001_ATH1_A003-Hampt-c4a_repeat	GSM142724.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6161/E-GEOD-6161.raw.1.zip	E-GEOD-6161-processed-data-1628828175.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6161/E-GEOD-6161.processed.1.zip	cngc4 mutant
GSE6161GSM142727	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	Wassilewskija	Boyes key 3.9	akt1-1	Hampton_1-6_akt1_Rep2_ATH1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 83.99 Background Stdev (float) = 2.98 Background Max (float) = 92.9 Background Min (float) = 76.9 Noise Avg (float) = 5.64 Noise Stdev (float) = 0.27 Noise Max (float) = 6.7 Noise Min (float) = 5.1 RawQ (float) = 3.23 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 461 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: CH001_ATH1_A006-Hampt-akb.DAT. OrganismPart: Whole roots; Ecotype: Wassilewskija; NASC:Growth Stage: 3.90; NASC:StockCode: N3762; StrainOrLine: akt1-1	P-G6161-1	GSE6161GSM142727 sample	P-G6161-3	GSE6161GSM142727 extract	total_RNA	P-G6161-2	GSE6161GSM142727 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	CH001_ATH1_A006-Hampt-akb	A-AFFY-2	P-AFFY-6	CH001_ATH1_A006-Hampt-akb	GSM142727.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6161/E-GEOD-6161.raw.1.zip	E-GEOD-6161-processed-data-1628828175.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6161/E-GEOD-6161.processed.1.zip	akt1-1
GSE6161GSM142728	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	Wassilewskija	Boyes key 3.9	cngc4 mutant	Hampton_1-7_cngc4_Rep2_ATH1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 87.00 Background Stdev (float) = 3.25 Background Max (float) = 94.7 Background Min (float) = 80.6 Noise Avg (float) = 5.46 Noise Stdev (float) = 0.28 Noise Max (float) = 6.4 Noise Min (float) = 4.8 RawQ (float) = 3.18 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 316 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: CH001_ATH1_A007-Hampt-c4b.DAT. OrganismPart: Whole roots; Ecotype: cngc4; NASC:Growth Stage: 3.90; NASC:StockCode:	P-G6161-1	GSE6161GSM142728 sample	P-G6161-3	GSE6161GSM142728 extract	total_RNA	P-G6161-2	GSE6161GSM142728 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	CH001_ATH1_A007-Hampt-c4b	A-AFFY-2	P-AFFY-6	CH001_ATH1_A007-Hampt-c4b	GSM142728.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6161/E-GEOD-6161.raw.1.zip	E-GEOD-6161-processed-data-1628828175.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6161/E-GEOD-6161.processed.1.zip	cngc4 mutant
GSE6161GSM142721	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	Wassilewskija	Boyes key 3.9	wild type	Hampton_1-1_ws2_Rep1_ATH1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 98.45 Background Stdev (float) = 2.52 Background Max (float) = 105.9 Background Min (float) = 94.1 Noise Avg (float) = 6.02 Noise Stdev (float) = 0.33 Noise Max (float) = 7.1 Noise Min (float) = 5.2 RawQ (float) = 3.55 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 382 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: CH001_ATH1_A001-Hampt-wsa.DAT. OrganismPart: Whole roots; Ecotype: Wassilewskija; NASC:Growth Stage: 3.90; NASC:StockCode: N1601	P-G6161-1	GSE6161GSM142721 sample	P-G6161-3	GSE6161GSM142721 extract	total_RNA	P-G6161-2	GSE6161GSM142721 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	CH001_ATH1_A001-Hampt-wsa	A-AFFY-2	P-AFFY-6	CH001_ATH1_A001-Hampt-wsa	GSM142721.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6161/E-GEOD-6161.raw.1.zip	E-GEOD-6161-processed-data-1628828175.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6161/E-GEOD-6161.processed.1.zip	wild type
GSE6161GSM142729	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root	Wassilewskija	Boyes key 3.9	cngc1 mutant	Hampton_1-8_cngc1_Rep2_ATH1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 86.06 Background Stdev (float) = 2.99 Background Max (float) = 92.0 Background Min (float) = 78.4 Noise Avg (float) = 5.38 Noise Stdev (float) = 0.28 Noise Max (float) = 6.5 Noise Min (float) = 4.6 RawQ (float) = 3.26 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 513 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: CH001_ATH1_A008-Hampt-c1b.DAT. OrganismPart: Whole roots; Ecotype: cngc1; NASC:Growth Stage: 3.90; NASC:StockCode:	P-G6161-1	GSE6161GSM142729 sample	P-G6161-3	GSE6161GSM142729 extract	total_RNA	P-G6161-2	GSE6161GSM142729 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	CH001_ATH1_A008-Hampt-c1b	A-AFFY-2	P-AFFY-6	CH001_ATH1_A008-Hampt-c1b	GSM142729.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6161/E-GEOD-6161.raw.1.zip	E-GEOD-6161-processed-data-1628828175.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6161/E-GEOD-6161.processed.1.zip	cngc1 mutant
