Source Name	Characteristics[organism]	Characteristics[developmental stage]	Characteristics[age]	Unit[time unit]	Characteristics[organism part]	Characteristics[genotype]	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Term Source REF	LabeledExtract Name	Label	Protocol REF	Term Source REF	Hybridization Name	Array Design REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[genotype]
aintegumenta  mutant 110813-56	Arabidopsis thaliana	floral stage 8-10	4 to 5	week	carpel	ant-1 mutant	P-MTAB-21665	P-MTAB-21664	aintegumenta  mutant 110813-56	total_RNA	P-AFFY-2	ArrayExpress	aintegumenta  mutant 110813-56	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	aintegumenta  mutant 110813-56	A-AFFY-2	P-AFFY-6	ArrayExpress	EA10051_110813_ARTH1_56.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3293/E-MEXP-3293.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	EA10051_110813_ARTH1_56.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3293/E-MEXP-3293.processed.1.zip	ant-1 mutant
aintegumenta mutant 110814-27	Arabidopsis thaliana	floral stage 8-10	4 to 5	week	carpel	ant-1 mutant	P-MTAB-21665	P-MTAB-21664	aintegumenta mutant 110814-27	total_RNA	P-AFFY-2	ArrayExpress	aintegumenta mutant 110814-27	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	aintegumenta mutant 110814-27	A-AFFY-2	P-AFFY-6	ArrayExpress	EA10051_110814_ARTH1_27.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3293/E-MEXP-3293.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	EA10051_110814_ARTH1_27.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3293/E-MEXP-3293.processed.1.zip	ant-1 mutant
aintegumenta mutant 110821-30	Arabidopsis thaliana	floral stage 8-10	4 to 5	week	carpel	ant-1 mutant	P-MTAB-21665	P-MTAB-21664	aintegumenta mutant 110821-30	total_RNA	P-AFFY-2	ArrayExpress	aintegumenta mutant 110821-30	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	aintegumenta mutant 110821-30	A-AFFY-2	P-AFFY-6	ArrayExpress	EA10051_110821_ARTH1_30.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3293/E-MEXP-3293.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	EA10051_110821_ARTH1_30.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3293/E-MEXP-3293.processed.1.zip	ant-1 mutant
aintegumenta mutant 110822-63	Arabidopsis thaliana	floral stage 8-10	4 to 5	week	carpel	ant-1 mutant	P-MTAB-21665	P-MTAB-21664	aintegumenta mutant 110822-63	total_RNA	P-AFFY-2	ArrayExpress	aintegumenta mutant 110822-63	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	aintegumenta mutant 110822-63	A-AFFY-2	P-AFFY-6	ArrayExpress	EA10051_110822_ARTH1_63.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3293/E-MEXP-3293.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	EA10051_110822_ARTH1_63.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3293/E-MEXP-3293.processed.1.zip	ant-1 mutant
Col-0 wild type 110811-36b	Arabidopsis thaliana	floral stage 8-10	4 to 5	week	carpel	wild type	P-MTAB-21665	P-MTAB-21664	Col-0 wild type 110811-36b	total_RNA	P-AFFY-2	ArrayExpress	Col-0 wild type 110811-36b	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	Col-0 wild type 110811-36b	A-AFFY-2	P-AFFY-6	ArrayExpress	EA10051_110811_ARTH1_36B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3293/E-MEXP-3293.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	EA10051_110811_ARTH1_36B.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3293/E-MEXP-3293.processed.1.zip	wild type
Col-0 wild type 110812-50	Arabidopsis thaliana	floral stage 8-10	4 to 5	week	carpel	wild type	P-MTAB-21665	P-MTAB-21664	Col-0 wild type 110812-50	total_RNA	P-AFFY-2	ArrayExpress	Col-0 wild type 110812-50	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	Col-0 wild type 110812-50	A-AFFY-2	P-AFFY-6	ArrayExpress	EA10051_110812_ARTH1_50.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3293/E-MEXP-3293.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	EA10051_110812_ARTH1_50.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3293/E-MEXP-3293.processed.1.zip	wild type
Col-0 wild type 110820-66	Arabidopsis thaliana	floral stage 8-10	4 to 5	week	carpel	wild type	P-MTAB-21665	P-MTAB-21664	Col-0 wild type 110820-66	total_RNA	P-AFFY-2	ArrayExpress	Col-0 wild type 110820-66	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	Col-0 wild type 110820-66	A-AFFY-2	P-AFFY-6	ArrayExpress	EA10051_110820_ARTH1_66.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3293/E-MEXP-3293.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	EA10051_110820_ARTH1_66.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3293/E-MEXP-3293.processed.1.zip	wild type
Col-0 wild type 110919-40b	Arabidopsis thaliana	floral stage 8-10	4 to 5	week	carpel	wild type	P-MTAB-21665	P-MTAB-21664	Col-0 wild type 110919-40b	total_RNA	P-AFFY-2	ArrayExpress	Col-0 wild type 110919-40b	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	Col-0 wild type 110919-40b	A-AFFY-2	P-AFFY-6	ArrayExpress	EA10051_110819_ARTH1_40B.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3293/E-MEXP-3293.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	EA10051_110819_ARTH1_40B.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3293/E-MEXP-3293.processed.1.zip	wild type
seuss aintegumenta  mutant 110817-7	Arabidopsis thaliana	floral stage 8-10	4 to 5	week	carpel	seu-3 ant-1 double mutant	P-MTAB-21665	P-MTAB-21664	seuss aintegumenta  mutant 110817-7	total_RNA	P-AFFY-2	ArrayExpress	seuss aintegumenta  mutant 110817-7	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	seuss aintegumenta  mutant 110817-7	A-AFFY-2	P-AFFY-6	ArrayExpress	EA10051_110817_ARTH1_7.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3293/E-MEXP-3293.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	EA10051_110817_ARTH1_7.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3293/E-MEXP-3293.processed.1.zip	seu-3 ant-1 double mutant
seuss aintegumenta mutant 110818-47	Arabidopsis thaliana	floral stage 8-10	4 to 5	week	carpel	seu-3 ant-1 double mutant	P-MTAB-21665	P-MTAB-21664	seuss aintegumenta mutant 110818-47	total_RNA	P-AFFY-2	ArrayExpress	seuss aintegumenta mutant 110818-47	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	seuss aintegumenta mutant 110818-47	A-AFFY-2	P-AFFY-6	ArrayExpress	EA10051_110818_ARTH1_47.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3293/E-MEXP-3293.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	EA10051_110818_ARTH1_47.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3293/E-MEXP-3293.processed.1.zip	seu-3 ant-1 double mutant
