Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics[OrganismPart]	Characteristics[Ecotype]	Characteristics[Genotype]	Description	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[GENOTYPE]
GSE10509GSM265534	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette leaf	Col-0	EX1;flu mutant	rosette leaves from EX1/flu cross:  T-DNA-line was crossed with a flu Col-0 line that had been obtained by 5 backcrosses of flu1-1 in Landsberg erecta with wild-type Columbia. EX1 (At4g33630) T-DNA insertion line SALK 002088 and flu Col-0 mutant	P-10509-3	P-10509-2	GSE10509GSM265534 sample	P-10509-5	GSE10509GSM265534 extract	total_RNA	P-10509-4	GSE10509GSM265534 LE	biotin	synthetic_RNA	P-10509-1	ex1_flu_dark 8hours/30 minute light_1	A-AFFY-2	P-AFFY-6	ex1_flu_dark 8hours/30 minute light_1	GSM265534.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10509/E-GEOD-10509.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10509-processed-data-1604957215.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10509/E-GEOD-10509.processed.1.zip	EX1;flu mutant
GSE10509GSM265536	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette leaf	Col-0	EX2;flu mutant	rosette leaves from EX2/flu cross:  T-DNA-line was crossed with a flu Col-0 line that had been obtained by 5 backcrosses of flu1-1 in Landsberg erecta with wild-type Columbia. EX2 (At1g27510) T-DNA insertion line SALK 012127 and flu Col-0 mutant	P-10509-3	P-10509-2	GSE10509GSM265536 sample	P-10509-5	GSE10509GSM265536 extract	total_RNA	P-10509-4	GSE10509GSM265536 LE	biotin	synthetic_RNA	P-10509-1	ex2_flu_dark 8hours/30 minute light_1	A-AFFY-2	P-AFFY-6	ex2_flu_dark 8hours/30 minute light_1	GSM265536.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10509/E-GEOD-10509.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10509-processed-data-1604957215.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10509/E-GEOD-10509.processed.1.zip	EX2;flu mutant
GSE10509GSM265539	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette leaf	Col-0	EX1;EX2;flu mutant	rosette leaves from EX1/EX2/flu cross:  The ex1/flu and ex2/flu mutant lines were crossed, and within the segregating F2 population triple mutants were identified by PCR-based genotyping.. EX1 (At4g33630) T-DNA insertion line SALK 002088; EX2 (At1g27510) T-DNA insertion line SALK 012127; flu Col-0 mutant	P-10509-3	P-10509-2	GSE10509GSM265539 sample	P-10509-5	GSE10509GSM265539 extract	total_RNA	P-10509-4	GSE10509GSM265539 LE	biotin	synthetic_RNA	P-10509-1	ex1ex2flu_dark 8hours/30 minute light_2	A-AFFY-2	P-AFFY-6	ex1ex2flu_dark 8hours/30 minute light_2	GSM265539.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10509/E-GEOD-10509.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10509-processed-data-1604957215.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10509/E-GEOD-10509.processed.1.zip	EX1;EX2;flu mutant
GSE10509GSM265530	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette leaf	Col-0	wild_type	rosette leaves from wild-type Columbia:  Two individual biologica replicates, each containing material of five mature plants of wild type, flu, ex1/flu, ex2/flu, and ex1/ex2/flu.. wild-type Columbia	P-10509-3	P-10509-2	GSE10509GSM265530 sample	P-10509-5	GSE10509GSM265530 extract	total_RNA	P-10509-4	GSE10509GSM265530 LE	biotin	synthetic_RNA	P-10509-1	col_dark 8hours/30 minute light_1	A-AFFY-2	P-AFFY-6	col_dark 8hours/30 minute light_1	GSM265530.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10509/E-GEOD-10509.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10509-processed-data-1604957215.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10509/E-GEOD-10509.processed.1.zip	wild_type
GSE10509GSM265533	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette leaf	Col-0	flu mutant	rosette leaves flu Col-0 mutant:  Two individual biologica replicates, each containing material of five mature plants of wild type, flu, ex1/flu, ex2/flu, and ex1/ex2/flu.. flu Col-0 mutant	P-10509-3	P-10509-2	GSE10509GSM265533 sample	P-10509-5	GSE10509GSM265533 extract	total_RNA	P-10509-4	GSE10509GSM265533 LE	biotin	synthetic_RNA	P-10509-1	flu_dark 8hours/30 minute light_2	A-AFFY-2	P-AFFY-6	flu_dark 8hours/30 minute light_2	GSM265533.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10509/E-GEOD-10509.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10509-processed-data-1604957215.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10509/E-GEOD-10509.processed.1.zip	flu mutant
GSE10509GSM265532	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette leaf	Col-0	flu mutant	rosette leaves from flu Col-0 mutant:  Two individual biologica replicates, each containing material of five mature plants of wild type, flu, ex1/flu, ex2/flu, and ex1/ex2/flu.. flu Col-0 mutant	P-10509-3	P-10509-2	GSE10509GSM265532 sample	P-10509-5	GSE10509GSM265532 extract	total_RNA	P-10509-4	GSE10509GSM265532 LE	biotin	synthetic_RNA	P-10509-1	flu_dark 8hours/30 minute light_1	A-AFFY-2	P-AFFY-6	flu_dark 8hours/30 minute light_1	GSM265532.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10509/E-GEOD-10509.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10509-processed-data-1604957215.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10509/E-GEOD-10509.processed.1.zip	flu mutant
GSE10509GSM265537	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette leaf	Col-0	EX2;flu mutant	rosette leaves from EX2/flu cross:  T-DNA-line was crossed with a flu Col-0 line that had been obtained by 5 backcrosses of flu1-1 in Landsberg erecta with wild-type Columbia. EX2 (At1g27510) T-DNA insertion line SALK 012127 and flu Col-0 mutant	P-10509-3	P-10509-2	GSE10509GSM265537 sample	P-10509-5	GSE10509GSM265537 extract	total_RNA	P-10509-4	GSE10509GSM265537 LE	biotin	synthetic_RNA	P-10509-1	ex2_flu_dark 8hours/30 minute light_2	A-AFFY-2	P-AFFY-6	ex2_flu_dark 8hours/30 minute light_2	GSM265537.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10509/E-GEOD-10509.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10509-processed-data-1604957215.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10509/E-GEOD-10509.processed.1.zip	EX2;flu mutant
GSE10509GSM265531	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette leaf	Col-0	wild_type	rosette leaves from wild-type Columbia:  Two individual biologica replicates, each containing material of five mature plants of wild type, flu, ex1/flu, ex2/flu, and ex1/ex2/flu.. wild-type Columbia	P-10509-3	P-10509-2	GSE10509GSM265531 sample	P-10509-5	GSE10509GSM265531 extract	total_RNA	P-10509-4	GSE10509GSM265531 LE	biotin	synthetic_RNA	P-10509-1	col_dark 8hours/30 minute light_2	A-AFFY-2	P-AFFY-6	col_dark 8hours/30 minute light_2	GSM265531.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10509/E-GEOD-10509.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10509-processed-data-1604957215.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10509/E-GEOD-10509.processed.1.zip	wild_type
GSE10509GSM265535	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette leaf	Col-0	EX1;flu mutant	rosette leaves from EX1/flu cross:  T-DNA-line was crossed with a flu Col-0 line that had been obtained by 5 backcrosses of flu1-1 in Landsberg erecta with wild-type Columbia. EX1 (At4g33630) T-DNA insertion line SALK 002088 and flu Col-0 mutant	P-10509-3	P-10509-2	GSE10509GSM265535 sample	P-10509-5	GSE10509GSM265535 extract	total_RNA	P-10509-4	GSE10509GSM265535 LE	biotin	synthetic_RNA	P-10509-1	ex1_flu_dark 8hours/30 minute light_2	A-AFFY-2	P-AFFY-6	ex1_flu_dark 8hours/30 minute light_2	GSM265535.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10509/E-GEOD-10509.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10509-processed-data-1604957215.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10509/E-GEOD-10509.processed.1.zip	EX1;flu mutant
GSE10509GSM265538	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette leaf	Col-0	EX1;EX2;flu mutant	rosette leaves from EX1/EX2/flu cross:  The ex1/flu and ex2/flu mutant lines were crossed, and within the segregating F2 population triple mutants were identified by PCR-based genotyping.. EX1 (At4g33630) T-DNA insertion line SALK 002088; EX2 (At1g27510) T-DNA insertion line SALK 012127; flu Col-0 mutant	P-10509-3	P-10509-2	GSE10509GSM265538 sample	P-10509-5	GSE10509GSM265538 extract	total_RNA	P-10509-4	GSE10509GSM265538 LE	biotin	synthetic_RNA	P-10509-1	ex1ex2flu_dark 8hours/30 minute light_1	A-AFFY-2	P-AFFY-6	ex1ex2flu_dark 8hours/30 minute light_1	GSM265538.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10509/E-GEOD-10509.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10509-processed-data-1604957215.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10509/E-GEOD-10509.processed.1.zip	EX1;EX2;flu mutant
