Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics[Genotype]	Characteristics[Ecotype]	Description	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[GENOTYPE]
GSE7961GSM197143	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	supS14-150	Col-0	S14-150_2:  In order to identify new genes implicated in ABA signalisation pathways, we have carried out a screen for suppressor mutants of the ABA deficient mutant aba3-1. Infrared thermography was used to identify plants whose cold leaf phenotype was reverted. The transcriptome analysis of four recessive suppressor mutants was undertaken to determine which genes are differentially expressed compared to the wild type or aba3-1. Such genes could represent the mutated gene itself or indicate signalling or response pathways affected by the mutation. Arabidopsis thaliana (col-0)  mutant (supS14-150) - harvest date:29-09-06	P-G7961-2	P-G7961-1	GSE7961GSM197143 sample	P-G7961-13	GSE7961GSM197143 extract	total_RNA	P-G7961-3	GSE7961GSM197143 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	S14-150_2 with array type ATH1 from Affymetrix	A-AFFY-2	P-AFFY-6	S14-150_2 with array type ATH1 from Affymetrix	GSM197143.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7961/E-GEOD-7961.raw.1.zip	E-GEOD-7961-processed-data-1680972521.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7961/E-GEOD-7961.processed.1.zip	supS14-150
GSE7961GSM197142	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	aba3-1	Col-0	aba3-1_2:  In order to identify new genes implicated in ABA signalisation pathways, we have carried out a screen for suppressor mutants of the ABA deficient mutant aba3-1. Infrared thermography was used to identify plants whose cold leaf phenotype was reverted. The transcriptome analysis of four recessive suppressor mutants was undertaken to determine which genes are differentially expressed compared to the wild type or aba3-1. Such genes could represent the mutated gene itself or indicate signalling or response pathways affected by the mutation. Arabidopsis thaliana (col-0)  mutant (aba3-1) - harvest date:29-09-06	P-G7961-2	P-G7961-1	GSE7961GSM197142 sample	P-G7961-12	GSE7961GSM197142 extract	total_RNA	P-G7961-3	GSE7961GSM197142 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	aba3-1_2 with array type ATH1 from Affymetrix	A-AFFY-2	P-AFFY-6	aba3-1_2 with array type ATH1 from Affymetrix	GSM197142.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7961/E-GEOD-7961.raw.1.zip	E-GEOD-7961-processed-data-1680972521.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7961/E-GEOD-7961.processed.1.zip	aba3-1
GSE7961GSM197140	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	supS82-2	Col-0	S82-2_1:  In order to identify new genes implicated in ABA signalisation pathways, we have carried out a screen for suppressor mutants of the ABA deficient mutant aba3-1. Infrared thermography was used to identify plants whose cold leaf phenotype was reverted. The transcriptome analysis of four recessive suppressor mutants was undertaken to determine which genes are differentially expressed compared to the wild type or aba3-1. Such genes could represent the mutated gene itself or indicate signalling or response pathways affected by the mutation. Arabidopsis thaliana (col-0)  mutant (supS82-2) - harvest date:10-07-06	P-G7961-2	P-G7961-1	GSE7961GSM197140 sample	P-G7961-9	GSE7961GSM197140 extract	total_RNA	P-G7961-3	GSE7961GSM197140 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	S82-2_1 with array type ATH1 from Affymetrix	A-AFFY-2	P-AFFY-6	S82-2_1 with array type ATH1 from Affymetrix	GSM197140.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7961/E-GEOD-7961.raw.1.zip	E-GEOD-7961-processed-data-1680972521.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7961/E-GEOD-7961.processed.1.zip	supS82-2
GSE7961GSM197136	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	aba3-1	Col-0	aba3-1_1:  In order to identify new genes implicated in ABA signalisation pathways, we have carried out a screen for suppressor mutants of the ABA deficient mutant aba3-1. Infrared thermography was used to identify plants whose cold leaf phenotype was reverted. The transcriptome analysis of four recessive suppressor mutants was undertaken to determine which genes are differentially expressed compared to the wild type or aba3-1. Such genes could represent the mutated gene itself or indicate signalling or response pathways affected by the mutation. Arabidopsis thaliana (col-0)  mutant (aba3-1) - harvest date:10-07-06	P-G7961-2	P-G7961-1	GSE7961GSM197136 sample	P-G7961-5	GSE7961GSM197136 extract	total_RNA	P-G7961-3	GSE7961GSM197136 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	aba3-1_1 with array type ATH1 from Affymetrix	A-AFFY-2	P-AFFY-6	aba3-1_1 with array type ATH1 from Affymetrix	GSM197136.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7961/E-GEOD-7961.raw.1.zip	E-GEOD-7961-processed-data-1680972521.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7961/E-GEOD-7961.processed.1.zip	aba3-1
GSE7961GSM197145	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	supS58-2	Col-0	S58-2_2:  In order to identify new genes implicated in ABA signalisation pathways, we have carried out a screen for suppressor mutants of the ABA deficient mutant aba3-1. Infrared thermography was used to identify plants whose cold leaf phenotype was reverted. The transcriptome analysis of four recessive suppressor mutants was undertaken to determine which genes are differentially expressed compared to the wild type or aba3-1. Such genes could represent the mutated gene itself or indicate signalling or response pathways affected by the mutation. Arabidopsis thaliana (col-0)  mutant (supS58-2) - harvest date:29-09-06	P-G7961-2	P-G7961-1	GSE7961GSM197145 sample	P-G7961-15	GSE7961GSM197145 extract	total_RNA	P-G7961-3	GSE7961GSM197145 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	S58-2_2 with array type ATH1 from Affymetrix	A-AFFY-2	P-AFFY-6	S58-2_2 with array type ATH1 from Affymetrix	GSM197145.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7961/E-GEOD-7961.raw.1.zip	E-GEOD-7961-processed-data-1680972521.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7961/E-GEOD-7961.processed.1.zip	supS58-2
GSE7961GSM197141	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	Col-0	wt_2:  In order to identify new genes implicated in ABA signalisation pathways, we have carried out a screen for suppressor mutants of the ABA deficient mutant aba3-1. Infrared thermography was used to identify plants whose cold leaf phenotype was reverted. The transcriptome analysis of four recessive suppressor mutants was undertaken to determine which genes are differentially expressed compared to the wild type or aba3-1. Such genes could represent the mutated gene itself or indicate signalling or response pathways affected by the mutation. Arabidopsis thaliana (col-0)  - harvest date:29-09-06	P-G7961-2	P-G7961-10	GSE7961GSM197141 sample	P-G7961-11	GSE7961GSM197141 extract	total_RNA	P-G7961-3	GSE7961GSM197141 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	wt_2 with array type ATH1 from Affymetrix	A-AFFY-2	P-AFFY-6	wt_2 with array type ATH1 from Affymetrix	GSM197141.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7961/E-GEOD-7961.raw.1.zip	E-GEOD-7961-processed-data-1680972521.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7961/E-GEOD-7961.processed.1.zip	wild_type
GSE7961GSM197135	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	wild_type	Col-0	wt_1:  In order to identify new genes implicated in ABA signalisation pathways, we have carried out a screen for suppressor mutants of the ABA deficient mutant aba3-1. Infrared thermography was used to identify plants whose cold leaf phenotype was reverted. The transcriptome analysis of four recessive suppressor mutants was undertaken to determine which genes are differentially expressed compared to the wild type or aba3-1. Such genes could represent the mutated gene itself or indicate signalling or response pathways affected by the mutation. Arabidopsis thaliana (col-0)  - harvest date:10-07-06	P-G7961-2	P-G7961-1	GSE7961GSM197135 sample	P-G7961-4	GSE7961GSM197135 extract	total_RNA	P-G7961-3	GSE7961GSM197135 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	wt_1 with array type ATH1 from Affymetrix	A-AFFY-2	P-AFFY-6	wt_1 with array type ATH1 from Affymetrix	GSM197135.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7961/E-GEOD-7961.raw.1.zip	E-GEOD-7961-processed-data-1680972521.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7961/E-GEOD-7961.processed.1.zip	wild_type
GSE7961GSM197144	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	supS15-118	Col-0	S15-118_2:  In order to identify new genes implicated in ABA signalisation pathways, we have carried out a screen for suppressor mutants of the ABA deficient mutant aba3-1. Infrared thermography was used to identify plants whose cold leaf phenotype was reverted. The transcriptome analysis of four recessive suppressor mutants was undertaken to determine which genes are differentially expressed compared to the wild type or aba3-1. Such genes could represent the mutated gene itself or indicate signalling or response pathways affected by the mutation. Arabidopsis thaliana (col-0)  mutant (supS15-118) - harvest date:29-09-06	P-G7961-2	P-G7961-1	GSE7961GSM197144 sample	P-G7961-14	GSE7961GSM197144 extract	total_RNA	P-G7961-3	GSE7961GSM197144 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	S15-118_2 with array type ATH1 from Affymetrix	A-AFFY-2	P-AFFY-6	S15-118_2 with array type ATH1 from Affymetrix	GSM197144.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7961/E-GEOD-7961.raw.1.zip	E-GEOD-7961-processed-data-1680972521.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7961/E-GEOD-7961.processed.1.zip	supS15-118
GSE7961GSM197137	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	supS14-150	Col-0	S14-150_1:  In order to identify new genes implicated in ABA signalisation pathways, we have carried out a screen for suppressor mutants of the ABA deficient mutant aba3-1. Infrared thermography was used to identify plants whose cold leaf phenotype was reverted. The transcriptome analysis of four recessive suppressor mutants was undertaken to determine which genes are differentially expressed compared to the wild type or aba3-1. Such genes could represent the mutated gene itself or indicate signalling or response pathways affected by the mutation. Arabidopsis thaliana (col-0)  mutant (supS14-150) - harvest date:10-07-06	P-G7961-2	P-G7961-1	GSE7961GSM197137 sample	P-G7961-6	GSE7961GSM197137 extract	total_RNA	P-G7961-3	GSE7961GSM197137 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	S14-150_1 with array type ATH1 from Affymetrix	A-AFFY-2	P-AFFY-6	S14-150_1 with array type ATH1 from Affymetrix	GSM197137.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7961/E-GEOD-7961.raw.1.zip	E-GEOD-7961-processed-data-1680972521.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7961/E-GEOD-7961.processed.1.zip	supS14-150
GSE7961GSM197139	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	supS58-2	Col-0	S58-2_1:  In order to identify new genes implicated in ABA signalisation pathways, we have carried out a screen for suppressor mutants of the ABA deficient mutant aba3-1. Infrared thermography was used to identify plants whose cold leaf phenotype was reverted. The transcriptome analysis of four recessive suppressor mutants was undertaken to determine which genes are differentially expressed compared to the wild type or aba3-1. Such genes could represent the mutated gene itself or indicate signalling or response pathways affected by the mutation. Arabidopsis thaliana (col-0)  mutant (supS58-2) - harvest date:10-07-06	P-G7961-2	P-G7961-1	GSE7961GSM197139 sample	P-G7961-8	GSE7961GSM197139 extract	total_RNA	P-G7961-3	GSE7961GSM197139 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	S58-2_1 with array type ATH1 from Affymetrix	A-AFFY-2	P-AFFY-6	S58-2_1 with array type ATH1 from Affymetrix	GSM197139.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7961/E-GEOD-7961.raw.1.zip	E-GEOD-7961-processed-data-1680972521.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7961/E-GEOD-7961.processed.1.zip	supS58-2
