Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Characteristics[genotype]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue[genotype]	FactorValue[compound]
GSM463702 1	arabidopsis thaliana (col-0) mutant (pr1 promoter: : luciferase) - age:10day	pr1 promoter::luciferase - MeJA	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	PR1::luciferase	P-GSE18667-10	P-GSE18667-3	P-GSE18667-20	GSM463702 extract 1	total RNA	P-GSE18667-5	GSM463702 LE 1	Biotin	P-GSE18667-6	GSM463702	A-AFFY-2	P-GSE18667-7	P-GSE18667-8	GSM463702.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18667/E-GEOD-18667.raw.1.zip	P-GSE18667-1	GSM463702_sample_table.txt norm	GSM463702_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18667/E-GEOD-18667.processed.1.zip	control	methyl jasmonate
GSM463701 1	arabidopsis thaliana (col-0) mutant (pr1 promoter: : luciferase) - age:10day	pr1 promoter::luciferase - MeJA	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	PR1::luciferase	P-GSE18667-10	P-GSE18667-3	P-GSE18667-19	GSM463701 extract 1	total RNA	P-GSE18667-5	GSM463701 LE 1	Biotin	P-GSE18667-6	GSM463701	A-AFFY-2	P-GSE18667-7	P-GSE18667-8	GSM463701.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18667/E-GEOD-18667.raw.1.zip	P-GSE18667-1	GSM463701_sample_table.txt norm	GSM463701_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18667/E-GEOD-18667.processed.1.zip	control	methyl jasmonate
GSM463693 1	arabidopsis thaliana (col-0) mutant (pr1 promoter: : luciferase) - age:10day	pr1 promoter::luciferase - MeJA	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	PR1::luciferase	P-GSE18667-10	P-GSE18667-3	P-GSE18667-11	GSM463693 extract 1	total RNA	P-GSE18667-5	GSM463693 LE 1	Biotin	P-GSE18667-6	GSM463693	A-AFFY-2	P-GSE18667-7	P-GSE18667-8	GSM463693.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18667/E-GEOD-18667.raw.1.zip	P-GSE18667-1	GSM463693_sample_table.txt norm	GSM463693_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18667/E-GEOD-18667.processed.1.zip	control	methyl jasmonate
GSM463697 1	arabidopsis thaliana (col-0) mutant (pr1 promoter: : luciferase) - age:10day	pr1 promoter::luciferase - NaCl	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	PR1::luciferase	P-GSE18667-2	P-GSE18667-3	P-GSE18667-15	GSM463697 extract 1	total RNA	P-GSE18667-5	GSM463697 LE 1	Biotin	P-GSE18667-6	GSM463697	A-AFFY-2	P-GSE18667-7	P-GSE18667-8	GSM463697.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18667/E-GEOD-18667.raw.1.zip	P-GSE18667-1	GSM463697_sample_table.txt norm	GSM463697_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18667/E-GEOD-18667.processed.1.zip	control	none
GSM463694 1	arabidopsis thaliana (col-0) mutant (pr1 promoter: : luciferase) - age:10day	pr1 promoter::luciferase - NaCl	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	PR1::luciferase	P-GSE18667-2	P-GSE18667-3	P-GSE18667-12	GSM463694 extract 1	total RNA	P-GSE18667-5	GSM463694 LE 1	Biotin	P-GSE18667-6	GSM463694	A-AFFY-2	P-GSE18667-7	P-GSE18667-8	GSM463694.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18667/E-GEOD-18667.raw.1.zip	P-GSE18667-1	GSM463694_sample_table.txt norm	GSM463694_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18667/E-GEOD-18667.processed.1.zip	control	none
GSM463692 1	arabidopsis thaliana (col-0) mutant (pr1 promoter: : luciferase) - age:10day	pr1 promoter::luciferase - NaCl	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	PR1::luciferase	P-GSE18667-2	P-GSE18667-3	P-GSE18667-9	GSM463692 extract 1	total RNA	P-GSE18667-5	GSM463692 LE 1	Biotin	P-GSE18667-6	GSM463692	A-AFFY-2	P-GSE18667-7	P-GSE18667-8	GSM463692.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18667/E-GEOD-18667.raw.1.zip	P-GSE18667-1	GSM463692_sample_table.txt norm	GSM463692_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18667/E-GEOD-18667.processed.1.zip	control	none
GSM463698 1	arabidopsis thaliana (col-0) mutant (35s promoter: :geminivirus C2) - age:10day	35s promoter::geminivirus C2 - MeJA	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	35S::C2	P-GSE18667-10	P-GSE18667-3	P-GSE18667-16	GSM463698 extract 1	total RNA	P-GSE18667-5	GSM463698 LE 1	Biotin	P-GSE18667-6	GSM463698	A-AFFY-2	P-GSE18667-7	P-GSE18667-8	GSM463698.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18667/E-GEOD-18667.raw.1.zip	P-GSE18667-1	GSM463698_sample_table.txt norm	GSM463698_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18667/E-GEOD-18667.processed.1.zip	35S::C2	methyl jasmonate
GSM463696 1	arabidopsis thaliana (col-0) mutant (35s promoter: :geminivirus C2) - age:10day	35s promoter::geminivirus C2 - MeJA	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	35S::C2	P-GSE18667-10	P-GSE18667-3	P-GSE18667-14	GSM463696 extract 1	total RNA	P-GSE18667-5	GSM463696 LE 1	Biotin	P-GSE18667-6	GSM463696	A-AFFY-2	P-GSE18667-7	P-GSE18667-8	GSM463696.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18667/E-GEOD-18667.raw.1.zip	P-GSE18667-1	GSM463696_sample_table.txt norm	GSM463696_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18667/E-GEOD-18667.processed.1.zip	35S::C2	methyl jasmonate
GSM463695 1	arabidopsis thaliana (col-0) mutant (35s promoter: :geminivirus C2) - age:10day	35s promoter::geminivirus C2 - MeJA	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	35S::C2	P-GSE18667-10	P-GSE18667-3	P-GSE18667-13	GSM463695 extract 1	total RNA	P-GSE18667-5	GSM463695 LE 1	Biotin	P-GSE18667-6	GSM463695	A-AFFY-2	P-GSE18667-7	P-GSE18667-8	GSM463695.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18667/E-GEOD-18667.raw.1.zip	P-GSE18667-1	GSM463695_sample_table.txt norm	GSM463695_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18667/E-GEOD-18667.processed.1.zip	35S::C2	methyl jasmonate
GSM463700 1	arabidopsis thaliana (col-0) mutant (35s promoter: :geminivirus C2) - age:10day	35s promoter::geminivirus C2 - NaCl	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	35S::C2	P-GSE18667-2	P-GSE18667-3	P-GSE18667-18	GSM463700 extract 1	total RNA	P-GSE18667-5	GSM463700 LE 1	Biotin	P-GSE18667-6	GSM463700	A-AFFY-2	P-GSE18667-7	P-GSE18667-8	GSM463700.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18667/E-GEOD-18667.raw.1.zip	P-GSE18667-1	GSM463700_sample_table.txt norm	GSM463700_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18667/E-GEOD-18667.processed.1.zip	35S::C2	none
