Source Name	Characteristics [Age]	Characteristics [TimeUnit]	Characteristics [GeneticModification]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [Ecotype]	Characteristics [OrganismPart]	Term Source REF	Term Accession Number	Characteristics [Genotype]	Provider	Protocol REF	Parameter Value [min temperature]	Parameter Value [max temperature]	Protocol REF	Sample Name	Protocol REF	Parameter Value [Extracted product]	Parameter Value [Amplification]	Extract Name	Material Type	Protocol REF	Parameter Value [Amount of nucleic acid labeled]	Parameter Value [Amplification]	Parameter Value [Label used]	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Comment [Array Design URI]	Protocol REF	Factor Value [time]	Unit [TimeUnit]	Factor Value [genotype]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
Arabidopsis thaliana	6	weeks	transformation	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-4	leaf	EFO	EFO_0000993	PTHW	VIB Department of Plant Systems Biology, Ghent University, Belgium	P-MEXP-10773	18	88	P-MEXP-10776	ETH - Control - 3h	P-MEXP-10777	total RNA	none	E_ETH - Control - 3h	total_RNA	P-MEXP-7837	5	none	biotin	L_ETH - Control - 3h	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_ETH - PTHW - 3h HL	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	3	h	PTHW	ebi.ac.uk:MIAMExpress:DerivedBioAssay:Hybridization.13722	pz220803_02.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-449/E-MEXP-449.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-449-processed-data-1343522387.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-449/E-MEXP-449.processed.1.zip
Arabidopsis thaliana__ebi.ac.uk:MIAMExpress:BioSource:181405	6	weeks	transformation	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-4	leaf	EFO	EFO_0000993	CAT2HP1	VIB Department of Plant Systems Biology, Ghent University, Belgium	P-MEXP-10773	18	88	P-MEXP-10776	PSB - CAT2HP1 - 8h	P-MEXP-10777	total RNA	none	E_PSB - CAT2HP1 - 8h	total_RNA	P-MEXP-7837	5	none	biotin	L_PSB - CAT2HP1 - 8h	biotin	total_RNA	P-MEXP-10784	H_VIB-PSB - CAT2HP1 - 8h HL	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	8	h	CAT2HP1	ebi.ac.uk:MIAMExpress:DerivedBioAssay:Hybridization.13720	hyb1483.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-449/E-MEXP-449.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-449-processed-data-1343522387.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-449/E-MEXP-449.processed.1.zip
Arabidopsis thaliana__ebi.ac.uk:MIAMExpress:BioSource:181409	6	weeks	transformation	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-4	leaf	EFO	EFO_0000993	CAT2HP1	VIB Department of Plant Systems Biology, Ghent University, Belgium	P-MEXP-10773	18	88	P-MEXP-10776	ETH - CAT2HP1 - 0h	P-MEXP-10777	total RNA	none	E_ETH - CAT2HP1 - 0h	total_RNA	P-MEXP-7837	5	none	biotin	L_ETH - CAT2HP1 - 0h	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_ETH - CAT2HP1 - 0h HL	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	0	h	CAT2HP1	ebi.ac.uk:MIAMExpress:DerivedBioAssay:Hybridization.13724	pz220803_04.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-449/E-MEXP-449.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-449-processed-data-1343522387.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-449/E-MEXP-449.processed.1.zip
Arabidopsis thaliana__ebi.ac.uk:MIAMExpress:BioSource:181402	6	weeks	transformation	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-4	leaf	EFO	EFO_0000993	PTHW	VIB Department of Plant Systems Biology, Ghent University, Belgium	P-MEXP-10773	18	88	P-MEXP-10776	PSB - Control - 8h	P-MEXP-10777	total RNA	none	E_PSB - Control - 8h	total_RNA	P-MEXP-7837	5	none	biotin	L_PSB - Control - 8h	biotin	total_RNA	P-MEXP-10784	H_VIB-PSB - PTHW - 8h HL	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	8	h	PTHW	ebi.ac.uk:MIAMExpress:DerivedBioAssay:Hybridization.13717	hyb1479.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-449/E-MEXP-449.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-449-processed-data-1343522387.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-449/E-MEXP-449.processed.1.zip
Arabidopsis thaliana__ebi.ac.uk:MIAMExpress:BioSource:181411	6	weeks	transformation	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-4	leaf	EFO	EFO_0000993	CAT2HP1	VIB Department of Plant Systems Biology, Ghent University, Belgium	P-MEXP-10773	18	88	P-MEXP-10776	ETH - CAT2HP1 - 8h	P-MEXP-10777	total RNA	none	E_ETH - CAT2HP1 - 8h	total_RNA	P-MEXP-7837	5	none	biotin	L_ETH - CAT2HP1 - 8h	biotin	total_RNA	P-MEXP-10784	H_ETH - CAT2HP1 - 8h HL	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	8	h	CAT2HP1	ebi.ac.uk:MIAMExpress:DerivedBioAssay:Hybridization.13726	pz211103_12.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-449/E-MEXP-449.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-449-processed-data-1343522387.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-449/E-MEXP-449.processed.1.zip
Arabidopsis thaliana__ebi.ac.uk:MIAMExpress:BioSource:181406	6	weeks	transformation	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-4	leaf	EFO	EFO_0000993	PTHW	VIB Department of Plant Systems Biology, Ghent University, Belgium	P-MEXP-10773	18	88	P-MEXP-10776	ETH - Control - 0h	P-MEXP-10777	total RNA	none	E_ETH - Control - 0h	total_RNA	P-MEXP-7837	5	none	biotin	L_ETH - Control - 0h	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_ETH - PTHW - 0h HL	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	0	h	PTHW	ebi.ac.uk:MIAMExpress:DerivedBioAssay:Hybridization.13721	pz220803_01.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-449/E-MEXP-449.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-449-processed-data-1343522387.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-449/E-MEXP-449.processed.1.zip
Arabidopsis thaliana__ebi.ac.uk:MIAMExpress:BioSource:181401	6	weeks	transformation	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-4	leaf	EFO	EFO_0000993	PTHW	VIB Department of Plant Systems Biology, Ghent University, Belgium	P-MEXP-10773	18	88	P-MEXP-10776	PSB - Control - 3h	P-MEXP-10777	total RNA	none	E_PSB - Control - 3h	total_RNA	P-MEXP-7837	5	none	biotin	L_PSB - Control - 3h	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5	H_VIB-PSB - PTHW - 3h HL	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	3	h	PTHW	ebi.ac.uk:MIAMExpress:DerivedBioAssay:Hybridization.13716	hyb1478.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-449/E-MEXP-449.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-449-processed-data-1343522387.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-449/E-MEXP-449.processed.1.zip
Arabidopsis thaliana__ebi.ac.uk:MIAMExpress:BioSource:181410	6	weeks	transformation	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-4	leaf	EFO	EFO_0000993	CAT2HP1	VIB Department of Plant Systems Biology, Ghent University, Belgium	P-MEXP-10773	18	88	P-MEXP-10776	ETH - CAT2HP1 - 3h	P-MEXP-10777	total RNA	none	E_ETH - CAT2HP1 - 3h	total_RNA	P-MEXP-7837	5	none	biotin	L_ETH - CAT2HP1 - 3h	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_ETH - CAT2HP1 - 3h HL	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	3	h	CAT2HP1	ebi.ac.uk:MIAMExpress:DerivedBioAssay:Hybridization.13725	pz220803_05.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-449/E-MEXP-449.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-449-processed-data-1343522387.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-449/E-MEXP-449.processed.1.zip
Arabidopsis thaliana__ebi.ac.uk:MIAMExpress:BioSource:181403	6	weeks	transformation	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-4	leaf	EFO	EFO_0000993	CAT2HP1	VIB Department of Plant Systems Biology, Ghent University, Belgium	P-MEXP-10773	18	88	P-MEXP-10776	PSB - CAT2HP1 - 0h	P-MEXP-10777	total RNA	none	E_PSB - CAT2HP1 - 0h	total_RNA	P-MEXP-7837	5	none	biotin	L_PSB - CAT2HP1 - 0h	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5	H_VIB-PSB - CAT2HP1 - 0h HL	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	0	h	CAT2HP1	ebi.ac.uk:MIAMExpress:DerivedBioAssay:Hybridization.13718	hyb1480.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-449/E-MEXP-449.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-449-processed-data-1343522387.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-449/E-MEXP-449.processed.1.zip
Arabidopsis thaliana__ebi.ac.uk:MIAMExpress:BioSource:181404	6	weeks	transformation	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-4	leaf	EFO	EFO_0000993	CAT2HP1	VIB Department of Plant Systems Biology, Ghent University, Belgium	P-MEXP-10773	18	88	P-MEXP-10776	PSB - CAT2HP1 - 3h	P-MEXP-10777	total RNA	none	E_PSB - CAT2HP1 - 3h	total_RNA	P-MEXP-7837	5	none	biotin	L_PSB - CAT2HP1 - 3h	biotin	total_RNA	P-MEXP-10784	H_VIB-PSB - CAT2HP1 - 3h HL	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	3	h	CAT2HP1	ebi.ac.uk:MIAMExpress:DerivedBioAssay:Hybridization.13719	hyb1481.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-449/E-MEXP-449.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-449-processed-data-1343522387.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-449/E-MEXP-449.processed.1.zip
