Source Name	Material Type	Characteristics[organism]	Characteristics[age]	Unit[time unit]	Characteristics[growth condition]	Characteristics[ecotype]	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	LabeledExtract Name	Label	Protocol REF	Term Source REF	Hybridization Name	Array Design REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[growth condition]	Factor Value[compound]	Factor Value[dose]	Unit[concentration unit]	Factor Value[time]	Unit[time unit]
Sample_control_IS12	whole_organism	Arabidopsis thaliana	12-14	day	powdery mildew infected	Col-0	P-MTAB-21131	P-MTAB-21120	P-MTAB-21121	P-MTAB-21129	E_Sample_control_IS12	total_RNA	P-MTAB-21126	L_Sample_control_IS12	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	ArrayExpress	H_Sample_control_IS12	A-AFFY-2	P-MTAB-21119	km230403control8_12.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-739/E-MEXP-739.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	km230403_R1_control_8_12.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-739/E-MEXP-739.processed.1.zip	powdery mildew infected	none	  	  	8 to 12	hour
Sample_control_IS12_2	whole_organism	Arabidopsis thaliana	12-14	day	powdery mildew infected	Col-0	P-MTAB-21131	P-MTAB-21120	P-MTAB-21121	P-MTAB-21129	E_Sample_control_IS12_2	total_RNA	P-MTAB-21126	L_Sample_control_IS12_2	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	ArrayExpress	H_Sample_control_IS12_2	A-AFFY-2	P-MTAB-21119	KM090903_mock8-12_2..CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-739/E-MEXP-739.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	KM090903_R2_control_8-12.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-739/E-MEXP-739.processed.1.zip	powdery mildew infected	none	  	  	8 to 12	hour
Sample_control_IS12_3	whole_organism	Arabidopsis thaliana	12-14	day	powdery mildew infected	Col-0	P-MTAB-21131	P-MTAB-21127	P-MTAB-21121	P-MTAB-21129	E_Sample_control_IS12_3	total_RNA	P-MTAB-21126	L_Sample_control_IS12_3	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	ArrayExpress	H_Sample_control_IS12_3	A-AFFY-2	P-MTAB-21119	km160903_3_8-12_mock.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-739/E-MEXP-739.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	km160903_R3_control_8-12.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-739/E-MEXP-739.processed.1.zip	powdery mildew infected	none	  	  	8 to 12	hour
Sample_control_IS4	whole_organism	Arabidopsis thaliana	12-14	day	powdery mildew infected	Col-0	P-MTAB-21131	P-MTAB-21124	P-MTAB-21121	P-MTAB-21129	E_Sample_control_IS4	total_RNA	P-MTAB-21126	L_Sample_control_IS4	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	ArrayExpress	H_Sample_control_IS4	A-AFFY-2	P-MTAB-21119	km261002_control.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-739/E-MEXP-739.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	km261002_R1_control_2-4.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-739/E-MEXP-739.processed.1.zip	powdery mildew infected	none	  	  	2 to 4	hour
Sample_control_IS4_2	whole_organism	Arabidopsis thaliana	12-14	day	powdery mildew infected	Col-0	P-MTAB-21131	P-MTAB-21124	P-MTAB-21121	P-MTAB-21129	E_Sample_control_IS4_2	total_RNA	P-MTAB-21126	L_Sample_control_IS4_2	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	ArrayExpress	H_Sample_control_IS4_2	A-AFFY-2	P-MTAB-21119	km051202_control_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-739/E-MEXP-739.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	km051202_R3_control_2-4.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-739/E-MEXP-739.processed.1.zip	powdery mildew infected	none	  	  	2 to 4	hour
Sample_control_IS4_3	whole_organism	Arabidopsis thaliana	12-14	day	powdery mildew infected	Col-0	P-MTAB-21131	P-MTAB-21124	P-MTAB-21121	P-MTAB-21129	E_Sample_control_IS4_3	total_RNA	P-MTAB-21126	L_Sample_control_IS4_3	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	ArrayExpress	H_Sample_control_IS4_3	A-AFFY-2	P-MTAB-21119	km210803_2Rmock2-4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-739/E-MEXP-739.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	km210803_R2_control_2-4.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-739/E-MEXP-739.processed.1.zip	powdery mildew infected	none	  	  	2 to 4	hour
Sample_control_S1	whole_organism	Arabidopsis thaliana	12-14	day	uninfected	Col-0	P-MTAB-21131	P-MTAB-21125	P-MTAB-21121	  	E_Sample_control_S1_1	total_RNA	P-MTAB-21126	L_Sample_control_S1_1	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	ArrayExpress	H_Sample_control_S1_1	A-AFFY-2	P-MTAB-21119	km_220305_Mock1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-739/E-MEXP-739.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	km_220305_Mock1.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-739/E-MEXP-739.processed.1.zip	uninfected	none	  	  	1	hour
Sample_control_S1_2	whole_organism	Arabidopsis thaliana	12-14	day	uninfected	Col-0	P-MTAB-21131	P-MTAB-21125	P-MTAB-21121	  	E_Sample_control_S1_2	total_RNA	P-MTAB-21126	L_Sample_control_S1_2	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	ArrayExpress	H_Sample_control_S1_2	A-AFFY-2	P-MTAB-21119	km_220305_Mock2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-739/E-MEXP-739.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	km_220305_Mock2.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-739/E-MEXP-739.processed.1.zip	uninfected	none	  	  	1	hour
Sample_control_S1_3	whole_organism	Arabidopsis thaliana	12-14	day	uninfected	Col-0	P-MTAB-21131	P-MTAB-21125	P-MTAB-21121	P-MTAB-21129	E_Sample_control_S1_3	total_RNA	P-MTAB-21126	L_Sample_control_S1_3	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	ArrayExpress	H_Sample_control_S1_3	A-AFFY-2	P-MTAB-21119	km_220305_Mock3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-739/E-MEXP-739.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	km_220305_Mock3.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-739/E-MEXP-739.processed.1.zip	uninfected	none	  	  	1	hour
Sample_control_S12	whole_organism	Arabidopsis thaliana	12-14	day	uninfected	Col-0	P-MTAB-21131	P-MTAB-21128	P-MTAB-21121	P-MTAB-21129	E_Sample_control_S12	total_RNA	P-MTAB-21126	L_Sample_control_S12	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	ArrayExpress	H_Sample_control_S12	A-AFFY-2	P-MTAB-21119	km160903_2_8-12_mockn.i..CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-739/E-MEXP-739.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	km160903_R2_controln.i._8-12.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-739/E-MEXP-739.processed.1.zip	uninfected	none	  	  	8 to 12	hour
