Source Name	Characteristics [Age]	Characteristics [TimeUnit]	Characteristics [OrganismPart]	Term Source REF	Term Accession Number	Characteristics [Ecotype]	Characteristics [BioSourceType]	Characteristics [DevelopmentalStage]	Term Source REF	Term Accession Number	Characteristics [Organism]	Term Source REF	Term Accession Number	Description	Protocol REF	Parameter Value [min temperature]	Parameter Value [start time]	Parameter Value [max temperature]	Parameter Value [media]	Protocol REF	Sample Name	Protocol REF	Parameter Value [Amplification]	Parameter Value [Extracted product]	Extract Name	Material Type	Protocol REF	Parameter Value [Amplification]	Parameter Value [Label used]	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Comment [Array Design URI]	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Factor Value [AGE]	Unit [TimeUnit]	Factor Value [ORGANISM PART]	Term Source REF	Term Accession Number
Arabidopsis thaliana	1	weeks	whole_organism	EFO	EFO_0002906	Columbia-0	fresh_sample	seedling	EFO	EFO_0001992	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Young seedlings	P-MEXP-7913	21	7	23	B-5 medium	P-MEXP-7920	Seedlings A	P-MEXP-7922	none	total RNA	Seedlings A	total_RNA	P-MEXP-7923	RNA polymerases	biotin	Seedlings A	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	Seedlings A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	DBA:MEXP:1265:9098	At_seedling_K2_ATH1_IGC1_JDB.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-285/E-MEXP-285.raw.1.zip	P-MEXP-7925	E-MEXP-285-processed-data-1342567421.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-285/E-MEXP-285.processed.1.zip	1	weeks	whole_organism	EFO	EFO_0002906
Arabidopsis thaliana__S:BioSource:MEXP:176401	n/a	weeks	male gametophyte	  	  	Columbia-0	fresh_sample	  	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Mature pollen grains	P-MEXP-7912	21	16	23	soil	P-MEXP-7914	Pollen B	P-MEXP-7922	none	total RNA	Pollen B	total_RNA	P-MEXP-7923	RNA polymerases	biotin	Pollen B	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	Pollen B	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	DBA:MEXP:1265:9095	At_pollenGrain_J9_new_ATH1_IGC1_JDB.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-285/E-MEXP-285.raw.1.zip	P-MEXP-7925	E-MEXP-285-processed-data-1342567421.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-285/E-MEXP-285.processed.1.zip	n/a	weeks	male gametophyte	  	  
Arabidopsis thaliana__S:BioSource:MEXP:176402	14	weeks	rosette leaf	EFO	EFO_0001984	Columbia-0	fresh_sample	  	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	P-MEXP-7911	21	14	23	soil	P-MEXP-7920	Leaves A	P-MEXP-7922	none	total RNA	Leaves A	total_RNA	P-MEXP-7923	RNA polymerases	biotin	Leaves A	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	Leaves A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	DBA:MEXP:1265:9096	At_leaves_H5_ATH1_IGC1_JDB.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-285/E-MEXP-285.raw.1.zip	P-MEXP-7925	E-MEXP-285-processed-data-1342567421.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-285/E-MEXP-285.processed.1.zip	14	weeks	rosette leaf	EFO	EFO_0001984
Arabidopsis thaliana__S:BioSource:MEXP:176403	14	weeks	rosette leaf	EFO	EFO_0001984	Columbia-0	fresh_sample	  	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	P-MEXP-7911	21	14	23	soil	P-MEXP-7920	Leaves B	P-MEXP-7922	none	total RNA	Leaves B	total_RNA	P-MEXP-7923	RNA polymerases	biotin	Leaves B	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	Leaves B	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	DBA:MEXP:1265:9097	At_leaves_H6_ATH1_IGC1_JDB.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-285/E-MEXP-285.raw.1.zip	P-MEXP-7925	E-MEXP-285-processed-data-1342567421.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-285/E-MEXP-285.processed.1.zip	14	weeks	rosette leaf	EFO	EFO_0001984
Arabidopsis thaliana__S:BioSource:MEXP:176407	16	weeks	fruit	EFO	EFO_0001028	Columbia-0	fresh_sample	  	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Siliques	P-MEXP-7912	21	16	23	soil	P-MEXP-7920	Siliques B	P-MEXP-7922	none	total RNA	Siliques B	total_RNA	P-MEXP-7923	RNA polymerases	biotin	Siliques B	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	Siliques B	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	DBA:MEXP:1265:9101	At_siliques_I10_ATH1_IGC1_JDB.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-285/E-MEXP-285.raw.1.zip	P-MEXP-7925	E-MEXP-285-processed-data-1342567421.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-285/E-MEXP-285.processed.1.zip	16	weeks	fruit	EFO	EFO_0001028
Arabidopsis thaliana__S:BioSource:MEXP:176406	16	weeks	fruit	EFO	EFO_0001028	Columbia-0	fresh_sample	  	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Siliques	P-MEXP-7912	21	16	23	soil	P-MEXP-7920	Siliques A	P-MEXP-7922	none	total RNA	Siliques A	total_RNA	P-MEXP-7923	RNA polymerases	biotin	Siliques A	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	Siliques A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	DBA:MEXP:1265:9100	At_siliques_I9_ATH1_IGC1_JDB.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-285/E-MEXP-285.raw.1.zip	P-MEXP-7925	E-MEXP-285-processed-data-1342567421.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-285/E-MEXP-285.processed.1.zip	16	weeks	fruit	EFO	EFO_0001028
Arabidopsis thaliana__S:BioSource:MEXP:176409	16	weeks	flower	  	  	Columbia-0	fresh_sample	  	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Young open flowers	P-MEXP-7912	21	16	23	soil	P-MEXP-7920	Flowers B	P-MEXP-7922	none	total RNA	Flowers B	total_RNA	P-MEXP-7923	RNA polymerases	biotin	Flowers B	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	Flowers B	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	DBA:MEXP:1265:9103	At_flowers_I5_ATH1_IGC1_JDB.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-285/E-MEXP-285.raw.1.zip	P-MEXP-7925	E-MEXP-285-processed-data-1342567421.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-285/E-MEXP-285.processed.1.zip	16	weeks	flower	  	  
Arabidopsis thaliana__S:BioSource:MEXP:176408	16	weeks	flower	  	  	Columbia-0	fresh_sample	  	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Young open flowers	P-MEXP-7912	21	16	23	soil	P-MEXP-7920	Flowers A	P-MEXP-7922	none	total RNA	Flowers A	total_RNA	P-MEXP-7923	RNA polymerases	biotin	Flowers A	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	Flowers A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	DBA:MEXP:1265:9102	At_flowers_I4_ATH1_IGC1_JDB.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-285/E-MEXP-285.raw.1.zip	P-MEXP-7925	E-MEXP-285-processed-data-1342567421.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-285/E-MEXP-285.processed.1.zip	16	weeks	flower	  	  
Arabidopsis thaliana__S:BioSource:MEXP:176400	n/a	weeks	male gametophyte	  	  	Columbia-0	fresh_sample	  	  	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	P-MEXP-7912	21	16	23	soil	P-MEXP-7914	Pollen A	P-MEXP-7922	none	total RNA	Pollen A	total_RNA	P-MEXP-7923	RNA polymerases	biotin	Pollen A	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	Pollen A	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	DBA:MEXP:1265:9094	At_pollenGrain_J8_ATH1_IGC1_JDB.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-285/E-MEXP-285.raw.1.zip	P-MEXP-7925	E-MEXP-285-processed-data-1342567421.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-285/E-MEXP-285.processed.1.zip	n/a	weeks	male gametophyte	  	  
Arabidopsis thaliana__S:BioSource:MEXP:176405	1	weeks	whole_organism	EFO	EFO_0002906	Columbia-0	fresh_sample	seedling	EFO	EFO_0001992	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	P-MEXP-7913	21	7	23	B-5 medium	P-MEXP-7920	Seedlings B	P-MEXP-7922	none	total RNA	Seedlings B	total_RNA	P-MEXP-7923	RNA polymerases	biotin	Seedlings B	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	Seedlings B	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	DBA:MEXP:1265:9099	At_seedling_K3_ATH1_IGC1_JDB.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-285/E-MEXP-285.raw.1.zip	P-MEXP-7925	E-MEXP-285-processed-data-1342567421.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-285/E-MEXP-285.processed.1.zip	1	weeks	whole_organism	EFO	EFO_0002906
