Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [age]	Characteristics [cultivar]	Term Source REF	Term Accession Number	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [AGE]
GSM1336529 1	Gene expression data from Arabidopsis unopen flower buds sampled 10 days later from drought-treated plant	Arabidopsis inflorescence sampled 10 days later from moderate drought-treated plant	Wild type (Col-0) inflorescence, moderate drought-treated, day 10, replicate 2	at day 34 after seed germination	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Unopen flower buds	P-GSE55431-2	ArrayExpress	P-GSE55431-3	ArrayExpress	P-GSE55431-4	ArrayExpress	GSM1336529 extract 1	total RNA	P-GSE55431-5	ArrayExpress	GSM1336529 LE 1	biotin	P-GSE55431-6	ArrayExpress	GSM1336529	A-AFFY-2	ArrayExpress	array assay	P-GSE55431-7	ArrayExpress	GSM1336529_M102.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55431/E-GEOD-55431.raw.1.zip	P-GSE55431-1	ArrayExpress	GSM1336529_sample_table.txt norm	GSM1336529_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55431/E-GEOD-55431.processed.1.zip	at day 34 after seed germination
GSM1336528 1	Gene expression data from Arabidopsis unopen flower buds sampled 10 days later from drought-treated plant	Arabidopsis inflorescence sampled 10 days later from moderate drought-treated plant	Wild type (Col-0) inflorescence, moderate drought-treated, day 10, replicate 1	at day 34 after seed germination	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Unopen flower buds	P-GSE55431-2	ArrayExpress	P-GSE55431-3	ArrayExpress	P-GSE55431-4	ArrayExpress	GSM1336528 extract 1	total RNA	P-GSE55431-5	ArrayExpress	GSM1336528 LE 1	biotin	P-GSE55431-6	ArrayExpress	GSM1336528	A-AFFY-2	ArrayExpress	array assay	P-GSE55431-7	ArrayExpress	GSM1336528_M101.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55431/E-GEOD-55431.raw.1.zip	P-GSE55431-1	ArrayExpress	GSM1336528_sample_table.txt norm	GSM1336528_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55431/E-GEOD-55431.processed.1.zip	at day 34 after seed germination
GSM1336527 1	Gene expression data from Arabidopsis unopen flower buds sampled 5 days later from drought-treated plant	Arabidopsis inflorescence sampled 5 days later from moderate drought-treated plant	Wild type (Col-0) inflorescence, moderate drought-treated, day 5, replicate 2	at day 29 after seed germination	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Unopen flower buds	P-GSE55431-2	ArrayExpress	P-GSE55431-3	ArrayExpress	P-GSE55431-4	ArrayExpress	GSM1336527 extract 1	total RNA	P-GSE55431-5	ArrayExpress	GSM1336527 LE 1	biotin	P-GSE55431-6	ArrayExpress	GSM1336527	A-AFFY-2	ArrayExpress	array assay	P-GSE55431-7	ArrayExpress	GSM1336527_M52.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55431/E-GEOD-55431.raw.1.zip	P-GSE55431-1	ArrayExpress	GSM1336527_sample_table.txt norm	GSM1336527_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55431/E-GEOD-55431.processed.1.zip	at day 29 after seed germination
GSM1336526 1	Gene expression data from Arabidopsis unopen flower buds sampled 5 days later from drought-treated plant	Arabidopsis inflorescence sampled 5 days later from moderate drought-treated plant	Wild type (Col-0) inflorescence, moderate drought-treated, day 5, replicate 1	at day 29 after seed germination	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Unopen flower buds	P-GSE55431-2	ArrayExpress	P-GSE55431-3	ArrayExpress	P-GSE55431-4	ArrayExpress	GSM1336526 extract 1	total RNA	P-GSE55431-5	ArrayExpress	GSM1336526 LE 1	biotin	P-GSE55431-6	ArrayExpress	GSM1336526	A-AFFY-2	ArrayExpress	array assay	P-GSE55431-7	ArrayExpress	GSM1336526_M51.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55431/E-GEOD-55431.raw.1.zip	P-GSE55431-1	ArrayExpress	GSM1336526_sample_table.txt norm	GSM1336526_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55431/E-GEOD-55431.processed.1.zip	at day 29 after seed germination
GSM1336525 1	Gene expression data from Arabidopsis unopen flower buds sampled 4 days later from drought-treated plant	Arabidopsis inflorescence sampled 4 days later from moderate drought-treated plant	Wild type (Col-0) inflorescence, moderate drought-treated, day 4, replicate 2	at day 28 after seed germination	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Unopen flower buds	P-GSE55431-2	ArrayExpress	P-GSE55431-3	ArrayExpress	P-GSE55431-4	ArrayExpress	GSM1336525 extract 1	total RNA	P-GSE55431-5	ArrayExpress	GSM1336525 LE 1	biotin	P-GSE55431-6	ArrayExpress	GSM1336525	A-AFFY-2	ArrayExpress	array assay	P-GSE55431-7	ArrayExpress	GSM1336525_M42.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55431/E-GEOD-55431.raw.1.zip	P-GSE55431-1	ArrayExpress	GSM1336525_sample_table.txt norm	GSM1336525_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55431/E-GEOD-55431.processed.1.zip	at day 28 after seed germination
GSM1336524 1	Gene expression data from Arabidopsis unopen flower buds sampled 4 days later from drought-treated plant	Arabidopsis inflorescence sampled 4 days later from moderate drought-treated plant	Wild type (Col-0) inflorescence, moderate drought-treated, day 4, replicate 1	at day 28 after seed germination	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Unopen flower buds	P-GSE55431-2	ArrayExpress	P-GSE55431-3	ArrayExpress	P-GSE55431-4	ArrayExpress	GSM1336524 extract 1	total RNA	P-GSE55431-5	ArrayExpress	GSM1336524 LE 1	biotin	P-GSE55431-6	ArrayExpress	GSM1336524	A-AFFY-2	ArrayExpress	array assay	P-GSE55431-7	ArrayExpress	GSM1336524_M41.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55431/E-GEOD-55431.raw.1.zip	P-GSE55431-1	ArrayExpress	GSM1336524_sample_table.txt norm	GSM1336524_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55431/E-GEOD-55431.processed.1.zip	at day 28 after seed germination
GSM1336523 1	Gene expression data from Arabidopsis unopen flower buds sampled 3 days later from drought-treated plant	Arabidopsis inflorescence sampled 3 days later from moderate drought-treated plant	Wild type (Col-0) inflorescence, moderate drought-treated, day 3, replicate 2	at day 27 after seed germination	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Unopen flower buds	P-GSE55431-2	ArrayExpress	P-GSE55431-3	ArrayExpress	P-GSE55431-4	ArrayExpress	GSM1336523 extract 1	total RNA	P-GSE55431-5	ArrayExpress	GSM1336523 LE 1	biotin	P-GSE55431-6	ArrayExpress	GSM1336523	A-AFFY-2	ArrayExpress	array assay	P-GSE55431-7	ArrayExpress	GSM1336523_M32.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55431/E-GEOD-55431.raw.1.zip	P-GSE55431-1	ArrayExpress	GSM1336523_sample_table.txt norm	GSM1336523_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55431/E-GEOD-55431.processed.1.zip	at day 27 after seed germination
GSM1336522 1	Gene expression data from Arabidopsis unopen flower buds sampled 3 days later from drought-treated plant	Arabidopsis inflorescence sampled 3 days later from moderate drought-treated plant	Wild type (Col-0) inflorescence, moderate drought-treated, day 3, replicate 1	at day 27 after seed germination	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Unopen flower buds	P-GSE55431-2	ArrayExpress	P-GSE55431-3	ArrayExpress	P-GSE55431-4	ArrayExpress	GSM1336522 extract 1	total RNA	P-GSE55431-5	ArrayExpress	GSM1336522 LE 1	biotin	P-GSE55431-6	ArrayExpress	GSM1336522	A-AFFY-2	ArrayExpress	array assay	P-GSE55431-7	ArrayExpress	GSM1336522_M31.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55431/E-GEOD-55431.raw.1.zip	P-GSE55431-1	ArrayExpress	GSM1336522_sample_table.txt norm	GSM1336522_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55431/E-GEOD-55431.processed.1.zip	at day 27 after seed germination
GSM1336521 1	Gene expression data from Arabidopsis unopen flower buds sampled from well-watered control	Arabidopsis inflorescence sampled from well-watered control	Wild type (Col-0) inflorescence, well-watered, day 0, replicate 2 [C02]	at day 24 after seed germination	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Unopen flower buds	P-GSE55431-2	ArrayExpress	P-GSE55431-3	ArrayExpress	P-GSE55431-4	ArrayExpress	GSM1336521 extract 1	total RNA	P-GSE55431-5	ArrayExpress	GSM1336521 LE 1	biotin	P-GSE55431-6	ArrayExpress	GSM1336521	A-AFFY-2	ArrayExpress	array assay	P-GSE55431-7	ArrayExpress	GSM1336521_C02.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55431/E-GEOD-55431.raw.1.zip	P-GSE55431-1	ArrayExpress	GSM1336521_sample_table.txt norm	GSM1336521_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55431/E-GEOD-55431.processed.1.zip	at day 24 after seed germination
GSM1336520 1	Gene expression data from Arabidopsis unopen flower buds sampled from well-watered control	Arabidopsis inflorescence sampled from well-watered control	Wild type (Col-0) inflorescence, well-watered, day 0, replicate 1 [C01]	at day 24 after seed germination	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Unopen flower buds	P-GSE55431-2	ArrayExpress	P-GSE55431-3	ArrayExpress	P-GSE55431-4	ArrayExpress	GSM1336520 extract 1	total RNA	P-GSE55431-5	ArrayExpress	GSM1336520 LE 1	biotin	P-GSE55431-6	ArrayExpress	GSM1336520	A-AFFY-2	ArrayExpress	array assay	P-GSE55431-7	ArrayExpress	GSM1336520_C01.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55431/E-GEOD-55431.raw.1.zip	P-GSE55431-1	ArrayExpress	GSM1336520_sample_table.txt norm	GSM1336520_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-55431/E-GEOD-55431.processed.1.zip	at day 24 after seed germination
