Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[age]	Characteristics[genetic background]	Characteristics[genotype/variation]	Characteristics[stress]	Characteristics[tissue]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [GENOTYPE/VARIATION]	FactorValue [STRESS]
GSM566631 1	Arabidopsis mutants impaired in sinapoyl-malate (sinapoylglucose accumulator 1 [sng1]) biosynthesis in CO1 experiment, aerial region, 18-day-old sample grown on solid MS- medium containing 1% sucrose, a single plant was used in each hybridization. The sample was grown under highly controlled growth conditions, under two independent environmental regimes. The chosen conditions were; (i) growth for 17 days under typical long day conditions with 24 h ultraviolet light on day 18 (ultraviolet light 1; UV1)and (ii) growth for 17 days under typical long day conditions with 8 h additional light on day 18 (continuous light 1; CO1). Plants were cultivated in controlled growth chambers (SANYO; MLR-350) at 22°C in 16-h light and 8-h dark conditions for 17 days. The aerial region was harvested, 6 h after the onset of the bright phase under each light treatment.	Arabidopsis thaliana accession sng1 by the 24-h light treatment (CO1), replicate 3	sng1_CO1_rep3_SK41_sample246	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	18 days	Col-0	sng1	continuous light (control)	aerial region	P-GSE22951-2	  	P-GSE22951-3	  	P-GSE22951-4	  	GSM566631 extract 1	total RNA	P-GSE22951-5	  	GSM566631 LE 1	biotin	P-GSE22951-6	  	GSM566631	A-AFFY-2	  	P-GSE22951-7	  	P-GSE22951-8	  	GSM566631.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22951/E-GEOD-22951.raw.1.zip	P-GSE22951-1	  	GSM566631_sample_table.txt norm	GSM566631_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22951/E-GEOD-22951.processed.1.zip	sng1	continuous light (control)
GSM566630 1	Arabidopsis mutants impaired in sinapoyl-malate (sinapoylglucose accumulator 1 [sng1]) biosynthesis in CO1 experiment, aerial region, 18-day-old sample grown on solid MS- medium containing 1% sucrose, a single plant was used in each hybridization. The sample was grown under highly controlled growth conditions, under two independent environmental regimes. The chosen conditions were; (i) growth for 17 days under typical long day conditions with 24 h ultraviolet light on day 18 (ultraviolet light 1; UV1)and (ii) growth for 17 days under typical long day conditions with 8 h additional light on day 18 (continuous light 1; CO1). Plants were cultivated in controlled growth chambers (SANYO; MLR-350) at 22°C in 16-h light and 8-h dark conditions for 17 days. The aerial region was harvested, 6 h after the onset of the bright phase under each light treatment.	Arabidopsis thaliana accession sng1 by the 24-h light treatment (CO1), replicate 2	sng1_CO1_rep2_SK40_sample244	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	18 days	Col-0	sng1	continuous light (control)	aerial region	P-GSE22951-2	  	P-GSE22951-3	  	P-GSE22951-4	  	GSM566630 extract 1	total RNA	P-GSE22951-5	  	GSM566630 LE 1	biotin	P-GSE22951-6	  	GSM566630	A-AFFY-2	  	P-GSE22951-7	  	P-GSE22951-8	  	GSM566630.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22951/E-GEOD-22951.raw.1.zip	P-GSE22951-1	  	GSM566630_sample_table.txt norm	GSM566630_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22951/E-GEOD-22951.processed.1.zip	sng1	continuous light (control)
GSM566629 1	Arabidopsis mutants impaired in sinapoyl-malate (sinapoylglucose accumulator 1 [sng1]) biosynthesis in CO1 experiment, aerial region, 18-day-old sample grown on solid MS- medium containing 1% sucrose, a single plant was used in each hybridization. The sample was grown under highly controlled growth conditions, under two independent environmental regimes. The chosen conditions were; (i) growth for 17 days under typical long day conditions with 24 h ultraviolet light on day 18 (ultraviolet light 1; UV1)and (ii) growth for 17 days under typical long day conditions with 8 h additional light on day 18 (continuous light 1; CO1). Plants were cultivated in controlled growth chambers (SANYO; MLR-350) at 22°C in 16-h light and 8-h dark conditions for 17 days. The aerial region was harvested, 6 h after the onset of the bright phase under each light treatment.	Arabidopsis thaliana accession sng1 by the 24-h light treatment (CO1), replicate 1	sng1_CO1_rep1_SK39_sample242	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	18 days	Col-0	sng1	continuous light (control)	aerial region	P-GSE22951-2	  	P-GSE22951-3	  	P-GSE22951-4	  	GSM566629 extract 1	total RNA	P-GSE22951-5	  	GSM566629 LE 1	biotin	P-GSE22951-6	  	GSM566629	A-AFFY-2	  	P-GSE22951-7	  	P-GSE22951-8	  	GSM566629.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22951/E-GEOD-22951.raw.1.zip	P-GSE22951-1	  	GSM566629_sample_table.txt norm	GSM566629_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22951/E-GEOD-22951.processed.1.zip	sng1	continuous light (control)
GSM566628 1	Arabidopsis mutants impaired in flavonoid (TRANSPARENT TESTA4 [tt4]) biosynthesis in CO1 experiment, aerial region, 18-day-old sample grown on solid MS- medium containing 1% sucrose, a single plant was used in each hybridization. The sample was grown under highly controlled growth conditions, under two independent environmental regimes. The chosen conditions were; (i) growth for 17 days under typical long day conditions with 24 h ultraviolet light on day 18 (ultraviolet light 1; UV1)and (ii) growth for 17 days under typical long day conditions with 8 h additional light on day 18 (continuous light 1; CO1). Plants were cultivated in controlled growth chambers (SANYO; MLR-350) at 22°C in 16-h light and 8-h dark conditions for 17 days. The aerial region was harvested, 6 h after the onset of the bright phase under each light treatment.	Arabidopsis thaliana accession tt4 by the 24-h light treatment (CO1), replicate 3	tt4_CO1_rep3_SK38_sample233	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	18 days	Col-0	tt4	continuous light (control)	aerial region	P-GSE22951-2	  	P-GSE22951-3	  	P-GSE22951-4	  	GSM566628 extract 1	total RNA	P-GSE22951-5	  	GSM566628 LE 1	biotin	P-GSE22951-6	  	GSM566628	A-AFFY-2	  	P-GSE22951-7	  	P-GSE22951-8	  	GSM566628.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22951/E-GEOD-22951.raw.1.zip	P-GSE22951-1	  	GSM566628_sample_table.txt norm	GSM566628_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22951/E-GEOD-22951.processed.1.zip	tt4	continuous light (control)
GSM566627 1	Arabidopsis mutants impaired in flavonoid (TRANSPARENT TESTA4 [tt4]) biosynthesis in CO1 experiment, aerial region, 18-day-old sample grown on solid MS- medium containing 1% sucrose, a single plant was used in each hybridization. The sample was grown under highly controlled growth conditions, under two independent environmental regimes. The chosen conditions were; (i) growth for 17 days under typical long day conditions with 24 h ultraviolet light on day 18 (ultraviolet light 1; UV1)and (ii) growth for 17 days under typical long day conditions with 8 h additional light on day 18 (continuous light 1; CO1). Plants were cultivated in controlled growth chambers (SANYO; MLR-350) at 22°C in 16-h light and 8-h dark conditions for 17 days. The aerial region was harvested, 6 h after the onset of the bright phase under each light treatment.	Arabidopsis thaliana accession tt4 by the 24-h light treatment (CO1), replicate 2	tt4_CO1_rep2_SK37_sample228	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	18 days	Col-0	tt4	continuous light (control)	aerial region	P-GSE22951-2	  	P-GSE22951-3	  	P-GSE22951-4	  	GSM566627 extract 1	total RNA	P-GSE22951-5	  	GSM566627 LE 1	biotin	P-GSE22951-6	  	GSM566627	A-AFFY-2	  	P-GSE22951-7	  	P-GSE22951-8	  	GSM566627.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22951/E-GEOD-22951.raw.1.zip	P-GSE22951-1	  	GSM566627_sample_table.txt norm	GSM566627_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22951/E-GEOD-22951.processed.1.zip	tt4	continuous light (control)
GSM566626 1	Arabidopsis mutants impaired in flavonoid (TRANSPARENT TESTA4 [tt4]) biosynthesis in CO1 experiment, aerial region, 18-day-old sample grown on solid MS- medium containing 1% sucrose, a single plant was used in each hybridization. The sample was grown under highly controlled growth conditions, under two independent environmental regimes. The chosen conditions were; (i) growth for 17 days under typical long day conditions with 24 h ultraviolet light on day 18 (ultraviolet light 1; UV1)and (ii) growth for 17 days under typical long day conditions with 8 h additional light on day 18 (continuous light 1; CO1). Plants were cultivated in controlled growth chambers (SANYO; MLR-350) at 22°C in 16-h light and 8-h dark conditions for 17 days. The aerial region was harvested, 6 h after the onset of the bright phase under each light treatment.	Arabidopsis thaliana accession tt4 by the 24-h light treatment (CO1), replicate 1	tt4_CO1_rep1_SK36_sample226	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	18 days	Col-0	tt4	continuous light (control)	aerial region	P-GSE22951-2	  	P-GSE22951-3	  	P-GSE22951-4	  	GSM566626 extract 1	total RNA	P-GSE22951-5	  	GSM566626 LE 1	biotin	P-GSE22951-6	  	GSM566626	A-AFFY-2	  	P-GSE22951-7	  	P-GSE22951-8	  	GSM566626.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22951/E-GEOD-22951.raw.1.zip	P-GSE22951-1	  	GSM566626_sample_table.txt norm	GSM566626_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22951/E-GEOD-22951.processed.1.zip	tt4	continuous light (control)
GSM566625 1	The control (wild-type) in CO1 experiment, aerial region, 18-day-old sample grown on solid MS- medium containing 1% sucrose, a single plant was used in each hybridization. The sample was grown under highly controlled growth conditions, under two independent environmental regimes. The chosen conditions were; (i) growth for 17 days under typical long day conditions with 24 h ultraviolet light on day 18 (ultraviolet light 1; UV1)and (ii) growth for 17 days under typical long day conditions with 8 h additional light on day 18 (continuous light 1; CO1). Plants were cultivated in controlled growth chambers (SANYO; MLR-350) at 22°C in 16-h light and 8-h dark conditions for 17 days. The aerial region was harvested, 6 h after the onset of the bright phase under each light treatment.	Arabidopsis thaliana accession Col-0 by the 24-h light treatment (CO1), replicate 3	WT_CO1_rep3_SK35_sample224	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	18 days	Col-0	wild-type	continuous light (control)	aerial region	P-GSE22951-2	  	P-GSE22951-3	  	P-GSE22951-4	  	GSM566625 extract 1	total RNA	P-GSE22951-5	  	GSM566625 LE 1	biotin	P-GSE22951-6	  	GSM566625	A-AFFY-2	  	P-GSE22951-7	  	P-GSE22951-8	  	GSM566625.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22951/E-GEOD-22951.raw.1.zip	P-GSE22951-1	  	GSM566625_sample_table.txt norm	GSM566625_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22951/E-GEOD-22951.processed.1.zip	wild-type	continuous light (control)
GSM566624 1	The control (wild-type) in CO1 experiment, aerial region, 18-day-old sample grown on solid MS- medium containing 1% sucrose, a single plant was used in each hybridization. The sample was grown under highly controlled growth conditions, under two independent environmental regimes. The chosen conditions were; (i) growth for 17 days under typical long day conditions with 24 h ultraviolet light on day 18 (ultraviolet light 1; UV1)and (ii) growth for 17 days under typical long day conditions with 8 h additional light on day 18 (continuous light 1; CO1). Plants were cultivated in controlled growth chambers (SANYO; MLR-350) at 22°C in 16-h light and 8-h dark conditions for 17 days. The aerial region was harvested, 6 h after the onset of the bright phase under each light treatment.	Arabidopsis thaliana accession Col-0 by the 24-h light treatment (CO1), replicate 2	WT_CO1_rep2_SK34_sample220	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	18 days	Col-0	wild-type	continuous light (control)	aerial region	P-GSE22951-2	  	P-GSE22951-3	  	P-GSE22951-4	  	GSM566624 extract 1	total RNA	P-GSE22951-5	  	GSM566624 LE 1	biotin	P-GSE22951-6	  	GSM566624	A-AFFY-2	  	P-GSE22951-7	  	P-GSE22951-8	  	GSM566624.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22951/E-GEOD-22951.raw.1.zip	P-GSE22951-1	  	GSM566624_sample_table.txt norm	GSM566624_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22951/E-GEOD-22951.processed.1.zip	wild-type	continuous light (control)
GSM566623 1	The control (wild-type) in CO1 experiment, aerial region, 18-day-old sample grown on solid MS- medium containing 1% sucrose, a single plant was used in each hybridization. The sample was grown under highly controlled growth conditions, under two independent environmental regimes. The chosen conditions were; (i) growth for 17 days under typical long day conditions with 24 h ultraviolet light on day 18 (ultraviolet light 1; UV1)and (ii) growth for 17 days under typical long day conditions with 8 h additional light on day 18 (continuous light 1; CO1). Plants were cultivated in controlled growth chambers (SANYO; MLR-350) at 22°C in 16-h light and 8-h dark conditions for 17 days. The aerial region was harvested, 6 h after the onset of the bright phase under each light treatment.	Arabidopsis thaliana accession Col-0 by the 24-h light treatment (CO1), replicate 1	WT_CO1_rep1_SK33_sample218	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	18 days	Col-0	wild-type	continuous light (control)	aerial region	P-GSE22951-2	  	P-GSE22951-3	  	P-GSE22951-4	  	GSM566623 extract 1	total RNA	P-GSE22951-5	  	GSM566623 LE 1	biotin	P-GSE22951-6	  	GSM566623	A-AFFY-2	  	P-GSE22951-7	  	P-GSE22951-8	  	GSM566623.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22951/E-GEOD-22951.raw.1.zip	P-GSE22951-1	  	GSM566623_sample_table.txt norm	GSM566623_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22951/E-GEOD-22951.processed.1.zip	wild-type	continuous light (control)
GSM566622 1	Arabidopsis mutants impaired in sinapoyl-malate (sinapoylglucose accumulator 1 [sng1]) biosynthesis in UV1 experiment, aerial region, 18-day-old sample grown on solid MS- medium containing 1% sucrose, a single plant was used in each hybridization. The sample was grown under highly controlled growth conditions, under two independent environmental regimes. The chosen conditions were; (i) growth for 17 days under typical long day conditions with 24 h ultraviolet light on day 18 (ultraviolet light 1; UV1)and (ii) growth for 17 days under typical long day conditions with 8 h additional light on day 18 (continuous light 1; CO1). Plants were cultivated in controlled growth chambers (SANYO; MLR-350) at 22°C in 16-h light and 8-h dark conditions for 17 days. The aerial region was harvested, 6 h after the onset of the bright phase under each light treatment.	Arabidopsis thaliana sng1 by UV-1-day radiation (UV1), replicate 3	sng1_UV1_rep3_SK32_sample213	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	18 days	Col-0	sng1	UV	aerial region	P-GSE22951-2	  	P-GSE22951-3	  	P-GSE22951-4	  	GSM566622 extract 1	total RNA	P-GSE22951-5	  	GSM566622 LE 1	biotin	P-GSE22951-6	  	GSM566622	A-AFFY-2	  	P-GSE22951-7	  	P-GSE22951-8	  	GSM566622.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22951/E-GEOD-22951.raw.1.zip	P-GSE22951-1	  	GSM566622_sample_table.txt norm	GSM566622_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-22951/E-GEOD-22951.processed.1.zip	sng1	UV
