Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [ecotype]	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Term Source REF	Term Accession Number	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]
GSM1199216 1	chl1-12 10mM NH4NO3 rep3	chl1-12	chl1-12 10mM NH4NO3 rep3	Col-0	chl1-12	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	P-GSE49437-2	ArrayExpress	P-GSE49437-3	ArrayExpress	P-GSE49437-4	ArrayExpress	GSM1199216 extract 1	total RNA	P-GSE49437-5	ArrayExpress	GSM1199216 LE 1	Biotin	P-GSE49437-6	ArrayExpress	GSM1199216	A-AFFY-2	ArrayExpress	array assay	P-GSE49437-7	ArrayExpress	GSM1199216_Sample_16.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49437/E-GEOD-49437.raw.1.zip	P-GSE49437-1	ArrayExpress	GSM1199216_sample_table.txt norm	GSM1199216_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49437/E-GEOD-49437.processed.1.zip	chl1-12
GSM1199210 1	chl1-12 10mM NH4NO3 rep2	chl1-12	chl1-12 10mM NH4NO3 rep2	Col-0	chl1-12	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	P-GSE49437-2	ArrayExpress	P-GSE49437-3	ArrayExpress	P-GSE49437-4	ArrayExpress	GSM1199210 extract 1	total RNA	P-GSE49437-5	ArrayExpress	GSM1199210 LE 1	Biotin	P-GSE49437-6	ArrayExpress	GSM1199210	A-AFFY-2	ArrayExpress	array assay	P-GSE49437-7	ArrayExpress	GSM1199210_Sample_10.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49437/E-GEOD-49437.raw.1.zip	P-GSE49437-1	ArrayExpress	GSM1199210_sample_table.txt norm	GSM1199210_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49437/E-GEOD-49437.processed.1.zip	chl1-12
GSM1199204 1	chl1-12 10mM NH4NO3 rep1	chl1-12	chl1-12 10mM NH4NO3 rep1	Col-0	chl1-12	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	P-GSE49437-2	ArrayExpress	P-GSE49437-3	ArrayExpress	P-GSE49437-4	ArrayExpress	GSM1199204 extract 1	total RNA	P-GSE49437-5	ArrayExpress	GSM1199204 LE 1	Biotin	P-GSE49437-6	ArrayExpress	GSM1199204	A-AFFY-2	ArrayExpress	array assay	P-GSE49437-7	ArrayExpress	GSM1199204_Sample_04.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49437/E-GEOD-49437.raw.1.zip	P-GSE49437-1	ArrayExpress	GSM1199204_sample_table.txt norm	GSM1199204_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49437/E-GEOD-49437.processed.1.zip	chl1-12
GSM1199214 1	chl1-5 10mM NH4NO3 rep3	chl1-5	chl1-5 10mM NH4NO3 rep3	Col-0	chl1-5	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	P-GSE49437-2	ArrayExpress	P-GSE49437-3	ArrayExpress	P-GSE49437-4	ArrayExpress	GSM1199214 extract 1	total RNA	P-GSE49437-5	ArrayExpress	GSM1199214 LE 1	Biotin	P-GSE49437-6	ArrayExpress	GSM1199214	A-AFFY-2	ArrayExpress	array assay	P-GSE49437-7	ArrayExpress	GSM1199214_Sample_14.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49437/E-GEOD-49437.raw.1.zip	P-GSE49437-1	ArrayExpress	GSM1199214_sample_table.txt norm	GSM1199214_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49437/E-GEOD-49437.processed.1.zip	chl1-5
GSM1199208 1	chl1-5 10mM NH4NO3 rep2	chl1-5	chl1-5 10mM NH4NO3 rep2	Col-0	chl1-5	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	P-GSE49437-2	ArrayExpress	P-GSE49437-3	ArrayExpress	P-GSE49437-4	ArrayExpress	GSM1199208 extract 1	total RNA	P-GSE49437-5	ArrayExpress	GSM1199208 LE 1	Biotin	P-GSE49437-6	ArrayExpress	GSM1199208	A-AFFY-2	ArrayExpress	array assay	P-GSE49437-7	ArrayExpress	GSM1199208_Sample_08.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49437/E-GEOD-49437.raw.1.zip	P-GSE49437-1	ArrayExpress	GSM1199208_sample_table.txt norm	GSM1199208_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49437/E-GEOD-49437.processed.1.zip	chl1-5
GSM1199202 1	chl1-5 10mM NH4NO3 rep1	chl1-5	chl1-5 10mM NH4NO3 rep1	Col-0	chl1-5	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	P-GSE49437-2	ArrayExpress	P-GSE49437-3	ArrayExpress	P-GSE49437-4	ArrayExpress	GSM1199202 extract 1	total RNA	P-GSE49437-5	ArrayExpress	GSM1199202 LE 1	Biotin	P-GSE49437-6	ArrayExpress	GSM1199202	A-AFFY-2	ArrayExpress	array assay	P-GSE49437-7	ArrayExpress	GSM1199202_Sample_02.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49437/E-GEOD-49437.raw.1.zip	P-GSE49437-1	ArrayExpress	GSM1199202_sample_table.txt norm	GSM1199202_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49437/E-GEOD-49437.processed.1.zip	chl1-5
GSM1199215 1	chl1-9 10mM NH4NO3 rep3	chl1-9	chl1-9 10mM NH4NO3 rep3	Col-0	chl1-9	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	P-GSE49437-2	ArrayExpress	P-GSE49437-3	ArrayExpress	P-GSE49437-4	ArrayExpress	GSM1199215 extract 1	total RNA	P-GSE49437-5	ArrayExpress	GSM1199215 LE 1	Biotin	P-GSE49437-6	ArrayExpress	GSM1199215	A-AFFY-2	ArrayExpress	array assay	P-GSE49437-7	ArrayExpress	GSM1199215_Sample_15.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49437/E-GEOD-49437.raw.1.zip	P-GSE49437-1	ArrayExpress	GSM1199215_sample_table.txt norm	GSM1199215_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49437/E-GEOD-49437.processed.1.zip	chl1-9
GSM1199209 1	chl1-9 10mM NH4NO3 rep2	chl1-9	chl1-9 10mM NH4NO3 rep2	Col-0	chl1-9	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	P-GSE49437-2	ArrayExpress	P-GSE49437-3	ArrayExpress	P-GSE49437-4	ArrayExpress	GSM1199209 extract 1	total RNA	P-GSE49437-5	ArrayExpress	GSM1199209 LE 1	Biotin	P-GSE49437-6	ArrayExpress	GSM1199209	A-AFFY-2	ArrayExpress	array assay	P-GSE49437-7	ArrayExpress	GSM1199209_Sample_09.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49437/E-GEOD-49437.raw.1.zip	P-GSE49437-1	ArrayExpress	GSM1199209_sample_table.txt norm	GSM1199209_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49437/E-GEOD-49437.processed.1.zip	chl1-9
GSM1199203 1	chl1-9 10mM NH4NO3 rep1	chl1-9	chl1-9 10mM NH4NO3 rep1	Col-0	chl1-9	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	P-GSE49437-2	ArrayExpress	P-GSE49437-3	ArrayExpress	P-GSE49437-4	ArrayExpress	GSM1199203 extract 1	total RNA	P-GSE49437-5	ArrayExpress	GSM1199203 LE 1	Biotin	P-GSE49437-6	ArrayExpress	GSM1199203	A-AFFY-2	ArrayExpress	array assay	P-GSE49437-7	ArrayExpress	GSM1199203_Sample_03.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49437/E-GEOD-49437.raw.1.zip	P-GSE49437-1	ArrayExpress	GSM1199203_sample_table.txt norm	GSM1199203_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49437/E-GEOD-49437.processed.1.zip	chl1-9
GSM1199217 1	T101A 10mM NH4NO3 rep3	T101A	T101A 10mM NH4NO3 rep3	Col-0	T101A	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	P-GSE49437-2	ArrayExpress	P-GSE49437-3	ArrayExpress	P-GSE49437-4	ArrayExpress	GSM1199217 extract 1	total RNA	P-GSE49437-5	ArrayExpress	GSM1199217 LE 1	Biotin	P-GSE49437-6	ArrayExpress	GSM1199217	A-AFFY-2	ArrayExpress	array assay	P-GSE49437-7	ArrayExpress	GSM1199217_Sample_17.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49437/E-GEOD-49437.raw.1.zip	P-GSE49437-1	ArrayExpress	GSM1199217_sample_table.txt norm	GSM1199217_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49437/E-GEOD-49437.processed.1.zip	T101A
