Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics[OrganismPart]	Characteristics[Ecotype]	Characteristics[Genotype]	Characteristics[DevelopmentalStage]	Description	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[GROWTH CONDITION]	FactorValue[GENOTYPE]
GSE8787GSM218285	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root tip	Columbia	wild_type	seedling	root tips:  Gene expression data from root tips of wild type plants grown under standard conditions for 5 days and transferred to standard media supplemented with 140mM NaCl for 1 hour. Ecotype: Columbia; Genotype: wild type; Age: Seedling roots, 5 days after germination; Growth Media: Standard media for 5 days then transferred to media supplemented with 140 mM NaCl; Treatment length: 1 hour	P-G8787-2	P-G8787-1	GSE8787GSM218285 sample	P-G8787-4	GSE8787GSM218285 extract	total_RNA	P-G8787-3	GSE8787GSM218285 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	At_NaCl_Col-1	A-AFFY-2	P-AFFY-6	At_NaCl_Col-1	GSM218285.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8787/E-GEOD-8787.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-8787-processed-data-1631615206.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8787/E-GEOD-8787.processed.1.zip	standard media supplemented with 140mM NaCl	wild_type
GSE8787GSM218284	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root tip	Columbia	wild_type	seedling	root tips:  Gene expression data from root tips of wild type plants grown under standard conditions for 5 days and transferred to standard media for 1 hour. Ecotype: Columbia; Genotype: wild type; Age: Seedling roots, 5 days after germination; Growth Media: Standard media for 5 days then transferred to standard media; Treatment length: 1 hour	P-G8787-2	P-G8787-1	GSE8787GSM218284 sample	P-G8787-4	GSE8787GSM218284 extract	total_RNA	P-G8787-3	GSE8787GSM218284 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	At_Standard_Col-2	A-AFFY-2	P-AFFY-6	At_Standard_Col-2	GSM218284.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8787/E-GEOD-8787.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-8787-processed-data-1631615206.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8787/E-GEOD-8787.processed.1.zip	standard media	wild_type
GSE8787GSM218297	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root tip	Columbia	scm	seedling	root tips:  Gene expression data from root tips of scm plants grown under standard conditions for 5 days and transferred to standard media supplemented with 140mM NaCl for 1 hour. Ecotype: Columbia; Genotype: scm-2; Age: Seedling roots, 5 days after germination; Growth Media: Standard media for 4 days then transferred to media supplemented with 140 mM NaCl; Treatment length: 1 hour	P-G8787-2	P-G8787-1	GSE8787GSM218297 sample	P-G8787-4	GSE8787GSM218297 extract	total_RNA	P-G8787-3	GSE8787GSM218297 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	At_NaCl_scm-1	A-AFFY-2	P-AFFY-6	At_NaCl_scm-1	GSM218297.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8787/E-GEOD-8787.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-8787-processed-data-1631615206.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8787/E-GEOD-8787.processed.1.zip	standard media supplemented with 140mM NaCl	scm
GSE8787GSM218290	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root tip	Columbia	wer myb23	seedling	root tips:  Gene expression data from root tips of wer myb23 plants grown under standard conditions for 5 days and transferred to standard media supplemented with 140mM NaCl for 1 hour. Ecotype: Columbia; Genotype: wer-1 myb23-1; Age: Seedling roots, 5 days after germination; Growth Media: Standard media for 5 days then transferred to media supplemented with 140 mM NaCl; Treatment length: 1 hour	P-G8787-2	P-G8787-1	GSE8787GSM218290 sample	P-G8787-4	GSE8787GSM218290 extract	total_RNA	P-G8787-3	GSE8787GSM218290 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	At_NaCl_wermyb23-2	A-AFFY-2	P-AFFY-6	At_NaCl_wermyb23-2	GSM218290.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8787/E-GEOD-8787.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-8787-processed-data-1631615206.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8787/E-GEOD-8787.processed.1.zip	standard media supplemented with 140mM NaCl	wer myb23
GSE8787GSM218298	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root tip	Columbia	scm	seedling	root tips:  Gene expression data from root tips of scm plants grown under standard conditions for 5 days and transferred to standard media supplemented with 140mM NaCl for 1 hour. Ecotype: Columbia; Genotype: scm-2; Age: Seedling roots, 5 days after germination; Growth Media: Standard media for 4 days then transferred to media supplemented with 140 mM NaCl; Treatment length: 1 hour	P-G8787-2	P-G8787-1	GSE8787GSM218298 sample	P-G8787-4	GSE8787GSM218298 extract	total_RNA	P-G8787-3	GSE8787GSM218298 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	At_NaCl_scm-2	A-AFFY-2	P-AFFY-6	At_NaCl_scm-2	GSM218298.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8787/E-GEOD-8787.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-8787-processed-data-1631615206.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8787/E-GEOD-8787.processed.1.zip	standard media supplemented with 140mM NaCl	scm
GSE8787GSM218286	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root tip	Columbia	wild_type	seedling	root tips:  Gene expression data from root tips of wild type plants grown under standard conditions for 5 days and transferred to standard media supplemented with 140mM NaCl for 1 hour. Ecotype: Columbia; Genotype: wild type; Age: Seedling roots, 5 days after germination; Growth Media: Standard media for 5 days then transferred to media supplemented with 140 mM NaCl; Treatment length: 1 hour	P-G8787-2	P-G8787-1	GSE8787GSM218286 sample	P-G8787-4	GSE8787GSM218286 extract	total_RNA	P-G8787-3	GSE8787GSM218286 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	At_NaCl_Col-2	A-AFFY-2	P-AFFY-6	At_NaCl_Col-2	GSM218286.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8787/E-GEOD-8787.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-8787-processed-data-1631615206.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8787/E-GEOD-8787.processed.1.zip	standard media supplemented with 140mM NaCl	wild_type
GSE8787GSM218293	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root tip	Columbia	cpc	seedling	root tips:  Gene expression data from root tips of cpc try plants grown under standard conditions for 5 days and transferred to standard media supplemented with 140mM NaCl for 1 hour. Ecotype: Columbia; Genotype: cpc-1 try-82; Age: Seedling roots, 5 days after germination; Growth Media: Standard media for 4 days then transferred to media supplemented with 140 mM NaCl; Treatment length: 1 hour	P-G8787-2	P-G8787-1	GSE8787GSM218293 sample	P-G8787-4	GSE8787GSM218293 extract	total_RNA	P-G8787-3	GSE8787GSM218293 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	At_NaCl_cpctry-1	A-AFFY-2	P-AFFY-6	At_NaCl_cpctry-1	GSM218293.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8787/E-GEOD-8787.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-8787-processed-data-1631615206.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8787/E-GEOD-8787.processed.1.zip	standard media supplemented with 140mM NaCl	cpc
GSE8787GSM218292	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root tip	Columbia	cpc	seedling	root tips:  Gene expression data from root tips of cpc try plants grown under standard conditions for 5 days and transferred to standard media for 1 hour. Ecotype: Columbia; Genotype: cpc-1 try-82; Age: Seedling roots, 5 days after germination; Growth Media: Standard media for 4 days then transferred to media supplemented with 140 mM NaCl; Treatment length: 1 hour	P-G8787-2	P-G8787-1	GSE8787GSM218292 sample	P-G8787-4	GSE8787GSM218292 extract	total_RNA	P-G8787-3	GSE8787GSM218292 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	At_Standard_cpctry-2	A-AFFY-2	P-AFFY-6	At_Standard_cpctry-2	GSM218292.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8787/E-GEOD-8787.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-8787-processed-data-1631615206.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8787/E-GEOD-8787.processed.1.zip	standard media	cpc
GSE8787GSM218296	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root tip	Columbia	scm	seedling	root tips:  Gene expression data from root tips of scm plants grown under standard conditions for 5 days and transferred to standard media for 1 hour. Ecotype: Columbia; Genotype: scm-2; Age: Seedling roots, 5 days after germination; Growth Media: Standard media for 4 days then transferred to media supplemented with 140 mM NaCl; Treatment length: 1 hour	P-G8787-2	P-G8787-1	GSE8787GSM218296 sample	P-G8787-4	GSE8787GSM218296 extract	total_RNA	P-G8787-3	GSE8787GSM218296 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	At_Standard_scm-2	A-AFFY-2	P-AFFY-6	At_Standard_scm-2	GSM218296.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8787/E-GEOD-8787.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-8787-processed-data-1631615206.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8787/E-GEOD-8787.processed.1.zip	standard media	scm
GSE8787GSM218291	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root tip	Columbia	cpc	seedling	root tips:  Gene expression data from root tips of cpc try plants grown under standard conditions for 5 days and transferred to standard media for 1 hour. Ecotype: Columbia; Genotype: cpc-1 try-82; Age: Seedling roots, 5 days after germination; Growth Media: Standard media for 4 days then transferred to media supplemented with 140 mM NaCl; Treatment length: 1 hour	P-G8787-2	P-G8787-1	GSE8787GSM218291 sample	P-G8787-4	GSE8787GSM218291 extract	total_RNA	P-G8787-3	GSE8787GSM218291 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	At_Standard_cpctry-1	A-AFFY-2	P-AFFY-6	At_Standard_cpctry-1	GSM218291.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8787/E-GEOD-8787.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-8787-processed-data-1631615206.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-8787/E-GEOD-8787.processed.1.zip	standard media	cpc
