Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[time (minutes)]	Characteristics[tissue]	Characteristics[treatment]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [TIME (MINUTES)]	FactorValue [TREATMENT]
GSM501209 1	replicate: 2	14 day old Roots	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	20	14 day old Roots	KNO3	P-GSE20044-2	  	P-GSE20044-3	  	P-GSE20044-4	  	GSM501209 extract 1	total RNA	P-GSE20044-5	  	GSM501209 LE 1	biotin	P-GSE20044-6	  	GSM501209	A-AFFY-2	  	P-GSE20044-1	  	P-GSE20044-7	  	P-GSE20044-8	  	GSM501209_sample_table.txt norm	GSM501209_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20044/E-GEOD-20044.processed.1.zip	20	KNO3
GSM501208 1	replicate: 1	14 day old Roots	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	20	14 day old Roots	KNO3	P-GSE20044-2	 	P-GSE20044-3	 	P-GSE20044-4	 	GSM501208 extract 1	total RNA	P-GSE20044-5	 	GSM501208 LE 1	biotin	P-GSE20044-6	 	GSM501208	A-AFFY-2	 	P-GSE20044-1	 	P-GSE20044-7	 	P-GSE20044-8	 	GSM501208_sample_table.txt norm	GSM501208_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20044/E-GEOD-20044.processed.1.zip	20	KNO3
GSM501207 1	replicate: 2	14 day old Roots	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	20	14 day old Roots	KCl	P-GSE20044-2	 	P-GSE20044-3	 	P-GSE20044-4	 	GSM501207 extract 1	total RNA	P-GSE20044-5	 	GSM501207 LE 1	biotin	P-GSE20044-6	 	GSM501207	A-AFFY-2	 	P-GSE20044-1	 	P-GSE20044-7	 	P-GSE20044-8	 	GSM501207_sample_table.txt norm	GSM501207_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20044/E-GEOD-20044.processed.1.zip	20	KCl
GSM501206 1	replicate: 1	14 day old Roots	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	20	14 day old Roots	KCl	P-GSE20044-2	 	P-GSE20044-3	 	P-GSE20044-4	 	GSM501206 extract 1	total RNA	P-GSE20044-5	 	GSM501206 LE 1	biotin	P-GSE20044-6	 	GSM501206	A-AFFY-2	 	P-GSE20044-1	 	P-GSE20044-7	 	P-GSE20044-8	 	GSM501206_sample_table.txt norm	GSM501206_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20044/E-GEOD-20044.processed.1.zip	20	KCl
GSM501205 1	replicate: 2	14 day old Roots	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	15	14 day old Roots	KNO3	P-GSE20044-2	 	P-GSE20044-3	 	P-GSE20044-4	 	GSM501205 extract 1	total RNA	P-GSE20044-5	 	GSM501205 LE 1	biotin	P-GSE20044-6	 	GSM501205	A-AFFY-2	 	P-GSE20044-1	 	P-GSE20044-7	 	P-GSE20044-8	 	GSM501205_sample_table.txt norm	GSM501205_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20044/E-GEOD-20044.processed.1.zip	15	KNO3
GSM501204 1	replicate: 1	14 day old Roots	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	15	14 day old Roots	KNO3	P-GSE20044-2	 	P-GSE20044-3	 	P-GSE20044-4	 	GSM501204 extract 1	total RNA	P-GSE20044-5	 	GSM501204 LE 1	biotin	P-GSE20044-6	 	GSM501204	A-AFFY-2	 	P-GSE20044-1	 	P-GSE20044-7	 	P-GSE20044-8	 	GSM501204_sample_table.txt norm	GSM501204_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20044/E-GEOD-20044.processed.1.zip	15	KNO3
GSM501203 1	replicate: 2	14 day old Roots	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	15	14 day old Roots	KCl	P-GSE20044-2	 	P-GSE20044-3	 	P-GSE20044-4	 	GSM501203 extract 1	total RNA	P-GSE20044-5	 	GSM501203 LE 1	biotin	P-GSE20044-6	 	GSM501203	A-AFFY-2	 	P-GSE20044-1	 	P-GSE20044-7	 	P-GSE20044-8	 	GSM501203_sample_table.txt norm	GSM501203_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20044/E-GEOD-20044.processed.1.zip	15	KCl
GSM501202 1	replicate: 1	14 day old Roots	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	15	14 day old Roots	KCl	P-GSE20044-2	 	P-GSE20044-3	 	P-GSE20044-4	 	GSM501202 extract 1	total RNA	P-GSE20044-5	 	GSM501202 LE 1	biotin	P-GSE20044-6	 	GSM501202	A-AFFY-2	 	P-GSE20044-1	 	P-GSE20044-7	 	P-GSE20044-8	 	GSM501202_sample_table.txt norm	GSM501202_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20044/E-GEOD-20044.processed.1.zip	15	KCl
GSM501201 1	replicate: 2	14 day old Roots	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	12	14 day old Roots	KNO3	P-GSE20044-2	 	P-GSE20044-3	 	P-GSE20044-4	 	GSM501201 extract 1	total RNA	P-GSE20044-5	 	GSM501201 LE 1	biotin	P-GSE20044-6	 	GSM501201	A-AFFY-2	 	P-GSE20044-1	 	P-GSE20044-7	 	P-GSE20044-8	 	GSM501201_sample_table.txt norm	GSM501201_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20044/E-GEOD-20044.processed.1.zip	12	KNO3
GSM501200 1	replicate: 1	14 day old Roots	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	12	14 day old Roots	KNO3	P-GSE20044-2	 	P-GSE20044-3	 	P-GSE20044-4	 	GSM501200 extract 1	total RNA	P-GSE20044-5	 	GSM501200 LE 1	biotin	P-GSE20044-6	 	GSM501200	A-AFFY-2	 	P-GSE20044-1	 	P-GSE20044-7	 	P-GSE20044-8	 	GSM501200_sample_table.txt norm	GSM501200_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20044/E-GEOD-20044.processed.1.zip	12	KNO3
GSM501199 1	replicate: 2	14 day old Roots	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	12	14 day old Roots	KCl	P-GSE20044-2	 	P-GSE20044-3	 	P-GSE20044-4	 	GSM501199 extract 1	total RNA	P-GSE20044-5	 	GSM501199 LE 1	biotin	P-GSE20044-6	 	GSM501199	A-AFFY-2	 	P-GSE20044-1	 	P-GSE20044-7	 	P-GSE20044-8	 	GSM501199_sample_table.txt norm	GSM501199_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20044/E-GEOD-20044.processed.1.zip	12	KCl
GSM501198 1	replicate: 1	14 day old Roots	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	12	14 day old Roots	KCl	P-GSE20044-2	 	P-GSE20044-3	 	P-GSE20044-4	 	GSM501198 extract 1	total RNA	P-GSE20044-5	 	GSM501198 LE 1	biotin	P-GSE20044-6	 	GSM501198	A-AFFY-2	 	P-GSE20044-1	 	P-GSE20044-7	 	P-GSE20044-8	 	GSM501198_sample_table.txt norm	GSM501198_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20044/E-GEOD-20044.processed.1.zip	12	KCl
GSM501197 1	replicate: 2	14 day old Roots	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	14 day old Roots	KNO3	P-GSE20044-2	 	P-GSE20044-3	 	P-GSE20044-4	 	GSM501197 extract 1	total RNA	P-GSE20044-5	 	GSM501197 LE 1	biotin	P-GSE20044-6	 	GSM501197	A-AFFY-2	 	P-GSE20044-1	 	P-GSE20044-7	 	P-GSE20044-8	 	GSM501197_sample_table.txt norm	GSM501197_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20044/E-GEOD-20044.processed.1.zip	  	KNO3
GSM501196 1	replicate: 1	14 day old Roots	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	14 day old Roots	KNO3	P-GSE20044-2	 	P-GSE20044-3	 	P-GSE20044-4	 	GSM501196 extract 1	total RNA	P-GSE20044-5	 	GSM501196 LE 1	biotin	P-GSE20044-6	 	GSM501196	A-AFFY-2	 	P-GSE20044-1	 	P-GSE20044-7	 	P-GSE20044-8	 	GSM501196_sample_table.txt norm	GSM501196_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20044/E-GEOD-20044.processed.1.zip	  	KNO3
GSM501195 1	replicate: 2	14 day old Roots	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	14 day old Roots	KCl	P-GSE20044-2	 	P-GSE20044-3	 	P-GSE20044-4	 	GSM501195 extract 1	total RNA	P-GSE20044-5	 	GSM501195 LE 1	biotin	P-GSE20044-6	 	GSM501195	A-AFFY-2	 	P-GSE20044-1	 	P-GSE20044-7	 	P-GSE20044-8	 	GSM501195_sample_table.txt norm	GSM501195_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20044/E-GEOD-20044.processed.1.zip	  	KCl
GSM501194 1	replicate: 1	14 day old Roots	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	14 day old Roots	KCl	P-GSE20044-2	 	P-GSE20044-3	 	P-GSE20044-4	 	GSM501194 extract 1	total RNA	P-GSE20044-5	 	GSM501194 LE 1	biotin	P-GSE20044-6	 	GSM501194	A-AFFY-2	 	P-GSE20044-1	 	P-GSE20044-7	 	P-GSE20044-8	 	GSM501194_sample_table.txt norm	GSM501194_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20044/E-GEOD-20044.processed.1.zip	  	KCl
GSM501193 1	replicate: 2	14 day old Roots	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	14 day old Roots	KNO3	P-GSE20044-2	 	P-GSE20044-3	 	P-GSE20044-4	 	GSM501193 extract 1	total RNA	P-GSE20044-5	 	GSM501193 LE 1	biotin	P-GSE20044-6	 	GSM501193	A-AFFY-2	 	P-GSE20044-1	 	P-GSE20044-7	 	P-GSE20044-8	 	GSM501193_sample_table.txt norm	GSM501193_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20044/E-GEOD-20044.processed.1.zip	  	KNO3
GSM501192 1	replicate: 1	14 day old Roots	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	14 day old Roots	KNO3	P-GSE20044-2	 	P-GSE20044-3	 	P-GSE20044-4	 	GSM501192 extract 1	total RNA	P-GSE20044-5	 	GSM501192 LE 1	biotin	P-GSE20044-6	 	GSM501192	A-AFFY-2	 	P-GSE20044-1	 	P-GSE20044-7	 	P-GSE20044-8	 	GSM501192_sample_table.txt norm	GSM501192_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20044/E-GEOD-20044.processed.1.zip	  	KNO3
GSM501191 1	replicate: 2	14 day old Roots	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	14 day old Roots	KCl	P-GSE20044-2	 	P-GSE20044-3	 	P-GSE20044-4	 	GSM501191 extract 1	total RNA	P-GSE20044-5	 	GSM501191 LE 1	biotin	P-GSE20044-6	 	GSM501191	A-AFFY-2	 	P-GSE20044-1	 	P-GSE20044-7	 	P-GSE20044-8	 	GSM501191_sample_table.txt norm	GSM501191_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20044/E-GEOD-20044.processed.1.zip	  	KCl
GSM501190 1	replicate: 1	14 day old Roots	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	14 day old Roots	KCl	P-GSE20044-2	 	P-GSE20044-3	 	P-GSE20044-4	 	GSM501190 extract 1	total RNA	P-GSE20044-5	 	GSM501190 LE 1	biotin	P-GSE20044-6	 	GSM501190	A-AFFY-2	 	P-GSE20044-1	 	P-GSE20044-7	 	P-GSE20044-8	 	GSM501190_sample_table.txt norm	GSM501190_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20044/E-GEOD-20044.processed.1.zip	  	KCl
GSM501189 1	replicate: 2	14 day old Roots	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	14 day old Roots	KNO3	P-GSE20044-2	 	P-GSE20044-3	 	P-GSE20044-4	 	GSM501189 extract 1	total RNA	P-GSE20044-5	 	GSM501189 LE 1	biotin	P-GSE20044-6	 	GSM501189	A-AFFY-2	 	P-GSE20044-1	 	P-GSE20044-7	 	P-GSE20044-8	 	GSM501189_sample_table.txt norm	GSM501189_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20044/E-GEOD-20044.processed.1.zip	  	KNO3
GSM501188 1	replicate: 1	14 day old Roots	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	14 day old Roots	KNO3	P-GSE20044-2	 	P-GSE20044-3	 	P-GSE20044-4	 	GSM501188 extract 1	total RNA	P-GSE20044-5	 	GSM501188 LE 1	biotin	P-GSE20044-6	 	GSM501188	A-AFFY-2	 	P-GSE20044-1	 	P-GSE20044-7	 	P-GSE20044-8	 	GSM501188_sample_table.txt norm	GSM501188_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20044/E-GEOD-20044.processed.1.zip	  	KNO3
GSM501187 1	replicate: 2	14 day old Roots	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	14 day old Roots	KCl	P-GSE20044-2	 	P-GSE20044-3	 	P-GSE20044-4	 	GSM501187 extract 1	total RNA	P-GSE20044-5	 	GSM501187 LE 1	biotin	P-GSE20044-6	 	GSM501187	A-AFFY-2	 	P-GSE20044-1	 	P-GSE20044-7	 	P-GSE20044-8	 	GSM501187_sample_table.txt norm	GSM501187_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20044/E-GEOD-20044.processed.1.zip	  	KCl
GSM501186 1	replicate: 1	14 day old Roots	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	  	14 day old Roots	KCl	P-GSE20044-2	 	P-GSE20044-3	 	P-GSE20044-4	 	GSM501186 extract 1	total RNA	P-GSE20044-5	 	GSM501186 LE 1	biotin	P-GSE20044-6	 	GSM501186	A-AFFY-2	 	P-GSE20044-1	 	P-GSE20044-7	 	P-GSE20044-8	 	GSM501186_sample_table.txt norm	GSM501186_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20044/E-GEOD-20044.processed.1.zip	  	KCl
