Source Name	Material Type	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Characteristics[genotype]	Characteristics[organism part]	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Assay Name	Technology Type	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue[growth condition]	FactorValue [genotype]	FactorValue [organism part]
GSM419048 1	organism part	Gene expression data from roots of phr1-phl1 double mutants grown in Johnson solid media lacking Pi.	roots from phr1-phl1 double mutants grown in media lacking Pi	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	phr1; phl1 double mutant	root	P-GSE16722-2	P-GSE16722-3	GSM419048 extract 1	total RNA	P-GSE16722-4	GSM419048 LE 1	biotin	P-GSE16722-5	GSM419048	array assay	A-AFFY-2	P-GSE16722-6	P-GSE16722-7	GSM419048.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16722/E-GEOD-16722.raw.1.zip	P-GSE16722-1	GSM419048_sample_table.txt norm	GSM419048_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16722/E-GEOD-16722.processed.1.zip	phosphate deprivation	phr1; phl1 double mutant	root
GSM419047 1	organism part	Gene expression data from roots of phr1-phl1 double mutants grown in Johnson solid media lacking Pi.	roots from phr1-phl1 double mutants grown in media lacking Pi	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	phr1; phl1 double mutant	root	P-GSE16722-2	P-GSE16722-3	GSM419047 extract 1	total RNA	P-GSE16722-4	GSM419047 LE 1	biotin	P-GSE16722-5	GSM419047	array assay	A-AFFY-2	P-GSE16722-6	P-GSE16722-7	GSM419047.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16722/E-GEOD-16722.raw.1.zip	P-GSE16722-1	GSM419047_sample_table.txt norm	GSM419047_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16722/E-GEOD-16722.processed.1.zip	phosphate deprivation	phr1; phl1 double mutant	root
GSM419046 1	organism part	Gene expression data from roots of phr1-phl1 double mutants grown in Johnson solid media lacking Pi.	roots from phr1-phl1 double mutants grown in media lacking Pi	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	phr1; phl1 double mutant	root	P-GSE16722-2	P-GSE16722-3	GSM419046 extract 1	total RNA	P-GSE16722-4	GSM419046 LE 1	biotin	P-GSE16722-5	GSM419046	array assay	A-AFFY-2	P-GSE16722-6	P-GSE16722-7	GSM419046.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16722/E-GEOD-16722.raw.1.zip	P-GSE16722-1	GSM419046_sample_table.txt norm	GSM419046_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16722/E-GEOD-16722.processed.1.zip	phosphate deprivation	phr1; phl1 double mutant	root
GSM419045 1	organism part	Gene expression data from shoots of phr1-phl1 double mutants grown in Johnson solid media lacking Pi.	shoots from phr1-phl1 double mutants grown in media lacking Pi	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	phr1; phl1 double mutant	shoot	P-GSE16722-2	P-GSE16722-3	GSM419045 extract 1	total RNA	P-GSE16722-4	GSM419045 LE 1	biotin	P-GSE16722-5	GSM419045	array assay	A-AFFY-2	P-GSE16722-6	P-GSE16722-7	GSM419045.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16722/E-GEOD-16722.raw.1.zip	P-GSE16722-1	GSM419045_sample_table.txt norm	GSM419045_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16722/E-GEOD-16722.processed.1.zip	phosphate deprivation	phr1; phl1 double mutant	shoot
GSM419044 1	organism part	Gene expression data from shoots of phr1-phl1 double mutants grown in Johnson solid media lacking Pi.	shoots from phr1-phl1 double mutants grown in media lacking Pi	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	phr1; phl1 double mutant	shoot	P-GSE16722-2	P-GSE16722-3	GSM419044 extract 1	total RNA	P-GSE16722-4	GSM419044 LE 1	biotin	P-GSE16722-5	GSM419044	array assay	A-AFFY-2	P-GSE16722-6	P-GSE16722-7	GSM419044.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16722/E-GEOD-16722.raw.1.zip	P-GSE16722-1	GSM419044_sample_table.txt norm	GSM419044_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16722/E-GEOD-16722.processed.1.zip	phosphate deprivation	phr1; phl1 double mutant	shoot
GSM419043 1	organism part	Gene expression data from shoots of phr1-phl1 double mutants grown in Johnson solid media lacking Pi.	shoots from phr1-phl1 double mutants grown in media lacking Pi	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	phr1; phl1 double mutant	shoot	P-GSE16722-2	P-GSE16722-3	GSM419043 extract 1	total RNA	P-GSE16722-4	GSM419043 LE 1	biotin	P-GSE16722-5	GSM419043	array assay	A-AFFY-2	P-GSE16722-6	P-GSE16722-7	GSM419043.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16722/E-GEOD-16722.raw.1.zip	P-GSE16722-1	GSM419043_sample_table.txt norm	GSM419043_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16722/E-GEOD-16722.processed.1.zip	phosphate deprivation	phr1; phl1 double mutant	shoot
GSM419042 1	organism part	Gene expression data from roots of phr1 mutants grown in Johnson solid media lacking Pi.	roots from phr1 mutants grown in media lacking Pi	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	phr1 mutant	root	P-GSE16722-2	P-GSE16722-3	GSM419042 extract 1	total RNA	P-GSE16722-4	GSM419042 LE 1	biotin	P-GSE16722-5	GSM419042	array assay	A-AFFY-2	P-GSE16722-6	P-GSE16722-7	GSM419042.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16722/E-GEOD-16722.raw.1.zip	P-GSE16722-1	GSM419042_sample_table.txt norm	GSM419042_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16722/E-GEOD-16722.processed.1.zip	phosphate deprivation	phr1 mutant	root
GSM419041 1	organism part	Gene expression data from roots of phr1 mutants grown in Johnson solid media lacking Pi.	roots from phr1 mutants grown in media lacking Pi	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	phr1 mutant	root	P-GSE16722-2	P-GSE16722-3	GSM419041 extract 1	total RNA	P-GSE16722-4	GSM419041 LE 1	biotin	P-GSE16722-5	GSM419041	array assay	A-AFFY-2	P-GSE16722-6	P-GSE16722-7	GSM419041.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16722/E-GEOD-16722.raw.1.zip	P-GSE16722-1	GSM419041_sample_table.txt norm	GSM419041_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16722/E-GEOD-16722.processed.1.zip	phosphate deprivation	phr1 mutant	root
GSM419040 1	organism part	Gene expression data from roots of phr1 mutants grown in Johnson solid media lacking Pi.	roots from phr1 mutants grown in media lacking Pi	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	phr1 mutant	root	P-GSE16722-2	P-GSE16722-3	GSM419040 extract 1	total RNA	P-GSE16722-4	GSM419040 LE 1	biotin	P-GSE16722-5	GSM419040	array assay	A-AFFY-2	P-GSE16722-6	P-GSE16722-7	GSM419040.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16722/E-GEOD-16722.raw.1.zip	P-GSE16722-1	GSM419040_sample_table.txt norm	GSM419040_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16722/E-GEOD-16722.processed.1.zip	phosphate deprivation	phr1 mutant	root
GSM419039 1	organism part	Gene expression data from shoots of phr1 mutants grown in Johnson solid media lacking Pi.	shoots from phr1 mutants grown in media lacking Pi	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	phr1 mutant	shoot	P-GSE16722-2	P-GSE16722-3	GSM419039 extract 1	total RNA	P-GSE16722-4	GSM419039 LE 1	biotin	P-GSE16722-5	GSM419039	array assay	A-AFFY-2	P-GSE16722-6	P-GSE16722-7	GSM419039.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16722/E-GEOD-16722.raw.1.zip	P-GSE16722-1	GSM419039_sample_table.txt norm	GSM419039_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16722/E-GEOD-16722.processed.1.zip	phosphate deprivation	phr1 mutant	shoot
