Source Name	Characteristics [Age]	Unit [TimeUnit]	Characteristics [InitialTimePoint]	Characteristics [GeneticModification]	Term Source REF	Term Accession Number	Characteristics [Genotype]	Characteristics [Ecotype]	Characteristics [DevelopmentalStage]	Term Source REF	Term Accession Number	Characteristics [BioSourceType]	Characteristics [Organism]	Term Source REF	Term Accession Number	Provider	Protocol REF	Parameter Value [start time]	Parameter Value [stop time]	Parameter Value [min temperature]	Parameter Value [media]	Protocol REF	Sample Name	Protocol REF	Parameter Value [Amplification]	Parameter Value [Extracted product]	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Comment [Array Design URI]	Protocol REF	Factor Value [dose]	Unit [ConcentrationUnit]	Factor Value [compound]	Term Source REF	Term Accession Number	Factor Value [ecotype]	Factor Value [genotype]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
11_hy5	3	day	germination	gene_knock_out	EFO	EFO_0000506	hy5-215 mutant	Columbia	seedling	EFO	EFO_0001992	frozen_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Xing-Wang Deng lab (Ang et al, 1998, Mol. Cell 1, 213-222)	P-MEXP-22776	1	6	21	Murshig and Skoog medium	  	11_hy5	P-MEXP-22778	none	total RNA	E_11_hy5	total_RNA	P-AFFY-2	L_11_hy5	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_11_hy5	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	  	  	none	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16411	Columbia	hy5-215 mutant	H_11_hy5	11_hy5.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-715/E-MEXP-715.raw.1.zip	P-MEXP-29361	MIAMEnormalizeddata._txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-715/E-MEXP-715.processed.1.zip
12_hy5	3	day	germination	gene_knock_out	EFO	EFO_0000506	hy5-215 mutant	Columbia	seedling	EFO	EFO_0001992	frozen_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Xing-Wang Deng lab (Ang et al, 1998, Mol. Cell 1, 213-222)	P-MEXP-22776	1	6	21	Murshig and Skoog medium	  	12_hy5	P-MEXP-22778	none	total RNA	E_12_hy5	total_RNA	P-AFFY-2	L_12_hy5	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_12_hy5	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	  	  	none	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16411	Columbia	hy5-215 mutant	H_12_hy5	12_hy5.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-715/E-MEXP-715.raw.1.zip	P-MEXP-29361	MIAMEnormalizeddata._txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-715/E-MEXP-715.processed.1.zip
3_wt	3	day	germination	gene_knock_out	EFO	EFO_0000506	wild type	Columbia	seedling	EFO	EFO_0001992	frozen_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Hardtke lab	P-MEXP-22776	1	6	21	Murshig and Skoog medium	  	3_wt	P-MEXP-22778	none	total RNA	E_3_wt	total_RNA	P-AFFY-2	L_3_wt	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_3_wt	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	  	  	none	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16411	Columbia	wild type	H_3_wt	3_wt.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-715/E-MEXP-715.raw.1.zip	P-MEXP-29361	MIAMEnormalizeddata._txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-715/E-MEXP-715.processed.1.zip
4_wt	3	day	germination	gene_knock_out	EFO	EFO_0000506	wild type	Columbia	seedling	EFO	EFO_0001992	frozen_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Hardtke lab	P-MEXP-22776	1	6	21	Murshig and Skoog medium	  	4_wt	P-MEXP-22778	none	total RNA	E_4_wt	total_RNA	P-AFFY-2	L_4_wt	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_4_wt	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	  	  	none	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16411	Columbia	wild type	H_4_wt	4_wt.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-715/E-MEXP-715.raw.1.zip	P-MEXP-29361	MIAMEnormalizeddata._txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-715/E-MEXP-715.processed.1.zip
5_hy5hyh	3	day	germination	gene_knock_out	EFO	EFO_0000506	hy5 hyh double mutant	Wassilewskija	seedling	EFO	EFO_0001992	frozen_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Magnus Holm lab (Magnus Holm et al. 2002, Genes and Development)	P-MEXP-22776	1	6	21	Murshig and Skoog medium	  	5_hy5hyh	P-MEXP-22778	none	total RNA	E_5_hy5hyh	total_RNA	P-AFFY-2	L_5_hy5hyh	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_5_hy5hyh	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	  	  	none	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16411	Wassilewskija	hy5 hyh double mutant	H_5_hy5hyh	5_hy5hyh.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-715/E-MEXP-715.raw.1.zip	P-MEXP-29361	MIAMEnormalizeddata._txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-715/E-MEXP-715.processed.1.zip
6_hy5hyh	3	day	germination	gene_knock_out	EFO	EFO_0000506	hy5 hyh double mutant	Wassilewskija	seedling	EFO	EFO_0001992	frozen_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Magnus Holm lab (Magnus Holm et al. 2002, Genes and Development)	P-MEXP-22776	1	6	21	Murshig and Skoog medium	  	6_hy5hyh	P-MEXP-22778	none	total RNA	E_6_hy5hyh	total_RNA	P-AFFY-2	L_6_hy5hyh	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_6_hy5hyh	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	  	  	none	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16411	Wassilewskija	hy5 hyh double mutant	H_6_hy5hyh	6_hy5hyh.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-715/E-MEXP-715.raw.1.zip	P-MEXP-29361	MIAMEnormalizeddata._txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-715/E-MEXP-715.processed.1.zip
8_hyh	3	day	germination	gene_knock_out	EFO	EFO_0000506	hyh mutant	Wassilewskija	seedling	EFO	EFO_0001992	frozen_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Magnus Holm lab (Magnus Holm et al. 2002, Genes and Development)	P-MEXP-22776	1	6	21	Murshig and Skoog medium	  	8_hyh	P-MEXP-22778	none	total RNA	E_8_hyh	total_RNA	P-AFFY-2	L_8_hyh	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_8_hyh	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	  	  	none	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16411	Wassilewskija	hyh mutant	H_8_hyh	8_hyh.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-715/E-MEXP-715.raw.1.zip	P-MEXP-29361	MIAMEnormalizeddata._txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-715/E-MEXP-715.processed.1.zip
9_hyh	3	day	germination	gene_knock_out	EFO	EFO_0000506	hyh mutant	Wassilewskija	seedling	EFO	EFO_0001992	frozen_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Magnus Holm lab (Magnus Holm et al. 2002, Genes and Development)	P-MEXP-22776	1	6	21	Murshig and Skoog medium	  	9_hyh	P-MEXP-22778	none	total RNA	E_9_hyh	total_RNA	P-AFFY-2	L_9_hyh	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_9_hyh	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	  	  	none	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16411	Wassilewskija	hyh mutant	H_9_hyh	9_hyh.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-715/E-MEXP-715.raw.1.zip	P-MEXP-29361	MIAMEnormalizeddata._txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-715/E-MEXP-715.processed.1.zip
auxin11_hyh	3	day	germination	gene_knock_out	EFO	EFO_0000506	hyh mutant	Wassilewskija	seedling	EFO	EFO_0001992	frozen_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Magnus Holm lab (Magnus Holm et al. 2002, Genes and Development)	P-MEXP-22776	1	6	21	Murshig and Skoog medium	P-MEXP-22777	auxin11_hyh	P-MEXP-22778	none	total RNA	E_auxin11_hyh	total_RNA	P-AFFY-2	L_auxin11_hyh	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_auxin11_hyh	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	10	micromolar	indole-3-acetic acid	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16411	Wassilewskija	hyh mutant	H_auxin11_hyh	auxin11_hyh.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-715/E-MEXP-715.raw.1.zip	P-MEXP-29361	MIAMEnormalizeddata._txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-715/E-MEXP-715.processed.1.zip
auxin12_hyh	3	day	germination	gene_knock_out	EFO	EFO_0000506	hyh mutant	Wassilewskija	seedling	EFO	EFO_0001992	frozen_sample	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Magnus Holm lab (Magnus Holm et al. 2002, Genes and Development)	P-MEXP-22776	1	6	21	Murshig and Skoog medium	P-MEXP-22777	auxin12_hyh	P-MEXP-22778	none	total RNA	E_auxin12_hyh	total_RNA	P-AFFY-2	L_auxin12_hyh	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	H_auxin12_hyh	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	10	micromolar	indole-3-acetic acid	EFO	http://www.ebi.ac.uk/chebi/searchId.do;?chebiId=CHEBI:16411	Wassilewskija	hyh mutant	H_auxin12_hyh	auxin12_hyh.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-715/E-MEXP-715.raw.1.zip	P-MEXP-29361	MIAMEnormalizeddata._txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-715/E-MEXP-715.processed.1.zip
