Source Name	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [age]	Unit [time unit]	Characteristics [developmental stage]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [ecotype]	Characteristics [genotype]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [compound]
GSM977834 1	10 day old seedlings	ActD+Mock(-) ire1a/ire1b rep3	10	day	seedling	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	ire1a ire1b mutant	P-GSE39690-2	ArrayExpress	P-GSE39690-3	ArrayExpress	P-GSE39690-4	ArrayExpress	GSM977834 extract 1	total RNA	P-GSE39690-5	ArrayExpress	GSM977834 LE 1	biotin	P-GSE39690-6	ArrayExpress	GSM977834	A-AFFY-2	ArrayExpress	array assay	P-GSE39690-7	ArrayExpress	P-GSE39690-8	ArrayExpress	GSM977834_YS250.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39690/E-GEOD-39690.raw.1.zip	P-GSE39690-1	ArrayExpress	GSM977834_sample_table.txt norm	GSM977834_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39690/E-GEOD-39690.processed.1.zip	ire1a ire1b mutant	mock
GSM977830 1	10 day old seedlings	ActD+Mock(-) ire1a/ire1b rep2	10	day	seedling	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	ire1a ire1b mutant	P-GSE39690-2	ArrayExpress	P-GSE39690-3	ArrayExpress	P-GSE39690-4	ArrayExpress	GSM977830 extract 1	total RNA	P-GSE39690-5	ArrayExpress	GSM977830 LE 1	biotin	P-GSE39690-6	ArrayExpress	GSM977830	A-AFFY-2	ArrayExpress	array assay	P-GSE39690-7	ArrayExpress	P-GSE39690-8	ArrayExpress	GSM977830_YS246.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39690/E-GEOD-39690.raw.1.zip	P-GSE39690-1	ArrayExpress	GSM977830_sample_table.txt norm	GSM977830_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39690/E-GEOD-39690.processed.1.zip	ire1a ire1b mutant	mock
GSM977826 1	10 day old seedlings	ActD+Mock(-) ire1a/ire1b rep1	10	day	seedling	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	ire1a ire1b mutant	P-GSE39690-2	ArrayExpress	P-GSE39690-3	ArrayExpress	P-GSE39690-4	ArrayExpress	GSM977826 extract 1	total RNA	P-GSE39690-5	ArrayExpress	GSM977826 LE 1	biotin	P-GSE39690-6	ArrayExpress	GSM977826	A-AFFY-2	ArrayExpress	array assay	P-GSE39690-7	ArrayExpress	P-GSE39690-8	ArrayExpress	GSM977826_YS242.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39690/E-GEOD-39690.raw.1.zip	P-GSE39690-1	ArrayExpress	GSM977826_sample_table.txt norm	GSM977826_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39690/E-GEOD-39690.processed.1.zip	ire1a ire1b mutant	mock
GSM977835 1	10 day old seedlings	ActD+Tm(+) ire1a/ire1b rep3	10	day	seedling	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	ire1a ire1b mutant	P-GSE39690-2	ArrayExpress	P-GSE39690-3	ArrayExpress	P-GSE39690-4	ArrayExpress	GSM977835 extract 1	total RNA	P-GSE39690-5	ArrayExpress	GSM977835 LE 1	biotin	P-GSE39690-6	ArrayExpress	GSM977835	A-AFFY-2	ArrayExpress	array assay	P-GSE39690-7	ArrayExpress	P-GSE39690-8	ArrayExpress	GSM977835_YS251.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39690/E-GEOD-39690.raw.1.zip	P-GSE39690-1	ArrayExpress	GSM977835_sample_table.txt norm	GSM977835_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39690/E-GEOD-39690.processed.1.zip	ire1a ire1b mutant	tunicamycin
GSM977831 1	10 day old seedlings	ActD+Tm(+) ire1a/ire1b rep2	10	day	seedling	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	ire1a ire1b mutant	P-GSE39690-2	ArrayExpress	P-GSE39690-3	ArrayExpress	P-GSE39690-4	ArrayExpress	GSM977831 extract 1	total RNA	P-GSE39690-5	ArrayExpress	GSM977831 LE 1	biotin	P-GSE39690-6	ArrayExpress	GSM977831	A-AFFY-2	ArrayExpress	array assay	P-GSE39690-7	ArrayExpress	P-GSE39690-8	ArrayExpress	GSM977831_YS247.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39690/E-GEOD-39690.raw.1.zip	P-GSE39690-1	ArrayExpress	GSM977831_sample_table.txt norm	GSM977831_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39690/E-GEOD-39690.processed.1.zip	ire1a ire1b mutant	tunicamycin
GSM977827 1	10 day old seedlings	ActD+Tm(+) ire1a/ire1b rep1	10	day	seedling	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	ire1a ire1b mutant	P-GSE39690-2	ArrayExpress	P-GSE39690-3	ArrayExpress	P-GSE39690-4	ArrayExpress	GSM977827 extract 1	total RNA	P-GSE39690-5	ArrayExpress	GSM977827 LE 1	biotin	P-GSE39690-6	ArrayExpress	GSM977827	A-AFFY-2	ArrayExpress	array assay	P-GSE39690-7	ArrayExpress	P-GSE39690-8	ArrayExpress	GSM977827_YS243.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39690/E-GEOD-39690.raw.1.zip	P-GSE39690-1	ArrayExpress	GSM977827_sample_table.txt norm	GSM977827_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39690/E-GEOD-39690.processed.1.zip	ire1a ire1b mutant	tunicamycin
GSM977832 1	10 day old seedlings	ActD+Mock(-) WT rep3	10	day	seedling	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	wild type	P-GSE39690-2	ArrayExpress	P-GSE39690-3	ArrayExpress	P-GSE39690-4	ArrayExpress	GSM977832 extract 1	total RNA	P-GSE39690-5	ArrayExpress	GSM977832 LE 1	biotin	P-GSE39690-6	ArrayExpress	GSM977832	A-AFFY-2	ArrayExpress	array assay	P-GSE39690-7	ArrayExpress	P-GSE39690-8	ArrayExpress	GSM977832_YS248.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39690/E-GEOD-39690.raw.1.zip	P-GSE39690-1	ArrayExpress	GSM977832_sample_table.txt norm	GSM977832_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39690/E-GEOD-39690.processed.1.zip	wild type	mock
GSM977828 1	10 day old seedlings	ActD+Mock(-) WT rep2	10	day	seedling	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	wild type	P-GSE39690-2	ArrayExpress	P-GSE39690-3	ArrayExpress	P-GSE39690-4	ArrayExpress	GSM977828 extract 1	total RNA	P-GSE39690-5	ArrayExpress	GSM977828 LE 1	biotin	P-GSE39690-6	ArrayExpress	GSM977828	A-AFFY-2	ArrayExpress	array assay	P-GSE39690-7	ArrayExpress	P-GSE39690-8	ArrayExpress	GSM977828_YS244.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39690/E-GEOD-39690.raw.1.zip	P-GSE39690-1	ArrayExpress	GSM977828_sample_table.txt norm	GSM977828_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39690/E-GEOD-39690.processed.1.zip	wild type	mock
GSM977824 1	10 day old seedlings	ActD+Mock(-) WT rep1	10	day	seedling	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	wild type	P-GSE39690-2	ArrayExpress	P-GSE39690-3	ArrayExpress	P-GSE39690-4	ArrayExpress	GSM977824 extract 1	total RNA	P-GSE39690-5	ArrayExpress	GSM977824 LE 1	biotin	P-GSE39690-6	ArrayExpress	GSM977824	A-AFFY-2	ArrayExpress	array assay	P-GSE39690-7	ArrayExpress	P-GSE39690-8	ArrayExpress	GSM977824_YS240.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39690/E-GEOD-39690.raw.1.zip	P-GSE39690-1	ArrayExpress	GSM977824_sample_table.txt norm	GSM977824_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39690/E-GEOD-39690.processed.1.zip	wild type	mock
GSM977833 1	10 day old seedlings	ActD+Tm(+) WT rep3	10	day	seedling	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Col-0	wild type	P-GSE39690-2	ArrayExpress	P-GSE39690-3	ArrayExpress	P-GSE39690-4	ArrayExpress	GSM977833 extract 1	total RNA	P-GSE39690-5	ArrayExpress	GSM977833 LE 1	biotin	P-GSE39690-6	ArrayExpress	GSM977833	A-AFFY-2	ArrayExpress	array assay	P-GSE39690-7	ArrayExpress	P-GSE39690-8	ArrayExpress	GSM977833_YS249.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39690/E-GEOD-39690.raw.1.zip	P-GSE39690-1	ArrayExpress	GSM977833_sample_table.txt norm	GSM977833_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39690/E-GEOD-39690.processed.1.zip	wild type	tunicamycin
