Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[RNA]	Characteristics[age]	Unit [time unit]	Characteristics[developmental stage]	Characteristics[organism part]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [RNA]	FactorValue [time]	Unit [time unit]	FactorValue [treatment]
GSM735255 1	4-day etiolated seedling with white-light treatment for 4 h	etiolated Col-0, biological rep3	L4h_mRNA_PL_rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	polysome-bound RNA	4	day	seedling	aerial part	P-GSE29657-3	P-GSE29657-2	P-GSE29657-4	GSM735255 extract 1	total RNA	P-GSE29657-5	GSM735255 LE 1	biotin	P-GSE29657-6	GSM735255	A-AFFY-2	  	P-GSE29657-7	P-GSE29657-8	GSM735255.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29657/E-GEOD-29657.raw.1.zip	P-GSE29657-1	GSM735255_sample_table.txt norm	GSM735255_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29657/E-GEOD-29657.processed.1.zip	polysome-bound RNA	4	hour	white light
GSM735254 1	4-day etiolated seedling with white-light treatment for 4 h	etiolated Col-0, biological rep2	L4h_mRNA_PL_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	polysome-bound RNA	4	day	seedling	aerial part	P-GSE29657-3	P-GSE29657-2	P-GSE29657-4	GSM735254 extract 1	total RNA	P-GSE29657-5	GSM735254 LE 1	biotin	P-GSE29657-6	GSM735254	A-AFFY-2	  	P-GSE29657-7	P-GSE29657-8	GSM735254.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29657/E-GEOD-29657.raw.1.zip	P-GSE29657-1	GSM735254_sample_table.txt norm	GSM735254_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29657/E-GEOD-29657.processed.1.zip	polysome-bound RNA	4	hour	white light
GSM735253 1	4-day etiolated seedling with white-light treatment for 4 h	etiolated Col-0, biological rep1	L4h_mRNA_PL_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	polysome-bound RNA	4	day	seedling	aerial part	P-GSE29657-3	P-GSE29657-2	P-GSE29657-4	GSM735253 extract 1	total RNA	P-GSE29657-5	GSM735253 LE 1	biotin	P-GSE29657-6	GSM735253	A-AFFY-2	  	P-GSE29657-7	P-GSE29657-8	GSM735253.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29657/E-GEOD-29657.raw.1.zip	P-GSE29657-1	GSM735253_sample_table.txt norm	GSM735253_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29657/E-GEOD-29657.processed.1.zip	polysome-bound RNA	4	hour	white light
GSM735252 1	4-day etiolated seedling with white-light treatment for 4 h	etiolated Col-0, biological rep3	L4h_mRNA_SS_rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	steady-state RNA	4	day	seedling	aerial part	P-GSE29657-3	P-GSE29657-2	P-GSE29657-4	GSM735252 extract 1	total RNA	P-GSE29657-5	GSM735252 LE 1	biotin	P-GSE29657-6	GSM735252	A-AFFY-2	  	P-GSE29657-7	P-GSE29657-8	GSM735252.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29657/E-GEOD-29657.raw.1.zip	P-GSE29657-1	GSM735252_sample_table.txt norm	GSM735252_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29657/E-GEOD-29657.processed.1.zip	steady-state RNA	4	hour	white light
GSM735251 1	4-day etiolated seedling with white-light treatment for 4 h	etiolated Col-0, biological rep2	L4h_mRNA_SS_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	steady-state RNA	4	day	seedling	aerial part	P-GSE29657-3	P-GSE29657-2	P-GSE29657-4	GSM735251 extract 1	total RNA	P-GSE29657-5	GSM735251 LE 1	biotin	P-GSE29657-6	GSM735251	A-AFFY-2	  	P-GSE29657-7	P-GSE29657-8	GSM735251.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29657/E-GEOD-29657.raw.1.zip	P-GSE29657-1	GSM735251_sample_table.txt norm	GSM735251_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29657/E-GEOD-29657.processed.1.zip	steady-state RNA	4	hour	white light
GSM735250 1	4-day etiolated seedling with white-light treatment for 4 h	etiolated Col-0, biological rep1	L4h_mRNA_SS_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	steady-state RNA	4	day	seedling	aerial part	P-GSE29657-3	P-GSE29657-2	P-GSE29657-4	GSM735250 extract 1	total RNA	P-GSE29657-5	GSM735250 LE 1	biotin	P-GSE29657-6	GSM735250	A-AFFY-2	  	P-GSE29657-7	P-GSE29657-8	GSM735250.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29657/E-GEOD-29657.raw.1.zip	P-GSE29657-1	GSM735250_sample_table.txt norm	GSM735250_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29657/E-GEOD-29657.processed.1.zip	steady-state RNA	4	hour	white light
GSM735249 1	4-day etiolated seedling with white-light treatment for 0.5 h	etiolated Col-0, biological rep3	L0.5h_mRNA_PL_rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	polysome-bound RNA	4	day	seedling	aerial part	P-GSE29657-3	P-GSE29657-2	P-GSE29657-4	GSM735249 extract 1	total RNA	P-GSE29657-5	GSM735249 LE 1	biotin	P-GSE29657-6	GSM735249	A-AFFY-2	  	P-GSE29657-7	P-GSE29657-8	GSM735249.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29657/E-GEOD-29657.raw.1.zip	P-GSE29657-1	GSM735249_sample_table.txt norm	GSM735249_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29657/E-GEOD-29657.processed.1.zip	polysome-bound RNA	0.5	hour	white light
GSM735248 1	4-day etiolated seedling with white-light treatment for 0.5 h	etiolated Col-0, biological rep2	L0.5h_mRNA_PL_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	polysome-bound RNA	4	day	seedling	aerial part	P-GSE29657-3	P-GSE29657-2	P-GSE29657-4	GSM735248 extract 1	total RNA	P-GSE29657-5	GSM735248 LE 1	biotin	P-GSE29657-6	GSM735248	A-AFFY-2	  	P-GSE29657-7	P-GSE29657-8	GSM735248.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29657/E-GEOD-29657.raw.1.zip	P-GSE29657-1	GSM735248_sample_table.txt norm	GSM735248_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29657/E-GEOD-29657.processed.1.zip	polysome-bound RNA	0.5	hour	white light
GSM735247 1	4-day etiolated seedling with white-light treatment for 0.5 h	etiolated Col-0, biological rep1	L0.5h_mRNA_PL_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	polysome-bound RNA	4	day	seedling	aerial part	P-GSE29657-3	P-GSE29657-2	P-GSE29657-4	GSM735247 extract 1	total RNA	P-GSE29657-5	GSM735247 LE 1	biotin	P-GSE29657-6	GSM735247	A-AFFY-2	  	P-GSE29657-7	P-GSE29657-8	GSM735247.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29657/E-GEOD-29657.raw.1.zip	P-GSE29657-1	GSM735247_sample_table.txt norm	GSM735247_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29657/E-GEOD-29657.processed.1.zip	polysome-bound RNA	0.5	hour	white light
GSM735246 1	4-day etiolated seedling with white-light treatment for 0.5 h	etiolated Col-0, biological rep3	L0.5h_mRNA_SS_rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	steady-state RNA	4	day	seedling	aerial part	P-GSE29657-3	P-GSE29657-2	P-GSE29657-4	GSM735246 extract 1	total RNA	P-GSE29657-5	GSM735246 LE 1	biotin	P-GSE29657-6	GSM735246	A-AFFY-2	  	P-GSE29657-7	P-GSE29657-8	GSM735246.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29657/E-GEOD-29657.raw.1.zip	P-GSE29657-1	GSM735246_sample_table.txt norm	GSM735246_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-29657/E-GEOD-29657.processed.1.zip	steady-state RNA	0.5	hour	white light
