Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[age]	Characteristics[genotype]	Characteristics[organism part]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]
GSM604647 1	Gene expression data from 7 day old seedlings treated with the chloroplast biogenesis inhibitor lincomycin (+Lin) 24h after a fluence rate shift from 0.5 to 60 µmol m-2 s-9	Arabidopsis seedlings, treated with lincomycin, 24h after the fluence shift	seedling 24h light, (+Lin), rep4	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 days old	Col-0	seedling	EFO	EFO_0001992	P-GSE24517-2	P-GSE24517-3	P-GSE24517-4	GSM604647 extract 1	total RNA	P-GSE24517-5	GSM604647 LE 1	biotin	P-GSE24517-6	GSM604647	A-AFFY-2	  	P-GSE24517-7	P-GSE24517-8	GSM604647_Light_24h_+LIN_4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24517/E-GEOD-24517.raw.1.zip	P-GSE24517-1	GSM604647_sample_table.txt norm	GSM604647_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24517/E-GEOD-24517.processed.1.zip
GSM604646 1	Gene expression data from 7 day old seedlings treated with the chloroplast biogenesis inhibitor lincomycin (+Lin) 24h after a fluence rate shift from 0.5 to 60 µmol m-2 s-8	Arabidopsis seedlings, treated with lincomycin, 24h after the fluence shift	seedling 24h light, (+Lin), rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 days old	Col-0	seedling	EFO	EFO_0001992	P-GSE24517-2	P-GSE24517-3	P-GSE24517-4	GSM604646 extract 1	total RNA	P-GSE24517-5	GSM604646 LE 1	biotin	P-GSE24517-6	GSM604646	A-AFFY-2	  	P-GSE24517-7	P-GSE24517-8	GSM604646_Light_24h_+LIN_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24517/E-GEOD-24517.raw.1.zip	P-GSE24517-1	GSM604646_sample_table.txt norm	GSM604646_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24517/E-GEOD-24517.processed.1.zip
GSM604645 1	Gene expression data from 7 day old seedlings treated with the chloroplast biogenesis inhibitor lincomycin (+Lin) 24h after a fluence rate shift from 0.5 to 60 µmol m-2 s-7	Arabidopsis seedlings, treated with lincomycin, 24h after the fluence shift	seedling 24h light, (+Lin), rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 days old	Col-0	seedling	EFO	EFO_0001992	P-GSE24517-2	P-GSE24517-3	P-GSE24517-4	GSM604645 extract 1	total RNA	P-GSE24517-5	GSM604645 LE 1	biotin	P-GSE24517-6	GSM604645	A-AFFY-2	  	P-GSE24517-7	P-GSE24517-8	GSM604645_Light_24h_+LIN_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24517/E-GEOD-24517.raw.1.zip	P-GSE24517-1	GSM604645_sample_table.txt norm	GSM604645_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24517/E-GEOD-24517.processed.1.zip
GSM604644 1	Gene expression data from 7 day old seedlings treated with the chloroplast biogenesis inhibitor lincomycin (+Lin) 24h after a fluence rate shift from 0.5 to 60 µmol m-2 s-6	Arabidopsis seedlings, treated with lincomycin, 24h after the fluence shift	seedling 24h light, (+Lin), rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 days old	Col-0	seedling	EFO	EFO_0001992	P-GSE24517-2	P-GSE24517-3	P-GSE24517-4	GSM604644 extract 1	total RNA	P-GSE24517-5	GSM604644 LE 1	biotin	P-GSE24517-6	GSM604644	A-AFFY-2	  	P-GSE24517-7	P-GSE24517-8	GSM604644_Light_24h_+LIN_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24517/E-GEOD-24517.raw.1.zip	P-GSE24517-1	GSM604644_sample_table.txt norm	GSM604644_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24517/E-GEOD-24517.processed.1.zip
GSM604643 1	Gene expression data from 7 day old seedlings treated with the chloroplast biogenesis inhibitor lincomycin (+Lin) 4h after a fluence rate shift from 0.5 to 60 µmol m-2 s-9	Arabidopsis seedlings, treated with lincomycin, 4h after the fluence shift	seedling 4h light, (+Lin), rep4	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 days old	Col-0	seedling	EFO	EFO_0001992	P-GSE24517-2	P-GSE24517-3	P-GSE24517-4	GSM604643 extract 1	total RNA	P-GSE24517-5	GSM604643 LE 1	biotin	P-GSE24517-6	GSM604643	A-AFFY-2	  	P-GSE24517-7	P-GSE24517-8	GSM604643_Light_4h_+LIN_4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24517/E-GEOD-24517.raw.1.zip	P-GSE24517-1	GSM604643_sample_table.txt norm	GSM604643_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24517/E-GEOD-24517.processed.1.zip
GSM604642 1	Gene expression data from 7 day old seedlings treated with the chloroplast biogenesis inhibitor lincomycin (+Lin) 4h after a fluence rate shift from 0.5 to 60 µmol m-2 s-8	Arabidopsis seedlings, treated with lincomycin, 4h after the fluence shift	seedling 4h light, (+Lin), rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 days old	Col-0	seedling	EFO	EFO_0001992	P-GSE24517-2	P-GSE24517-3	P-GSE24517-4	GSM604642 extract 1	total RNA	P-GSE24517-5	GSM604642 LE 1	biotin	P-GSE24517-6	GSM604642	A-AFFY-2	  	P-GSE24517-7	P-GSE24517-8	GSM604642_Light_4h_+LIN_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24517/E-GEOD-24517.raw.1.zip	P-GSE24517-1	GSM604642_sample_table.txt norm	GSM604642_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24517/E-GEOD-24517.processed.1.zip
GSM604641 1	Gene expression data from 7 day old seedlings treated with the chloroplast biogenesis inhibitor lincomycin (+Lin) 4h after a fluence rate shift from 0.5 to 60 µmol m-2 s-7	Arabidopsis seedlings, treated with lincomycin, 4h after the fluence shift	seedling 4h light, (+Lin), rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 days old	Col-0	seedling	EFO	EFO_0001992	P-GSE24517-2	P-GSE24517-3	P-GSE24517-4	GSM604641 extract 1	total RNA	P-GSE24517-5	GSM604641 LE 1	biotin	P-GSE24517-6	GSM604641	A-AFFY-2	  	P-GSE24517-7	P-GSE24517-8	GSM604641_Light_4h_+LIN_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24517/E-GEOD-24517.raw.1.zip	P-GSE24517-1	GSM604641_sample_table.txt norm	GSM604641_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24517/E-GEOD-24517.processed.1.zip
GSM604640 1	Gene expression data from 7 day old seedlings treated with the chloroplast biogenesis inhibitor lincomycin (+Lin) 4h after a fluence rate shift from 0.5 to 60 µmol m-2 s-6	Arabidopsis seedlings, treated with lincomycin, 4h after the fluence shift	seedling 4h light, (+Lin), rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 days old	Col-0	seedling	EFO	EFO_0001992	P-GSE24517-2	P-GSE24517-3	P-GSE24517-4	GSM604640 extract 1	total RNA	P-GSE24517-5	GSM604640 LE 1	biotin	P-GSE24517-6	GSM604640	A-AFFY-2	  	P-GSE24517-7	P-GSE24517-8	GSM604640_Light_4h_+LIN_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24517/E-GEOD-24517.raw.1.zip	P-GSE24517-1	GSM604640_sample_table.txt norm	GSM604640_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24517/E-GEOD-24517.processed.1.zip
GSM604639 1	Gene expression data from 7 day old seedlings treated with the chloroplast biogenesis inhibitor lincomycin (+Lin) before (0 h) a fluence rate shift from 0.5 to 60 µmol m-2 s-4	Arabidopsis seedlings, treated with lincomycin, before the fluence shift	seedling 0h light, (+Lin), rep8	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 days old	Col-0	seedling	EFO	EFO_0001992	P-GSE24517-2	P-GSE24517-3	P-GSE24517-4	GSM604639 extract 1	total RNA	P-GSE24517-5	GSM604639 LE 1	biotin	P-GSE24517-6	GSM604639	A-AFFY-2	  	P-GSE24517-7	P-GSE24517-8	GSM604639_Light_0h_+LIN_8.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24517/E-GEOD-24517.raw.1.zip	P-GSE24517-1	GSM604639_sample_table.txt norm	GSM604639_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24517/E-GEOD-24517.processed.1.zip
GSM604638 1	Gene expression data from 7 day old seedlings treated with the chloroplast biogenesis inhibitor lincomycin (+Lin) before (0 h) a fluence rate shift from 0.5 to 60 µmol m-2 s-3	Arabidopsis seedlings, treated with lincomycin, before the fluence shift	seedling 0h light, (+Lin), rep7	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 days old	Col-0	seedling	EFO	EFO_0001992	P-GSE24517-2	P-GSE24517-3	P-GSE24517-4	GSM604638 extract 1	total RNA	P-GSE24517-5	GSM604638 LE 1	biotin	P-GSE24517-6	GSM604638	A-AFFY-2	  	P-GSE24517-7	P-GSE24517-8	GSM604638_Light_0h_+LIN_7.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24517/E-GEOD-24517.raw.1.zip	P-GSE24517-1	GSM604638_sample_table.txt norm	GSM604638_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24517/E-GEOD-24517.processed.1.zip
