Source Name	Characteristics [Organism]	Protocol REF	Parameter Value [Medium]	Parameter Value [Temperature]	Parameter Value [Lighting]	Parameter Value [location]	Sample Name	Characteristics [OrganismPart]	Characteristics [OrganismPa]	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Material Type	Protocol REF	Hybridization Name	Array Design REF	Comment [Array Design URI]	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
Capper_1-2_A3+water_Rep1_ATH1	Arabidopsis thaliana	NASC:GrowthProtocol:1514	Murashige and Skoog	21	16hrs light 8hrs dark	Growth Room	1590660042	Total plant	Total plant	NASC:ExtractProtocol:1	1590659891	total_RNA	NASC:LabellingProtocol	Capper_1-2_A3+water_Rep1_ATH1	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASC:PhysicalBioAssay:1618:BAC	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	Capper_1-2_A3+water_Rep1_ATH1	external-data-4.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-65/E-NASC-65.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-65-processed-data-1590661111.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-65/E-NASC-65.processed.1.zip
Capper_1-10_E6+water_Rep1_ATH1	Arabidopsis thaliana	NASC:GrowthProtocol:1522	Murashige and Skoog	21	16hrs light 8hrs dark	Growth Room	1590660154	Total plant	Total plant	NASC:ExtractProtocol:1	1590659995	total_RNA	NASC:LabellingProtocol	Capper_1-10_E6+water_Rep1_ATH1	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASC:PhysicalBioAssay:1626:BAC	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	Capper_1-10_E6+water_Rep1_ATH1	external-data-20.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-65/E-NASC-65.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-65-processed-data-1590661111.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-65/E-NASC-65.processed.1.zip
Capper_1-8_D9+water_Rep1_ATH1	Arabidopsis thaliana	NASC:GrowthProtocol:1520	Murashige and Skoog	21	16hrs light 8hrs dark	Growth Room	1590660126	Total plant	Total plant	NASC:ExtractProtocol:1	1590659969	total_RNA	NASC:LabellingProtocol	Capper_1-8_D9+water_Rep1_ATH1	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASC:PhysicalBioAssay:1624:BAC	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	Capper_1-8_D9+water_Rep1_ATH1	external-data-16.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-65/E-NASC-65.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-65-processed-data-1590661111.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-65/E-NASC-65.processed.1.zip
Capper_1-4_B8+water_Rep1_ATH1	Arabidopsis thaliana	NASC:GrowthProtocol:1516	Murashige and Skoog	21	16hrs light 8hrs dark	Growth Room	1590660070	Total plant	Total plant	NASC:ExtractProtocol:1	1590659917	total_RNA	NASC:LabellingProtocol	Capper_1-4_B8+water_Rep1_ATH1	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASC:PhysicalBioAssay:1620:BAC	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	Capper_1-4_B8+water_Rep1_ATH1	external-data-8.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-65/E-NASC-65.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-65-processed-data-1590661111.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-65/E-NASC-65.processed.1.zip
Capper_1-6_C3+water_Rep1_ATH1	Arabidopsis thaliana	NASC:GrowthProtocol:1518	Murashige and Skoog	21	16hrs light 8hrs dark	Growth Room	1590660098	Total plant	Total plant	NASC:ExtractProtocol:1	1590659943	total_RNA	NASC:LabellingProtocol	Capper_1-6_C3+water_Rep1_ATH1	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASC:PhysicalBioAssay:1622:BAC	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	Capper_1-6_C3+estradiol_Rep1_ATH1	external-data-12.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-65/E-NASC-65.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-65-processed-data-1590661111.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-65/E-NASC-65.processed.1.zip
Capper_1-11_E10+estradiol_Rep1_ATH1	Arabidopsis thaliana	NASC:GrowthProtocol:1523	Murashige and Skoog	21	16hrs light 8hrs dark	Growth Room	1590660168	Total plant	Total plant	NASC:ExtractProtocol:1	1590660008	total_RNA	NASC:LabellingProtocol	Capper_1-11_E10+estradiol_Rep1_ATH1	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASC:PhysicalBioAssay:1627:BAC	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	Capper_1-11_E10+estradiol_Rep1_ATH1	external-data-22.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-65/E-NASC-65.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-65-processed-data-1590661111.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-65/E-NASC-65.processed.1.zip
Capper_1-1_A3+estradiol_Rep1_ATH1	Arabidopsis thaliana	NASC:GrowthProtocol:1513	Murashige and Skoog	21	16hrs light 8hrs dark	Growth Room	1590660028	Total plant	Total plant	NASC:ExtractProtocol:1	1590659878	total_RNA	NASC:LabellingProtocol	Capper_1-1_A3+estradiol_Rep1_ATH1	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASC:PhysicalBioAssay:1617:BAC	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	Capper_1-1_A3+estradiol_Rep1_ATH1	external-data-2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-65/E-NASC-65.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-65-processed-data-1590661111.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-65/E-NASC-65.processed.1.zip
Capper_1-9_E6+estradiol_Rep1_ATH1	Arabidopsis thaliana	NASC:GrowthProtocol:1521	Murashige and Skoog	21	16hrs light 8hrs dark	Growth Room	1590660140	Total plant	Total plant	NASC:ExtractProtocol:1	1590659982	total_RNA	NASC:LabellingProtocol	Capper_1-9_E6+estradiol_Rep1_ATH1	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASC:PhysicalBioAssay:1625:BAC	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	Capper_1-9_E6+estradiol_Rep1_ATH1	external-data-18.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-65/E-NASC-65.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-65-processed-data-1590661111.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-65/E-NASC-65.processed.1.zip
Capper_1-7_D9+estradiol_Rep1_ATH1	Arabidopsis thaliana	NASC:GrowthProtocol:1519	Murashige and Skoog	21	16hrs light 8hrs dark	Growth Room	1590660112	Total plant	Total plant	NASC:ExtractProtocol:1	1590659956	total_RNA	NASC:LabellingProtocol	Capper_1-7_D9+estradiol_Rep1_ATH1	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASC:PhysicalBioAssay:1623:BAC	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	Capper_1-7_D9+estradiol_Rep1_ATH1	external-data-14.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-65/E-NASC-65.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-65-processed-data-1590661111.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-65/E-NASC-65.processed.1.zip
Capper_1-3_B8+estradiol_Rep1_ATH1	Arabidopsis thaliana	NASC:GrowthProtocol:1515	Murashige and Skoog	21	16hrs light 8hrs dark	Growth Room	1590660056	Total plant	Total plant	NASC:ExtractProtocol:1	1590659904	total_RNA	NASC:LabellingProtocol	Capper_1-3_B8+estradiol_Rep1_ATH1	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASC:PhysicalBioAssay:1619:BAC	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	Capper_1-3_B8+estradiol_Rep1_ATH1	external-data-6.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-65/E-NASC-65.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-65-processed-data-1590661111.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-65/E-NASC-65.processed.1.zip
Capper_1-12_E10+water_Rep1_ATH1	Arabidopsis thaliana	NASC:GrowthProtocol:1524	Murashige and Skoog	21	16hrs light 8hrs dark	Growth Room	1590660182	Total plant	Total plant	NASC:ExtractProtocol:1	1590660021	total_RNA	NASC:LabellingProtocol	Capper_1-12_E10+water_Rep1_ATH1	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASC:PhysicalBioAssay:1628:BAC	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	Capper_1-12_E10+water_Rep1_ATH1	external-data-24.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-65/E-NASC-65.raw.2.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-65-processed-data-1590661111.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-65/E-NASC-65.processed.1.zip
