Source Name	Characteristics [organism]	Characteristics [age]	Unit[time unit]	Characteristics [initial time point]	Characteristics [developmental stage]	Characteristics [ecotype]	Characteristics [organism part]	Characteristics [cell line]	Description	Protocol REF	Parameter Value [stop time]	Parameter Value [start time]	Parameter Value [min temperature]	Parameter Value [max temperature]	Protocol REF	Sample Name	Protocol REF	Parameter Value [Amplification]	Parameter Value [Extracted product]	Protocol REF	Extract Name	Material Type	Protocol REF	Parameter Value [Amount of nucleic acid labeled]	Parameter Value [Label used]	Parameter Value [Amplification]	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[infect]	FactorValue[time]	Unit[time unit]
Arabidopsis thaliana__S:BioSource:MEXP:174706	Arabidopsis thaliana	24	day	planting	1.14 Boyes key	Columbia-0	root	NASC_N1093	  	P-MEXP-6891	37	24	20	22	  	Genome20020722_JSMP_03	P-MEXP-6893	none	total RNA	P-MEXP-7009	EXTRACT7606SUB1132	total_RNA	P-MEXP-6899	10	biotin	RNA polymerases	LABEL10675EXTRACT7606SUB1132	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	HYB:MEXP:7903	A-AFFY-2	P-AFFY-6	Genome20020722_JSMP_3	Genome20020722_JSMP_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-254/E-MEXP-254.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-254-processed-data-1342561315.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-254/E-MEXP-254.processed.1.zip	none	10	day
Arabidopsis thaliana__S:BioSource:MEXP:174704	Arabidopsis thaliana	24	day	planting	1.14 Boyes key	Columbia-0	root	NASC_N1093	  	P-MEXP-6891	37	24	20	22	  	Genome20020722_JSMP_01	P-MEXP-6893	none	total RNA	P-MEXP-7009	EXTRACT7604SUB1132	total_RNA	P-MEXP-6899	10	biotin	RNA polymerases	LABEL10676EXTRACT7604SUB1132	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	HYB:MEXP:7901	A-AFFY-2	P-AFFY-6	Genome20020722_JSMP_1	Genome20020722_JSMP_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-254/E-MEXP-254.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-254-processed-data-1342561315.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-254/E-MEXP-254.processed.1.zip	none	10	day
Arabidopsis thaliana__S:BioSource:MEXP:174705	Arabidopsis thaliana	24	day	planting	1.14 Boyes key	Columbia-0	root	NASC_N1093	  	P-MEXP-6891	37	24	20	22	  	Genome20020722_JSMP_02	P-MEXP-6893	none	total RNA	P-MEXP-7009	EXTRACT7605SUB1132	total_RNA	P-MEXP-6899	10	biotin	RNA polymerases	LABEL10677EXTRACT7605SUB1132	biotin	total_RNA	P-MEXP-6907	HYB:MEXP:7902	A-AFFY-2	P-AFFY-6	Genome20020722_JSMP_2	Genome20020722_JSMP_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-254/E-MEXP-254.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-254-processed-data-1342561315.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-254/E-MEXP-254.processed.1.zip	none	10	day
Arabidopsis thaliana__S:BioSource:MEXP:174711	Arabidopsis thaliana	24	day	planting	1.14 Boyes key	Columbia-0	root	NASC_N1093	"10 days after inoculation, root morphology was not changed, but root system was slightly reduced due to infection compared to control plants"	P-MEXP-6891	37	24	20	22	P-MEXP-7010	Genome20020722_JSMP_08	P-MEXP-6893	none	total RNA	P-MEXP-7009	EXTRACT7611SUB1132	total_RNA	P-MEXP-6899	10	biotin	RNA polymerases	LABEL10665EXTRACT7611SUB1132	biotin	total_RNA	P-MEXP-6907	HYB:MEXP:7908	A-AFFY-2	P-AFFY-6	Genome20020722_JSMP_8	Genome20020722_JSMP_8.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-254/E-MEXP-254.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-254-processed-data-1342561315.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-254/E-MEXP-254.processed.1.zip	Plasmodiophora brassicae	10	day
Arabidopsis thaliana__S:BioSource:MEXP:174712	Arabidopsis thaliana	24	day	planting	1.14 Boyes key	Columbia-0	root	NASC_N1093	"10 days after inoculation, root morphology was not changed, but root system was slightly reduced due to infection compared to control plants"	P-MEXP-6891	37	24	20	22	P-MEXP-7010	Genome20020722_JSMP_09	P-MEXP-6893	none	total RNA	P-MEXP-7009	EXTRACT7612SUB1132	total_RNA	P-MEXP-6899	10	biotin	RNA polymerases	LABEL10666EXTRACT7612SUB1132	biotin	total_RNA	P-MEXP-6907	HYB:MEXP:7909	A-AFFY-2	P-AFFY-6	Genome20020722_JSMP_9	Genome20020722_JSMP_9.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-254/E-MEXP-254.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-254-processed-data-1342561315.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-254/E-MEXP-254.processed.1.zip	Plasmodiophora brassicae	10	day
Arabidopsis thaliana__S:BioSource:MEXP:174710	Arabidopsis thaliana	24	day	planting	1.14 Boyes key	Columbia-0	root	NASC_N1093	"10 days after inoculation, root morphology was not changed, but root system was slightly reduced due to infection compared to control plants"	P-MEXP-6891	37	24	20	22	P-MEXP-7010	Genome20020722_JSMP_07	P-MEXP-6893	none	total RNA	P-MEXP-7009	EXTRACT7610SUB1132	total_RNA	P-MEXP-6899	10	biotin	RNA polymerases	LABEL10664EXTRACT7610SUB1132	biotin	total_RNA	P-MEXP-6907	HYB:MEXP:7907	A-AFFY-2	P-AFFY-6	Genome20020722_JSMP_7	Genome20020722_JSMP_7.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-254/E-MEXP-254.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-254-processed-data-1342561315.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-254/E-MEXP-254.processed.1.zip	Plasmodiophora brassicae	10	day
Arabidopsis thaliana	Arabidopsis thaliana	37	day	planting	6.30 Boyes key	Columbia-0	root	NASC_N1093	  	P-MEXP-6891	37	24	20	22	  	Genome20020722_JSMP_06	P-MEXP-6893	none	total RNA	P-MEXP-7009	EXTRACT7609SUB1132	total_RNA	P-MEXP-6899	10	biotin	RNA polymerases	LABEL10663EXTRACT7609SUB1132	biotin	total_RNA	P-MEXP-6907	HYB:MEXP:7906	A-AFFY-2	P-AFFY-6	Genome20020722_JSMP_6	Genome20020722_JSMP_6.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-254/E-MEXP-254.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-254-processed-data-1342561315.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-254/E-MEXP-254.processed.1.zip	none	23	day
Arabidopsis thaliana__S:BioSource:MEXP:174708	Arabidopsis thaliana	37	day	planting	6.30 Boyes key	Columbia-0	root	NASC_N1093	  	P-MEXP-6891	37	24	20	22	  	Genome20020722_JSMP_05	P-MEXP-6893	none	total RNA	P-MEXP-7009	EXTRACT7608SUB1132	total_RNA	P-MEXP-6899	10	biotin	RNA polymerases	LABEL10662EXTRACT7608SUB1132	biotin	total_RNA	P-MEXP-6907	HYB:MEXP:7905	A-AFFY-2	P-AFFY-6	Genome20020722_JSMP_5	Genome20020722_JSMP_5.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-254/E-MEXP-254.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-254-processed-data-1342561315.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-254/E-MEXP-254.processed.1.zip	none	23	day
Arabidopsis thaliana__S:BioSource:MEXP:174707	Arabidopsis thaliana	37	day	planting	6.30 Boyes key	Columbia-0	root	NASC_N1093	  	P-MEXP-6891	37	24	20	22	  	Genome20020722_JSMP_04	P-MEXP-6893	none	total RNA	P-MEXP-7009	EXTRACT7607SUB1132	total_RNA	P-MEXP-6899	10	biotin	RNA polymerases	LABEL10674EXTRACT7607SUB1132	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	HYB:MEXP:7904	A-AFFY-2	P-AFFY-6	Genome20020722_JSMP_4	Genome20020722_JSMP_4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-254/E-MEXP-254.raw.1.zip	P-MEXP-6905	E-MEXP-254-processed-data-1342561315.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-254/E-MEXP-254.processed.1.zip	none	23	day
Arabidopsis thaliana__S:BioSource:MEXP:174715	Arabidopsis thaliana	37	day	planting	6.30 Boyes key	Columbia-0	root	NASC_N1093	  	P-MEXP-6891	37	24	20	22	P-MEXP-7010	Genome20020722_JSMP_12	P-MEXP-6893	none	total RNA	P-MEXP-7009	EXTRACT7615SUB1132	total_RNA	P-MEXP-6899	10	biotin	RNA polymerases	LABEL10669EXTRACT7615SUB1132	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	HYB:MEXP:7912	A-AFFY-2	P-AFFY-6	Genome20020722_JSMP_12	Genome20020722_JSMP_12.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-254/E-MEXP-254.raw.1.zip	P-MEXP-6905	E-MEXP-254-processed-data-1342561315.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-254/E-MEXP-254.processed.1.zip	Plasmodiophora brassicae	23	day
