Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [marker line]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [marker line]
GSM1420952 1	Microarray-based expression profiles of FACS-sorted mature guard cells	Mature guard cells	ATH1 - E1728::GFP (E1728G) - replicate 3	Enhancer trap line E1728::GFP in Col	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	FACS-sorted protoplasts from aerial tissue of 14-day old seedlings	P-GSE58855-2	ArrayExpress	P-GSE58855-3	ArrayExpress	P-GSE58855-4	ArrayExpress	GSM1420952 extract 1	total RNA	P-GSE58855-5	ArrayExpress	GSM1420952 LE 1	Biotin	P-GSE58855-6	ArrayExpress	GSM1420952	A-AFFY-2	ArrayExpress	array assay	P-GSE58855-7	ArrayExpress	GSM1420952_E1728G_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58855/E-GEOD-58855.raw.1.zip	P-GSE58855-1	ArrayExpress	GSM1420952_sample_table.txt norm	GSM1420952_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58855/E-GEOD-58855.processed.1.zip	Enhancer trap line E1728::GFP in Col
GSM1420951 1	Microarray-based expression profiles of FACS-sorted mature guard cells	Mature guard cells	ATH1 - E1728::GFP (E1728G) - replicate 2	Enhancer trap line E1728::GFP in Col	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	FACS-sorted protoplasts from aerial tissue of 14-day old seedlings	P-GSE58855-2	ArrayExpress	P-GSE58855-3	ArrayExpress	P-GSE58855-4	ArrayExpress	GSM1420951 extract 1	total RNA	P-GSE58855-5	ArrayExpress	GSM1420951 LE 1	Biotin	P-GSE58855-6	ArrayExpress	GSM1420951	A-AFFY-2	ArrayExpress	array assay	P-GSE58855-7	ArrayExpress	GSM1420951_E1728G_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58855/E-GEOD-58855.raw.1.zip	P-GSE58855-1	ArrayExpress	GSM1420951_sample_table.txt norm	GSM1420951_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58855/E-GEOD-58855.processed.1.zip	Enhancer trap line E1728::GFP in Col
GSM1420950 1	Microarray-based expression profiles of FACS-sorted mature guard cells	Mature guard cells	ATH1 - E1728::GFP (E1728G) - replicate 1	Enhancer trap line E1728::GFP in Col	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	FACS-sorted protoplasts from aerial tissue of 14-day old seedlings	P-GSE58855-2	ArrayExpress	P-GSE58855-3	ArrayExpress	P-GSE58855-4	ArrayExpress	GSM1420950 extract 1	total RNA	P-GSE58855-5	ArrayExpress	GSM1420950 LE 1	Biotin	P-GSE58855-6	ArrayExpress	GSM1420950	A-AFFY-2	ArrayExpress	array assay	P-GSE58855-7	ArrayExpress	GSM1420950_E1728G_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58855/E-GEOD-58855.raw.1.zip	P-GSE58855-1	ArrayExpress	GSM1420950_sample_table.txt norm	GSM1420950_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58855/E-GEOD-58855.processed.1.zip	Enhancer trap line E1728::GFP in Col
GSM1420949 1	Microarray-based expression profiles of FACS-sorted mature guard mother cells and young guard cells	Mature guard mother cells and young guard cells	ATH1 - FAMAp::GFP-FAMA (FGF) - replicate 3	FAMAp::GFP-FAMA in Col	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	FACS-sorted protoplasts from aerial tissue of 14-day old seedlings	P-GSE58855-2	ArrayExpress	P-GSE58855-3	ArrayExpress	P-GSE58855-4	ArrayExpress	GSM1420949 extract 1	total RNA	P-GSE58855-5	ArrayExpress	GSM1420949 LE 1	Biotin	P-GSE58855-6	ArrayExpress	GSM1420949	A-AFFY-2	ArrayExpress	array assay	P-GSE58855-7	ArrayExpress	GSM1420949_FGF_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58855/E-GEOD-58855.raw.1.zip	P-GSE58855-1	ArrayExpress	GSM1420949_sample_table.txt norm	GSM1420949_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58855/E-GEOD-58855.processed.1.zip	FAMAp::GFP-FAMA in Col
GSM1420948 1	Microarray-based expression profiles of FACS-sorted mature guard mother cells and young guard cells	Mature guard mother cells and young guard cells	ATH1 - FAMAp::GFP-FAMA (FGF) - replicate 2	FAMAp::GFP-FAMA in Col	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	FACS-sorted protoplasts from aerial tissue of 14-day old seedlings	P-GSE58855-2	ArrayExpress	P-GSE58855-3	ArrayExpress	P-GSE58855-4	ArrayExpress	GSM1420948 extract 1	total RNA	P-GSE58855-5	ArrayExpress	GSM1420948 LE 1	Biotin	P-GSE58855-6	ArrayExpress	GSM1420948	A-AFFY-2	ArrayExpress	array assay	P-GSE58855-7	ArrayExpress	GSM1420948_FGF_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58855/E-GEOD-58855.raw.1.zip	P-GSE58855-1	ArrayExpress	GSM1420948_sample_table.txt norm	GSM1420948_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58855/E-GEOD-58855.processed.1.zip	FAMAp::GFP-FAMA in Col
GSM1420947 1	Microarray-based expression profiles of FACS-sorted mature guard mother cells and young guard cells	Mature guard mother cells and young guard cells	ATH1 - FAMAp::GFP-FAMA (FGF) - replicate 1	FAMAp::GFP-FAMA in Col	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	FACS-sorted protoplasts from aerial tissue of 14-day old seedlings	P-GSE58855-2	ArrayExpress	P-GSE58855-3	ArrayExpress	P-GSE58855-4	ArrayExpress	GSM1420947 extract 1	total RNA	P-GSE58855-5	ArrayExpress	GSM1420947 LE 1	Biotin	P-GSE58855-6	ArrayExpress	GSM1420947	A-AFFY-2	ArrayExpress	array assay	P-GSE58855-7	ArrayExpress	GSM1420947_FGF_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58855/E-GEOD-58855.raw.1.zip	P-GSE58855-1	ArrayExpress	GSM1420947_sample_table.txt norm	GSM1420947_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58855/E-GEOD-58855.processed.1.zip	FAMAp::GFP-FAMA in Col
GSM1420946 1	Microarray-based expression profiles of FACS-sorted late meristemoids and young guard mother cells	Late meristemoids and young guard mother cells	ATH1 - MUTEp::nucGFP (MG) - replicate 3	MUTEp::nucGFP in Col	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	FACS-sorted protoplasts from aerial tissue of 14-day old seedlings	P-GSE58855-2	ArrayExpress	P-GSE58855-3	ArrayExpress	P-GSE58855-4	ArrayExpress	GSM1420946 extract 1	total RNA	P-GSE58855-5	ArrayExpress	GSM1420946 LE 1	Biotin	P-GSE58855-6	ArrayExpress	GSM1420946	A-AFFY-2	ArrayExpress	array assay	P-GSE58855-7	ArrayExpress	GSM1420946_MG_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58855/E-GEOD-58855.raw.1.zip	P-GSE58855-1	ArrayExpress	GSM1420946_sample_table.txt norm	GSM1420946_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58855/E-GEOD-58855.processed.1.zip	MUTEp::nucGFP in Col
GSM1420945 1	Microarray-based expression profiles of FACS-sorted late meristemoids and young guard mother cells	Late meristemoids and young guard mother cells	ATH1 - MUTEp::nucGFP (MG) - replicate 2	MUTEp::nucGFP in Col	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	FACS-sorted protoplasts from aerial tissue of 14-day old seedlings	P-GSE58855-2	ArrayExpress	P-GSE58855-3	ArrayExpress	P-GSE58855-4	ArrayExpress	GSM1420945 extract 1	total RNA	P-GSE58855-5	ArrayExpress	GSM1420945 LE 1	Biotin	P-GSE58855-6	ArrayExpress	GSM1420945	A-AFFY-2	ArrayExpress	array assay	P-GSE58855-7	ArrayExpress	GSM1420945_MG_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58855/E-GEOD-58855.raw.1.zip	P-GSE58855-1	ArrayExpress	GSM1420945_sample_table.txt norm	GSM1420945_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58855/E-GEOD-58855.processed.1.zip	MUTEp::nucGFP in Col
GSM1420944 1	Microarray-based expression profiles of FACS-sorted late meristemoids and young guard mother cells	Late meristemoids and young guard mother cells	ATH1 - MUTEp::nucGFP (MG) - replicate 1	MUTEp::nucGFP in Col	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	FACS-sorted protoplasts from aerial tissue of 14-day old seedlings	P-GSE58855-2	ArrayExpress	P-GSE58855-3	ArrayExpress	P-GSE58855-4	ArrayExpress	GSM1420944 extract 1	total RNA	P-GSE58855-5	ArrayExpress	GSM1420944 LE 1	Biotin	P-GSE58855-6	ArrayExpress	GSM1420944	A-AFFY-2	ArrayExpress	array assay	P-GSE58855-7	ArrayExpress	GSM1420944_MG_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58855/E-GEOD-58855.raw.1.zip	P-GSE58855-1	ArrayExpress	GSM1420944_sample_table.txt norm	GSM1420944_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58855/E-GEOD-58855.processed.1.zip	MUTEp::nucGFP in Col
GSM1420943 1	Microarray-based expression profiles of FACS-sorted meristemios mother cells and young meristemoids	Meristemios mother cells and young meristemoids	ATH1 - SPCHp::SPCH-YFP (SSY) - replicate 3	SPCHp::SPCH-YFP in Col	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	FACS-sorted protoplasts from aerial tissue of 14-day old seedlings	P-GSE58855-2	ArrayExpress	P-GSE58855-3	ArrayExpress	P-GSE58855-4	ArrayExpress	GSM1420943 extract 1	total RNA	P-GSE58855-5	ArrayExpress	GSM1420943 LE 1	Biotin	P-GSE58855-6	ArrayExpress	GSM1420943	A-AFFY-2	ArrayExpress	array assay	P-GSE58855-7	ArrayExpress	GSM1420943_SSY_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58855/E-GEOD-58855.raw.1.zip	P-GSE58855-1	ArrayExpress	GSM1420943_sample_table.txt norm	GSM1420943_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58855/E-GEOD-58855.processed.1.zip	SPCHp::SPCH-YFP in Col
