Source Name	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[biosource type]	Characteristics[developmental stage]	Characteristics[organism part]	Characteristics[ecotype]	Characteristics[genotype]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	LabeledExtract Name	Label	Hybridization Name	Array Design REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	Factor Value[genotype]	Factor Value [developmental stage]
ant EARLY 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	early floral stage 9 to 11	pistil	Landsberg erecta	ant-4	P-MTAB-2396	P-MTAB-2397	P-MTAB-2394	ant EARLY 1	total_RNA	ant EARLY 1	biotin	ant EARLY 1	A-AFFY-2	ANTEARLY1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1920/E-MEXP-1920.raw.1.zip	P-MTAB-2395	ovulesRMA_exprs.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1920/E-MEXP-1920.processed.1.zip	ant-4	early floral stage 9 to 11
ant EARLY 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	early floral stage 9 to 11	pistil	Landsberg erecta	ant-4	P-MTAB-2396	P-MTAB-2397	P-MTAB-2394	ant EARLY 2	total_RNA	ant EARLY 2	biotin	ant EARLY 2	A-AFFY-2	ANTEARLY2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1920/E-MEXP-1920.raw.1.zip	P-MTAB-2395	ovulesRMA_exprs.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1920/E-MEXP-1920.processed.1.zip	ant-4	early floral stage 9 to 11
ant EARLY 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	early floral stage 9 to 11	pistil	Landsberg erecta	ant-4	P-MTAB-2396	P-MTAB-2397	P-MTAB-2394	ant EARLY 3	total_RNA	ant EARLY 3	biotin	ant EARLY 3	A-AFFY-2	ANTEARLY3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1920/E-MEXP-1920.raw.1.zip	P-MTAB-2395	ovulesRMA_exprs.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1920/E-MEXP-1920.processed.1.zip	ant-4	early floral stage 9 to 11
ino EARLY 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	early floral stage 9 to 11	pistil	Landsberg erecta	ino-1	P-MTAB-2396	P-MTAB-2397	P-MTAB-2394	ino EARLY 1	total_RNA	ino EARLY 1	biotin	ino EARLY 1	A-AFFY-2	INOEARLY1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1920/E-MEXP-1920.raw.1.zip	P-MTAB-2395	ovulesRMA_exprs.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1920/E-MEXP-1920.processed.1.zip	ino-1	early floral stage 9 to 11
ino EARLY 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	early floral stage 9 to 11	pistil	Landsberg erecta	ino-1	P-MTAB-2396	P-MTAB-2397	P-MTAB-2394	ino EARLY 2	total_RNA	ino EARLY 2	biotin	ino EARLY 2	A-AFFY-2	INOEARLY2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1920/E-MEXP-1920.raw.1.zip	P-MTAB-2395	ovulesRMA_exprs.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1920/E-MEXP-1920.processed.1.zip	ino-1	early floral stage 9 to 11
ino EARLY 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	early floral stage 9 to 11	pistil	Landsberg erecta	ino-1	P-MTAB-2396	P-MTAB-2397	P-MTAB-2394	ino EARLY 3	total_RNA	ino EARLY 3	biotin	ino EARLY 3	A-AFFY-2	INOEARLY3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1920/E-MEXP-1920.raw.1.zip	P-MTAB-2395	ovulesRMA_exprs.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1920/E-MEXP-1920.processed.1.zip	ino-1	early floral stage 9 to 11
ino FULL 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	full floral stage 9 to 12	pistil	Landsberg erecta	ino-1	P-MTAB-2396	P-MTAB-2397	P-MTAB-2394	ino FULL 1	total_RNA	ino FULL 1	biotin	ino FULL 1	A-AFFY-2	INOFULL1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1920/E-MEXP-1920.raw.1.zip	P-MTAB-2395	ovulesRMA_exprs.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1920/E-MEXP-1920.processed.1.zip	ino-1	full floral stage 9 to 12
ino FULL 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	full floral stage 9 to 12	pistil	Landsberg erecta	ino-1	P-MTAB-2396	P-MTAB-2397	P-MTAB-2394	ino FULL 2	total_RNA	ino FULL 2	biotin	ino FULL 2	A-AFFY-2	INOFULL2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1920/E-MEXP-1920.raw.1.zip	P-MTAB-2395	ovulesRMA_exprs.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1920/E-MEXP-1920.processed.1.zip	ino-1	full floral stage 9 to 12
ino FULL 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	full floral stage 9 to 12	pistil	Landsberg erecta	ino-1	P-MTAB-2396	P-MTAB-2397	P-MTAB-2394	ino FULL 3	total_RNA	ino FULL 3	biotin	ino FULL 3	A-AFFY-2	INOFULL3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1920/E-MEXP-1920.raw.1.zip	P-MTAB-2395	ovulesRMA_exprs.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1920/E-MEXP-1920.processed.1.zip	ino-1	full floral stage 9 to 12
WT EARLY 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	early floral stage 9 to 11	pistil	Landsberg erecta	wild type (Ler)	P-MTAB-2396	P-MTAB-2397	P-MTAB-2394	WT EARLY 1	total_RNA	WT EARLY 1	biotin	WT EARLY 1	A-AFFY-2	WTEARLY1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1920/E-MEXP-1920.raw.1.zip	P-MTAB-2395	ovulesRMA_exprs.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1920/E-MEXP-1920.processed.1.zip	wild type	early floral stage 9 to 11
WT EARLY 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	early floral stage 9 to 11	pistil	Landsberg erecta	wild type (Ler)	P-MTAB-2396	P-MTAB-2397	P-MTAB-2394	WT EARLY 2	total_RNA	WT EARLY 2	biotin	WT EARLY 2	A-AFFY-2	WTEARLY2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1920/E-MEXP-1920.raw.1.zip	P-MTAB-2395	ovulesRMA_exprs.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1920/E-MEXP-1920.processed.1.zip	wild type	early floral stage 9 to 11
WT EARLY 3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	early floral stage 9 to 11	pistil	Landsberg erecta	wild type (Ler)	P-MTAB-2396	P-MTAB-2397	P-MTAB-2394	WT EARLY 3	total_RNA	WT EARLY 3	biotin	WT EARLY 3	A-AFFY-2	WTEARLY3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1920/E-MEXP-1920.raw.1.zip	P-MTAB-2395	ovulesRMA_exprs.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1920/E-MEXP-1920.processed.1.zip	wild type	early floral stage 9 to 11
WT FULL 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	full floral stage 9 to 12	pistil	Landsberg erecta	wild type (Ler)	P-MTAB-2396	P-MTAB-2397	P-MTAB-2394	WT FULL 1	total_RNA	WT FULL 1	biotin	WT FULL 1	A-AFFY-2	WTFULL1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1920/E-MEXP-1920.raw.1.zip	P-MTAB-2395	ovulesRMA_exprs.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1920/E-MEXP-1920.processed.1.zip	wild type	full floral stage 9 to 12
WT FULL 2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	full floral stage 9 to 12	pistil	Landsberg erecta	wild type (Ler)	P-MTAB-2396	P-MTAB-2397	P-MTAB-2394	WT FULL 2	total_RNA	WT FULL 2	biotin	WT FULL 2	A-AFFY-2	WTFULL2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1920/E-MEXP-1920.raw.1.zip	P-MTAB-2395	ovulesRMA_exprs.txt.magetab	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1920/E-MEXP-1920.processed.1.zip	wild type	full floral stage 9 to 12
