Source Name	Characteristics [Organism]	Characteristics [Ecotype]	Characteristics [NASC:Growth Stage]	Characteristics [GeneticVariation]	Protocol REF	Parameter Value [location]	Parameter Value [Lighting]	Parameter Value [Temperature]	Parameter Value [Medium]	Parameter Value [Stratification]	Sample Name	Characteristics [OrganismPart]	Characteristics [OrganismPa]	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Material Type	Protocol REF	Hybridization Name	Array Design REF	Comment [Array Design URI]	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
Evans_2-8_35s-FAD3-cold_Rep1_ATH1	Arabidopsis thaliana	35S::apoaequorin	1.02	  	NASC:GrowthProtocol:1532	Growth Room	16h on  8 h off	20 oC	MS	4 days in fridge after sowing	1590661520	whole seedling	whole seedling	NASC:ExtractProtocol:1	1590661346	total_RNA	NASC:LabellingProtocol	Evans_2-8_35s-FAD3-cold_SLD	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASC:PhysicalBioAssay:1634:BAC	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	Evans_2-8_35s-FAD3-cold_Rep1_ATH1	external-data-12.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-66/E-NASC-66.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-66-processed-data-1590662516.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-66/E-NASC-66.processed.1.zip
Evans_2-6_fad2-mut-cold_Rep1_ATH1	Arabidopsis thaliana	fad2	1.02	EMS mutant	NASC:GrowthProtocol:1530	Growth Room	16h on  8 h off	20 oC	MS	4 days in fridge after sowing	1590661489	whole seedling	whole seedling	NASC:ExtractProtocol:1	1590661320	total_RNA	NASC:LabellingProtocol	Evans_2-6_fad2-mut-cold_Rep1_ATH1	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASC:PhysicalBioAssay:1632:BAC	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	Evans_2-6_fad2-mut-cold_Rep1_ATH1	external-data-8.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-66/E-NASC-66.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-66-processed-data-1590662516.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-66/E-NASC-66.processed.1.zip
Evans_2-2_col-WT-cold_Rep1_ATH1	Arabidopsis thaliana	Columbia-0	1.02	  	NASC:GrowthProtocol:1526	Growth Room	16h on  8 h off	20 oC	MS	4 days in fridge after sowing	1590661423	whole seedling	whole seedling	NASC:ExtractProtocol:1	1590661268	total_RNA	NASC:LabellingProtocol	Evans_2-2_col-WT-cold_Rep1_ATH1	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASC:PhysicalBioAssay:1638:BAC	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	Evans_2-2_col-WT-cold_Rep1_ATH1	external-data-20.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-66/E-NASC-66.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-66-processed-data-1590662516.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-66/E-NASC-66.processed.1.zip
Evans_2-10_col-aeq-cold_Rep1_ATH1	Arabidopsis thaliana	Col-aeq	1.02	  	NASC:GrowthProtocol:1534	Growth Room	16h on  8 h off	20 oC	MS	4 days in fridge after sowing	1590661551	whole seedling	whole seedling	NASC:ExtractProtocol:1	1590661372	total_RNA	NASC:LabellingProtocol	Evans_2-10_col-aeq-cold_Rep1_ATH1	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASC:PhysicalBioAssay:1636:BAC	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	Evans_2-10_col-aeq-cold_Rep1_ATH1	external-data-16.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-66/E-NASC-66.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-66-processed-data-1590662516.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-66/E-NASC-66.processed.1.zip
Evans_2-12_FAD3-7-8-mut-aeq-cold_Rep1_ATH1	Arabidopsis thaliana	fad3/fad7/fad8	1.02	single mutants created by EMS mutagenesis. Triple mutant by crossing double mutants together.	NASC:GrowthProtocol:1536	Growth Room	16h on  8 h off	20 oC	MS	4 days in fridge after sowing	1590661584	whole seedling	whole seedling	NASC:ExtractProtocol:1	1590661398	total_RNA	NASC:LabellingProtocol	Evans_2-12_FAD3-7-8-mut-aeq-cold_Rep1_ATH1	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASC:PhysicalBioAssay:1640:BAC	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	Evans_2-12_FAD3-7-8-mut-aeq-cold_Rep1_ATH1	external-data-24.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-66/E-NASC-66.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-66-processed-data-1590662516.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-66/E-NASC-66.processed.1.zip
Evans_2-4_fab1-mut-cold_Rep1_ATH1	Arabidopsis thaliana	fab1	1.02	EMS mutant	NASC:GrowthProtocol:1528	Growth Room	16h on  8 h off	20 oC	MS	4 days in fridge after sowing	1590661458	whole seedling	whole seedling	NASC:ExtractProtocol:1	1590661294	total_RNA	NASC:LabellingProtocol	Evans_2-4_fab1-mut-cold_Rep1_ATH1	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASC:PhysicalBioAssay:1630:BAC	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	Evans_2-4_fab1-mut-cold_Rep1_ATH1	external-data-4.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-66/E-NASC-66.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-66-processed-data-1590662516.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-66/E-NASC-66.processed.1.zip
Evans_2-5_fad2-mut-ambient_Rep1_ATH1	Arabidopsis thaliana	fad2	1.02	EMS mutant	NASC:GrowthProtocol:1529	Growth Room	16h on  8 h off	20 oC	MS	4 days in fridge after sowing	1590661473	whole seedling	whole seedling	NASC:ExtractProtocol:1	1590661307	total_RNA	NASC:LabellingProtocol	Evans_2-5_fad2-mut-ambient_Rep1_ATH1	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASC:PhysicalBioAssay:1631:BAC	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	Evans_2-5_fad2-mut-ambient_Rep1_ATH1	external-data-6.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-66/E-NASC-66.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-66-processed-data-1590662516.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-66/E-NASC-66.processed.1.zip
Evans_2-1_col-WT-ambient_Rep1_ATH1	Arabidopsis thaliana	Columbia-0	1.02	  	NASC:GrowthProtocol:1525	Growth Room	16h on  8 h off	20 oC	MS	4 days in fridge after sowing	1590661405	whole seedling	whole seedling	NASC:ExtractProtocol:1	1590661255	total_RNA	NASC:LabellingProtocol	Evans_2-1_col-WT-ambient_Rep1_ATH1	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASC:PhysicalBioAssay:1637:BAC	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	Evans_2-1_col-WT-ambient_Rep1_ATH1	external-data-18.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-66/E-NASC-66.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-66-processed-data-1590662516.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-66/E-NASC-66.processed.1.zip
Evans_2-7_35s-FAD3-ambient_Rep1_ATH1	Arabidopsis thaliana	35S::apoaequorin	1.02	  	NASC:GrowthProtocol:1531	Growth Room	16h on  8 h off	20 oC	MS	4 days in fridge after sowing	1590661504	whole seedling	whole seedling	NASC:ExtractProtocol:1	1590661333	total_RNA	NASC:LabellingProtocol	Evans_2-7_35s-FAD3-ambient_Rep1_ATH1	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASC:PhysicalBioAssay:1633:BAC	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	Evans_2-7_35s-FAD3-ambient_Rep1_ATH1	external-data-10.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-66/E-NASC-66.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-66-processed-data-1590662516.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-66/E-NASC-66.processed.1.zip
Evans_2-9_col-aeq-ambient_Rep1_ATH1	Arabidopsis thaliana	Col-aeq	1.02	  	NASC:GrowthProtocol:1533	Growth Room	16h on  8 h off	20 oC	MS	4 days in fridge after sowing	1590661535	whole seedling	whole seedling	NASC:ExtractProtocol:1	1590661359	total_RNA	NASC:LabellingProtocol	Evans_2-9_col-aeq-ambient_Rep1_ATH1	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASC:PhysicalBioAssay:1635:BAC	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	Affymetrix:Protocol:Percentile	Evans_2-9_col-aeq-ambient_Rep1_ATH1	external-data-14.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-66/E-NASC-66.raw.2.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-66-processed-data-1590662516.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-66/E-NASC-66.processed.1.zip
