Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [cultivar]	Term Source REF	Term Accession Number	Characteristics [developmental stage]	Characteristics [organism]	Term Source REF	Term Accession Number	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [DEVELOPMENTAL STAGE]
GSM1415510 1	A3= dark-hs-rep3 Gene expression data from Arabidopsis seedling with HS treatment, under dark condition	Arabidopsis seedling with HS treatment, under dark condition	dark-hs,rep3	Col-0	EFO	EFO_0005148	21-day-old seedlings	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE58621-2	ArrayExpress	P-GSE58621-3	ArrayExpress	P-GSE58621-4	ArrayExpress	GSM1415510 extract 1	total RNA	P-GSE58621-5	ArrayExpress	GSM1415510 LE 1	biotin	P-GSE58621-6	ArrayExpress	GSM1415510	A-AFFY-2	ArrayExpress	array assay	P-GSE58621-7	ArrayExpress	GSM1415510_dark-hs_rep3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58621/E-GEOD-58621.raw.1.zip	P-GSE58621-1	ArrayExpress	GSM1415510_sample_table.txt norm	GSM1415510_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58621/E-GEOD-58621.processed.1.zip	21-day-old seedlings
GSM1415509 1	A2= dark-hs-rep2 Gene expression data from Arabidopsis seedling with HS treatment, under dark condition	Arabidopsis seedling with HS treatment, under dark condition	dark-hs,rep2	Col-0	EFO	EFO_0005148	20-day-old seedlings	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE58621-2	ArrayExpress	P-GSE58621-3	ArrayExpress	P-GSE58621-4	ArrayExpress	GSM1415509 extract 1	total RNA	P-GSE58621-5	ArrayExpress	GSM1415509 LE 1	biotin	P-GSE58621-6	ArrayExpress	GSM1415509	A-AFFY-2	ArrayExpress	array assay	P-GSE58621-7	ArrayExpress	GSM1415509_dark-hs_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58621/E-GEOD-58621.raw.1.zip	P-GSE58621-1	ArrayExpress	GSM1415509_sample_table.txt norm	GSM1415509_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58621/E-GEOD-58621.processed.1.zip	20-day-old seedlings
GSM1415508 1	A1= dark-hs-rep1 Gene expression data from Arabidopsis seedling with HS treatment, under dark condition	Arabidopsis seedling with HS treatment, under dark condition	dark-hs,rep1	Col-0	EFO	EFO_0005148	19-day-old seedlings	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE58621-2	ArrayExpress	P-GSE58621-3	ArrayExpress	P-GSE58621-4	ArrayExpress	GSM1415508 extract 1	total RNA	P-GSE58621-5	ArrayExpress	GSM1415508 LE 1	biotin	P-GSE58621-6	ArrayExpress	GSM1415508	A-AFFY-2	ArrayExpress	array assay	P-GSE58621-7	ArrayExpress	GSM1415508_dark-hs_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58621/E-GEOD-58621.raw.1.zip	P-GSE58621-1	ArrayExpress	GSM1415508_sample_table.txt norm	GSM1415508_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58621/E-GEOD-58621.processed.1.zip	19-day-old seedlings
GSM1415507 1	B3= dark-control-rep3 Gene expression data fromeArabidopsis seedling without HS treatment, under dark condition	Arabidopsis seedling without HS treatment, under dark condition	dark-control,rep3	Col-0	EFO	EFO_0005148	18-day-old seedlings	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE58621-2	ArrayExpress	P-GSE58621-3	ArrayExpress	P-GSE58621-4	ArrayExpress	GSM1415507 extract 1	total RNA	P-GSE58621-5	ArrayExpress	GSM1415507 LE 1	biotin	P-GSE58621-6	ArrayExpress	GSM1415507	A-AFFY-2	ArrayExpress	array assay	P-GSE58621-7	ArrayExpress	GSM1415507_dark-control_rep3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58621/E-GEOD-58621.raw.1.zip	P-GSE58621-1	ArrayExpress	GSM1415507_sample_table.txt norm	GSM1415507_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58621/E-GEOD-58621.processed.1.zip	18-day-old seedlings
GSM1415506 1	B2= dark-control-rep2 Gene expression data fromeArabidopsis seedling without HS treatment, under dark condition	Arabidopsis seedling without HS treatment, under dark condition	dark-control,rep2	Col-0	EFO	EFO_0005148	17-day-old seedlings	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE58621-2	ArrayExpress	P-GSE58621-3	ArrayExpress	P-GSE58621-4	ArrayExpress	GSM1415506 extract 1	total RNA	P-GSE58621-5	ArrayExpress	GSM1415506 LE 1	biotin	P-GSE58621-6	ArrayExpress	GSM1415506	A-AFFY-2	ArrayExpress	array assay	P-GSE58621-7	ArrayExpress	GSM1415506_dark-control_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58621/E-GEOD-58621.raw.1.zip	P-GSE58621-1	ArrayExpress	GSM1415506_sample_table.txt norm	GSM1415506_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58621/E-GEOD-58621.processed.1.zip	17-day-old seedlings
GSM1415505 1	B1= dark-control-rep1 Gene expression data fromeArabidopsis seedling without HS treatment, under dark condition	Arabidopsis seedling without HS treatment, under dark condition	dark-control,rep1	Col-0	EFO	EFO_0005148	16-day-old seedlings	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE58621-2	ArrayExpress	P-GSE58621-3	ArrayExpress	P-GSE58621-4	ArrayExpress	GSM1415505 extract 1	total RNA	P-GSE58621-5	ArrayExpress	GSM1415505 LE 1	biotin	P-GSE58621-6	ArrayExpress	GSM1415505	A-AFFY-2	ArrayExpress	array assay	P-GSE58621-7	ArrayExpress	GSM1415505_dark-control_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58621/E-GEOD-58621.raw.1.zip	P-GSE58621-1	ArrayExpress	GSM1415505_sample_table.txt norm	GSM1415505_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58621/E-GEOD-58621.processed.1.zip	16-day-old seedlings
GSM1415490 1	B3= light-hs-rep3 Gene expression data from Arabidopsis seedling with HS treatment, under light condition	Arabidopsis seedling with HS treatment, under light condition	light-hs, rep3	Col-0	EFO	EFO_0005148	15-day-old seedlings	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE58621-2	ArrayExpress	P-GSE58621-3	ArrayExpress	P-GSE58621-4	ArrayExpress	GSM1415490 extract 1	total RNA	P-GSE58621-5	ArrayExpress	GSM1415490 LE 1	biotin	P-GSE58621-6	ArrayExpress	GSM1415490	A-AFFY-2	ArrayExpress	array assay	P-GSE58621-7	ArrayExpress	GSM1415490_light-hs__rep3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58621/E-GEOD-58621.raw.1.zip	P-GSE58621-1	ArrayExpress	GSM1415490_sample_table.txt norm	GSM1415490_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58621/E-GEOD-58621.processed.1.zip	15-day-old seedlings
GSM1415489 1	B2= light-hs-rep2 Gene expression data from Arabidopsis seedling with HS treatment, under light condition	Arabidopsis seedling with HS treatment, under light condition	light-hs, rep2	Col-0	EFO	EFO_0005148	14-day-old seedlings	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE58621-2	ArrayExpress	P-GSE58621-3	ArrayExpress	P-GSE58621-4	ArrayExpress	GSM1415489 extract 1	total RNA	P-GSE58621-5	ArrayExpress	GSM1415489 LE 1	biotin	P-GSE58621-6	ArrayExpress	GSM1415489	A-AFFY-2	ArrayExpress	array assay	P-GSE58621-7	ArrayExpress	GSM1415489_light-hs__rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58621/E-GEOD-58621.raw.1.zip	P-GSE58621-1	ArrayExpress	GSM1415489_sample_table.txt norm	GSM1415489_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58621/E-GEOD-58621.processed.1.zip	14-day-old seedlings
GSM1415488 1	B1= light-hs-rep1 Gene expression data from Arabidopsis seedling with HS treatment, under light condition	Arabidopsis seedling with HS treatment, under light condition	light-hs, rep1	Col-0	EFO	EFO_0005148	13-day-old seedlings	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE58621-2	ArrayExpress	P-GSE58621-3	ArrayExpress	P-GSE58621-4	ArrayExpress	GSM1415488 extract 1	total RNA	P-GSE58621-5	ArrayExpress	GSM1415488 LE 1	biotin	P-GSE58621-6	ArrayExpress	GSM1415488	A-AFFY-2	ArrayExpress	array assay	P-GSE58621-7	ArrayExpress	GSM1415488_light-hs__rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58621/E-GEOD-58621.raw.1.zip	P-GSE58621-1	ArrayExpress	GSM1415488_sample_table.txt norm	GSM1415488_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58621/E-GEOD-58621.processed.1.zip	13-day-old seedlings
GSM1415487 1	A3= light-control-rep3 Gene expression data frome Arabidopsis seedling without HS treatment, under light condition	Arabidopsis seedling without HS treatment, under light condition	light-control, rep3	Col-0	EFO	EFO_0005148	12-day-old seedlings	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	P-GSE58621-2	ArrayExpress	P-GSE58621-3	ArrayExpress	P-GSE58621-4	ArrayExpress	GSM1415487 extract 1	total RNA	P-GSE58621-5	ArrayExpress	GSM1415487 LE 1	biotin	P-GSE58621-6	ArrayExpress	GSM1415487	A-AFFY-2	ArrayExpress	array assay	P-GSE58621-7	ArrayExpress	GSM1415487_light-control_rep3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58621/E-GEOD-58621.raw.1.zip	P-GSE58621-1	ArrayExpress	GSM1415487_sample_table.txt norm	GSM1415487_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-58621/E-GEOD-58621.processed.1.zip	12-day-old seedlings
