Source Name	Characteristics [OrganismPart]	Term Source REF	Term Accession Number	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [Ecotype]	Characteristics [DevelopmentalStage]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Protocol REF	Factor Value [TIME]	Unit [TimeUnit]	Factor Value [GrowthCondition]	Term Source REF	Term Accession Number	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
GSE7642GSM184933	root	EFO	EFO_0000989	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	seedling	EFO	EFO_0001992	P-G7642-2	P-G7642-1	GSE7642GSM184933 sample	P-G7642-4	GSE7642GSM184933 extract	total_RNA	P-G7642-3	GSE7642GSM184933 LE biotin	biotin	synthetic_RNA	Arabidopsis, whole roots, 140 mM NaCl, 16 hour, replicate 1	A-AFFY-2	P-AFFY-6	16	hours	NaCl	  	  	GSM184933.CEL	GSM184933.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7642/E-GEOD-7642.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7642-processed-data-1757340883.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7642/E-GEOD-7642.processed.1.zip
GSE7642GSM184930	root	EFO	EFO_0000989	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	seedling	EFO	EFO_0001992	P-G7642-2	P-G7642-1	GSE7642GSM184930 sample	P-G7642-4	GSE7642GSM184930 extract	total_RNA	P-G7642-3	GSE7642GSM184930 LE biotin	biotin	synthetic_RNA	Arabidopsis, whole roots, 140 mM NaCl, 1 hour, replicate 2	A-AFFY-2	P-AFFY-6	1	hours	NaCl	  	  	GSM184930.CEL	GSM184930.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7642/E-GEOD-7642.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7642-processed-data-1757340883.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7642/E-GEOD-7642.processed.1.zip
GSE7642GSM184926	root	EFO	EFO_0000989	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	seedling	EFO	EFO_0001992	P-G7642-2	P-G7642-1	GSE7642GSM184926 sample	P-G7642-4	GSE7642GSM184926 extract	total_RNA	P-G7642-3	GSE7642GSM184926 LE biotin	biotin	synthetic_RNA	Arabidopsis, whole roots, standard conditions, replicate 2	A-AFFY-2	P-AFFY-6	0	hours	control	EFO	EFO_0001461	GSM184926.CEL	GSM184926.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7642/E-GEOD-7642.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7642-processed-data-1757340883.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7642/E-GEOD-7642.processed.1.zip
GSE7642GSM184932	root	EFO	EFO_0000989	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	seedling	EFO	EFO_0001992	P-G7642-2	P-G7642-1	GSE7642GSM184932 sample	P-G7642-4	GSE7642GSM184932 extract	total_RNA	P-G7642-3	GSE7642GSM184932 LE biotin	biotin	synthetic_RNA	Arabidopsis, whole roots, 140 mM NaCl, 4 hour, replicate 2	A-AFFY-2	P-AFFY-6	4	hours	NaCl	  	  	GSM184932.CEL	GSM184932.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7642/E-GEOD-7642.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7642-processed-data-1757340883.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7642/E-GEOD-7642.processed.1.zip
GSE7642GSM184935	root	EFO	EFO_0000989	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	seedling	EFO	EFO_0001992	P-G7642-2	P-G7642-1	GSE7642GSM184935 sample	P-G7642-4	GSE7642GSM184935 extract	total_RNA	P-G7642-3	GSE7642GSM184935 LE biotin	biotin	synthetic_RNA	Arabidopsis, whole roots, 140 mM NaCl, 32 hour, replicate 1	A-AFFY-2	P-AFFY-6	32	hours	NaCl	  	  	GSM184935.CEL	GSM184935.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7642/E-GEOD-7642.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7642-processed-data-1757340883.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7642/E-GEOD-7642.processed.1.zip
GSE7642GSM184928	root	EFO	EFO_0000989	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	seedling	EFO	EFO_0001992	P-G7642-2	P-G7642-1	GSE7642GSM184928 sample	P-G7642-4	GSE7642GSM184928 extract	total_RNA	P-G7642-3	GSE7642GSM184928 LE biotin	biotin	synthetic_RNA	Arabidopsis, whole roots, 140 mM NaCl, 30 minutes, replicate 2	A-AFFY-2	P-AFFY-6	0.5	hours	NaCl	  	  	GSM184928.CEL	GSM184928.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7642/E-GEOD-7642.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7642-processed-data-1757340883.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7642/E-GEOD-7642.processed.1.zip
GSE7642GSM184925	root	EFO	EFO_0000989	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	seedling	EFO	EFO_0001992	P-G7642-2	P-G7642-1	GSE7642GSM184925 sample	P-G7642-4	GSE7642GSM184925 extract	total_RNA	P-G7642-3	GSE7642GSM184925 LE biotin	biotin	synthetic_RNA	Arabidopsis, whole roots, standard conditions, replicate 1	A-AFFY-2	P-AFFY-6	0	hours	control	EFO	EFO_0001461	GSM184925.CEL	GSM184925.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7642/E-GEOD-7642.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7642-processed-data-1757340883.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7642/E-GEOD-7642.processed.1.zip
GSE7642GSM184931	root	EFO	EFO_0000989	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	seedling	EFO	EFO_0001992	P-G7642-2	P-G7642-1	GSE7642GSM184931 sample	P-G7642-4	GSE7642GSM184931 extract	total_RNA	P-G7642-3	GSE7642GSM184931 LE biotin	biotin	synthetic_RNA	Arabidopsis, whole roots, 140 mM NaCl, 4 hour, replicate 1	A-AFFY-2	P-AFFY-6	4	hours	NaCl	  	  	GSM184931.CEL	GSM184931.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7642/E-GEOD-7642.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7642-processed-data-1757340883.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7642/E-GEOD-7642.processed.1.zip
GSE7642GSM184934	root	EFO	EFO_0000989	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	seedling	EFO	EFO_0001992	P-G7642-2	P-G7642-1	GSE7642GSM184934 sample	P-G7642-4	GSE7642GSM184934 extract	total_RNA	P-G7642-3	GSE7642GSM184934 LE biotin	biotin	synthetic_RNA	Arabidopsis, whole roots, 140 mM NaCl, 16 hour, replicate 2	A-AFFY-2	P-AFFY-6	16	hours	NaCl	  	  	GSM184934.CEL	GSM184934.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7642/E-GEOD-7642.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7642-processed-data-1757340883.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7642/E-GEOD-7642.processed.1.zip
GSE7642GSM184929	root	EFO	EFO_0000989	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	seedling	EFO	EFO_0001992	P-G7642-2	P-G7642-1	GSE7642GSM184929 sample	P-G7642-4	GSE7642GSM184929 extract	total_RNA	P-G7642-3	GSE7642GSM184929 LE biotin	biotin	synthetic_RNA	Arabidopsis, whole roots, 140 mM NaCl, 1 hour, replicate 1	A-AFFY-2	P-AFFY-6	1	hours	NaCl	  	  	GSM184929.CEL	GSM184929.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7642/E-GEOD-7642.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7642-processed-data-1757340883.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7642/E-GEOD-7642.processed.1.zip
