Source Name	Characteristics [Genotype]	Characteristics [Individual]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [Ecotype]	Characteristics [OrganismPart]	Term Source REF	Term Accession Number	Characteristics [DevelopmentalStage]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value [min temperature]	Parameter Value [media]	Parameter Value [stop time]	Parameter Value [start time]	Sample Name	Protocol REF	Parameter Value [Amplification]	Parameter Value [Extracted product]	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Factor Value [genotype]	Factor Value [individual]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
7-2-exp_1_040507	chromosome 5 disomic	7-2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	leaf	EFO	EFO_0000993	adult	EFO	EFO_0001272	P-MEXP-134916	23	soil (Huminsubstrat N3 and Vermiculit Nr. 2 2:1 micture)	5	4	7-2-exp_1_040507	P-MEXP-135114	none	total RNA	E_7-2-exp_1_040507	total_RNA	P-AFFY-2	L_7-2-exp_1_040507	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	H_7-2-exp_1_040507	A-AFFY-2	P-AFFY-6	chromosome 5 disomic	7-2	H_7-2-exp_1_040507	7-2-exp_1_040507.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1454/E-MEXP-1454.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1454-processed-data-1585861783.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1454/E-MEXP-1454.processed.1.zip
6-5-6_exp160807	chromosome 5 trisomic	6-5-6	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	leaf	EFO	EFO_0000993	adult	EFO	EFO_0001272	P-MEXP-134916	23	soil (Huminsubstrat N3 and Vermiculit Nr. 2 2:1 micture)	5	4	6-5-6_exp160807	P-MEXP-135114	none	total RNA	E_6-5-6_exp160807	total_RNA	P-AFFY-2	L_6-5-6_exp160807	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	H_6-5-6_exp160807	A-AFFY-2	P-AFFY-6	chromosome 5 trisomic	6-5-6	H_6-5-6_exp160807	6-5-6_exp160807.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1454/E-MEXP-1454.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1454-processed-data-1585861783.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1454/E-MEXP-1454.processed.1.zip
6-5-exp_1_040507	chromosome 5 trisomic	6-5	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	leaf	EFO	EFO_0000993	adult	EFO	EFO_0001272	P-MEXP-134916	23	soil (Huminsubstrat N3 and Vermiculit Nr. 2 2:1 micture)	5	4	6-5-exp_1_040507	P-MEXP-135114	none	total RNA	E_6-5-exp_1_040507	total_RNA	P-AFFY-2	L_6-5-exp_1_040507	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	H_6-5-exp_1_040507	A-AFFY-2	P-AFFY-6	chromosome 5 trisomic	6-5	H_6-5-exp_1_040507	6-5-exp_1_040507.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1454/E-MEXP-1454.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1454-processed-data-1585861783.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1454/E-MEXP-1454.processed.1.zip
7-2-1_exp160807	chromosome 5 disomic	7-2-1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	leaf	EFO	EFO_0000993	adult	EFO	EFO_0001272	P-MEXP-134916	23	soil (Huminsubstrat N3 and Vermiculit Nr. 2 2:1 micture)	5	4	7-2-1_exp160807	P-MEXP-135114	none	total RNA	E_7-2-1_exp160807	total_RNA	P-AFFY-2	L_7-2-1_exp160807	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	H_7-2-1_exp160807	A-AFFY-2	P-AFFY-6	chromosome 5 disomic	7-2-1	H_7-2-1_exp160807	7-2-1_exp160807.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1454/E-MEXP-1454.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1454-processed-data-1585861783.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1454/E-MEXP-1454.processed.1.zip
6-4-exp_090507	chromosome 5 disomic	6-4	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	leaf	EFO	EFO_0000993	adult	EFO	EFO_0001272	P-MEXP-134916	23	soil (Huminsubstrat N3 and Vermiculit Nr. 2 2:1 micture)	5	4	6-4-exp_090507	P-MEXP-135114	none	total RNA	E_6-4-exp_090507	total_RNA	P-AFFY-2	L_6-4-exp_090507	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	H_6-4-exp_090507	A-AFFY-2	P-AFFY-6	chromosome 5 disomic	6-4	H_6-4-exp_090507	6-4-exp_090507.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1454/E-MEXP-1454.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1454-processed-data-1585861783.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1454/E-MEXP-1454.processed.1.zip
6-4-4_exp160807	chromosome 5 disomic	6-4-4	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	leaf	EFO	EFO_0000993	adult	EFO	EFO_0001272	P-MEXP-134916	23	soil (Huminsubstrat N3 and Vermiculit Nr. 2 2:1 micture)	5	4	6-4-4_exp160807	P-MEXP-135114	none	total RNA	E_6-4-4_exp160807	total_RNA	P-AFFY-2	L_6-4-4_exp160807	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4_450	H_6-4-4_exp160807	A-AFFY-2	P-AFFY-6	chromosome 5 disomic	6-4-4	H_6-4-4_exp160807	6-4-4_exp160807.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1454/E-MEXP-1454.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1454-processed-data-1585861783.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1454/E-MEXP-1454.processed.1.zip
6-5-exp_1_040507	chromosome 5 trisomic	6-5	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	leaf	EFO	EFO_0000993	adult	EFO	EFO_0001272	P-MEXP-134916	23	soil (Huminsubstrat N3 and Vermiculit Nr. 2 2:1 micture)	5	4	6-5-exp_1_040507	P-MEXP-135114	none	total RNA	E_6-5-exp_1_040507	total_RNA	P-AFFY-2	L_6-5-exp_150607	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	H_6-5-exp_150607	A-AFFY-2	P-AFFY-6	chromosome 5 trisomic	6-5	H_6-5-exp_150607	6-5-exp_150607.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1454/E-MEXP-1454.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1454-processed-data-1585861783.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1454/E-MEXP-1454.processed.1.zip
6-7-exp_1_040507	chromosome 5 trisomic	6-7	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	leaf	EFO	EFO_0000993	adult	EFO	EFO_0001272	P-MEXP-134916	23	soil (Huminsubstrat N3 and Vermiculit Nr. 2 2:1 micture)	5	4	6-7-exp_1_040507	P-MEXP-135114	none	total RNA	E_6-7-exp_1_040507	total_RNA	P-AFFY-2	L_6-7-exp_150607	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	H_6-7-exp_150607	A-AFFY-2	P-AFFY-6	chromosome 5 trisomic	6-7	H_6-7-exp_150607	6-7-exp_150607.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1454/E-MEXP-1454.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1454-processed-data-1585861783.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1454/E-MEXP-1454.processed.1.zip
6-7-21_exp160807	chromosome 5 trisomic	6-7-21	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	leaf	EFO	EFO_0000993	adult	EFO	EFO_0001272	P-MEXP-134916	23	soil (Huminsubstrat N3 and Vermiculit Nr. 2 2:1 micture)	5	4	6-7-21_exp160807	P-MEXP-135114	none	total RNA	E_6-7-21_exp160807	total_RNA	P-AFFY-2	L_6-7-21_exp160807	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	H_6-7-21_exp160807	A-AFFY-2	P-AFFY-6	chromosome 5 trisomic	6-7-21	H_6-7-21_exp160807	6-7-21_exp160807.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1454/E-MEXP-1454.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1454-processed-data-1585861783.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1454/E-MEXP-1454.processed.1.zip
6-4-3_exp160807	chromosome 5 disomic	6-4-3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	leaf	EFO	EFO_0000993	adult	EFO	EFO_0001272	P-MEXP-134916	23	soil (Huminsubstrat N3 and Vermiculit Nr. 2 2:1 micture)	5	4	6-4-3_exp160807	P-MEXP-135114	none	total RNA	E_6-4-3_exp160807	total_RNA	P-AFFY-2	L_6-4-3_exp160807	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5_450	H_6-4-3_exp160807	A-AFFY-2	P-AFFY-6	chromosome 5 disomic	6-4-3	H_6-4-3_exp160807	6-4-3_exp160807.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1454/E-MEXP-1454.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-1454-processed-data-1585861783.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1454/E-MEXP-1454.processed.1.zip
