Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Provider	Characteristics [age]	Unit [time unit]	Characteristics [initial time point]	Characteristics [ecotype]	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [compound]	FactorValue [dose]	Unit [concentration unit]
GSM1436792 1	Arabidopsis thaliana seeds were surface sterilized with 95% (v/v) ethanol for 5 min and 20% (v/v) bleach for 12 min. After 5 times rinsing with sterile water, seeds were imbibed and stratified at 4°C for 3 days before being sown on Petri dishes containing sterile ½ Murashige and Skoog mediums (0.5X MS salts, 0.8% sucrose, 0.5g/L MES, pH 5.7 and 1% agar). Seeds were germinated on vertically positioned Petri dishes in a growth chamber with continuous light at a temperature of 21ºC. Three-days-old Col-0 and ibr1ibr3ibr10 seedlings (five days post-imbibition) were transferred from ½ MS medium to a fresh ½ MS medium supplemented with or without 10 μM indole-3-buytric acid (IBA) for 6 hours. Then, root tip segments (~4mm) were dissected from the primary root and harvested for further RNA extraction. For each treatment, at least 120 individual Col-0 or ibr1ibr3ibr10 mutant root tip segments were sampled and three independent biological replicates were performed. Hormone and DMSO solution were filer-sterilized before being added to the medium.	Root tip segment (~4mm) of ibr1ibr3ibr10 mutant (Col0 background) seedlings grown 3 days after germination on ½MS medium and transferred for 6 hours on IBA supplemented medium (10 μM).	IBA_ibr3_6h_rep3	Wei Xuan, Dominique Audenaert, Tom Beeckman, VIB Department of Plant Systems Biology, Ghent University, Technologiepark 927, 9052 Gent, BELGIUM	3	day	germination	Col-0	ibr1ibr3ibr10	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root tip	P-GSE59426-3	ArrayExpress	P-GSE59426-10	ArrayExpress	P-GSE59426-4	ArrayExpress	GSM1436792 extract 1	total RNA	P-GSE59426-5	ArrayExpress	GSM1436792 LE 1	biotin	P-GSE59426-6	ArrayExpress	GSM1436792	A-AFFY-2	ArrayExpress	array assay	P-GSE59426-7	ArrayExpress	GSM1436792_hyb12700.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59426/E-GEOD-59426.raw.1.zip	P-GSE59426-1	ArrayExpress	GSM1436792_sample_table.txt norm	GSM1436792_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59426/E-GEOD-59426.processed.1.zip	ibr1ibr3ibr10	indole-3-butyric acid	10	micromolar
GSM1436788 1	Arabidopsis thaliana seeds were surface sterilized with 95% (v/v) ethanol for 5 min and 20% (v/v) bleach for 12 min. After 5 times rinsing with sterile water, seeds were imbibed and stratified at 4°C for 3 days before being sown on Petri dishes containing sterile ½ Murashige and Skoog mediums (0.5X MS salts, 0.8% sucrose, 0.5g/L MES, pH 5.7 and 1% agar). Seeds were germinated on vertically positioned Petri dishes in a growth chamber with continuous light at a temperature of 21ºC. Three-days-old Col-0 and ibr1ibr3ibr10 seedlings (five days post-imbibition) were transferred from ½ MS medium to a fresh ½ MS medium supplemented with or without 10 μM indole-3-buytric acid (IBA) for 6 hours. Then, root tip segments (~4mm) were dissected from the primary root and harvested for further RNA extraction. For each treatment, at least 120 individual Col-0 or ibr1ibr3ibr10 mutant root tip segments were sampled and three independent biological replicates were performed. Hormone and DMSO solution were filer-sterilized before being added to the medium.	Root tip segment (~4mm) of ibr1ibr3ibr10 mutant (Col0 background) seedlings grown 3 days after germination on ½MS medium and transferred for 6 hours on IBA supplemented medium (10 μM).	IBA_ibr3_6h_rep2	Wei Xuan, Dominique Audenaert, Tom Beeckman, VIB Department of Plant Systems Biology, Ghent University, Technologiepark 927, 9052 Gent, BELGIUM	3	day	germination	Col-0	ibr1ibr3ibr10	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root tip	P-GSE59426-3	ArrayExpress	P-GSE59426-10	ArrayExpress	P-GSE59426-4	ArrayExpress	GSM1436788 extract 1	total RNA	P-GSE59426-5	ArrayExpress	GSM1436788 LE 1	biotin	P-GSE59426-6	ArrayExpress	GSM1436788	A-AFFY-2	ArrayExpress	array assay	P-GSE59426-7	ArrayExpress	GSM1436788_hyb12696.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59426/E-GEOD-59426.raw.1.zip	P-GSE59426-1	ArrayExpress	GSM1436788_sample_table.txt norm	GSM1436788_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59426/E-GEOD-59426.processed.1.zip	ibr1ibr3ibr10	indole-3-butyric acid	10	micromolar
GSM1436784 1	Arabidopsis thaliana seeds were surface sterilized with 95% (v/v) ethanol for 5 min and 20% (v/v) bleach for 12 min. After 5 times rinsing with sterile water, seeds were imbibed and stratified at 4°C for 3 days before being sown on Petri dishes containing sterile ½ Murashige and Skoog mediums (0.5X MS salts, 0.8% sucrose, 0.5g/L MES, pH 5.7 and 1% agar). Seeds were germinated on vertically positioned Petri dishes in a growth chamber with continuous light at a temperature of 21ºC. Three-days-old Col-0 and ibr1ibr3ibr10 seedlings (five days post-imbibition) were transferred from ½ MS medium to a fresh ½ MS medium supplemented with or without 10 μM indole-3-buytric acid (IBA) for 6 hours. Then, root tip segments (~4mm) were dissected from the primary root and harvested for further RNA extraction. For each treatment, at least 120 individual Col-0 or ibr1ibr3ibr10 mutant root tip segments were sampled and three independent biological replicates were performed. Hormone and DMSO solution were filer-sterilized before being added to the medium.	Root tip segment (~4mm) of ibr1ibr3ibr10 mutant (Col0 background) seedlings grown 3 days after germination on ½MS medium and transferred for 6 hours on IBA supplemented medium (10 μM).	IBA_ibr3_6h_rep1	Wei Xuan, Dominique Audenaert, Tom Beeckman, VIB Department of Plant Systems Biology, Ghent University, Technologiepark 927, 9052 Gent, BELGIUM	3	day	germination	Col-0	ibr1ibr3ibr10	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root tip	P-GSE59426-3	ArrayExpress	P-GSE59426-10	ArrayExpress	P-GSE59426-4	ArrayExpress	GSM1436784 extract 1	total RNA	P-GSE59426-5	ArrayExpress	GSM1436784 LE 1	biotin	P-GSE59426-6	ArrayExpress	GSM1436784	A-AFFY-2	ArrayExpress	array assay	P-GSE59426-7	ArrayExpress	GSM1436784_hyb12692.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59426/E-GEOD-59426.raw.1.zip	P-GSE59426-1	ArrayExpress	GSM1436784_sample_table.txt norm	GSM1436784_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59426/E-GEOD-59426.processed.1.zip	ibr1ibr3ibr10	indole-3-butyric acid	10	micromolar
GSM1436790 1	Arabidopsis thaliana seeds were surface sterilized with 95% (v/v) ethanol for 5 min and 20% (v/v) bleach for 12 min. After 5 times rinsing with sterile water, seeds were imbibed and stratified at 4°C for 3 days before being sown on Petri dishes containing sterile ½ Murashige and Skoog mediums (0.5X MS salts, 0.8% sucrose, 0.5g/L MES, pH 5.7 and 1% agar). Seeds were germinated on vertically positioned Petri dishes in a growth chamber with continuous light at a temperature of 21ºC. Three-days-old Col-0 and ibr1ibr3ibr10 seedlings (five days post-imbibition) were transferred from ½ MS medium to a fresh ½ MS medium supplemented with or without 10 μM indole-3-buytric acid (IBA) for 6 hours. Then, root tip segments (~4mm) were dissected from the primary root and harvested for further RNA extraction. For each treatment, at least 120 individual Col-0 or ibr1ibr3ibr10 mutant root tip segments were sampled and three independent biological replicates were performed. Hormone and DMSO solution were filer-sterilized before being added to the medium.	Root tip segment (~4mm) of ibr1ibr3ibr10 mutant (Col0 background) seedlings grown 3 days after germination on ½MS medium and transferred for 6 hours on DMSO supplemented medium.	DMSO_ibr3_0h_rep3	Wei Xuan, Dominique Audenaert, Tom Beeckman, VIB Department of Plant Systems Biology, Ghent University, Technologiepark 927, 9052 Gent, BELGIUM	3	day	germination	Col-0	ibr1ibr3ibr10	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root tip	P-GSE59426-3	ArrayExpress	P-GSE59426-8	ArrayExpress	P-GSE59426-4	ArrayExpress	GSM1436790 extract 1	total RNA	P-GSE59426-5	ArrayExpress	GSM1436790 LE 1	biotin	P-GSE59426-6	ArrayExpress	GSM1436790	A-AFFY-2	ArrayExpress	array assay	P-GSE59426-7	ArrayExpress	GSM1436790_hyb12698.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59426/E-GEOD-59426.raw.1.zip	P-GSE59426-1	ArrayExpress	GSM1436790_sample_table.txt norm	GSM1436790_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59426/E-GEOD-59426.processed.1.zip	ibr1ibr3ibr10	DMSO	  	        
GSM1436786 1	Arabidopsis thaliana seeds were surface sterilized with 95% (v/v) ethanol for 5 min and 20% (v/v) bleach for 12 min. After 5 times rinsing with sterile water, seeds were imbibed and stratified at 4°C for 3 days before being sown on Petri dishes containing sterile ½ Murashige and Skoog mediums (0.5X MS salts, 0.8% sucrose, 0.5g/L MES, pH 5.7 and 1% agar). Seeds were germinated on vertically positioned Petri dishes in a growth chamber with continuous light at a temperature of 21ºC. Three-days-old Col-0 and ibr1ibr3ibr10 seedlings (five days post-imbibition) were transferred from ½ MS medium to a fresh ½ MS medium supplemented with or without 10 μM indole-3-buytric acid (IBA) for 6 hours. Then, root tip segments (~4mm) were dissected from the primary root and harvested for further RNA extraction. For each treatment, at least 120 individual Col-0 or ibr1ibr3ibr10 mutant root tip segments were sampled and three independent biological replicates were performed. Hormone and DMSO solution were filer-sterilized before being added to the medium.	Root tip segment (~4mm) of ibr1ibr3ibr10 mutant (Col0 background) seedlings grown 3 days after germination on ½MS medium and transferred for 6 hours on DMSO supplemented medium.	DMSO_ibr3_0h_rep2	Wei Xuan, Dominique Audenaert, Tom Beeckman, VIB Department of Plant Systems Biology, Ghent University, Technologiepark 927, 9052 Gent, BELGIUM	3	day	germination	Col-0	ibr1ibr3ibr10	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root tip	P-GSE59426-3	ArrayExpress	P-GSE59426-8	ArrayExpress	P-GSE59426-4	ArrayExpress	GSM1436786 extract 1	total RNA	P-GSE59426-5	ArrayExpress	GSM1436786 LE 1	biotin	P-GSE59426-6	ArrayExpress	GSM1436786	A-AFFY-2	ArrayExpress	array assay	P-GSE59426-7	ArrayExpress	GSM1436786_hyb12694.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59426/E-GEOD-59426.raw.1.zip	P-GSE59426-1	ArrayExpress	GSM1436786_sample_table.txt norm	GSM1436786_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59426/E-GEOD-59426.processed.1.zip	ibr1ibr3ibr10	DMSO	  	        
GSM1436782 1	Arabidopsis thaliana seeds were surface sterilized with 95% (v/v) ethanol for 5 min and 20% (v/v) bleach for 12 min. After 5 times rinsing with sterile water, seeds were imbibed and stratified at 4°C for 3 days before being sown on Petri dishes containing sterile ½ Murashige and Skoog mediums (0.5X MS salts, 0.8% sucrose, 0.5g/L MES, pH 5.7 and 1% agar). Seeds were germinated on vertically positioned Petri dishes in a growth chamber with continuous light at a temperature of 21ºC. Three-days-old Col-0 and ibr1ibr3ibr10 seedlings (five days post-imbibition) were transferred from ½ MS medium to a fresh ½ MS medium supplemented with or without 10 μM indole-3-buytric acid (IBA) for 6 hours. Then, root tip segments (~4mm) were dissected from the primary root and harvested for further RNA extraction. For each treatment, at least 120 individual Col-0 or ibr1ibr3ibr10 mutant root tip segments were sampled and three independent biological replicates were performed. Hormone and DMSO solution were filer-sterilized before being added to the medium.	Root tip segment (~4mm) of ibr1ibr3ibr10 mutant (Col0 background) seedlings grown 3 days after germination on ½MS medium and transferred for 6 hours on DMSO supplemented medium.	DMSO_ibr3_0h_rep1	Wei Xuan, Dominique Audenaert, Tom Beeckman, VIB Department of Plant Systems Biology, Ghent University, Technologiepark 927, 9052 Gent, BELGIUM	3	day	germination	Col-0	ibr1ibr3ibr10	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root tip	P-GSE59426-3	ArrayExpress	P-GSE59426-8	ArrayExpress	P-GSE59426-4	ArrayExpress	GSM1436782 extract 1	total RNA	P-GSE59426-5	ArrayExpress	GSM1436782 LE 1	biotin	P-GSE59426-6	ArrayExpress	GSM1436782	A-AFFY-2	ArrayExpress	array assay	P-GSE59426-7	ArrayExpress	GSM1436782_hyb12690.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59426/E-GEOD-59426.raw.1.zip	P-GSE59426-1	ArrayExpress	GSM1436782_sample_table.txt norm	GSM1436782_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59426/E-GEOD-59426.processed.1.zip	ibr1ibr3ibr10	DMSO	  	        
GSM1436791 1	Arabidopsis thaliana seeds were surface sterilized with 95% (v/v) ethanol for 5 min and 20% (v/v) bleach for 12 min. After 5 times rinsing with sterile water, seeds were imbibed and stratified at 4°C for 3 days before being sown on Petri dishes containing sterile ½ Murashige and Skoog mediums (0.5X MS salts, 0.8% sucrose, 0.5g/L MES, pH 5.7 and 1% agar). Seeds were germinated on vertically positioned Petri dishes in a growth chamber with continuous light at a temperature of 21ºC. Three-days-old Col-0 and ibr1ibr3ibr10 seedlings (five days post-imbibition) were transferred from ½ MS medium to a fresh ½ MS medium supplemented with or without 10 μM indole-3-buytric acid (IBA) for 6 hours. Then, root tip segments (~4mm) were dissected from the primary root and harvested for further RNA extraction. For each treatment, at least 120 individual Col-0 or ibr1ibr3ibr10 mutant root tip segments were sampled and three independent biological replicates were performed. Hormone and DMSO solution were filer-sterilized before being added to the medium.	Root tip segment (~4mm) of wild type Col0 seedlings grown 3 days after germination on DMSO ½MS medium and transferred for 6 hours on IBA supplemented medium (10 μM).	IBA_Col_6h_rep3	Wei Xuan, Dominique Audenaert, Tom Beeckman, VIB Department of Plant Systems Biology, Ghent University, Technologiepark 927, 9052 Gent, BELGIUM	3	day	germination	Col-0	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root tip	P-GSE59426-3	ArrayExpress	P-GSE59426-9	ArrayExpress	P-GSE59426-4	ArrayExpress	GSM1436791 extract 1	total RNA	P-GSE59426-5	ArrayExpress	GSM1436791 LE 1	biotin	P-GSE59426-6	ArrayExpress	GSM1436791	A-AFFY-2	ArrayExpress	array assay	P-GSE59426-7	ArrayExpress	GSM1436791_hyb12699.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59426/E-GEOD-59426.raw.1.zip	P-GSE59426-1	ArrayExpress	GSM1436791_sample_table.txt norm	GSM1436791_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59426/E-GEOD-59426.processed.1.zip	wild type	indole-3-butyric acid	10	micromolar
GSM1436787 1	Arabidopsis thaliana seeds were surface sterilized with 95% (v/v) ethanol for 5 min and 20% (v/v) bleach for 12 min. After 5 times rinsing with sterile water, seeds were imbibed and stratified at 4°C for 3 days before being sown on Petri dishes containing sterile ½ Murashige and Skoog mediums (0.5X MS salts, 0.8% sucrose, 0.5g/L MES, pH 5.7 and 1% agar). Seeds were germinated on vertically positioned Petri dishes in a growth chamber with continuous light at a temperature of 21ºC. Three-days-old Col-0 and ibr1ibr3ibr10 seedlings (five days post-imbibition) were transferred from ½ MS medium to a fresh ½ MS medium supplemented with or without 10 μM indole-3-buytric acid (IBA) for 6 hours. Then, root tip segments (~4mm) were dissected from the primary root and harvested for further RNA extraction. For each treatment, at least 120 individual Col-0 or ibr1ibr3ibr10 mutant root tip segments were sampled and three independent biological replicates were performed. Hormone and DMSO solution were filer-sterilized before being added to the medium.	Root tip segment (~4mm) of wild type Col0 seedlings grown 3 days after germination on DMSO ½MS medium and transferred for 6 hours on IBA supplemented medium (10 μM).	IBA_Col_6h_rep2	Wei Xuan, Dominique Audenaert, Tom Beeckman, VIB Department of Plant Systems Biology, Ghent University, Technologiepark 927, 9052 Gent, BELGIUM	3	day	germination	Col-0	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root tip	P-GSE59426-3	ArrayExpress	P-GSE59426-9	ArrayExpress	P-GSE59426-4	ArrayExpress	GSM1436787 extract 1	total RNA	P-GSE59426-5	ArrayExpress	GSM1436787 LE 1	biotin	P-GSE59426-6	ArrayExpress	GSM1436787	A-AFFY-2	ArrayExpress	array assay	P-GSE59426-7	ArrayExpress	GSM1436787_hyb12695.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59426/E-GEOD-59426.raw.1.zip	P-GSE59426-1	ArrayExpress	GSM1436787_sample_table.txt norm	GSM1436787_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59426/E-GEOD-59426.processed.1.zip	wild type	indole-3-butyric acid	10	micromolar
GSM1436783 1	Arabidopsis thaliana seeds were surface sterilized with 95% (v/v) ethanol for 5 min and 20% (v/v) bleach for 12 min. After 5 times rinsing with sterile water, seeds were imbibed and stratified at 4°C for 3 days before being sown on Petri dishes containing sterile ½ Murashige and Skoog mediums (0.5X MS salts, 0.8% sucrose, 0.5g/L MES, pH 5.7 and 1% agar). Seeds were germinated on vertically positioned Petri dishes in a growth chamber with continuous light at a temperature of 21ºC. Three-days-old Col-0 and ibr1ibr3ibr10 seedlings (five days post-imbibition) were transferred from ½ MS medium to a fresh ½ MS medium supplemented with or without 10 μM indole-3-buytric acid (IBA) for 6 hours. Then, root tip segments (~4mm) were dissected from the primary root and harvested for further RNA extraction. For each treatment, at least 120 individual Col-0 or ibr1ibr3ibr10 mutant root tip segments were sampled and three independent biological replicates were performed. Hormone and DMSO solution were filer-sterilized before being added to the medium.	Root tip segment (~4mm) of wild type Col0 seedlings grown 3 days after germination on DMSO ½MS medium and transferred for 6 hours on IBA supplemented medium (10 μM).	IBA_Col_6h_rep1	Wei Xuan, Dominique Audenaert, Tom Beeckman, VIB Department of Plant Systems Biology, Ghent University, Technologiepark 927, 9052 Gent, BELGIUM	3	day	germination	Col-0	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root tip	P-GSE59426-3	ArrayExpress	P-GSE59426-9	ArrayExpress	P-GSE59426-4	ArrayExpress	GSM1436783 extract 1	total RNA	P-GSE59426-5	ArrayExpress	GSM1436783 LE 1	biotin	P-GSE59426-6	ArrayExpress	GSM1436783	A-AFFY-2	ArrayExpress	array assay	P-GSE59426-7	ArrayExpress	GSM1436783_hyb12691.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59426/E-GEOD-59426.raw.1.zip	P-GSE59426-1	ArrayExpress	GSM1436783_sample_table.txt norm	GSM1436783_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59426/E-GEOD-59426.processed.1.zip	wild type	indole-3-butyric acid	10	micromolar
GSM1436789 1	Arabidopsis thaliana seeds were surface sterilized with 95% (v/v) ethanol for 5 min and 20% (v/v) bleach for 12 min. After 5 times rinsing with sterile water, seeds were imbibed and stratified at 4°C for 3 days before being sown on Petri dishes containing sterile ½ Murashige and Skoog mediums (0.5X MS salts, 0.8% sucrose, 0.5g/L MES, pH 5.7 and 1% agar). Seeds were germinated on vertically positioned Petri dishes in a growth chamber with continuous light at a temperature of 21ºC. Three-days-old Col-0 and ibr1ibr3ibr10 seedlings (five days post-imbibition) were transferred from ½ MS medium to a fresh ½ MS medium supplemented with or without 10 μM indole-3-buytric acid (IBA) for 6 hours. Then, root tip segments (~4mm) were dissected from the primary root and harvested for further RNA extraction. For each treatment, at least 120 individual Col-0 or ibr1ibr3ibr10 mutant root tip segments were sampled and three independent biological replicates were performed. Hormone and DMSO solution were filer-sterilized before being added to the medium.	Root tip segment (~4mm) of wild type Col0 seedlings grown 3 days after germination on ½MS medium and transferred for 6 hours on DMSO supplemented medium (control).	DMSO_Col_0h_rep3	Wei Xuan, Dominique Audenaert, Tom Beeckman, VIB Department of Plant Systems Biology, Ghent University, Technologiepark 927, 9052 Gent, BELGIUM	3	day	germination	Col-0	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root tip	P-GSE59426-3	ArrayExpress	P-GSE59426-2	ArrayExpress	P-GSE59426-4	ArrayExpress	GSM1436789 extract 1	total RNA	P-GSE59426-5	ArrayExpress	GSM1436789 LE 1	biotin	P-GSE59426-6	ArrayExpress	GSM1436789	A-AFFY-2	ArrayExpress	array assay	P-GSE59426-7	ArrayExpress	GSM1436789_hyb12697.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59426/E-GEOD-59426.raw.1.zip	P-GSE59426-1	ArrayExpress	GSM1436789_sample_table.txt norm	GSM1436789_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-59426/E-GEOD-59426.processed.1.zip	wild type	DMSO	  	        
