Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [ecotype]	Term Source REF	Term Accession Number	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]
GSM1844784 1	Gene expression data during (120 min) de-etiolation	fc1 seedlings with 120 min light exposure	fc1 at T2, biological rep2	Col-0	EFO	EFO_0005148	fc1-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole 4 day old seedlings	P-GSE71764-2	ArrayExpress	P-GSE71764-3	ArrayExpress	P-GSE71764-4	ArrayExpress	GSM1844784 extract 1	total RNA	P-GSE71764-5	ArrayExpress	GSM1844784 LE 1	biotin	P-GSE71764-6	ArrayExpress	GSM1844784	A-AFFY-2	ArrayExpress	array assay	P-GSE71764-7	ArrayExpress	GSM1844784_24_Arabidopsis_fc1_T2-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71764/E-GEOD-71764.raw.1.zip	P-GSE71764-1	ArrayExpress	GSM1844784_sample_table.txt norm	GSM1844784_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71764/E-GEOD-71764.processed.1.zip	fc1-1
GSM1844783 1	Gene expression data during (120 min) de-etiolation	fc1 seedlings with 120 min light exposure	fc1 at T2, biological rep1	Col-0	EFO	EFO_0005148	fc1-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole 4 day old seedlings	P-GSE71764-2	ArrayExpress	P-GSE71764-3	ArrayExpress	P-GSE71764-4	ArrayExpress	GSM1844783 extract 1	total RNA	P-GSE71764-5	ArrayExpress	GSM1844783 LE 1	biotin	P-GSE71764-6	ArrayExpress	GSM1844783	A-AFFY-2	ArrayExpress	array assay	P-GSE71764-7	ArrayExpress	GSM1844783_23_Arabidopsis_fc1_T2-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71764/E-GEOD-71764.raw.1.zip	P-GSE71764-1	ArrayExpress	GSM1844783_sample_table.txt norm	GSM1844783_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71764/E-GEOD-71764.processed.1.zip	fc1-1
GSM1844782 1	Gene expression data during (120 min) de-etiolation	flu seedlings with 120 min light exposure	flu at T2, biological rep2	Col-0	EFO	EFO_0005148	flu	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole 4 day old seedlings	P-GSE71764-2	ArrayExpress	P-GSE71764-3	ArrayExpress	P-GSE71764-4	ArrayExpress	GSM1844782 extract 1	total RNA	P-GSE71764-5	ArrayExpress	GSM1844782 LE 1	biotin	P-GSE71764-6	ArrayExpress	GSM1844782	A-AFFY-2	ArrayExpress	array assay	P-GSE71764-7	ArrayExpress	GSM1844782_22_Arabidopsis_flu_T2-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71764/E-GEOD-71764.raw.1.zip	P-GSE71764-1	ArrayExpress	GSM1844782_sample_table.txt norm	GSM1844782_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71764/E-GEOD-71764.processed.1.zip	flu
GSM1844781 1	Gene expression data during (120 min) de-etiolation	flu seedlings with 120 min light exposure	flu at T2, biological rep1	Col-0	EFO	EFO_0005148	flu	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole 4 day old seedlings	P-GSE71764-2	ArrayExpress	P-GSE71764-3	ArrayExpress	P-GSE71764-4	ArrayExpress	GSM1844781 extract 1	total RNA	P-GSE71764-5	ArrayExpress	GSM1844781 LE 1	biotin	P-GSE71764-6	ArrayExpress	GSM1844781	A-AFFY-2	ArrayExpress	array assay	P-GSE71764-7	ArrayExpress	GSM1844781_21_Arabidopsis_flu_T2-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71764/E-GEOD-71764.raw.1.zip	P-GSE71764-1	ArrayExpress	GSM1844781_sample_table.txt norm	GSM1844781_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71764/E-GEOD-71764.processed.1.zip	flu
GSM1844780 1	Gene expression data during (120 min) de-etiolation	fc2 seedlings with 120 min light exposure	fc2 at T2, biological rep2	Col-0	EFO	EFO_0005148	fc2-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole 4 day old seedlings	P-GSE71764-2	ArrayExpress	P-GSE71764-3	ArrayExpress	P-GSE71764-4	ArrayExpress	GSM1844780 extract 1	total RNA	P-GSE71764-5	ArrayExpress	GSM1844780 LE 1	biotin	P-GSE71764-6	ArrayExpress	GSM1844780	A-AFFY-2	ArrayExpress	array assay	P-GSE71764-7	ArrayExpress	GSM1844780_20_Arabidopsis_fc2_T2-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71764/E-GEOD-71764.raw.1.zip	P-GSE71764-1	ArrayExpress	GSM1844780_sample_table.txt norm	GSM1844780_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71764/E-GEOD-71764.processed.1.zip	fc2-1
GSM1844779 1	Gene expression data during (120 min) de-etiolation	fc2 seedlings with 120 min light exposure	fc2 at T2, biological rep1	Col-0	EFO	EFO_0005148	fc2-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole 4 day old seedlings	P-GSE71764-2	ArrayExpress	P-GSE71764-3	ArrayExpress	P-GSE71764-4	ArrayExpress	GSM1844779 extract 1	total RNA	P-GSE71764-5	ArrayExpress	GSM1844779 LE 1	biotin	P-GSE71764-6	ArrayExpress	GSM1844779	A-AFFY-2	ArrayExpress	array assay	P-GSE71764-7	ArrayExpress	GSM1844779_19_Arabidopsis_fc2_T2-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71764/E-GEOD-71764.raw.1.zip	P-GSE71764-1	ArrayExpress	GSM1844779_sample_table.txt norm	GSM1844779_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71764/E-GEOD-71764.processed.1.zip	fc2-1
GSM1844778 1	Gene expression data during (120 min) de-etiolation	wt seedlings with 120 min light exposure	wt at T2, biological rep2	Col-0	EFO	EFO_0005148	wt	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole 4 day old seedlings	P-GSE71764-2	ArrayExpress	P-GSE71764-3	ArrayExpress	P-GSE71764-4	ArrayExpress	GSM1844778 extract 1	total RNA	P-GSE71764-5	ArrayExpress	GSM1844778 LE 1	biotin	P-GSE71764-6	ArrayExpress	GSM1844778	A-AFFY-2	ArrayExpress	array assay	P-GSE71764-7	ArrayExpress	GSM1844778_18_Arabidopsis_wt_T2-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71764/E-GEOD-71764.raw.1.zip	P-GSE71764-1	ArrayExpress	GSM1844778_sample_table.txt norm	GSM1844778_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71764/E-GEOD-71764.processed.1.zip	wt
GSM1844777 1	Gene expression data during (120 min) de-etiolation	wt seedlings with 120 min light exposure	wt at T2, biological rep1	Col-0	EFO	EFO_0005148	wt	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole 4 day old seedlings	P-GSE71764-2	ArrayExpress	P-GSE71764-3	ArrayExpress	P-GSE71764-4	ArrayExpress	GSM1844777 extract 1	total RNA	P-GSE71764-5	ArrayExpress	GSM1844777 LE 1	biotin	P-GSE71764-6	ArrayExpress	GSM1844777	A-AFFY-2	ArrayExpress	array assay	P-GSE71764-7	ArrayExpress	GSM1844777_17_Arabidopsis_wt_T2-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71764/E-GEOD-71764.raw.1.zip	P-GSE71764-1	ArrayExpress	GSM1844777_sample_table.txt norm	GSM1844777_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71764/E-GEOD-71764.processed.1.zip	wt
GSM1844776 1	Gene expression data during (30 min) de-etiolation	fc1 seedlings with 30 min light exposure	fc1 at T1, biological rep2	Col-0	EFO	EFO_0005148	fc1-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole 4 day old seedlings	P-GSE71764-2	ArrayExpress	P-GSE71764-3	ArrayExpress	P-GSE71764-4	ArrayExpress	GSM1844776 extract 1	total RNA	P-GSE71764-5	ArrayExpress	GSM1844776 LE 1	biotin	P-GSE71764-6	ArrayExpress	GSM1844776	A-AFFY-2	ArrayExpress	array assay	P-GSE71764-7	ArrayExpress	GSM1844776_16_Arabidopsis_fc1_T1-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71764/E-GEOD-71764.raw.1.zip	P-GSE71764-1	ArrayExpress	GSM1844776_sample_table.txt norm	GSM1844776_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71764/E-GEOD-71764.processed.1.zip	fc1-1
GSM1844775 1	Gene expression data during (30 min) de-etiolation	fc1 seedlings with 30 min light exposure	fc1 at T1, biological rep1	Col-0	EFO	EFO_0005148	fc1-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole 4 day old seedlings	P-GSE71764-2	ArrayExpress	P-GSE71764-3	ArrayExpress	P-GSE71764-4	ArrayExpress	GSM1844775 extract 1	total RNA	P-GSE71764-5	ArrayExpress	GSM1844775 LE 1	biotin	P-GSE71764-6	ArrayExpress	GSM1844775	A-AFFY-2	ArrayExpress	array assay	P-GSE71764-7	ArrayExpress	GSM1844775_15_Arabidopsis_fc1_T1-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71764/E-GEOD-71764.raw.1.zip	P-GSE71764-1	ArrayExpress	GSM1844775_sample_table.txt norm	GSM1844775_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71764/E-GEOD-71764.processed.1.zip	fc1-1
