Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [age]	Unit[time unit]	Characteristics[developmental stage]	Characteristics [genotype]	Characteristics [organism part]	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [compound]	FactorValue [dose]	Unit[concentration unit]
GSM879336 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	14	day	seedling	Col:LUC (wild-type)	aerial part	Gene expression data from Arabidopsis Col:LUC (wildtype) seedlings treated with water control	14 day old Col-Luc (WT) seedlings	Col-Luc wild-type seedlings treated with mock water control, rep 3	P-GSE36011-2	ArrayExpress	P-GSE36011-3	ArrayExpress	P-GSE36011-4	ArrayExpress	GSM879336 extract 1	total RNA	P-GSE36011-5	ArrayExpress	GSM879336 LE 1	biotin	P-GSE36011-6	ArrayExpress	GSM879336	A-AFFY-2	ArrayExpress	array assay	P-GSE36011-7	ArrayExpress	P-GSE36011-8	ArrayExpress	GSM879336.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36011/E-GEOD-36011.raw.1.zip	P-GSE36011-1	ArrayExpress	GSM879336_sample_table.txt norm	GSM879336_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36011/E-GEOD-36011.processed.1.zip	wild type	water	0	micromolar
GSM879335 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	14	day	seedling	Col:LUC (wild-type)	aerial part	Gene expression data from Arabidopsis Col:LUC (wildtype) seedlings treated with water control	14 day old Col-Luc (WT) seedlings	Col-Luc wild-type seedlings treated with mock water control, rep 2	P-GSE36011-2	ArrayExpress	P-GSE36011-3	ArrayExpress	P-GSE36011-4	ArrayExpress	GSM879335 extract 1	total RNA	P-GSE36011-5	ArrayExpress	GSM879335 LE 1	biotin	P-GSE36011-6	ArrayExpress	GSM879335	A-AFFY-2	ArrayExpress	array assay	P-GSE36011-7	ArrayExpress	P-GSE36011-8	ArrayExpress	GSM879335.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36011/E-GEOD-36011.raw.1.zip	P-GSE36011-1	ArrayExpress	GSM879335_sample_table.txt norm	GSM879335_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36011/E-GEOD-36011.processed.1.zip	wild type	water	0	micromolar
GSM879334 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	14	day	seedling	Col:LUC (wild-type)	aerial part	Gene expression data from Arabidopsis Col:LUC (wildtype) seedlings treated with water control	14 day old Col-Luc (WT) seedlings	Col-Luc wild-type seedlings treated with mock water control, rep 1	P-GSE36011-2	ArrayExpress	P-GSE36011-3	ArrayExpress	P-GSE36011-4	ArrayExpress	GSM879334 extract 1	total RNA	P-GSE36011-5	ArrayExpress	GSM879334 LE 1	biotin	P-GSE36011-6	ArrayExpress	GSM879334	A-AFFY-2	ArrayExpress	array assay	P-GSE36011-7	ArrayExpress	P-GSE36011-8	ArrayExpress	GSM879334.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36011/E-GEOD-36011.raw.1.zip	P-GSE36011-1	ArrayExpress	GSM879334_sample_table.txt norm	GSM879334_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36011/E-GEOD-36011.processed.1.zip	wild type	water	0	micromolar
GSM879333 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	14	day	seedling	Col:LUC (wild-type)	aerial part	Gene expression data from Arabidopsis Col:LUC (wildtype) seedlings treated with 3 hours antimycin A	14 day old Col-Luc (WT) seedlings	Col-Luc wild-type seedlings treated with 3 hours antimycin A, rep 3	P-GSE36011-2	ArrayExpress	P-GSE36011-3	ArrayExpress	P-GSE36011-4	ArrayExpress	GSM879333 extract 1	total RNA	P-GSE36011-5	ArrayExpress	GSM879333 LE 1	biotin	P-GSE36011-6	ArrayExpress	GSM879333	A-AFFY-2	ArrayExpress	array assay	P-GSE36011-7	ArrayExpress	P-GSE36011-8	ArrayExpress	GSM879333.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36011/E-GEOD-36011.raw.1.zip	P-GSE36011-1	ArrayExpress	GSM879333_sample_table.txt norm	GSM879333_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36011/E-GEOD-36011.processed.1.zip	wild type	antimycin A 	50	micromolar
GSM879332 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	14	day	seedling	Col:LUC (wild-type)	aerial part	Gene expression data from Arabidopsis Col:LUC (wildtype) seedlings treated with 3 hours antimycin A	14 day old Col-Luc (WT) seedlings	Col-Luc wild-type seedlings treated with 3 hours antimycin A, rep 2	P-GSE36011-2	ArrayExpress	P-GSE36011-3	ArrayExpress	P-GSE36011-4	ArrayExpress	GSM879332 extract 1	total RNA	P-GSE36011-5	ArrayExpress	GSM879332 LE 1	biotin	P-GSE36011-6	ArrayExpress	GSM879332	A-AFFY-2	ArrayExpress	array assay	P-GSE36011-7	ArrayExpress	P-GSE36011-8	ArrayExpress	GSM879332.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36011/E-GEOD-36011.raw.1.zip	P-GSE36011-1	ArrayExpress	GSM879332_sample_table.txt norm	GSM879332_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36011/E-GEOD-36011.processed.1.zip	wild type	antimycin A 	50	micromolar
GSM879331 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	14	day	seedling	Col:LUC (wild-type)	aerial part	Gene expression data from Arabidopsis Col:LUC (wildtype) seedlings treated with 3 hours antimycin A	14 day old Col-Luc (WT) seedlings	Col-Luc wild-type seedlings treated with 3 hours antimycin A, rep 1	P-GSE36011-2	ArrayExpress	P-GSE36011-3	ArrayExpress	P-GSE36011-4	ArrayExpress	GSM879331 extract 1	total RNA	P-GSE36011-5	ArrayExpress	GSM879331 LE 1	biotin	P-GSE36011-6	ArrayExpress	GSM879331	A-AFFY-2	ArrayExpress	array assay	P-GSE36011-7	ArrayExpress	P-GSE36011-8	ArrayExpress	GSM879331.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36011/E-GEOD-36011.raw.1.zip	P-GSE36011-1	ArrayExpress	GSM879331_sample_table.txt norm	GSM879331_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36011/E-GEOD-36011.processed.1.zip	wild type	antimycin A 	50	micromolar
GSM879330 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	14	day	seedling	rao1-1 (regulators of alternative oxidase 1a mutants)	aerial part	Gene expression data from Arabidopsis rao1-1 mutant seedlings treated with water control	14 day old rao1-1 seedlings	rao1-1 mutant seedlings treated with mock water control, rep 3	P-GSE36011-2	ArrayExpress	P-GSE36011-3	ArrayExpress	P-GSE36011-4	ArrayExpress	GSM879330 extract 1	total RNA	P-GSE36011-5	ArrayExpress	GSM879330 LE 1	biotin	P-GSE36011-6	ArrayExpress	GSM879330	A-AFFY-2	ArrayExpress	array assay	P-GSE36011-7	ArrayExpress	P-GSE36011-8	ArrayExpress	GSM879330.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36011/E-GEOD-36011.raw.1.zip	P-GSE36011-1	ArrayExpress	GSM879330_sample_table.txt norm	GSM879330_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36011/E-GEOD-36011.processed.1.zip	rao1-1 mutant	water	0	micromolar
GSM879329 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	14	day	seedling	rao1-1 (regulators of alternative oxidase 1a mutants)	aerial part	Gene expression data from Arabidopsis rao1-1 mutant seedlings treated with water control	14 day old rao1-1 seedlings	rao1-1 mutant seedlings treated with mock water control, rep 2	P-GSE36011-2	ArrayExpress	P-GSE36011-3	ArrayExpress	P-GSE36011-4	ArrayExpress	GSM879329 extract 1	total RNA	P-GSE36011-5	ArrayExpress	GSM879329 LE 1	biotin	P-GSE36011-6	ArrayExpress	GSM879329	A-AFFY-2	ArrayExpress	array assay	P-GSE36011-7	ArrayExpress	P-GSE36011-8	ArrayExpress	GSM879329.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36011/E-GEOD-36011.raw.1.zip	P-GSE36011-1	ArrayExpress	GSM879329_sample_table.txt norm	GSM879329_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36011/E-GEOD-36011.processed.1.zip	rao1-1 mutant	water	0	micromolar
GSM879328 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	14	day	seedling	rao1-1 (regulators of alternative oxidase 1a mutants)	aerial part	Gene expression data from Arabidopsis rao1-1 mutant seedlings treated with water control	14 day old rao1-1 seedlings	rao1-1 mutant seedlings treated with mock water control, rep 1	P-GSE36011-2	ArrayExpress	P-GSE36011-3	ArrayExpress	P-GSE36011-4	ArrayExpress	GSM879328 extract 1	total RNA	P-GSE36011-5	ArrayExpress	GSM879328 LE 1	biotin	P-GSE36011-6	ArrayExpress	GSM879328	A-AFFY-2	ArrayExpress	array assay	P-GSE36011-7	ArrayExpress	P-GSE36011-8	ArrayExpress	GSM879328.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36011/E-GEOD-36011.raw.1.zip	P-GSE36011-1	ArrayExpress	GSM879328_sample_table.txt norm	GSM879328_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36011/E-GEOD-36011.processed.1.zip	rao1-1 mutant	water	0	micromolar
GSM879327 1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	14	day	seedling	rao1-1 (regulators of alternative oxidase 1a mutants)	aerial part	Gene expression data from Arabidopsis rao1-1 mutant seedlings treated with 3 hours antimycin A	14 day old rao1-1 seedlings	rao1-1 mutant seedlings treated with 3 hours antimycin A, rep 3	P-GSE36011-2	ArrayExpress	P-GSE36011-3	ArrayExpress	P-GSE36011-4	ArrayExpress	GSM879327 extract 1	total RNA	P-GSE36011-5	ArrayExpress	GSM879327 LE 1	biotin	P-GSE36011-6	ArrayExpress	GSM879327	A-AFFY-2	ArrayExpress	array assay	P-GSE36011-7	ArrayExpress	P-GSE36011-8	ArrayExpress	GSM879327.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36011/E-GEOD-36011.raw.1.zip	P-GSE36011-1	ArrayExpress	GSM879327_sample_table.txt norm	GSM879327_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36011/E-GEOD-36011.processed.1.zip	rao1-1 mutant	antimycin A 	50	micromolar
