Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [ecotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Term Source REF	Term Accession Number	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [ORGANISM PART]	Term Source REF	Term Accession Number
GSM943460 1	rosette leaves collected after bolting	Arabidopsis leaves	leaf, biological rep 2	Columbia	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	EFO_0000993	P-GSE38486-2	ArrayExpress	P-GSE38486-3	ArrayExpress	GSM943460 extract 1	total RNA	P-GSE38486-4	ArrayExpress	GSM943460 LE 1	biotin	P-GSE38486-5	ArrayExpress	GSM943460	A-AFFY-2	ArrayExpress	array assay	P-GSE38486-6	ArrayExpress	GSM943460_At_leaves_H6_ATH1_IGC1_JDB.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38486/E-GEOD-38486.raw.1.zip	P-GSE38486-1	ArrayExpress	GSM943460_sample_table.txt norm	GSM943460_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38486/E-GEOD-38486.processed.1.zip	leaf	EFO	EFO_0000993
GSM943459 1	rosette leaves collected after bolting	Arabidopsis leaves	leaf, biological rep 1	Columbia	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	EFO_0000993	P-GSE38486-2	ArrayExpress	P-GSE38486-3	ArrayExpress	GSM943459 extract 1	total RNA	P-GSE38486-4	ArrayExpress	GSM943459 LE 1	biotin	P-GSE38486-5	ArrayExpress	GSM943459	A-AFFY-2	ArrayExpress	array assay	P-GSE38486-6	ArrayExpress	GSM943459_At_leaves_H5_ATH1_IGC1_JDB.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38486/E-GEOD-38486.raw.1.zip	P-GSE38486-1	ArrayExpress	GSM943459_sample_table.txt norm	GSM943459_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38486/E-GEOD-38486.processed.1.zip	leaf	EFO	EFO_0000993
GSM943458 1	siliques collected two weeks after bolting	Arabidopsis siliques	silique, biological rep 2	Columbia	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	silique	EFO	EFO_0001028	P-GSE38486-2	ArrayExpress	P-GSE38486-3	ArrayExpress	GSM943458 extract 1	total RNA	P-GSE38486-4	ArrayExpress	GSM943458 LE 1	biotin	P-GSE38486-5	ArrayExpress	GSM943458	A-AFFY-2	ArrayExpress	array assay	P-GSE38486-6	ArrayExpress	GSM943458_At_siliques_I10_ATH1_IGC1_JDB.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38486/E-GEOD-38486.raw.1.zip	P-GSE38486-1	ArrayExpress	GSM943458_sample_table.txt norm	GSM943458_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38486/E-GEOD-38486.processed.1.zip	silique	EFO	EFO_0001028
GSM943457 1	siliques collected two weeks after bolting	Arabidopsis siliques	silique, biological rep 1	Columbia	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	silique	EFO	EFO_0001028	P-GSE38486-2	ArrayExpress	P-GSE38486-3	ArrayExpress	GSM943457 extract 1	total RNA	P-GSE38486-4	ArrayExpress	GSM943457 LE 1	biotin	P-GSE38486-5	ArrayExpress	GSM943457	A-AFFY-2	ArrayExpress	array assay	P-GSE38486-6	ArrayExpress	GSM943457_At_siliques_I9_ATH1_IGC1_JDB.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38486/E-GEOD-38486.raw.1.zip	P-GSE38486-1	ArrayExpress	GSM943457_sample_table.txt norm	GSM943457_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38486/E-GEOD-38486.processed.1.zip	silique	EFO	EFO_0001028
GSM943456 1	unpollinated pistils	Arabidopsis unpollinated pistils	unpollinated_pistil, biological rep 2	Columbia	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	pistil	EFO	EFO_0001051	P-GSE38486-2	ArrayExpress	P-GSE38486-3	ArrayExpress	GSM943456 extract 1	total RNA	P-GSE38486-4	ArrayExpress	GSM943456 LE 1	biotin	P-GSE38486-5	ArrayExpress	GSM943456	A-AFFY-2	ArrayExpress	array assay	P-GSE38486-6	ArrayExpress	GSM943456_At_unpollinated_pistils_K8_ATH1_IGC1_JDB.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38486/E-GEOD-38486.raw.1.zip	P-GSE38486-1	ArrayExpress	GSM943456_sample_table.txt norm	GSM943456_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38486/E-GEOD-38486.processed.1.zip	pistil	EFO	EFO_0001051
GSM943455 1	unpollinated pistils	Arabidopsis unpollinated pistils	unpollinated_pistil, biological rep 1	Columbia	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	pistil	EFO	EFO_0001051	P-GSE38486-2	ArrayExpress	P-GSE38486-3	ArrayExpress	GSM943455 extract 1	total RNA	P-GSE38486-4	ArrayExpress	GSM943455 LE 1	biotin	P-GSE38486-5	ArrayExpress	GSM943455	A-AFFY-2	ArrayExpress	array assay	P-GSE38486-6	ArrayExpress	GSM943455_At_unpollinated_pistils_K7_ATH1_IGC1_JDB.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38486/E-GEOD-38486.raw.1.zip	P-GSE38486-1	ArrayExpress	GSM943455_sample_table.txt norm	GSM943455_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38486/E-GEOD-38486.processed.1.zip	pistil	EFO	EFO_0001051
GSM943454 1	ovules dissected from unpollinated pistils	Arabidopsis ovules	ovule, biological rep 2	Columbia	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	ovule	  	  	P-GSE38486-2	ArrayExpress	P-GSE38486-3	ArrayExpress	GSM943454 extract 1	total RNA	P-GSE38486-4	ArrayExpress	GSM943454 LE 1	biotin	P-GSE38486-5	ArrayExpress	GSM943454	A-AFFY-2	ArrayExpress	array assay	P-GSE38486-6	ArrayExpress	GSM943454_At_ovules_L2_ATH1_IGC1_JDB.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38486/E-GEOD-38486.raw.1.zip	P-GSE38486-1	ArrayExpress	GSM943454_sample_table.txt norm	GSM943454_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38486/E-GEOD-38486.processed.1.zip	ovule	  	        
GSM943453 1	ovules dissected from unpollinated pistils	Arabidopsis ovules	ovule, biological rep 1	Columbia	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	ovule	  	  	P-GSE38486-2	ArrayExpress	P-GSE38486-3	ArrayExpress	GSM943453 extract 1	total RNA	P-GSE38486-4	ArrayExpress	GSM943453 LE 1	biotin	P-GSE38486-5	ArrayExpress	GSM943453	A-AFFY-2	ArrayExpress	array assay	P-GSE38486-6	ArrayExpress	GSM943453_At_ovules_L1_ATH1_IGC1_JDB.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38486/E-GEOD-38486.raw.1.zip	P-GSE38486-1	ArrayExpress	GSM943453_sample_table.txt norm	GSM943453_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38486/E-GEOD-38486.processed.1.zip	ovule	  	        
GSM943452 1	seedlings grown on plate for 7 days	Arabidopsis seedlings	seedling, biological rep 2	Columbia	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	EFO	EFO_0001992	P-GSE38486-2	ArrayExpress	P-GSE38486-3	ArrayExpress	GSM943452 extract 1	total RNA	P-GSE38486-4	ArrayExpress	GSM943452 LE 1	biotin	P-GSE38486-5	ArrayExpress	GSM943452	A-AFFY-2	ArrayExpress	array assay	P-GSE38486-6	ArrayExpress	GSM943452_At_seedling_K3_ATH1_IGC1_JDB.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38486/E-GEOD-38486.raw.1.zip	P-GSE38486-1	ArrayExpress	GSM943452_sample_table.txt norm	GSM943452_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38486/E-GEOD-38486.processed.1.zip	seedling	EFO	EFO_0001992
GSM943451 1	seedlings grown on plate for 7 days	Arabidopsis seedlings	seedling, biological rep 1	Columbia	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	EFO	EFO_0001992	P-GSE38486-2	ArrayExpress	P-GSE38486-3	ArrayExpress	GSM943451 extract 1	total RNA	P-GSE38486-4	ArrayExpress	GSM943451 LE 1	biotin	P-GSE38486-5	ArrayExpress	GSM943451	A-AFFY-2	ArrayExpress	array assay	P-GSE38486-6	ArrayExpress	GSM943451_At_seedling_K2_ATH1_IGC1_JDB.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38486/E-GEOD-38486.raw.1.zip	P-GSE38486-1	ArrayExpress	GSM943451_sample_table.txt norm	GSM943451_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38486/E-GEOD-38486.processed.1.zip	seedling	EFO	EFO_0001992
