Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics[DevelopmentalStage]	Characteristics[Ecotype]	Characteristics[Age]	Unit[TimeUnit]	Characteristics[OrganismPart]	Description	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[GROWTH CONDITION]	FactorValue[ORGANISM PART]
GSE7639GSM184833	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	Columbia	5	days	root longitudinal zone 2	root tissue:  Gene expression data from longitudinal zone 2 isolated from roots grown under standard conditions for 5 days then transferred to standard media for 1hr. Ecotype: Columbia; Age: Seedling roots, 5 days after germination; Growth Media: Standard media	P-G7639-1	P-G7639-2	GSE7639GSM184833 sample	P-G7639-4	GSE7639GSM184833 extract	total_RNA	P-G7639-3	GSE7639GSM184833 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root, longitudinal zone 2, standard conditions, replicate 3	A-AFFY-2	P-AFFY-6	Arabidopsis, root, longitudinal zone 2, standard conditions, replicate 3	GSM184833.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7639/E-GEOD-7639.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7639-processed-data-1630395271.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7639/E-GEOD-7639.processed.1.zip	standard media	root longitudinal zone 2
GSE7639GSM184843	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	Columbia	5	days	root longitudinal zone 3	root tissue:  Gene expression data from longitudinal zone 3 isolated from roots grown under standard conditions for 5 days then transferred to media supplemented with 140 mM NaCl for 1hr. Ecotype: Columbia; Age: Seedling roots, 5 days after germination; Growth Media: Standard media for 5 days, transferred to media supplemented with 140mM NaCl for 1 hour before discection	P-G7639-1	P-G7639-2	GSE7639GSM184843 sample	P-G7639-4	GSE7639GSM184843 extract	total_RNA	P-G7639-3	GSE7639GSM184843 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root, longitudinal zone 3, standard conditions, NaCl, replicate 1	A-AFFY-2	P-AFFY-6	Arabidopsis, root, longitudinal zone 3, standard conditions, NaCl, replicate 1	GSM184843.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7639/E-GEOD-7639.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7639-processed-data-1630395271.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7639/E-GEOD-7639.processed.1.zip	standard media supplemented with 140mM NaCl 	root longitudinal zone 3
GSE7639GSM184844	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	Columbia	5	days	root longitudinal zone 3	root tissue:  Gene expression data from longitudinal zone 3 isolated from roots grown under standard conditions for 5 days then transferred to media supplemented with 140 mM NaCl for 1hr. Ecotype: Columbia; Age: Seedling roots, 5 days after germination; Growth Media: Standard media for 5 days, transferred to media supplemented with 140mM NaCl for 1 hour before discection	P-G7639-1	P-G7639-2	GSE7639GSM184844 sample	P-G7639-4	GSE7639GSM184844 extract	total_RNA	P-G7639-3	GSE7639GSM184844 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root, longitudinal zone 3, standard conditions, NaCl, replicate 2	A-AFFY-2	P-AFFY-6	Arabidopsis, root, longitudinal zone 3, standard conditions, NaCl, replicate 2	GSM184844.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7639/E-GEOD-7639.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7639-processed-data-1630395271.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7639/E-GEOD-7639.processed.1.zip	standard media supplemented with 140mM NaCl 	root longitudinal zone 3
GSE7639GSM184837	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	Columbia	5	days	root longitudinal zone 4	root tissue:  Gene expression data from longitudinal zone 4 isolated from roots grown under standard conditions for 5 days then transferred to standard media for 1hr. Ecotype: Columbia; Age: Seedling roots, 5 days after germination; Growth Media: Standard media	P-G7639-1	P-G7639-2	GSE7639GSM184837 sample	P-G7639-4	GSE7639GSM184837 extract	total_RNA	P-G7639-3	GSE7639GSM184837 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root, longitudinal zone 4, standard conditions, replicate 7	A-AFFY-2	P-AFFY-6	Arabidopsis, root, longitudinal zone 4, standard conditions, replicate 7	GSM184837.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7639/E-GEOD-7639.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7639-processed-data-1630395271.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7639/E-GEOD-7639.processed.1.zip	standard media	root longitudinal zone 4
GSE7639GSM184832	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	Columbia	5	days	root longitudinal zone 1	root tissue:  Gene expression data from longitudinal zone 1 isolated from roots grown under standard conditions for 5 days then transferred to standard media for 1hr. Ecotype: Columbia; Age: Seedling roots, 5 days after germination; Growth Media: Standard media	P-G7639-1	P-G7639-2	GSE7639GSM184832 sample	P-G7639-4	GSE7639GSM184832 extract	total_RNA	P-G7639-3	GSE7639GSM184832 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root, longitudinal zone 1, standard conditions, replicate 2	A-AFFY-2	P-AFFY-6	Arabidopsis, root, longitudinal zone 1, standard conditions, replicate 2	GSM184832.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7639/E-GEOD-7639.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7639-processed-data-1630395271.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7639/E-GEOD-7639.processed.1.zip	standard media	root longitudinal zone 1
GSE7639GSM184835	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	Columbia	5	days	root longitudinal zone 3	root tissue:  Gene expression data from longitudinal zone 3 isolated from roots grown under standard conditions for 5 days then transferred to standard media for 1hr. Ecotype: Columbia; Age: Seedling roots, 5 days after germination; Growth Media: Standard media	P-G7639-1	P-G7639-2	GSE7639GSM184835 sample	P-G7639-4	GSE7639GSM184835 extract	total_RNA	P-G7639-3	GSE7639GSM184835 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root, longitudinal zone 3, standard conditions, replicate 5	A-AFFY-2	P-AFFY-6	Arabidopsis, root, longitudinal zone 3, standard conditions, replicate 5	GSM184835.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7639/E-GEOD-7639.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7639-processed-data-1630395271.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7639/E-GEOD-7639.processed.1.zip	standard media	root longitudinal zone 3
GSE7639GSM184834	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	Columbia	5	days	root longitudinal zone 2	root tissue:  Gene expression data from longitudinal zone 2 isolated from roots grown under standard conditions for 5 days then transferred to standard media for 1hr. Ecotype: Columbia; Age: Seedling roots, 5 days after germination; Growth Media: Standard media	P-G7639-1	P-G7639-2	GSE7639GSM184834 sample	P-G7639-4	GSE7639GSM184834 extract	total_RNA	P-G7639-3	GSE7639GSM184834 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root, longitudinal zone 2, standard conditions, replicate 4	A-AFFY-2	P-AFFY-6	Arabidopsis, root, longitudinal zone 2, standard conditions, replicate 4	GSM184834.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7639/E-GEOD-7639.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7639-processed-data-1630395271.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7639/E-GEOD-7639.processed.1.zip	standard media	root longitudinal zone 2
GSE7639GSM184840	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	Columbia	5	days	root longitudinal zone 1	root tissue:  Gene expression data from longitudinal zone 1 isolated from roots grown under standard conditions for 5 days then transferred to media supplemented with 140 mM NaCl for 1hr. Ecotype: Columbia; Age: Seedling roots, 5 days after germination; Growth Media: Standard media for 5 days, transferred to media supplemented with 140mM NaCl for 1 hour before discection	P-G7639-1	P-G7639-2	GSE7639GSM184840 sample	P-G7639-4	GSE7639GSM184840 extract	total_RNA	P-G7639-3	GSE7639GSM184840 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root, longitudinal zone 1, standard conditions, NaCl, replicate 2	A-AFFY-2	P-AFFY-6	Arabidopsis, root, longitudinal zone 1, standard conditions, NaCl, replicate 2	GSM184840.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7639/E-GEOD-7639.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7639-processed-data-1630395271.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7639/E-GEOD-7639.processed.1.zip	standard media supplemented with 140mM NaCl 	root longitudinal zone 1
GSE7639GSM184842	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	Columbia	5	days	root longitudinal zone 2	root tissue:  Gene expression data from longitudinal zone 2 isolated from roots grown under standard conditions for 5 days then transferred to media supplemented with 140 mM NaCl for 1hr. Ecotype: Columbia; Age: Seedling roots, 5 days after germination; Growth Media: Standard media for 5 days, transferred to media supplemented with 140mM NaCl for 1 hour before discection	P-G7639-1	P-G7639-2	GSE7639GSM184842 sample	P-G7639-4	GSE7639GSM184842 extract	total_RNA	P-G7639-3	GSE7639GSM184842 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root, longitudinal zone 2, standard conditions, NaCl, replicate 2	A-AFFY-2	P-AFFY-6	Arabidopsis, root, longitudinal zone 2, standard conditions, NaCl, replicate 2	GSM184842.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7639/E-GEOD-7639.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7639-processed-data-1630395271.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7639/E-GEOD-7639.processed.1.zip	standard media supplemented with 140mM NaCl 	root longitudinal zone 2
GSE7639GSM184839	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	Columbia	5	days	root longitudinal zone 1	root tissue:  Gene expression data from longitudinal zone 1 isolated from roots grown under standard conditions for 5 days then transferred to media supplemented with 140 mM NaCl for 1hr. Ecotype: Columbia; Age: Seedling roots, 5 days after germination; Growth Media: Standard media for 5 days, transferred to media supplemented with 140mM NaCl for 1 hour before discection	P-G7639-1	P-G7639-2	GSE7639GSM184839 sample	P-G7639-4	GSE7639GSM184839 extract	total_RNA	P-G7639-3	GSE7639GSM184839 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root, longitudinal zone 1, standard conditions, NaCl, replicate 1	A-AFFY-2	P-AFFY-6	Arabidopsis, root, longitudinal zone 1, standard conditions, NaCl, replicate 1	GSM184839.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7639/E-GEOD-7639.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-7639-processed-data-1630395271.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-7639/E-GEOD-7639.processed.1.zip	standard media supplemented with 140mM NaCl 	root longitudinal zone 1
