Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[age]	Unit[time unit]	Characteristics[genotype]	Characteristics[ecotype]	Comment[t-dna insertion line]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue[infect]
GSM457658 1	Gene expression data in Hpa treated wrky72 mutant	Aerial tissues of 2 week old soil grown Arabidopsis seedlings	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2	week	wrky72-2 mutant	Col-0	SALK-055293	P-GSE18329-2	P-GSE18329-3	P-GSE18329-4	GSM457658 extract 1	total RNA	P-GSE18329-5	GSM457658 LE 1	biotin	P-GSE18329-6	GSM457658	A-AFFY-2	P-GSE18329-7	P-GSE18329-8	GSM457658.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18329/E-GEOD-18329.raw.1.zip	P-GSE18329-1	GSM457658_sample_table.txt norm	GSM457658_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18329/E-GEOD-18329.processed.1.zip	wrky72-2 mutant	Hyaloperonospora parasitica arabidopsis Noco2
GSM457657 1	Gene expression data in Hpa treated wrky72 mutant	Aerial tissues of 2 week old soil grown Arabidopsis seedlings	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2	week	wrky72-2 mutant	Col-0	SALK-055293	P-GSE18329-2	P-GSE18329-3	P-GSE18329-4	GSM457657 extract 1	total RNA	P-GSE18329-5	GSM457657 LE 1	biotin	P-GSE18329-6	GSM457657	A-AFFY-2	P-GSE18329-7	P-GSE18329-8	GSM457657.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18329/E-GEOD-18329.raw.1.zip	P-GSE18329-1	GSM457657_sample_table.txt norm	GSM457657_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18329/E-GEOD-18329.processed.1.zip	wrky72-2 mutant	Hyaloperonospora parasitica arabidopsis Noco2
GSM457656 1	Gene expression data in Hpa treated wrky72 mutant	Aerial tissues of 2 week old soil grown Arabidopsis seedlings	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2	week	wrky72-2 mutant	Col-0	SALK-055293	P-GSE18329-2	P-GSE18329-3	P-GSE18329-4	GSM457656 extract 1	total RNA	P-GSE18329-5	GSM457656 LE 1	biotin	P-GSE18329-6	GSM457656	A-AFFY-2	P-GSE18329-7	P-GSE18329-8	GSM457656.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18329/E-GEOD-18329.raw.1.zip	P-GSE18329-1	GSM457656_sample_table.txt norm	GSM457656_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18329/E-GEOD-18329.processed.1.zip	wrky72-2 mutant	Hyaloperonospora parasitica arabidopsis Noco2
GSM457655 1	Gene expression data in mock treated wrky72 mutant	Aerial tissues of 2 week old soil grown Arabidopsis seedlings	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2	week	wrky72-2 mutant	Col-0	SALK-055293	P-GSE18329-2	P-GSE18329-3	P-GSE18329-4	GSM457655 extract 1	total RNA	P-GSE18329-5	GSM457655 LE 1	biotin	P-GSE18329-6	GSM457655	A-AFFY-2	P-GSE18329-7	P-GSE18329-8	GSM457655.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18329/E-GEOD-18329.raw.1.zip	P-GSE18329-1	GSM457655_sample_table.txt norm	GSM457655_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18329/E-GEOD-18329.processed.1.zip	wrky72-2 mutant	none
GSM457654 1	Gene expression data in mock treated wrky72 mutant	Aerial tissues of 2 week old soil grown Arabidopsis seedlings	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2	week	wrky72-2 mutant	Col-0	SALK-055293	P-GSE18329-2	P-GSE18329-3	P-GSE18329-4	GSM457654 extract 1	total RNA	P-GSE18329-5	GSM457654 LE 1	biotin	P-GSE18329-6	GSM457654	A-AFFY-2	P-GSE18329-7	P-GSE18329-8	GSM457654.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18329/E-GEOD-18329.raw.1.zip	P-GSE18329-1	GSM457654_sample_table.txt norm	GSM457654_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18329/E-GEOD-18329.processed.1.zip	wrky72-2 mutant	none
GSM457653 1	Gene expression data in mock treated wrky72 mutant	Aerial tissues of 2 week old soil grown Arabidopsis seedlings	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2	week	wrky72-2 mutant	Col-0	SALK-055293	P-GSE18329-2	P-GSE18329-3	P-GSE18329-4	GSM457653 extract 1	total RNA	P-GSE18329-5	GSM457653 LE 1	biotin	P-GSE18329-6	GSM457653	A-AFFY-2	P-GSE18329-7	P-GSE18329-8	GSM457653.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18329/E-GEOD-18329.raw.1.zip	P-GSE18329-1	GSM457653_sample_table.txt norm	GSM457653_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18329/E-GEOD-18329.processed.1.zip	wrky72-2 mutant	none
GSM457652 1	Gene expression data in Hpa treated wrky72 mutant	Aerial tissues of 2 week old soil grown Arabidopsis seedlings	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2	week	wrky72-1 mutant	Col-0	SALK_145765	P-GSE18329-2	P-GSE18329-3	P-GSE18329-4	GSM457652 extract 1	total RNA	P-GSE18329-5	GSM457652 LE 1	biotin	P-GSE18329-6	GSM457652	A-AFFY-2	P-GSE18329-7	P-GSE18329-8	GSM457652.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18329/E-GEOD-18329.raw.1.zip	P-GSE18329-1	GSM457652_sample_table.txt norm	GSM457652_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18329/E-GEOD-18329.processed.1.zip	wrky72-1 mutant	Hyaloperonospora parasitica arabidopsis Noco2
GSM457651 1	Gene expression data in Hpa treated wrky72 mutant	Aerial tissues of 2 week old soil grown Arabidopsis seedlings	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2	week	wrky72-1 mutant	Col-0	SALK_145765	P-GSE18329-2	P-GSE18329-3	P-GSE18329-4	GSM457651 extract 1	total RNA	P-GSE18329-5	GSM457651 LE 1	biotin	P-GSE18329-6	GSM457651	A-AFFY-2	P-GSE18329-7	P-GSE18329-8	GSM457651.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18329/E-GEOD-18329.raw.1.zip	P-GSE18329-1	GSM457651_sample_table.txt norm	GSM457651_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18329/E-GEOD-18329.processed.1.zip	wrky72-1 mutant	Hyaloperonospora parasitica arabidopsis Noco2
GSM457650 1	Gene expression data in Hpa treated wrky72 mutant	Aerial tissues of 2 week old soil grown Arabidopsis seedlings	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2	week	wrky72-1 mutant	Col-0	SALK_145765	P-GSE18329-2	P-GSE18329-3	P-GSE18329-4	GSM457650 extract 1	total RNA	P-GSE18329-5	GSM457650 LE 1	biotin	P-GSE18329-6	GSM457650	A-AFFY-2	P-GSE18329-7	P-GSE18329-8	GSM457650.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18329/E-GEOD-18329.raw.1.zip	P-GSE18329-1	GSM457650_sample_table.txt norm	GSM457650_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18329/E-GEOD-18329.processed.1.zip	wrky72-1 mutant	Hyaloperonospora parasitica arabidopsis Noco2
GSM457649 1	Gene expression data in mock treated wrky72 mutant	Aerial tissues of 2 week old soil grown Arabidopsis seedlings	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2	week	wrky72-1 mutant	Col-0	SALK_145765	P-GSE18329-2	P-GSE18329-3	P-GSE18329-4	GSM457649 extract 1	total RNA	P-GSE18329-5	GSM457649 LE 1	biotin	P-GSE18329-6	GSM457649	A-AFFY-2	P-GSE18329-7	P-GSE18329-8	GSM457649.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18329/E-GEOD-18329.raw.1.zip	P-GSE18329-1	GSM457649_sample_table.txt norm	GSM457649_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18329/E-GEOD-18329.processed.1.zip	wrky72-1 mutant	none
