Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [genotype]	Characteristics[age]	Unit[time unit]	Characteristics[developmental stage]	Characteristics [organism part]	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue[treatment]	FactorValue [time]	Unit [time unit]
GSM1496082 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	wild type	23	day	seedling	true leaf	23-day-old soil grown plants	true leaves	19-WT-SA-ZT24-0hpi	P-GSE61059-2	ArrayExpress	P-GSE61059-3	ArrayExpress	P-GSE61059-4	ArrayExpress	GSM1496082 extract 1	total RNA	P-GSE61059-5	ArrayExpress	GSM1496082 LE 1	biotin	P-GSE61059-6	ArrayExpress	GSM1496082	A-AFFY-2	ArrayExpress	array assay	P-GSE61059-7	ArrayExpress	GSM1496082_19-WT-SA-ZT24-0hpi.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61059/E-GEOD-61059.raw.1.zip	P-GSE61059-1	ArrayExpress	GSM1496082_sample_table.txt norm	GSM1496082_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61059/E-GEOD-61059.processed.1.zip	1 micromolar salicylic acid at ZT24	0	hour
GSM1496074 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	wild type	23	day	seedling	true leaf	23-day-old soil grown plants	true leaves	11-WT-SA-ZT24-0hpi	P-GSE61059-2	ArrayExpress	P-GSE61059-3	ArrayExpress	P-GSE61059-4	ArrayExpress	GSM1496074 extract 1	total RNA	P-GSE61059-5	ArrayExpress	GSM1496074 LE 1	biotin	P-GSE61059-6	ArrayExpress	GSM1496074	A-AFFY-2	ArrayExpress	array assay	P-GSE61059-7	ArrayExpress	GSM1496074_11-WT-SA-ZT24-0hpi.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61059/E-GEOD-61059.raw.1.zip	P-GSE61059-1	ArrayExpress	GSM1496074_sample_table.txt norm	GSM1496074_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61059/E-GEOD-61059.processed.1.zip	1 micromolar salicylic acid at ZT24	0	hour
GSM1496066 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	wild type	23	day	seedling	true leaf	23-day-old soil grown plants	true leaves	3-WT-SA-ZT24-0hpi	P-GSE61059-2	ArrayExpress	P-GSE61059-3	ArrayExpress	P-GSE61059-4	ArrayExpress	GSM1496066 extract 1	total RNA	P-GSE61059-5	ArrayExpress	GSM1496066 LE 1	biotin	P-GSE61059-6	ArrayExpress	GSM1496066	A-AFFY-2	ArrayExpress	array assay	P-GSE61059-7	ArrayExpress	GSM1496066_3-WT-SA-ZT24-0hpi.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61059/E-GEOD-61059.raw.1.zip	P-GSE61059-1	ArrayExpress	GSM1496066_sample_table.txt norm	GSM1496066_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61059/E-GEOD-61059.processed.1.zip	1 micromolar salicylic acid at ZT24	0	hour
GSM1496086 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	wild type	23	day	seedling	true leaf	23-day-old soil grown plants	true leaves	23-WT-SA-ZT36-0hpi	P-GSE61059-2	ArrayExpress	P-GSE61059-3	ArrayExpress	P-GSE61059-4	ArrayExpress	GSM1496086 extract 1	total RNA	P-GSE61059-5	ArrayExpress	GSM1496086 LE 1	biotin	P-GSE61059-6	ArrayExpress	GSM1496086	A-AFFY-2	ArrayExpress	array assay	P-GSE61059-7	ArrayExpress	GSM1496086_23-WT-SA-ZT36-0hpi.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61059/E-GEOD-61059.raw.1.zip	P-GSE61059-1	ArrayExpress	GSM1496086_sample_table.txt norm	GSM1496086_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61059/E-GEOD-61059.processed.1.zip	1 micromolar salicylic acid at ZT36	0	hour
GSM1496078 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	wild type	23	day	seedling	true leaf	23-day-old soil grown plants	true leaves	15-WT-SA-ZT36-0hpi	P-GSE61059-2	ArrayExpress	P-GSE61059-3	ArrayExpress	P-GSE61059-4	ArrayExpress	GSM1496078 extract 1	total RNA	P-GSE61059-5	ArrayExpress	GSM1496078 LE 1	biotin	P-GSE61059-6	ArrayExpress	GSM1496078	A-AFFY-2	ArrayExpress	array assay	P-GSE61059-7	ArrayExpress	GSM1496078_15-WT-SA-ZT36-0hpi.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61059/E-GEOD-61059.raw.1.zip	P-GSE61059-1	ArrayExpress	GSM1496078_sample_table.txt norm	GSM1496078_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61059/E-GEOD-61059.processed.1.zip	1 micromolar salicylic acid at ZT36	0	hour
GSM1496070 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	wild type	23	day	seedling	true leaf	23-day-old soil grown plants	true leaves	7-WT-SA-ZT36-0hpi	P-GSE61059-2	ArrayExpress	P-GSE61059-3	ArrayExpress	P-GSE61059-4	ArrayExpress	GSM1496070 extract 1	total RNA	P-GSE61059-5	ArrayExpress	GSM1496070 LE 1	biotin	P-GSE61059-6	ArrayExpress	GSM1496070	A-AFFY-2	ArrayExpress	array assay	P-GSE61059-7	ArrayExpress	GSM1496070_7-WT-SA-ZT36-0hpi.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61059/E-GEOD-61059.raw.1.zip	P-GSE61059-1	ArrayExpress	GSM1496070_sample_table.txt norm	GSM1496070_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61059/E-GEOD-61059.processed.1.zip	1 micromolar salicylic acid at ZT36	0	hour
GSM1496083 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	wild type	23	day	seedling	true leaf	23-day-old soil grown plants	true leaves	20-WT-SA-ZT24-3hpi	P-GSE61059-2	ArrayExpress	P-GSE61059-3	ArrayExpress	P-GSE61059-4	ArrayExpress	GSM1496083 extract 1	total RNA	P-GSE61059-5	ArrayExpress	GSM1496083 LE 1	biotin	P-GSE61059-6	ArrayExpress	GSM1496083	A-AFFY-2	ArrayExpress	array assay	P-GSE61059-7	ArrayExpress	GSM1496083_20-WT-SA-ZT24-3hpi.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61059/E-GEOD-61059.raw.1.zip	P-GSE61059-1	ArrayExpress	GSM1496083_sample_table.txt norm	GSM1496083_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61059/E-GEOD-61059.processed.1.zip	1 micromolar salicylic acid at ZT24	3	hour
GSM1496075 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	wild type	23	day	seedling	true leaf	23-day-old soil grown plants	true leaves	12-WT-SA-ZT24-3hpi	P-GSE61059-2	ArrayExpress	P-GSE61059-3	ArrayExpress	P-GSE61059-4	ArrayExpress	GSM1496075 extract 1	total RNA	P-GSE61059-5	ArrayExpress	GSM1496075 LE 1	biotin	P-GSE61059-6	ArrayExpress	GSM1496075	A-AFFY-2	ArrayExpress	array assay	P-GSE61059-7	ArrayExpress	GSM1496075_12-WT-SA-ZT24-3hpi.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61059/E-GEOD-61059.raw.1.zip	P-GSE61059-1	ArrayExpress	GSM1496075_sample_table.txt norm	GSM1496075_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61059/E-GEOD-61059.processed.1.zip	1 micromolar salicylic acid at ZT24	3	hour
GSM1496067 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	wild type	23	day	seedling	true leaf	23-day-old soil grown plants	true leaves	4-WT-SA-ZT24-3hpi	P-GSE61059-2	ArrayExpress	P-GSE61059-3	ArrayExpress	P-GSE61059-4	ArrayExpress	GSM1496067 extract 1	total RNA	P-GSE61059-5	ArrayExpress	GSM1496067 LE 1	biotin	P-GSE61059-6	ArrayExpress	GSM1496067	A-AFFY-2	ArrayExpress	array assay	P-GSE61059-7	ArrayExpress	GSM1496067_4-WT-SA-ZT24-3hpi.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61059/E-GEOD-61059.raw.1.zip	P-GSE61059-1	ArrayExpress	GSM1496067_sample_table.txt norm	GSM1496067_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61059/E-GEOD-61059.processed.1.zip	1 micromolar salicylic acid at ZT24	3	hour
GSM1496087 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	wild type	23	day	seedling	true leaf	23-day-old soil grown plants	true leaves	24-WT-SA-ZT36-3hpi	P-GSE61059-2	ArrayExpress	P-GSE61059-3	ArrayExpress	P-GSE61059-4	ArrayExpress	GSM1496087 extract 1	total RNA	P-GSE61059-5	ArrayExpress	GSM1496087 LE 1	biotin	P-GSE61059-6	ArrayExpress	GSM1496087	A-AFFY-2	ArrayExpress	array assay	P-GSE61059-7	ArrayExpress	GSM1496087_24-WT-SA-ZT36-3hpi.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61059/E-GEOD-61059.raw.1.zip	P-GSE61059-1	ArrayExpress	GSM1496087_sample_table.txt norm	GSM1496087_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61059/E-GEOD-61059.processed.1.zip	1 micromolar salicylic acid at ZT36	3	hour
