Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [age]	Unit [time unit]	Characteristics [initial time point]	Characteristics [ecotype]	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [developmental stage]	Characteristics [organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	Factor Value [RNA]
GSM1246247 1	nonpolysomal RNA	Arabidopsis seedling grown on MS salt/agar in 16h light/8h dark cycle	rpl24 nonpolysome biological rep3	10 to 12	day	germination	Ws	rpl24b	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	aerial part	P-GSE51474-2	ArrayExpress	P-GSE51474-3	ArrayExpress	P-GSE51474-4	ArrayExpress	GSM1246247 extract 1	total RNA	P-GSE51474-5	ArrayExpress	GSM1246247 LE 1	biotin	P-GSE51474-6	ArrayExpress	GSM1246247	A-AFFY-2	ArrayExpress	array assay	P-GSE51474-7	ArrayExpress	GSM1246247_AVA088_rpl_NP3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51474/E-GEOD-51474.raw.1.zip	P-GSE51474-1	ArrayExpress	GSM1246247_sample_table.txt norm	GSM1246247_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51474/E-GEOD-51474.processed.1.zip	rpl24b	nonpolysomal RNA
GSM1246241 1	nonpolysomal RNA	Arabidopsis seedling grown on MS salt/agar in 16h light/8h dark cycle	rpl24 nonpolysome biological rep2	10 to 12	day	germination	Ws	rpl24b	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	aerial part	P-GSE51474-2	ArrayExpress	P-GSE51474-3	ArrayExpress	P-GSE51474-4	ArrayExpress	GSM1246241 extract 1	total RNA	P-GSE51474-5	ArrayExpress	GSM1246241 LE 1	biotin	P-GSE51474-6	ArrayExpress	GSM1246241	A-AFFY-2	ArrayExpress	array assay	P-GSE51474-7	ArrayExpress	GSM1246241_AVA082_rpl_NP2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51474/E-GEOD-51474.raw.1.zip	P-GSE51474-1	ArrayExpress	GSM1246241_sample_table.txt norm	GSM1246241_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51474/E-GEOD-51474.processed.1.zip	rpl24b	nonpolysomal RNA
GSM1246235 1	nonpolysomal RNA	Arabidopsis seedling grown on MS salt/agar in 16h light/8h dark cycle	rpl24 nonpolysome biological rep1	10 to 12	day	germination	Ws	rpl24b	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	aerial part	P-GSE51474-2	ArrayExpress	P-GSE51474-3	ArrayExpress	P-GSE51474-4	ArrayExpress	GSM1246235 extract 1	total RNA	P-GSE51474-5	ArrayExpress	GSM1246235 LE 1	biotin	P-GSE51474-6	ArrayExpress	GSM1246235	A-AFFY-2	ArrayExpress	array assay	P-GSE51474-7	ArrayExpress	GSM1246235_AVA076_rpl_NP1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51474/E-GEOD-51474.raw.1.zip	P-GSE51474-1	ArrayExpress	GSM1246235_sample_table.txt norm	GSM1246235_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51474/E-GEOD-51474.processed.1.zip	rpl24b	nonpolysomal RNA
GSM1246246 1	polysomal RNA	Arabidopsis seedling grown on MS salt/agar in 16h light/8h dark cycle	rpl24 polysome biological rep3	10 to 12	day	germination	Ws	rpl24b	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	aerial part	P-GSE51474-2	ArrayExpress	P-GSE51474-3	ArrayExpress	P-GSE51474-4	ArrayExpress	GSM1246246 extract 1	total RNA	P-GSE51474-5	ArrayExpress	GSM1246246 LE 1	biotin	P-GSE51474-6	ArrayExpress	GSM1246246	A-AFFY-2	ArrayExpress	array assay	P-GSE51474-7	ArrayExpress	GSM1246246_AVA087_rpl_PL3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51474/E-GEOD-51474.raw.1.zip	P-GSE51474-1	ArrayExpress	GSM1246246_sample_table.txt norm	GSM1246246_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51474/E-GEOD-51474.processed.1.zip	rpl24b	polysomal RNA
GSM1246240 1	polysomal RNA	Arabidopsis seedling grown on MS salt/agar in 16h light/8h dark cycle	rpl24 polysome biological rep2	10 to 12	day	germination	Ws	rpl24b	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	aerial part	P-GSE51474-2	ArrayExpress	P-GSE51474-3	ArrayExpress	P-GSE51474-4	ArrayExpress	GSM1246240 extract 1	total RNA	P-GSE51474-5	ArrayExpress	GSM1246240 LE 1	biotin	P-GSE51474-6	ArrayExpress	GSM1246240	A-AFFY-2	ArrayExpress	array assay	P-GSE51474-7	ArrayExpress	GSM1246240_AVA081_rpl_PL2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51474/E-GEOD-51474.raw.1.zip	P-GSE51474-1	ArrayExpress	GSM1246240_sample_table.txt norm	GSM1246240_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51474/E-GEOD-51474.processed.1.zip	rpl24b	polysomal RNA
GSM1246234 1	polysomal RNA	Arabidopsis seedling grown on MS salt/agar in 16h light/8h dark cycle	rpl24 polysome biological rep1	10 to 12	day	germination	Ws	rpl24b	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	aerial part	P-GSE51474-2	ArrayExpress	P-GSE51474-3	ArrayExpress	P-GSE51474-4	ArrayExpress	GSM1246234 extract 1	total RNA	P-GSE51474-5	ArrayExpress	GSM1246234 LE 1	biotin	P-GSE51474-6	ArrayExpress	GSM1246234	A-AFFY-2	ArrayExpress	array assay	P-GSE51474-7	ArrayExpress	GSM1246234_AVA075_rpl_PL1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51474/E-GEOD-51474.raw.1.zip	P-GSE51474-1	ArrayExpress	GSM1246234_sample_table.txt norm	GSM1246234_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51474/E-GEOD-51474.processed.1.zip	rpl24b	polysomal RNA
GSM1246250 1	total RNA	Arabidopsis seedling grown on MS salt/agar in 16h light/8h dark cycle	rpl24 total biological rep3	10 to 12	day	germination	Ws	rpl24b	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	aerial part	P-GSE51474-2	ArrayExpress	P-GSE51474-3	ArrayExpress	P-GSE51474-4	ArrayExpress	GSM1246250 extract 1	total RNA	P-GSE51474-5	ArrayExpress	GSM1246250 LE 1	biotin	P-GSE51474-6	ArrayExpress	GSM1246250	A-AFFY-2	ArrayExpress	array assay	P-GSE51474-7	ArrayExpress	GSM1246250_AVA091_rpl_T3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51474/E-GEOD-51474.raw.1.zip	P-GSE51474-1	ArrayExpress	GSM1246250_sample_table.txt norm	GSM1246250_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51474/E-GEOD-51474.processed.1.zip	rpl24b	total RNA
GSM1246244 1	total RNA	Arabidopsis seedling grown on MS salt/agar in 16h light/8h dark cycle	rpl24 total biological rep2	10 to 12	day	germination	Ws	rpl24b	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	aerial part	P-GSE51474-2	ArrayExpress	P-GSE51474-3	ArrayExpress	P-GSE51474-4	ArrayExpress	GSM1246244 extract 1	total RNA	P-GSE51474-5	ArrayExpress	GSM1246244 LE 1	biotin	P-GSE51474-6	ArrayExpress	GSM1246244	A-AFFY-2	ArrayExpress	array assay	P-GSE51474-7	ArrayExpress	GSM1246244_AVA085_rpl_T2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51474/E-GEOD-51474.raw.1.zip	P-GSE51474-1	ArrayExpress	GSM1246244_sample_table.txt norm	GSM1246244_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51474/E-GEOD-51474.processed.1.zip	rpl24b	total RNA
GSM1246238 1	total RNA	Arabidopsis seedling grown on MS salt/agar in 16h light/8h dark cycle	rpl24 total biological rep1	10 to 12	day	germination	Ws	rpl24b	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	aerial part	P-GSE51474-2	ArrayExpress	P-GSE51474-3	ArrayExpress	P-GSE51474-4	ArrayExpress	GSM1246238 extract 1	total RNA	P-GSE51474-5	ArrayExpress	GSM1246238 LE 1	biotin	P-GSE51474-6	ArrayExpress	GSM1246238	A-AFFY-2	ArrayExpress	array assay	P-GSE51474-7	ArrayExpress	GSM1246238_AVA079_rpl_T1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51474/E-GEOD-51474.raw.1.zip	P-GSE51474-1	ArrayExpress	GSM1246238_sample_table.txt norm	GSM1246238_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51474/E-GEOD-51474.processed.1.zip	rpl24b	total RNA
GSM1246249 1	nonpolysomal RNA	Arabidopsis seedling grown on MS salt/agar in 16h light/8h dark cycle	WT nonpolysome biological rep3	10 to 12	day	germination	Col-0	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	aerial part	P-GSE51474-2	ArrayExpress	P-GSE51474-3	ArrayExpress	P-GSE51474-4	ArrayExpress	GSM1246249 extract 1	total RNA	P-GSE51474-5	ArrayExpress	GSM1246249 LE 1	biotin	P-GSE51474-6	ArrayExpress	GSM1246249	A-AFFY-2	ArrayExpress	array assay	P-GSE51474-7	ArrayExpress	GSM1246249_AVA090_WT_NP3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51474/E-GEOD-51474.raw.1.zip	P-GSE51474-1	ArrayExpress	GSM1246249_sample_table.txt norm	GSM1246249_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51474/E-GEOD-51474.processed.1.zip	wild type	nonpolysomal RNA
GSM1246243 1	nonpolysomal RNA	Arabidopsis seedling grown on MS salt/agar in 16h light/8h dark cycle	WT nonpolysome biological rep2	10 to 12	day	germination	Col-0	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	aerial part	P-GSE51474-2	ArrayExpress	P-GSE51474-3	ArrayExpress	P-GSE51474-4	ArrayExpress	GSM1246243 extract 1	total RNA	P-GSE51474-5	ArrayExpress	GSM1246243 LE 1	biotin	P-GSE51474-6	ArrayExpress	GSM1246243	A-AFFY-2	ArrayExpress	array assay	P-GSE51474-7	ArrayExpress	GSM1246243_AVA084_WT_NP2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51474/E-GEOD-51474.raw.1.zip	P-GSE51474-1	ArrayExpress	GSM1246243_sample_table.txt norm	GSM1246243_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51474/E-GEOD-51474.processed.1.zip	wild type	nonpolysomal RNA
GSM1246237 1	nonpolysomal RNA	Arabidopsis seedling grown on MS salt/agar in 16h light/8h dark cycle	WT nonpolysome biological rep1	10 to 12	day	germination	Col-0	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	aerial part	P-GSE51474-2	ArrayExpress	P-GSE51474-3	ArrayExpress	P-GSE51474-4	ArrayExpress	GSM1246237 extract 1	total RNA	P-GSE51474-5	ArrayExpress	GSM1246237 LE 1	biotin	P-GSE51474-6	ArrayExpress	GSM1246237	A-AFFY-2	ArrayExpress	array assay	P-GSE51474-7	ArrayExpress	GSM1246237_AVA078_WT_NP1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51474/E-GEOD-51474.raw.1.zip	P-GSE51474-1	ArrayExpress	GSM1246237_sample_table.txt norm	GSM1246237_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51474/E-GEOD-51474.processed.1.zip	wild type	nonpolysomal RNA
GSM1246248 1	polysomal RNA	Arabidopsis seedling grown on MS salt/agar in 16h light/8h dark cycle	WT polysome biological rep3	10 to 12	day	germination	Col-0	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	aerial part	P-GSE51474-2	ArrayExpress	P-GSE51474-3	ArrayExpress	P-GSE51474-4	ArrayExpress	GSM1246248 extract 1	total RNA	P-GSE51474-5	ArrayExpress	GSM1246248 LE 1	biotin	P-GSE51474-6	ArrayExpress	GSM1246248	A-AFFY-2	ArrayExpress	array assay	P-GSE51474-7	ArrayExpress	GSM1246248_AVA089_WT_PL3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51474/E-GEOD-51474.raw.1.zip	P-GSE51474-1	ArrayExpress	GSM1246248_sample_table.txt norm	GSM1246248_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51474/E-GEOD-51474.processed.1.zip	wild type	polysomal RNA
