Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [Stage]	Characteristics [ecotype]	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [COMPOUND]	Term Source REF	Term Accession Number	FactorValue [GENOTYPE]
GSM1028242 1	Gene expression data from MV-treated GRX overexpression Arabidopsis seedlings	GRX-overexpression seedlings, MV treatment, rep2	GRX-overexpression seedlings, MV treatment, rep2	14-day-old	Columbia	GRX-overexpression	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Seedlings	P-GSE41963-2	ArrayExpress	P-GSE41963-3	ArrayExpress	P-GSE41963-4	ArrayExpress	GSM1028242 extract 1	total RNA	P-GSE41963-5	ArrayExpress	GSM1028242 LE 1	Biotin	P-GSE41963-6	ArrayExpress	GSM1028242	A-AFFY-2	ArrayExpress	array assay	P-GSE41963-7	ArrayExpress	GSM1028242_GRX_MV_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41963/E-GEOD-41963.raw.1.zip	P-GSE41963-1	ArrayExpress	GSM1028242_sample_table.txt norm	GSM1028242_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41963/E-GEOD-41963.processed.1.zip	MV	EFO	http://www.orphanet.org/rdfns#pat_id_20221	GRX-overexpression
GSM1028241 1	Gene expression data from MV-treated GRX overexpression Arabidopsis seedlings	GRX-overexpression seedlings, MV treatment, rep1	GRX-overexpression seedlings, MV treatment, rep1	14-day-old	Columbia	GRX-overexpression	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Seedlings	P-GSE41963-2	ArrayExpress	P-GSE41963-3	ArrayExpress	P-GSE41963-4	ArrayExpress	GSM1028241 extract 1	total RNA	P-GSE41963-5	ArrayExpress	GSM1028241 LE 1	Biotin	P-GSE41963-6	ArrayExpress	GSM1028241	A-AFFY-2	ArrayExpress	array assay	P-GSE41963-7	ArrayExpress	GSM1028241_GRX_MV_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41963/E-GEOD-41963.raw.1.zip	P-GSE41963-1	ArrayExpress	GSM1028241_sample_table.txt norm	GSM1028241_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41963/E-GEOD-41963.processed.1.zip	MV	EFO	http://www.orphanet.org/rdfns#pat_id_20221	GRX-overexpression
GSM1028240 1	Gene expression data from NaCl-treated GRX overexpression Arabidopsis seedlings	GRX-overexpression seedlings, NaCl treatment, rep2	GRX-overexpression seedlings, NaCl treatment, rep2	14-day-old	Columbia	GRX-overexpression	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Seedlings	P-GSE41963-2	ArrayExpress	P-GSE41963-3	ArrayExpress	P-GSE41963-4	ArrayExpress	GSM1028240 extract 1	total RNA	P-GSE41963-5	ArrayExpress	GSM1028240 LE 1	Biotin	P-GSE41963-6	ArrayExpress	GSM1028240	A-AFFY-2	ArrayExpress	array assay	P-GSE41963-7	ArrayExpress	GSM1028240_GRX_NaCl_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41963/E-GEOD-41963.raw.1.zip	P-GSE41963-1	ArrayExpress	GSM1028240_sample_table.txt norm	GSM1028240_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41963/E-GEOD-41963.processed.1.zip	NaCl	EFO	http://purl.obolibrary.org/obo/CHEBI_26710	GRX-overexpression
GSM1028239 1	Gene expression data from NaCl-treated GRX overexpression Arabidopsis seedlings	GRX-overexpression seedlings, NaCl treatment, rep1	GRX-overexpression seedlings, NaCl treatment, rep1	14-day-old	Columbia	GRX-overexpression	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Seedlings	P-GSE41963-2	ArrayExpress	P-GSE41963-3	ArrayExpress	P-GSE41963-4	ArrayExpress	GSM1028239 extract 1	total RNA	P-GSE41963-5	ArrayExpress	GSM1028239 LE 1	Biotin	P-GSE41963-6	ArrayExpress	GSM1028239	A-AFFY-2	ArrayExpress	array assay	P-GSE41963-7	ArrayExpress	GSM1028239_GRX_NaCl_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41963/E-GEOD-41963.raw.1.zip	P-GSE41963-1	ArrayExpress	GSM1028239_sample_table.txt norm	GSM1028239_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41963/E-GEOD-41963.processed.1.zip	NaCl	EFO	http://purl.obolibrary.org/obo/CHEBI_26710	GRX-overexpression
GSM1028238 1	Gene expression data from IAA-treated GRX overexpression Arabidopsis seedlings	GRX-overexpression seedlings, IAA treatment, rep2	GRX-overexpression seedlings, IAA treatment, rep2	14-day-old	Columbia	GRX-overexpression	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Seedlings	P-GSE41963-2	ArrayExpress	P-GSE41963-3	ArrayExpress	P-GSE41963-4	ArrayExpress	GSM1028238 extract 1	total RNA	P-GSE41963-5	ArrayExpress	GSM1028238 LE 1	Biotin	P-GSE41963-6	ArrayExpress	GSM1028238	A-AFFY-2	ArrayExpress	array assay	P-GSE41963-7	ArrayExpress	GSM1028238_GRX_IAA_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41963/E-GEOD-41963.raw.1.zip	P-GSE41963-1	ArrayExpress	GSM1028238_sample_table.txt norm	GSM1028238_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41963/E-GEOD-41963.processed.1.zip	IAA	EFO	http://purl.obolibrary.org/obo/CHEBI_16411	GRX-overexpression
GSM1028237 1	Gene expression data from IAA-treated GRX overexpression Arabidopsis seedlings	GRX-overexpression seedlings, IAA treatment, rep1	GRX-overexpression seedlings, IAA treatment, rep1	14-day-old	Columbia	GRX-overexpression	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Seedlings	P-GSE41963-2	ArrayExpress	P-GSE41963-3	ArrayExpress	P-GSE41963-4	ArrayExpress	GSM1028237 extract 1	total RNA	P-GSE41963-5	ArrayExpress	GSM1028237 LE 1	Biotin	P-GSE41963-6	ArrayExpress	GSM1028237	A-AFFY-2	ArrayExpress	array assay	P-GSE41963-7	ArrayExpress	GSM1028237_GRX_IAA_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41963/E-GEOD-41963.raw.1.zip	P-GSE41963-1	ArrayExpress	GSM1028237_sample_table.txt norm	GSM1028237_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41963/E-GEOD-41963.processed.1.zip	IAA	EFO	http://purl.obolibrary.org/obo/CHEBI_16411	GRX-overexpression
GSM1028236 1	Gene expression data from control GRX overexpression Arabidopsis seedlings	GRX-overexpression seedlings, control, rep2	GRX-overexpression seedlings, control, rep2	14-day-old	Columbia	GRX-overexpression	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Seedlings	P-GSE41963-2	ArrayExpress	P-GSE41963-3	ArrayExpress	P-GSE41963-4	ArrayExpress	GSM1028236 extract 1	total RNA	P-GSE41963-5	ArrayExpress	GSM1028236 LE 1	Biotin	P-GSE41963-6	ArrayExpress	GSM1028236	A-AFFY-2	ArrayExpress	array assay	P-GSE41963-7	ArrayExpress	GSM1028236_GRX_Control_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41963/E-GEOD-41963.raw.1.zip	P-GSE41963-1	ArrayExpress	GSM1028236_sample_table.txt norm	GSM1028236_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41963/E-GEOD-41963.processed.1.zip	control	EFO	EFO_0001461	GRX-overexpression
GSM1028235 1	Gene expression data from control GRX overexpression Arabidopsis seedlings	GRX-overexpression seedlings, control, rep1	GRX-overexpression seedlings, control, rep1	14-day-old	Columbia	GRX-overexpression	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Seedlings	P-GSE41963-2	ArrayExpress	P-GSE41963-3	ArrayExpress	P-GSE41963-4	ArrayExpress	GSM1028235 extract 1	total RNA	P-GSE41963-5	ArrayExpress	GSM1028235 LE 1	Biotin	P-GSE41963-6	ArrayExpress	GSM1028235	A-AFFY-2	ArrayExpress	array assay	P-GSE41963-7	ArrayExpress	GSM1028235_GRX_Control_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41963/E-GEOD-41963.raw.1.zip	P-GSE41963-1	ArrayExpress	GSM1028235_sample_table.txt norm	GSM1028235_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41963/E-GEOD-41963.processed.1.zip	control	EFO	EFO_0001461	GRX-overexpression
GSM1028234 1	Gene expression data from MV-treated wild-type Arabidopsis seedlings	Wild-type seedlings, MV treatment, rep2	Wild-type seedlings, MV treatment, rep2	14-day-old	Columbia	Wild-type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Seedlings	P-GSE41963-2	ArrayExpress	P-GSE41963-3	ArrayExpress	P-GSE41963-4	ArrayExpress	GSM1028234 extract 1	total RNA	P-GSE41963-5	ArrayExpress	GSM1028234 LE 1	Biotin	P-GSE41963-6	ArrayExpress	GSM1028234	A-AFFY-2	ArrayExpress	array assay	P-GSE41963-7	ArrayExpress	GSM1028234_WT_MV_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41963/E-GEOD-41963.raw.1.zip	P-GSE41963-1	ArrayExpress	GSM1028234_sample_table.txt norm	GSM1028234_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41963/E-GEOD-41963.processed.1.zip	MV	EFO	http://www.orphanet.org/rdfns#pat_id_20221	Wild-type
GSM1028233 1	Gene expression data from MV-treated wild-type Arabidopsis seedlings	Wild-type seedlings, MV treatment, rep1	Wild-type seedlings, MV treatment, rep1	14-day-old	Columbia	Wild-type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Seedlings	P-GSE41963-2	ArrayExpress	P-GSE41963-3	ArrayExpress	P-GSE41963-4	ArrayExpress	GSM1028233 extract 1	total RNA	P-GSE41963-5	ArrayExpress	GSM1028233 LE 1	Biotin	P-GSE41963-6	ArrayExpress	GSM1028233	A-AFFY-2	ArrayExpress	array assay	P-GSE41963-7	ArrayExpress	GSM1028233_WT_MV_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41963/E-GEOD-41963.raw.1.zip	P-GSE41963-1	ArrayExpress	GSM1028233_sample_table.txt norm	GSM1028233_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-41963/E-GEOD-41963.processed.1.zip	MV	EFO	http://www.orphanet.org/rdfns#pat_id_20221	Wild-type
