Source Name	Characteristics [organism]	Characteristics [age]	Unit [time unit]	Characteristics [developmental stage]	Characteristics [ecotype]	Characteristics [organism part]	Term Source REF	Term Accession Number	Characteristics [biosource type]	Protocol REF	Parameter Value [min temperature]	Parameter Value [start time]	Parameter Value [media]	Parameter Value [max temperature]	Protocol REF	Sample Name	Protocol REF	Parameter Value [Extracted product]	Parameter Value [Amplification]	Protocol REF	Extract Name	Material Type	Protocol REF	Parameter Value [Amplification]	Parameter Value [Label used]	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	Factor Value [growth condition]
Arabidopsis thaliana	Arabidopsis thaliana	10	day	"1.04 Boyes key, seedling"	Columbia-0	whole organism	EFO	EFO_0002906	fresh_sample	P-MEXP-8601	18	10	0.8% agar 1 x MS with full strength vitamins	20	P-MEXP-8602	OZONE_REP3	P-MEXP-8604	total RNA	none	P-MEXP-8603	OZONE_REP3_EXTRACT	total_RNA	P-MEXP-8605	RNA polymerases	biotin	OZONE_REP3_LABEL	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	HYB:MEXP:10439	A-AFFY-2	Affymetrix:Protocol:Percentile	DBA:MEXP:1383:10439	OZONE_REP3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-342/E-MEXP-342.raw.1.zip	P-MEXP-8610	E-MEXP-342-processed-data-1342697453.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-342/E-MEXP-342.processed.1.zip	ozone 500 parts per billion
Arabidopsis thaliana	Arabidopsis thaliana	10	day	"1.04 Boyes key, seedling"	Columbia-0	whole organism	EFO	EFO_0002906	fresh_sample	P-MEXP-8601	18	10	0.8% agar 1 x MS with full strength vitamins	20	P-MEXP-8602	OZONE_REP3	P-MEXP-8604	total RNA	none	P-MEXP-8603	OZONE_REP3_EXTRACT	total_RNA	P-MEXP-8605	RNA polymerases	biotin	OZONE_REP3_LABEL	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	HYB:MEXP:10439	A-AFFY-2	Affymetrix:Protocol:Percentile	DBA:MEXP:1383:10439	OZONE_REP3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-342/E-MEXP-342.raw.1.zip	P-MEXP-8610	E-MEXP-342-processed-data-1342698544.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-342/E-MEXP-342.processed.1.zip	ozone 500 parts per billion
Arabidopsis thaliana__S:BioSource:MEXP:177874	Arabidopsis thaliana	10	day	"1.04 Boyes key, seedling"	Columbia-0	whole organism	EFO	EFO_0002906	fresh_sample	P-MEXP-8601	18	10	0.8% agar 1 x MS with full strength vitamins	20	P-MEXP-8619	CONTROL_REP2	P-MEXP-8604	total RNA	none	P-MEXP-8603	CONTROL_REP2_EXTRACT	total_RNA	P-MEXP-8605	RNA polymerases	biotin	CONTROL_REP2_LABEL	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	HYB:MEXP:10440	A-AFFY-2	Affymetrix:Protocol:Percentile	DBA:MEXP:1383:10440	CONTROL_REP2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-342/E-MEXP-342.raw.1.zip	P-MEXP-8610	E-MEXP-342-processed-data-1342697453.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-342/E-MEXP-342.processed.1.zip	control
Arabidopsis thaliana__S:BioSource:MEXP:177874	Arabidopsis thaliana	10	day	"1.04 Boyes key, seedling"	Columbia-0	whole organism	EFO	EFO_0002906	fresh_sample	P-MEXP-8601	18	10	0.8% agar 1 x MS with full strength vitamins	20	P-MEXP-8619	CONTROL_REP2	P-MEXP-8604	total RNA	none	P-MEXP-8603	CONTROL_REP2_EXTRACT	total_RNA	P-MEXP-8605	RNA polymerases	biotin	CONTROL_REP2_LABEL	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	HYB:MEXP:10440	A-AFFY-2	Affymetrix:Protocol:Percentile	DBA:MEXP:1383:10440	CONTROL_REP2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-342/E-MEXP-342.raw.1.zip	P-MEXP-8610	E-MEXP-342-processed-data-1342698544.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-342/E-MEXP-342.processed.1.zip	control
Arabidopsis thaliana__S:BioSource:MEXP:177870	Arabidopsis thaliana	10	day	"1.04 Boyes key, seedling"	Columbia-0	whole organism	EFO	EFO_0002906	fresh_sample	P-MEXP-8601	18	10	0.8% agar 1 x MS with full strength vitamins	20	P-MEXP-8602	OZONE_REP1	P-MEXP-8604	total RNA	none	P-MEXP-8603	OZONE_REP1_EXTRACT	total_RNA	P-MEXP-8605	RNA polymerases	biotin	OZONE_REP1_LABEL	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	HYB:MEXP:10441	A-AFFY-2	Affymetrix:Protocol:Percentile	DBA:MEXP:1383:10441	OZONE_REP1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-342/E-MEXP-342.raw.1.zip	P-MEXP-8610	E-MEXP-342-processed-data-1342698544.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-342/E-MEXP-342.processed.1.zip	ozone 500 parts per billion
Arabidopsis thaliana__S:BioSource:MEXP:177870	Arabidopsis thaliana	10	day	"1.04 Boyes key, seedling"	Columbia-0	whole organism	EFO	EFO_0002906	fresh_sample	P-MEXP-8601	18	10	0.8% agar 1 x MS with full strength vitamins	20	P-MEXP-8602	OZONE_REP1	P-MEXP-8604	total RNA	none	P-MEXP-8603	OZONE_REP1_EXTRACT	total_RNA	P-MEXP-8605	RNA polymerases	biotin	OZONE_REP1_LABEL	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	HYB:MEXP:10441	A-AFFY-2	Affymetrix:Protocol:Percentile	DBA:MEXP:1383:10441	OZONE_REP1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-342/E-MEXP-342.raw.1.zip	P-MEXP-8610	E-MEXP-342-processed-data-1342697453.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-342/E-MEXP-342.processed.1.zip	ozone 500 parts per billion
Arabidopsis thaliana__S:BioSource:MEXP:177873	Arabidopsis thaliana	10	day	"1.04 Boyes key, seedling"	Columbia-0	whole organism	EFO	EFO_0002906	fresh_sample	P-MEXP-8601	18	10	0.8% agar 1 x MS with full strength vitamins	20	P-MEXP-8619	CONTROL_REP1	P-MEXP-8604	total RNA	none	P-MEXP-8603	CONTROL_REP1_EXTRACT	total_RNA	P-MEXP-8605	RNA polymerases	biotin	CONTROL_REP1_LABEL	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	HYB:MEXP:10442	A-AFFY-2	Affymetrix:Protocol:Percentile	DBA:MEXP:1383:10442	CONTROL_REP1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-342/E-MEXP-342.raw.1.zip	P-MEXP-8610	E-MEXP-342-processed-data-1342698544.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-342/E-MEXP-342.processed.1.zip	control
Arabidopsis thaliana__S:BioSource:MEXP:177873	Arabidopsis thaliana	10	day	"1.04 Boyes key, seedling"	Columbia-0	whole organism	EFO	EFO_0002906	fresh_sample	P-MEXP-8601	18	10	0.8% agar 1 x MS with full strength vitamins	20	P-MEXP-8619	CONTROL_REP1	P-MEXP-8604	total RNA	none	P-MEXP-8603	CONTROL_REP1_EXTRACT	total_RNA	P-MEXP-8605	RNA polymerases	biotin	CONTROL_REP1_LABEL	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	HYB:MEXP:10442	A-AFFY-2	Affymetrix:Protocol:Percentile	DBA:MEXP:1383:10442	CONTROL_REP1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-342/E-MEXP-342.raw.1.zip	P-MEXP-8610	E-MEXP-342-processed-data-1342697453.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-342/E-MEXP-342.processed.1.zip	control
Arabidopsis thaliana__S:BioSource:MEXP:177875	Arabidopsis thaliana	10	day	"1.04 Boyes key, seedling"	Columbia-0	whole organism	EFO	EFO_0002906	fresh_sample	P-MEXP-8601	18	10	0.8% agar 1 x MS with full strength vitamins	20	P-MEXP-8619	CONTROL_REP3	P-MEXP-8604	total RNA	none	P-MEXP-8603	CONTROL_REP3_EXTRACT	total_RNA	P-MEXP-8605	RNA polymerases	biotin	CONTROL_REP3_LABEL	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	HYB:MEXP:10443	A-AFFY-2	Affymetrix:Protocol:Percentile	DBA:MEXP:1383:10443	CONTROL_REP3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-342/E-MEXP-342.raw.1.zip	P-MEXP-8610	E-MEXP-342-processed-data-1342697453.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-342/E-MEXP-342.processed.1.zip	control
Arabidopsis thaliana__S:BioSource:MEXP:177875	Arabidopsis thaliana	10	day	"1.04 Boyes key, seedling"	Columbia-0	whole organism	EFO	EFO_0002906	fresh_sample	P-MEXP-8601	18	10	0.8% agar 1 x MS with full strength vitamins	20	P-MEXP-8619	CONTROL_REP3	P-MEXP-8604	total RNA	none	P-MEXP-8603	CONTROL_REP3_EXTRACT	total_RNA	P-MEXP-8605	RNA polymerases	biotin	CONTROL_REP3_LABEL	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	HYB:MEXP:10443	A-AFFY-2	Affymetrix:Protocol:Percentile	DBA:MEXP:1383:10443	CONTROL_REP3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-342/E-MEXP-342.raw.1.zip	P-MEXP-8610	E-MEXP-342-processed-data-1342698544.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-342/E-MEXP-342.processed.1.zip	control
