Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics[germplasm]	Characteristics[organism part]	Characteristics[developmental stage]	Characteristics[genotype]	Description	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[genotype]
GSE5737GSM133824	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Ws-2	rosette leaves	Boyes key 3.7	wild type	Ws-2:  na. Stock Code: N1601; Developmental stage: 3.7; Tissue: unshaded mature rosette leaves	GSE5737GSM133824 sample	GSE5737GSM133824 extract	total_RNA	GSE5737GSM133824 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Walters_A-03-Kruger-WL3_REP3	A-AFFY-2	P-AFFY-6	Walters_A-03-Kruger-WL3_REP3	GSM133824.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5737/E-GEOD-5737.raw.1.zip	E-GEOD-5737-processed-data-1628585305.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5737/E-GEOD-5737.processed.1.zip	wild type
GSE5737GSM133833	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Ws-2	rosette leaves	Boyes key 3.7	tpt-1	na:  na. Stock Code: ape2; Developmental stage: 3.7; Tissue: unshaded mature rosette leaves; Genetic background: Ws-2; Genetic variation: T-DNA insert	GSE5737GSM133833 sample	GSE5737GSM133833 extract	total_RNA	GSE5737GSM133833 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Walters_A-12-Kruger-MH3_REP3	A-AFFY-2	P-AFFY-6	Walters_A-12-Kruger-MH3_REP3	GSM133833.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5737/E-GEOD-5737.raw.1.zip	E-GEOD-5737-processed-data-1628585305.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5737/E-GEOD-5737.processed.1.zip	tpt-1
GSE5737GSM133826	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Ws-2	rosette leaves	Boyes key 3.7	wild type	Ws-2:  na. Stock Code: N1601; Developmental stage: 3.7; Tissue: unshaded mature rosette leaves	GSE5737GSM133826 sample	GSE5737GSM133826 extract	total_RNA	GSE5737GSM133826 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Walters_A-05-Kruger-WH2_REP2	A-AFFY-2	P-AFFY-6	Walters_A-05-Kruger-WH2_REP2	GSM133826.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5737/E-GEOD-5737.raw.1.zip	E-GEOD-5737-processed-data-1628585305.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5737/E-GEOD-5737.processed.1.zip	wild type
GSE5737GSM133830	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Ws-2	rosette leaves	Boyes key 3.7	tpt-1	na:  na. Stock Code: ape2; Developmental stage: 3.7; Tissue: unshaded mature rosette leaves; Genetic background: Ws-2; Genetic variation: T-DNA insert	GSE5737GSM133830 sample	GSE5737GSM133830 extract	total_RNA	GSE5737GSM133830 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Walters_A-09-Kruger-ML3_REP3	A-AFFY-2	P-AFFY-6	Walters_A-09-Kruger-ML3_REP3	GSM133830.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5737/E-GEOD-5737.raw.1.zip	E-GEOD-5737-processed-data-1628585305.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5737/E-GEOD-5737.processed.1.zip	tpt-1
GSE5737GSM133832	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Ws-2	rosette leaves	Boyes key 3.7	tpt-1	na:  na. Stock Code: ape2; Developmental stage: 3.7; Tissue: unshaded mature rosette leaves; Genetic background: Ws-2; Genetic variation: T-DNA insert	GSE5737GSM133832 sample	GSE5737GSM133832 extract	total_RNA	GSE5737GSM133832 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Walters_A-11-Kruger-MH2_REP2	A-AFFY-2	P-AFFY-6	Walters_A-11-Kruger-MH2_REP2	GSM133832.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5737/E-GEOD-5737.raw.1.zip	E-GEOD-5737-processed-data-1628585305.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5737/E-GEOD-5737.processed.1.zip	tpt-1
GSE5737GSM133825	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Ws-2	rosette leaves	Boyes key 3.7	wild type	Ws-2:  na. Stock Code: N1601; Developmental stage: 3.7; Tissue: unshaded mature rosette leaves	GSE5737GSM133825 sample	GSE5737GSM133825 extract	total_RNA	GSE5737GSM133825 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Walters_A-04-Kruger-WH1_REP1	A-AFFY-2	P-AFFY-6	Walters_A-04-Kruger-WH1_REP1	GSM133825.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5737/E-GEOD-5737.raw.1.zip	E-GEOD-5737-processed-data-1628585305.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5737/E-GEOD-5737.processed.1.zip	wild type
GSE5737GSM133831	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Ws-2	rosette leaves	Boyes key 3.7	tpt-1	na:  na. Stock Code: ape2; Developmental stage: 3.7; Tissue: unshaded mature rosette leaves; Genetic background: Ws-2; Genetic variation: T-DNA insert	GSE5737GSM133831 sample	GSE5737GSM133831 extract	total_RNA	GSE5737GSM133831 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Walters_A-10-Kruger-MH1_REP1	A-AFFY-2	P-AFFY-6	Walters_A-10-Kruger-MH1_REP1	GSM133831.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5737/E-GEOD-5737.raw.1.zip	E-GEOD-5737-processed-data-1628585305.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5737/E-GEOD-5737.processed.1.zip	tpt-1
GSE5737GSM133828	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Ws-2	rosette leaves	Boyes key 3.7	tpt-1	na:  na. Stock Code: ape2; Developmental stage: 3.7; Tissue: unshaded mature rosette leaves; Genetic background: Ws-2; Genetic variation: T-DNA insert	GSE5737GSM133828 sample	GSE5737GSM133828 extract	total_RNA	GSE5737GSM133828 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Walters_A-07-Kruger-ML1_REP1	A-AFFY-2	P-AFFY-6	Walters_A-07-Kruger-ML1_REP1	GSM133828.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5737/E-GEOD-5737.raw.1.zip	E-GEOD-5737-processed-data-1628585305.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5737/E-GEOD-5737.processed.1.zip	tpt-1
GSE5737GSM133827	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Ws-2	rosette leaves	Boyes key 3.7	wild type	Ws-2:  na. Stock Code: N1601; Developmental stage: 3.7; Tissue: unshaded mature rosette leaves	GSE5737GSM133827 sample	GSE5737GSM133827 extract	total_RNA	GSE5737GSM133827 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Walters_A-06-Kruger-WH3_REP3	A-AFFY-2	P-AFFY-6	Walters_A-06-Kruger-WH3_REP3	GSM133827.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5737/E-GEOD-5737.raw.1.zip	E-GEOD-5737-processed-data-1628585305.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5737/E-GEOD-5737.processed.1.zip	wild type
GSE5737GSM133822	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Ws-2	rosette leaves	Boyes key 3.7	wild type	Ws-2:  na. Stock Code: N1601; Developmental stage: 3.7; Tissue: unshaded mature rosette leaves	GSE5737GSM133822 sample	GSE5737GSM133822 extract	total_RNA	GSE5737GSM133822 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Walters_A-01-Kruger-WL1_REP1	A-AFFY-2	P-AFFY-6	Walters_A-01-Kruger-WL1_REP1	GSM133822.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5737/E-GEOD-5737.raw.1.zip	E-GEOD-5737-processed-data-1628585305.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5737/E-GEOD-5737.processed.1.zip	wild type
