Source Name	Characteristics [age]	Unit[time unit]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [ecotype]	Characteristics [genotype]	Characteristics [developmental stage]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Factor Value [genotype]	Factor Value [compound]	Factor Value [dose]	Unit [concentration unit]
plant1	3	day	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild type	seedling	EFO	EFO_0001992	P-TABM-5195	sample1	P-TABM-4741	P-MTAB-3962	extract1	total_RNA	P-TABM-4740	labeled1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	mz_101007_mz_wt_72h_MS_1	A-AFFY-2	P-AFFY-6	mz_101007_mz_wt_72h_MS_1	mz_101007_mz_wt_72h_MS_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-1009/E-TABM-1009.raw.1.zip	wild type	none	  	  
plant2	3	day	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild type	seedling	EFO	EFO_0001992	P-TABM-5195	sample2	P-TABM-4741	P-MTAB-3962	extract2	total_RNA	P-TABM-4740	labeled2	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	mz_101007_mz_wt_72h_MS_2	A-AFFY-2	P-AFFY-6	mz_101007_mz_wt_72h_MS_2	mz_101007_mz_wt_72h_MS_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-1009/E-TABM-1009.raw.1.zip	wild type	none	  	  
plant3	3	day	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild type	seedling	EFO	EFO_0001992	P-TABM-5195	sample3	P-TABM-4741	P-MTAB-3962	extract3	total_RNA	P-TABM-4740	labeled3	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	mz_101007_mz_wt_72h_MS_3	A-AFFY-2	P-AFFY-6	mz_101007_mz_wt_72h_MS_3	mz_101007_mz_wt_72h_MS_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-1009/E-TABM-1009.raw.1.zip	wild type	none	  	  
plant4	3	day	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild type	seedling	EFO	EFO_0001992	P-TABM-5195	sample4	P-TABM-4741	P-MTAB-3962	extract4	total_RNA	P-TABM-4740	labeled4	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	mz_011206_mz_wt_C_011206	A-AFFY-2	P-AFFY-6	mz_011206_mz_wt_C_011206	mz_011206_mz_wt_C_011206.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-1009/E-TABM-1009.raw.1.zip	wild type	sucrose	1	percent
plant5	3	day	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild type	seedling	EFO	EFO_0001992	P-TABM-5195	sample5	P-TABM-4741	P-MTAB-3962	extract5	total_RNA	P-TABM-4740	labeled5	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	mz_011206_mz_wt_A_011206	A-AFFY-2	P-AFFY-6	mz_011206_mz_wt_A_011206	mz_011206_mz_wt_A_011206.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-1009/E-TABM-1009.raw.1.zip	wild type	sucrose	1	percent
plant6	3	day	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild type	seedling	EFO	EFO_0001992	P-TABM-5195	sample6	P-TABM-4741	P-MTAB-3962	extract6	total_RNA	P-TABM-4740	labeled6	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	mz_011206_mz_wt_B_011206	A-AFFY-2	P-AFFY-6	mz_011206_mz_wt_B_011206	mz_011206_mz_wt_B_011206.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-1009/E-TABM-1009.raw.1.zip	wild type	sucrose	1	percent
plant7	3	day	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	RBRcs mutant	seedling	EFO	EFO_0001992	P-TABM-5195	sample7	P-TABM-4741	P-MTAB-3962	extract7	total_RNA	P-TABM-4740	labeled7	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	mz_101007_mz_CS_72h_MS_1	A-AFFY-2	P-AFFY-6	mz_101007_mz_CS_72h_MS_1	mz_101007_mz_CS_72h_MS_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-1009/E-TABM-1009.raw.1.zip	RBRcs mutant	none	  	  
plant8	3	day	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	RBRcs mutant	seedling	EFO	EFO_0001992	P-TABM-5195	sample8	P-TABM-4741	P-MTAB-3962	extract8	total_RNA	P-TABM-4740	labeled8	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	mz_101007_mz_CS_72h_MS_2	A-AFFY-2	P-AFFY-6	mz_101007_mz_CS_72h_MS_2	mz_101007_mz_CS_72h_MS_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-1009/E-TABM-1009.raw.1.zip	RBRcs mutant	none	  	  
plant9	3	day	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	RBRcs mutant	seedling	EFO	EFO_0001992	P-TABM-5195	sample9	P-TABM-4741	P-MTAB-3962	extract9	total_RNA	P-TABM-4740	labeled9	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	mz_101007_mz_CS_72h_MS_3	A-AFFY-2	P-AFFY-6	mz_101007_mz_CS_72h_MS_3	mz_101007_mz_CS_72h_MS_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-1009/E-TABM-1009.raw.1.zip	RBRcs mutant	none	  	  
plant10	3	day	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	RBRcs mutant	seedling	EFO	EFO_0001992	P-TABM-5195	sample10	P-TABM-4741	P-MTAB-3962	extract10	total_RNA	P-TABM-4740	labeled10	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-Unknown	mz_011206_mz_m_C_011206	A-AFFY-2	P-AFFY-6	mz_011206_mz_m_C_011206	mz_011206_mz_m_C_011206.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/TABM/E-TABM-1009/E-TABM-1009.raw.1.zip	RBRcs mutant	sucrose	1	percent
