Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [age]	Characteristics [ecotype]	Characteristics [ip antibody]	Characteristics [ip antibody vendor]	Characteristics [molecule subtype]	Term Source REF	Term Accession Number	Characteristics [organism part]	Characteristics [variation]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [MOLECULE SUBTYPE]	Term Source REF	Term Accession Number	FactorValue [TREATMENT]	FactorValue [VARIATION]
GSM932771 1	SAMPLE 38	Polysomal RNA_atcsp1-1_cold	Polysomal RNA from atcsp1-1, cold rep 2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	25 days	Col-0	  	  	Polysomal RNA	  	  	rosettes	atcsp1-1	P-GSE38030-2	ArrayExpress	P-GSE38030-3	ArrayExpress	P-GSE38030-4	ArrayExpress	GSM932771 extract 1	total RNA	P-GSE38030-5	ArrayExpress	GSM932771 LE 1	biotin	P-GSE38030-6	ArrayExpress	GSM932771	A-AFFY-2	ArrayExpress	array assay	P-GSE38030-7	ArrayExpress	P-GSE38030-8	ArrayExpress	GSM932771_04PKDC3_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.raw.1.zip	P-GSE38030-1	ArrayExpress	GSM932771_sample_table.txt norm	GSM932771_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.processed.1.zip	Polysomal RNA	  	  	12h cold (4C)	atcsp1-1
GSM932770 1	SAMPLE 37	Polysomal RNA_atcsp1-1_non-stress	Polysomal RNA from atcsp1-1, non-stress rep 2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	25 days	Col-0	  	  	Polysomal RNA	  	  	rosettes	atcsp1-1	P-GSE38030-2	ArrayExpress	P-GSE38030-3	ArrayExpress	P-GSE38030-4	ArrayExpress	GSM932770 extract 1	total RNA	P-GSE38030-5	ArrayExpress	GSM932770 LE 1	biotin	P-GSE38030-6	ArrayExpress	GSM932770	A-AFFY-2	ArrayExpress	array assay	P-GSE38030-7	ArrayExpress	P-GSE38030-8	ArrayExpress	GSM932770_03PKDNS3_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.raw.1.zip	P-GSE38030-1	ArrayExpress	GSM932770_sample_table.txt norm	GSM932770_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.processed.1.zip	Polysomal RNA	  	  	12h non-stress	atcsp1-1
GSM932769 1	SAMPLE 36	Total RNA_atcsp1-1_cold	Total RNA from atcsp1-1, cold rep 2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	25 days	Col-0	  	  	total RNA	EFO	EFO_0004964	rosettes	atcsp1-1	P-GSE38030-2	ArrayExpress	P-GSE38030-3	ArrayExpress	P-GSE38030-4	ArrayExpress	GSM932769 extract 1	total RNA	P-GSE38030-5	ArrayExpress	GSM932769 LE 1	biotin	P-GSE38030-6	ArrayExpress	GSM932769	A-AFFY-2	ArrayExpress	array assay	P-GSE38030-7	ArrayExpress	P-GSE38030-8	ArrayExpress	GSM932769_02TKDC3_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.raw.1.zip	P-GSE38030-1	ArrayExpress	GSM932769_sample_table.txt norm	GSM932769_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.processed.1.zip	total RNA	EFO	EFO_0004964	12h cold (4C)	atcsp1-1
GSM932768 1	SAMPLE 35	Total RNA_atcsp1-1_non-stress	Total RNA from atcsp1-1, non-stress rep 2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	25 days	Col-0	  	  	total RNA	EFO	EFO_0004964	rosettes	atcsp1-1	P-GSE38030-2	ArrayExpress	P-GSE38030-3	ArrayExpress	P-GSE38030-4	ArrayExpress	GSM932768 extract 1	total RNA	P-GSE38030-5	ArrayExpress	GSM932768 LE 1	biotin	P-GSE38030-6	ArrayExpress	GSM932768	A-AFFY-2	ArrayExpress	array assay	P-GSE38030-7	ArrayExpress	P-GSE38030-8	ArrayExpress	GSM932768_01TKDNS3_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.raw.1.zip	P-GSE38030-1	ArrayExpress	GSM932768_sample_table.txt norm	GSM932768_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.processed.1.zip	total RNA	EFO	EFO_0004964	12h non-stress	atcsp1-1
GSM932767 1	SAMPLE 34	Polysomal RNA_atcsp1-1_cold	Polysomal RNA from atcsp1-1, cold rep 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	25 days	Col-0	  	  	Polysomal RNA	  	  	rosettes	atcsp1-1	P-GSE38030-2	ArrayExpress	P-GSE38030-3	ArrayExpress	P-GSE38030-4	ArrayExpress	GSM932767 extract 1	total RNA	P-GSE38030-5	ArrayExpress	GSM932767 LE 1	biotin	P-GSE38030-6	ArrayExpress	GSM932767	A-AFFY-2	ArrayExpress	array assay	P-GSE38030-7	ArrayExpress	P-GSE38030-8	ArrayExpress	GSM932767_04PKDC1_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.raw.1.zip	P-GSE38030-1	ArrayExpress	GSM932767_sample_table.txt norm	GSM932767_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.processed.1.zip	Polysomal RNA	  	  	12h cold (4C)	atcsp1-1
GSM932766 1	SAMPLE 33	Polysomal RNA_atcsp1-1_non-stress	Polysomal RNA from atcsp1-1, non-stress rep 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	25 days	Col-0	  	  	Polysomal RNA	  	  	rosettes	atcsp1-1	P-GSE38030-2	ArrayExpress	P-GSE38030-3	ArrayExpress	P-GSE38030-4	ArrayExpress	GSM932766 extract 1	total RNA	P-GSE38030-5	ArrayExpress	GSM932766 LE 1	biotin	P-GSE38030-6	ArrayExpress	GSM932766	A-AFFY-2	ArrayExpress	array assay	P-GSE38030-7	ArrayExpress	P-GSE38030-8	ArrayExpress	GSM932766_03PKDNS1_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.raw.1.zip	P-GSE38030-1	ArrayExpress	GSM932766_sample_table.txt norm	GSM932766_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.processed.1.zip	Polysomal RNA	  	  	12h non-stress	atcsp1-1
GSM932765 1	SAMPLE 32	Total RNA_atcsp1-1_cold	Total RNA from atcsp1-1, cold rep 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	25 days	Col-0	  	  	total RNA	EFO	EFO_0004964	rosettes	atcsp1-1	P-GSE38030-2	ArrayExpress	P-GSE38030-3	ArrayExpress	P-GSE38030-4	ArrayExpress	GSM932765 extract 1	total RNA	P-GSE38030-5	ArrayExpress	GSM932765 LE 1	biotin	P-GSE38030-6	ArrayExpress	GSM932765	A-AFFY-2	ArrayExpress	array assay	P-GSE38030-7	ArrayExpress	P-GSE38030-8	ArrayExpress	GSM932765_02TKDC1_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.raw.1.zip	P-GSE38030-1	ArrayExpress	GSM932765_sample_table.txt norm	GSM932765_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.processed.1.zip	total RNA	EFO	EFO_0004964	12h cold (4C)	atcsp1-1
GSM932764 1	SAMPLE 31	Total RNA_atcsp1-1_non-stress	Total RNA from atcsp1-1, non-stress rep 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	25 days	Col-0	  	  	total RNA	EFO	EFO_0004964	rosettes	atcsp1-1	P-GSE38030-2	ArrayExpress	P-GSE38030-3	ArrayExpress	P-GSE38030-4	ArrayExpress	GSM932764 extract 1	total RNA	P-GSE38030-5	ArrayExpress	GSM932764 LE 1	biotin	P-GSE38030-6	ArrayExpress	GSM932764	A-AFFY-2	ArrayExpress	array assay	P-GSE38030-7	ArrayExpress	P-GSE38030-8	ArrayExpress	GSM932764_01TKDNS1_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.raw.1.zip	P-GSE38030-1	ArrayExpress	GSM932764_sample_table.txt norm	GSM932764_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.processed.1.zip	total RNA	EFO	EFO_0004964	12h non-stress	atcsp1-1
GSM932763 1	SAMPLE 30	CSP1_IP_RNA_35S:AtCSP1-FH#11_cold	CSP1 immonoprecipitated RNA from 35S:AtCSP1-FH#11, cold rep 2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	25 days	Col-0	anti-CSP1	Gencript	CSP1 immonoprecipitated RNA	  	  	rosettes	35S:AtCSP1-FH#11	P-GSE38030-2	ArrayExpress	P-GSE38030-3	ArrayExpress	P-GSE38030-4	ArrayExpress	GSM932763 extract 1	total RNA	P-GSE38030-5	ArrayExpress	GSM932763 LE 1	biotin	P-GSE38030-6	ArrayExpress	GSM932763	A-AFFY-2	ArrayExpress	array assay	P-GSE38030-7	ArrayExpress	P-GSE38030-8	ArrayExpress	GSM932763_10IPOEC3_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.raw.1.zip	P-GSE38030-1	ArrayExpress	GSM932763_sample_table.txt norm	GSM932763_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.processed.1.zip	CSP1 immonoprecipitated RNA	  	  	12h cold (4C)	35S:AtCSP1-FH#11
GSM932762 1	SAMPLE 29	CSP1_IP_RNA_35S:AtCSP1-FH#11_non-stress	CSP1 immonoprecipitated RNA from 35S:AtCSP1-FH#11, non-stress rep 2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	25 days	Col-0	anti-CSP1	Gencript	CSP1 immonoprecipitated RNA	  	  	rosettes	35S:AtCSP1-FH#11	P-GSE38030-2	ArrayExpress	P-GSE38030-3	ArrayExpress	P-GSE38030-4	ArrayExpress	GSM932762 extract 1	total RNA	P-GSE38030-5	ArrayExpress	GSM932762 LE 1	biotin	P-GSE38030-6	ArrayExpress	GSM932762	A-AFFY-2	ArrayExpress	array assay	P-GSE38030-7	ArrayExpress	P-GSE38030-8	ArrayExpress	GSM932762_09IPOENS3_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.raw.1.zip	P-GSE38030-1	ArrayExpress	GSM932762_sample_table.txt norm	GSM932762_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.processed.1.zip	CSP1 immonoprecipitated RNA	  	  	12h non-stress	35S:AtCSP1-FH#11
