Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Characteristics[developmental stage]	Characteristics[organism part]	Description	Protocol REF	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[infect]	FactorValue[time]	Unit[time unit]
GSE5616GSM131153	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Boyes key 3.70	leaf	Col-0:  location: Growth Room Humidity: 70% Temperature: 23°C day / 20°C night Lighting: 8 hrs light / 16 hrs dark Medium: GS90 : vermiculite (1:1) Water: when necessary. Developmental stage: 3.70; Tissue: leaves	P-G5616-1	GSE5616GSM131153 sample	GSE5616GSM131153 extract	total_RNA	GSE5616GSM131153 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_C-3_4-C-6_REP3_ATH1	A-AFFY-2	P-AFFY-6	AtGen_C-3_4-C-6_REP3_ATH1	GSM131153.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5616/E-GEOD-5616.raw.1.zip	E-GEOD-5616-processed-data-1628468468.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5616/E-GEOD-5616.processed.1.zip	none	6	hour
GSE5616GSM131151	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Boyes key 3.70	leaf	Col-0:  location: Growth Room Humidity: 70% Temperature: 23°C day / 20°C night Lighting: 8 hrs light / 16 hrs dark Medium: GS90 : vermiculite (1:1) Water: when necessary. Developmental stage: 3.70; Tissue: leaves	P-G5616-1	GSE5616GSM131151 sample	GSE5616GSM131151 extract	total_RNA	GSE5616GSM131151 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_C-1_1-C-6_REP1_ATH1	A-AFFY-2	P-AFFY-6	AtGen_C-1_1-C-6_REP1_ATH1	GSM131151.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5616/E-GEOD-5616.raw.1.zip	E-GEOD-5616-processed-data-1628468468.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5616/E-GEOD-5616.processed.1.zip	none	6	hour
GSE5616GSM131152	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Boyes key 3.70	leaf	Col-0:  location: Growth Room Humidity: 70% Temperature: 23°C day / 20°C night Lighting: 8 hrs light / 16 hrs dark Medium: GS90 : vermiculite (1:1) Water: when necessary. Developmental stage: 3.70; Tissue: leaves	P-G5616-1	GSE5616GSM131152 sample	GSE5616GSM131152 extract	total_RNA	GSE5616GSM131152 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_C-2_2-C-6_REP2_ATH1	A-AFFY-2	P-AFFY-6	AtGen_C-2_2-C-6_REP2_ATH1	GSM131152.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5616/E-GEOD-5616.raw.1.zip	E-GEOD-5616-processed-data-1628468468.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5616/E-GEOD-5616.processed.1.zip	none	6	hour
GSE5616GSM131155	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Boyes key 3.70	leaf	Col-0:  location: Growth Room Humidity: 70% Temperature: 23°C day / 20°C night Lighting: 8 hrs light / 16 hrs dark Medium: GS90 : vermiculite (1:1) Water: when necessary. Developmental stage: 3.70; Tissue: leaves	P-G5616-2	GSE5616GSM131155 sample	GSE5616GSM131155 extract	total_RNA	GSE5616GSM131155 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_C-5_2-C-12_REP2_ATH1	A-AFFY-2	P-AFFY-6	AtGen_C-5_2-C-12_REP2_ATH1	GSM131155.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5616/E-GEOD-5616.raw.1.zip	E-GEOD-5616-processed-data-1628468468.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5616/E-GEOD-5616.processed.1.zip	none	12	hour
GSE5616GSM131156	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Boyes key 3.70	leaf	Col-0:  location: Growth Room Humidity: 70% Temperature: 23°C day / 20°C night Lighting: 8 hrs light / 16 hrs dark Medium: GS90 : vermiculite (1:1) Water: when necessary. Developmental stage: 3.70; Tissue: leaves	P-G5616-2	GSE5616GSM131156 sample	GSE5616GSM131156 extract	total_RNA	GSE5616GSM131156 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_C-6_3-C-12_REP3_ATH1	A-AFFY-2	P-AFFY-6	AtGen_C-6_3-C-12_REP3_ATH1	GSM131156.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5616/E-GEOD-5616.raw.1.zip	E-GEOD-5616-processed-data-1628468468.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5616/E-GEOD-5616.processed.1.zip	none	12	hour
GSE5616GSM131154	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Boyes key 3.70	leaf	Col-0:  location: Growth Room Humidity: 70% Temperature: 23°C day / 20°C night Lighting: 8 hrs light / 16 hrs dark Medium: GS90 : vermiculite (1:1) Water: when necessary. Developmental stage: 3.70; Tissue: leaves	P-G5616-2	GSE5616GSM131154 sample	GSE5616GSM131154 extract	total_RNA	GSE5616GSM131154 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_C-4_1-C-12_REP1_ATH1	A-AFFY-2	P-AFFY-6	AtGen_C-4_1-C-12_REP1_ATH1	GSM131154.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5616/E-GEOD-5616.raw.1.zip	E-GEOD-5616-processed-data-1628468468.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5616/E-GEOD-5616.processed.1.zip	none	12	hour
GSE5616GSM131158	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Boyes key 3.70	leaf	Col-0:  location: Growth Room Humidity: 70% Temperature: 23°C day / 20°C night Lighting: 8 hrs light / 16 hrs dark Medium: GS90 : vermiculite (1:1) Water: when necessary. Developmental stage: 3.70; Tissue: leaves	P-G5616-3	GSE5616GSM131158 sample	GSE5616GSM131158 extract	total_RNA	GSE5616GSM131158 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_C-8_2-C-24_REP2_ATH1	A-AFFY-2	P-AFFY-6	AtGen_C-8_2-C-24_REP2_ATH1	GSM131158.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5616/E-GEOD-5616.raw.1.zip	E-GEOD-5616-processed-data-1628468468.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5616/E-GEOD-5616.processed.1.zip	none	24	hour
GSE5616GSM131157	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Boyes key 3.70	leaf	Col-0:  location: Growth Room Humidity: 70% Temperature: 23°C day / 20°C night Lighting: 8 hrs light / 16 hrs dark Medium: GS90 : vermiculite (1:1) Water: when necessary. Developmental stage: 3.70; Tissue: leaves	P-G5616-3	GSE5616GSM131157 sample	GSE5616GSM131157 extract	total_RNA	GSE5616GSM131157 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_C-7_1-C-24_REP1_ATH1	A-AFFY-2	P-AFFY-6	AtGen_C-7_1-C-24_REP1_ATH1	GSM131157.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5616/E-GEOD-5616.raw.1.zip	E-GEOD-5616-processed-data-1628468468.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5616/E-GEOD-5616.processed.1.zip	none	24	hour
GSE5616GSM131159	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Boyes key 3.70	leaf	Col-0:  location: Growth Room Humidity: 70% Temperature: 23°C day / 20°C night Lighting: 8 hrs light / 16 hrs dark Medium: GS90 : vermiculite (1:1) Water: when necessary. Developmental stage: 3.70; Tissue: leaves	P-G5616-3	GSE5616GSM131159 sample	GSE5616GSM131159 extract	total_RNA	GSE5616GSM131159 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_C-9_3-C-24_REP3_ATH1	A-AFFY-2	P-AFFY-6	AtGen_C-9_3-C-24_REP3_ATH1	GSM131159.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5616/E-GEOD-5616.raw.1.zip	E-GEOD-5616-processed-data-1628468468.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5616/E-GEOD-5616.processed.1.zip	none	24	hour
GSE5616GSM131161	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Boyes key 3.70	leaf	Col-0:  location: Growth Room Humidity: 70% Temperature: 23°C day / 20°C night Lighting: 8 hrs light / 16 hrs dark Medium: GS90 : vermiculite (1:1) Water: when necessary. Developmental stage: 3.70; Tissue: leaves	P-G5616-4	GSE5616GSM131161 sample	GSE5616GSM131161 extract	total_RNA	GSE5616GSM131161 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_C-11_2-Pi-6_REP2_ATH1	A-AFFY-2	P-AFFY-6	AtGen_C-11_2-Pi-6_REP2_ATH1	GSM131161.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5616/E-GEOD-5616.raw.1.zip	E-GEOD-5616-processed-data-1628468468.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5616/E-GEOD-5616.processed.1.zip	Phytophthera infestans	6	hour
