Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[developmental stage]	Characteristics[maternal ecotype]	Characteristics[maternal genetic modification]	Characteristics[paternal ecotype]	Characteristics[paternal genetic modification]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [DEVELOPMENTAL STAGE]	FactorValue [MATERNAL ECOTYPE]	FactorValue [MATERNAL GENETIC MODIFICATION]	FactorValue [PATERNAL ECOTYPE]	FactorValue [PATERNAL GENETIC MODIFICATION]
GSM499705 1	fis1X2xCy5	Siliques	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5 days after pollination	Ler	fis1-3 (=mea-3/f644) homozygous mutant	C24	none	P-GSE20007-3	  	P-GSE20007-10	  	P-GSE20007-11	  	  	  	  	  	GSM499705 extract 1	polyA RNA	P-GSE20007-12	  	  	  	GSM499705 LE 1	Cy5	P-GSE20007-13	  	  	  	GSM499705	A-GEOD-9964	  	P-GSE20007-14	  	P-GSE20007-15	  	  	  	  	  	GSM499705.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20007/E-GEOD-20007.raw.1.zip	P-GSE20007-2	  	  	  	GSM499705_sample_table.txt norm	GSM499705_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20007/E-GEOD-20007.processed.1.zip	5 days after pollination	Ler	fis1-3 (=mea-3/f644) homozygous mutant	C24	none
GSM499705 2	fis1X2xCy5	Siliques	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5 days after pollination	C24	A9-barnase transgene	C24	none	P-GSE20007-3	 	P-GSE20007-10	 	P-GSE20007-11	 	 	 	 	 	GSM499705 extract 2	polyA RNA	P-GSE20007-12	 	 	 	GSM499705 LE 2	Cy3	P-GSE20007-13	 	 	 	GSM499705	A-GEOD-9964	 	P-GSE20007-14	 	P-GSE20007-15	 	 	 	 	 	GSM499705.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20007/E-GEOD-20007.raw.1.zip	P-GSE20007-2	 	 	 	GSM499705_sample_table.txt norm	GSM499705_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20007/E-GEOD-20007.processed.1.zip	5 days after pollination	C24	A9-barnase transgene	C24	none
GSM499704 1	2xX6xCy5	Siliques	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5 days after pollination	C24	A9-barnase transgene	Col-1	none	P-GSE20007-3	 	P-GSE20007-10	 	P-GSE20007-11	 	 	 	 	 	GSM499704 extract 1	polyA RNA	P-GSE20007-12	 	 	 	GSM499704 LE 1	Cy5	P-GSE20007-13	 	 	 	GSM499704	A-GEOD-9964	 	P-GSE20007-14	 	P-GSE20007-15	 	 	 	 	 	GSM499704.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20007/E-GEOD-20007.raw.1.zip	P-GSE20007-2	 	 	 	GSM499704_sample_table.txt norm	GSM499704_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20007/E-GEOD-20007.processed.1.zip	5 days after pollination	C24	A9-barnase transgene	Col-1	none
GSM499704 2	2xX6xCy5	Siliques	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5 days after pollination	C24	A9-barnase transgene	C24	none	P-GSE20007-3	 	P-GSE20007-10	 	P-GSE20007-11	 	 	 	 	 	GSM499704 extract 2	polyA RNA	P-GSE20007-12	 	 	 	GSM499704 LE 2	Cy3	P-GSE20007-13	 	 	 	GSM499704	A-GEOD-9964	 	P-GSE20007-14	 	P-GSE20007-15	 	 	 	 	 	GSM499704.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20007/E-GEOD-20007.raw.1.zip	P-GSE20007-2	 	 	 	GSM499704_sample_table.txt norm	GSM499704_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20007/E-GEOD-20007.processed.1.zip	5 days after pollination	C24	A9-barnase transgene	C24	none
GSM499703 1	2xX4xCy5	Siliques	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5 days after pollination	C24	A9-barnase transgene	C24	none	P-GSE20007-3	 	P-GSE20007-10	 	P-GSE20007-11	 	 	 	 	 	GSM499703 extract 1	polyA RNA	P-GSE20007-12	 	 	 	GSM499703 LE 1	Cy5	P-GSE20007-13	 	 	 	GSM499703	A-GEOD-9964	 	P-GSE20007-14	 	P-GSE20007-15	 	 	 	 	 	GSM499703.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20007/E-GEOD-20007.raw.1.zip	P-GSE20007-2	 	 	 	GSM499703_sample_table.txt norm	GSM499703_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20007/E-GEOD-20007.processed.1.zip	5 days after pollination	C24	A9-barnase transgene	C24	none
GSM499703 2	2xX4xCy5	Siliques	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5 days after pollination	C24	A9-barnase transgene	C24	none	P-GSE20007-3	 	P-GSE20007-10	 	P-GSE20007-11	 	 	 	 	 	GSM499703 extract 2	polyA RNA	P-GSE20007-12	 	 	 	GSM499703 LE 2	Cy3	P-GSE20007-13	 	 	 	GSM499703	A-GEOD-9964	 	P-GSE20007-14	 	P-GSE20007-15	 	 	 	 	 	GSM499703.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20007/E-GEOD-20007.raw.1.zip	P-GSE20007-2	 	 	 	GSM499703_sample_table.txt norm	GSM499703_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20007/E-GEOD-20007.processed.1.zip	5 days after pollination	C24	A9-barnase transgene	C24	none
GSM499702 2	4xX2xCy5	Siliques	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5 days after pollination	C24	A9-barnase transgene	C24	none	P-GSE20007-3	 	P-GSE20007-10	 	P-GSE20007-11	 	 	 	 	 	GSM499702 extract 2	polyA RNA	P-GSE20007-12	 	 	 	GSM499702 LE 2	Cy3	P-GSE20007-13	 	 	 	GSM499702	A-GEOD-9964	 	P-GSE20007-14	 	P-GSE20007-15	 	 	 	 	 	GSM499702.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20007/E-GEOD-20007.raw.1.zip	P-GSE20007-2	 	 	 	GSM499702_sample_table.txt norm	GSM499702_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20007/E-GEOD-20007.processed.1.zip	5 days after pollination	C24	A9-barnase transgene	C24	none
GSM499702 1	4xX2xCy5	Siliques	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5 days after pollination	C24	A9-barnase transgene	C24	none	P-GSE20007-3	 	P-GSE20007-10	 	P-GSE20007-11	 	 	 	 	 	GSM499702 extract 1	polyA RNA	P-GSE20007-12	 	 	 	GSM499702 LE 1	Cy5	P-GSE20007-13	 	 	 	GSM499702	A-GEOD-9964	 	P-GSE20007-14	 	P-GSE20007-15	 	 	 	 	 	GSM499702.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20007/E-GEOD-20007.raw.1.zip	P-GSE20007-2	 	 	 	GSM499702_sample_table.txt norm	GSM499702_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20007/E-GEOD-20007.processed.1.zip	5 days after pollination	C24	A9-barnase transgene	C24	none
GSM499701 2	6xX2xCy5	Siliques	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5 days after pollination	C24	A9-barnase transgene	C24	none	P-GSE20007-3	 	P-GSE20007-10	 	P-GSE20007-11	 	 	 	 	 	GSM499701 extract 2	polyA RNA	P-GSE20007-12	 	 	 	GSM499701 LE 2	Cy3	P-GSE20007-13	 	 	 	GSM499701	A-GEOD-9964	 	P-GSE20007-14	 	P-GSE20007-15	 	 	 	 	 	GSM499701.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20007/E-GEOD-20007.raw.1.zip	P-GSE20007-2	 	 	 	GSM499701_sample_table.txt norm	GSM499701_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20007/E-GEOD-20007.processed.1.zip	5 days after pollination	C24	A9-barnase transgene	C24	none
GSM499701 1	6xX2xCy5	Siliques	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5 days after pollination	Col-1	none	C24	none	P-GSE20007-3	 	P-GSE20007-10	 	P-GSE20007-11	 	 	 	 	 	GSM499701 extract 1	polyA RNA	P-GSE20007-12	 	 	 	GSM499701 LE 1	Cy5	P-GSE20007-13	 	 	 	GSM499701	A-GEOD-9964	 	P-GSE20007-14	 	P-GSE20007-15	 	 	 	 	 	GSM499701.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20007/E-GEOD-20007.raw.1.zip	P-GSE20007-2	 	 	 	GSM499701_sample_table.txt norm	GSM499701_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20007/E-GEOD-20007.processed.1.zip	5 days after pollination	Col-1	none	C24	none
