Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [Line]	Characteristics [DevelopmentalStage]	Protocol REF	Parameter Value [Location]	Parameter Value [sterilisation]	Parameter Value [Growth medium]	Parameter Value [stratification]	Parameter Value [Growth protocol]	Parameter Value [Growth substrate type]	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Factor Value [STRAIN]
Garnier_1-7_C24-TME_Rep1_ATH1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	triploid C24 from 4x per 2x cross	1.02	P-TABM-beatrice1	Growth chamber	15 mn 1.7% Sodium Hypochloride 1% Triton X100 Rince at least three times in dds water	Murashige and Skoog basal salt mixture	Overnight in water at 4C in the dark Transfer to MS plate 72h at 4C in the dark Tranfer to growth chamber	16h day(10Klux) 21C; 8h night 18C	Agar	Garnier_1-7_C24-TME_Rep1_ATH1	NASC:ExtractProtocol:1	Garnier_1-7_C24-TME_Rep1_ATH1	total_RNA	NASC:LabellingProtocol	Garnier_1-7_C24-TME_Rep1_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-73.20.Hybridization	A-AFFY-2	P-AFFY-6	Garnier_1-7_C24-TME_Rep1_ATH1	Garnier_1-7_C24-TME_Rep1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-73/E-NASC-73.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-73-processed-data-1352739250.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-73/E-NASC-73.processed.1.zip	triploid C24 from 4x per 2x cross
Garnier_1-12_C24-TET_Rep3_ATH1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Tetraploid C24 obtained by Colchicine treatment	1.02	P-TABM-beatrice1	Growth chamber	15 mn 1.7% Sodium Hypochloride 1% Triton X100 Rince at least three times in dds water	Murashige and Skoog basal salt mixture	Overnight in water at 4C in the dark Transfer to MS plate 72h at 4C in the dark Tranfer to growth chamber	16h day(10Klux) 21C; 8h night 18C	Agar	Garnier_1-12_C24-TET_Rep3_ATH1	NASC:ExtractProtocol:1	Garnier_1-12_C24-TET_Rep3_ATH1	total_RNA	NASC:LabellingProtocol	Garnier_1-12_C24-TET_Rep3_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-73.36.Hybridization	A-AFFY-2	P-AFFY-6	Garnier_1-12_C24-TET_Rep3_ATH1	Garnier_1-12_C24-TET_Rep3_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-73/E-NASC-73.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-73-processed-data-1352739250.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-73/E-NASC-73.processed.1.zip	Tetraploid C24 obtained by Colchicine treatment
Garnier_1-8_C24-TME_Rep2_ATH1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	triploid C24 from 4x per 2x cross	1.02	P-TABM-beatrice1	Growth chamber	15 mn 1.7% Sodium Hypochloride 1% Triton X100 Rince at least three times in dds water	Murashige and Skoog basal salt mixture	Overnight in water at 4C in the dark Transfer to MS plate 72h at 4C in the dark Tranfer to growth chamber	16h day(10Klux) 21C; 8h night 18C	Agar	Garnier_1-8_C24-TME_Rep2_ATH1	NASC:ExtractProtocol:1	Garnier_1-8_C24-TME_Rep2_ATH1	total_RNA	NASC:LabellingProtocol	Garnier_1-8_C24-TME_Rep2_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-73.23.Hybridization	A-AFFY-2	P-AFFY-6	Garnier_1-8_C24-TME_Rep2_ATH1	Garnier_1-8_C24-TME_Rep2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-73/E-NASC-73.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-73-processed-data-1352739250.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-73/E-NASC-73.processed.1.zip	triploid C24 from 4x per 2x cross
Garnier_1-10_C24-TET_Rep1_ATH1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Tetraploid C24 obtained by Colchicine treatment	1.02	P-TABM-beatrice1	Growth chamber	15 mn 1.7% Sodium Hypochloride 1% Triton X100 Rince at least three times in dds water	Murashige and Skoog basal salt mixture	Overnight in water at 4C in the dark Transfer to MS plate 72h at 4C in the dark Tranfer to growth chamber	16h day(10Klux) 21C; 8h night 18C	Agar	Garnier_1-10_C24-TET_Rep1_ATH1	NASC:ExtractProtocol:1	Garnier_1-10_C24-TET_Rep1_ATH1	total_RNA	NASC:LabellingProtocol	Garnier_1-10_C24-TET_Rep1_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-73.29.Hybridization	A-AFFY-2	P-AFFY-6	Garnier_1-10_C24-TET_Rep1_ATH1	Garnier_1-10_C24-TET_Rep1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-73/E-NASC-73.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-73-processed-data-1352739250.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-73/E-NASC-73.processed.1.zip	Tetraploid C24 obtained by Colchicine treatment
Garnier_1-5_C24-TFE_Rep2_ATH1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	triploid C24 from 4x per 2x cross	1.02	P-TABM-beatrice1	Growth chamber	15 mn 1.7% Sodium Hypochloride 1% Triton X100 Rince at least three times in dds water	Murashige and Skoog basal salt mixture	Overnight in water at 4C in the dark Transfer to MS plate 72h at 4C in the dark Tranfer to growth chamber	16h day(10Klux) 21C; 8h night 18C	Agar	Garnier_1-5_C24-TFE_Rep2_ATH1	NASC:ExtractProtocol:1	Garnier_1-5_C24-TFE_Rep2_ATH1	total_RNA	NASC:LabellingProtocol	Garnier_1-5_C24-TFE_Rep2_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-73.14.Hybridization	A-AFFY-2	P-AFFY-6	Garnier_1-5_C24-TFE_Rep2_ATH1	Garnier_1-5_C24-TFE_Rep2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-73/E-NASC-73.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-73-processed-data-1352739250.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-73/E-NASC-73.processed.1.zip	triploid C24 from 4x per 2x cross
Garnier_1-2_C24-DIP_Rep2_ATH1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	C24	1.02	P-TABM-beatrice1	Growth chamber	15 mn 1.7% Sodium Hypochloride 1% Triton X100 Rince at least three times in dds water	Murashige and Skoog basal salt mixture	Overnight in water at 4C in the dark Transfer to MS plate 72h at 4C in the dark Tranfer to growth chamber	16h day(10Klux) 21C; 8h night 18C	Agar	Garnier_1-2_C24-DIP_Rep2_ATH1	NASC:ExtractProtocol:1	Garnier_1-2_C24-DIP_Rep2_ATH1	total_RNA	NASC:LabellingProtocol	Garnier_1-2_C24-DIP_Rep2_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-73.7.Hybridization	A-AFFY-2	P-AFFY-6	Garnier_1-2_C24-DIP_Rep2_ATH1	Garnier_1-2_C24-DIP_Rep2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-73/E-NASC-73.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-73-processed-data-1352739250.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-73/E-NASC-73.processed.1.zip	C24
Garnier_1-11_C24-TET_Rep2_ATH1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Tetraploid C24 obtained by Colchicine treatment	1.02	P-TABM-beatrice1	Growth chamber	15 mn 1.7% Sodium Hypochloride 1% Triton X100 Rince at least three times in dds water	Murashige and Skoog basal salt mixture	Overnight in water at 4C in the dark Transfer to MS plate 72h at 4C in the dark Tranfer to growth chamber	16h day(10Klux) 21C; 8h night 18C	Agar	Garnier_1-11_C24-TET_Rep2_ATH1	NASC:ExtractProtocol:1	Garnier_1-11_C24-TET_Rep2_ATH1	total_RNA	NASC:LabellingProtocol	Garnier_1-11_C24-TET_Rep2_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-73.33.Hybridization	A-AFFY-2	P-AFFY-6	Garnier_1-11_C24-TET_Rep2_ATH1	Garnier_1-11_C24-TET_Rep2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-73/E-NASC-73.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-73-processed-data-1352739250.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-73/E-NASC-73.processed.1.zip	Tetraploid C24 obtained by Colchicine treatment
Garnier_1-1_C24-DIP_Rep1_ATH1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	C24	1.02	P-TABM-beatrice1	Growth chamber	15 mn 1.7% Sodium Hypochloride 1% Triton X100 Rince at least three times in dds water	Murashige and Skoog basal salt mixture	Overnight in water at 4C in the dark Transfer to MS plate 72h at 4C in the dark Tranfer to growth chamber	16h day(10Klux) 21C; 8h night 18C	Agar	Garnier_1-1_C24-DIP_Rep1_ATH1	NASC:ExtractProtocol:1	Garnier_1-1_C24-DIP_Rep1_ATH1	total_RNA	NASC:LabellingProtocol	Garnier_1-1_C24-DIP_Rep1_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-73.3.Hybridization	A-AFFY-2	P-AFFY-6	Garnier_1-1_C24-DIP_Rep1_ATH1	Garnier_1-1_C24-DIP_Rep1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-73/E-NASC-73.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-73-processed-data-1352739250.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-73/E-NASC-73.processed.1.zip	C24
Garnier_1-9_C24-TME_Rep3_ATH1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	triploid C24 from 4x per 2x cross	1.02	P-TABM-beatrice1	Growth chamber	15 mn 1.7% Sodium Hypochloride 1% Triton X100 Rince at least three times in dds water	Murashige and Skoog basal salt mixture	Overnight in water at 4C in the dark Transfer to MS plate 72h at 4C in the dark Tranfer to growth chamber	16h day(10Klux) 21C; 8h night 18C	Agar	Garnier_1-9_C24-TME_Rep3_ATH1	NASC:ExtractProtocol:1	Garnier_1-9_C24-TME_Rep3_ATH1	total_RNA	NASC:LabellingProtocol	Garnier_1-9_C24-TME_Rep3_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-73.26.Hybridization	A-AFFY-2	P-AFFY-6	Garnier_1-9_C24-TME_Rep3_ATH1	Garnier_1-9_C24-TME_Rep3_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-73/E-NASC-73.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-73-processed-data-1352739250.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-73/E-NASC-73.processed.1.zip	triploid C24 from 4x per 2x cross
Garnier_1-6_C24-TFE_Rep3_ATH1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	triploid C24 from 4x per 2x cross	1.02	P-TABM-beatrice1	Growth chamber	15 mn 1.7% Sodium Hypochloride 1% Triton X100 Rince at least three times in dds water	Murashige and Skoog basal salt mixture	Overnight in water at 4C in the dark Transfer to MS plate 72h at 4C in the dark Tranfer to growth chamber	16h day(10Klux) 21C; 8h night 18C	Agar	Garnier_1-6_C24-TFE_Rep3_ATH1	NASC:ExtractProtocol:1	Garnier_1-6_C24-TFE_Rep3_ATH1	total_RNA	NASC:LabellingProtocol	Garnier_1-6_C24-TFE_Rep3_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-73.17.Hybridization	A-AFFY-2	P-AFFY-6	Garnier_1-6_C24-TFE_Rep3_ATH1	Garnier_1-6_C24-TFE_Rep3_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-73/E-NASC-73.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-73-processed-data-1352739250.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-73/E-NASC-73.processed.1.zip	triploid C24 from 4x per 2x cross
