Source Name	Characteristics [Age]	Unit[TimeUnit]	Characteristics [OrganismPart]	Characteristics[CellType]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [Ecotype]	Comment [Sample_source_name]	Comment [Sample_description]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[COMPOUND]	FactorValue[TREATMENT TIME]	Unit[TimeUnit]	FactorValue[AGE]	Unit[TimeUnit]	FactorValue[ORGANISM PART]	FactorValue[CELL TYPE]
GSM413942 1	28	days	leaf	mesophyll protoplast	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Arabidopsis leaves	Gene expression data from Arabidopsis mesophyll protoplasts	P-GSE16557-3	P-GSE16557-9	P-GSE16557-4	GSM413942 extract 1	total_RNA	P-GSE16557-10	GSM413942 LE 1	biotin	unknown	P-GSE16557-6	P-GSE16557-7	GSM413942	A-AFFY-2	P-GSE16557-8	GSM413942.CEL	GSM413942.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16557/E-GEOD-16557.raw.1.zip	P-GSE16557-1	E-GEOD-16557-processed-data-2541318668.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16557/E-GEOD-16557.processed.1.zip	none	n/a	hours	28	days	leaf	mesophyll protoplast
GSM413943 1	28	days	leaf	mesophyll protoplast	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Arabidopsis leaves	Gene expression data from Arabidopsis mesophyll protoplasts treated with 100 nM flg22 for 30 min	P-GSE16557-3	P-GSE16557-9	P-GSE16557-4	GSM413943 extract 1	total_RNA	P-GSE16557-10	GSM413943 LE 1	biotin	unknown	P-GSE16557-6	P-GSE16557-7	GSM413943	A-AFFY-2	P-GSE16557-8	GSM413943.CEL	GSM413943.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16557/E-GEOD-16557.raw.1.zip	P-GSE16557-1	E-GEOD-16557-processed-data-2541318668.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16557/E-GEOD-16557.processed.1.zip	flg22	30	minutes	28	days	leaf	mesophyll protoplast
GSM413936 1	28	days	leaf	mesophyll protoplast	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Arabidopsis leaves	Gene expression data from Arabidopsis mesophyll protoplasts transfected with control DNA for 6 hr	P-GSE16557-3	P-GSE16557-2	P-GSE16557-4	GSM413936 extract 1	total_RNA	P-GSE16557-5	GSM413936 LE 1	biotin	unknown	P-GSE16557-6	P-GSE16557-7	GSM413936	A-AFFY-2	P-GSE16557-8	GSM413936.CEL	GSM413936.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16557/E-GEOD-16557.raw.1.zip	P-GSE16557-1	E-GEOD-16557-processed-data-2541318668.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16557/E-GEOD-16557.processed.1.zip	control DNA	6	hours	28	days	leaf	mesophyll protoplast
GSM413947 1	28	days	leaf	mesophyll protoplast	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Arabidopsis leaves	Gene expression data from Arabidopsis mesophyll protoplasts treated with 100 nM flg22 for 60 min	P-GSE16557-3	P-GSE16557-9	P-GSE16557-4	GSM413947 extract 1	total_RNA	P-GSE16557-10	GSM413947 LE 1	biotin	unknown	P-GSE16557-6	P-GSE16557-7	GSM413947	A-AFFY-2	P-GSE16557-8	GSM413947.CEL	GSM413947.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16557/E-GEOD-16557.raw.1.zip	P-GSE16557-1	E-GEOD-16557-processed-data-2541318668.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16557/E-GEOD-16557.processed.1.zip	flg22	60	minutes	28	days	leaf	mesophyll protoplast
GSM413939 1	28	days	leaf	mesophyll protoplast	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Arabidopsis leaves	Gene expression data from Arabidopsis mesophyll protoplasts transfected with control DNA for 6 hr	P-GSE16557-3	P-GSE16557-2	P-GSE16557-4	GSM413939 extract 1	total_RNA	P-GSE16557-5	GSM413939 LE 1	biotin	unknown	P-GSE16557-6	P-GSE16557-7	GSM413939	A-AFFY-2	P-GSE16557-8	GSM413939.CEL	GSM413939.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16557/E-GEOD-16557.raw.1.zip	P-GSE16557-1	E-GEOD-16557-processed-data-2541318668.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16557/E-GEOD-16557.processed.1.zip	control DNA	6	hours	28	days	leaf	mesophyll protoplast
GSM413941 1	28	days	leaf	mesophyll protoplast	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Arabidopsis leaves	Gene expression data from Arabidopsis mesophyll protoplasts transfected with CPK11ac DNA for 6 hr	P-GSE16557-3	P-GSE16557-2	P-GSE16557-4	GSM413941 extract 1	total_RNA	P-GSE16557-5	GSM413941 LE 1	biotin	unknown	P-GSE16557-6	P-GSE16557-7	GSM413941	A-AFFY-2	P-GSE16557-8	GSM413941.CEL	GSM413941.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16557/E-GEOD-16557.raw.1.zip	P-GSE16557-1	E-GEOD-16557-processed-data-2541318668.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16557/E-GEOD-16557.processed.1.zip	CPK11ac DNA	6	hours	28	days	leaf	mesophyll protoplast
GSM434382 1	8	days	whole organism	n/a	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Arabidopsis seedlings	Gene expression data from Arabidopsis seedlings	P-GSE16557-12	P-GSE16557-11	P-GSE16557-4	GSM434382 extract 1	total_RNA	P-GSE16557-13	GSM434382 LE 1	biotin	unknown	P-GSE16557-6	P-GSE16557-7	GSM434382	A-AFFY-2	P-GSE16557-8	GSM434382.CEL	GSM434382.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16557/E-GEOD-16557.raw.1.zip	P-GSE16557-1	E-GEOD-16557-processed-data-2541318668.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16557/E-GEOD-16557.processed.1.zip	none	n/a	hours	8	days	whole organism	n/a
GSM413945 1	28	days	leaf	mesophyll protoplast	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Arabidopsis leaves	Gene expression data from Arabidopsis mesophyll protoplasts	P-GSE16557-3	P-GSE16557-9	P-GSE16557-4	GSM413945 extract 1	total_RNA	P-GSE16557-10	GSM413945 LE 1	biotin	unknown	P-GSE16557-6	P-GSE16557-7	GSM413945	A-AFFY-2	P-GSE16557-8	GSM413945.CEL	GSM413945.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16557/E-GEOD-16557.raw.1.zip	P-GSE16557-1	E-GEOD-16557-processed-data-2541318668.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16557/E-GEOD-16557.processed.1.zip	none	n/a	hours	28	days	leaf	mesophyll protoplast
GSM434385 1	8	days	whole organism	n/a	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Arabidopsis seedlings	Gene expression data from Arabidopsis seedlings treated with 2 nM flg22 for 60 min	P-GSE16557-12	P-GSE16557-11	P-GSE16557-4	GSM434385 extract 1	total_RNA	P-GSE16557-13	GSM434385 LE 1	biotin	unknown	P-GSE16557-6	P-GSE16557-7	GSM434385	A-AFFY-2	P-GSE16557-8	GSM434385.CEL	GSM434385.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16557/E-GEOD-16557.raw.1.zip	P-GSE16557-1	E-GEOD-16557-processed-data-2541318668.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16557/E-GEOD-16557.processed.1.zip	flg22	60	minutes	8	days	whole organism	n/a
GSM434381 1	8	days	whole organism	n/a	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	Arabidopsis seedlings	Gene expression data from Arabidopsis seedlings	P-GSE16557-12	P-GSE16557-11	P-GSE16557-4	GSM434381 extract 1	total_RNA	P-GSE16557-13	GSM434381 LE 1	biotin	unknown	P-GSE16557-6	P-GSE16557-7	GSM434381	A-AFFY-2	P-GSE16557-8	GSM434381.CEL	GSM434381.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16557/E-GEOD-16557.raw.1.zip	P-GSE16557-1	E-GEOD-16557-processed-data-2541318668.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16557/E-GEOD-16557.processed.1.zip	none	n/a	hours	8	days	whole organism	n/a
