Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [age]	Unit[time unit]	Characteristics [initial time point]	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [developmental stage]	Characteristics [organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	Factor Value [RNA]
GSM1246296 1	nonpolysomal RNA	Arabidopsis seedling grown on MS salt/agar in continuous light	pab nonpolysome biological rep 4	10 to 12	day	germination	pab2 pab8	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	aerial part	P-GSE51480-2	ArrayExpress	P-GSE51480-3	ArrayExpress	P-GSE51480-4	ArrayExpress	GSM1246296 extract 1	total RNA	P-GSE51480-5	ArrayExpress	GSM1246296 LE 1	biotin	P-GSE51480-6	ArrayExpress	GSM1246296	A-AFFY-2	ArrayExpress	array assay	P-GSE51480-7	ArrayExpress	GSM1246296_AVA055_P_NP5.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51480/E-GEOD-51480.raw.1.zip	P-GSE51480-1	ArrayExpress	GSM1246296_sample_table.txt norm	GSM1246296_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51480/E-GEOD-51480.processed.1.zip	pab2 pab8	nonpolysomal RNA
GSM1246290 1	nonpolysomal RNA	Arabidopsis seedling grown on MS salt/agar in continuous light	pab nonpolysome biological rep 3	10 to 12	day	germination	pab2 pab8	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	aerial part	P-GSE51480-2	ArrayExpress	P-GSE51480-3	ArrayExpress	P-GSE51480-4	ArrayExpress	GSM1246290 extract 1	total RNA	P-GSE51480-5	ArrayExpress	GSM1246290 LE 1	biotin	P-GSE51480-6	ArrayExpress	GSM1246290	A-AFFY-2	ArrayExpress	array assay	P-GSE51480-7	ArrayExpress	GSM1246290_AVA049_P_NP3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51480/E-GEOD-51480.raw.1.zip	P-GSE51480-1	ArrayExpress	GSM1246290_sample_table.txt norm	GSM1246290_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51480/E-GEOD-51480.processed.1.zip	pab2 pab8	nonpolysomal RNA
GSM1246284 1	nonpolysomal RNA	Arabidopsis seedling grown on MS salt/agar in continuous light	pab nonpolysome biological rep 2	10 to 12	day	germination	pab2 pab8	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	aerial part	P-GSE51480-2	ArrayExpress	P-GSE51480-3	ArrayExpress	P-GSE51480-4	ArrayExpress	GSM1246284 extract 1	total RNA	P-GSE51480-5	ArrayExpress	GSM1246284 LE 1	biotin	P-GSE51480-6	ArrayExpress	GSM1246284	A-AFFY-2	ArrayExpress	array assay	P-GSE51480-7	ArrayExpress	GSM1246284_AVA043_P_NP2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51480/E-GEOD-51480.raw.1.zip	P-GSE51480-1	ArrayExpress	GSM1246284_sample_table.txt norm	GSM1246284_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51480/E-GEOD-51480.processed.1.zip	pab2 pab8	nonpolysomal RNA
GSM1246278 1	nonpolysomal RNA	Arabidopsis seedling grown on MS salt/agar in continuous light	pab nonpolysome biological rep 1	10 to 12	day	germination	pab2 pab8	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	aerial part	P-GSE51480-2	ArrayExpress	P-GSE51480-3	ArrayExpress	P-GSE51480-4	ArrayExpress	GSM1246278 extract 1	total RNA	P-GSE51480-5	ArrayExpress	GSM1246278 LE 1	biotin	P-GSE51480-6	ArrayExpress	GSM1246278	A-AFFY-2	ArrayExpress	array assay	P-GSE51480-7	ArrayExpress	GSM1246278_AVA037_P_NP1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51480/E-GEOD-51480.raw.1.zip	P-GSE51480-1	ArrayExpress	GSM1246278_sample_table.txt norm	GSM1246278_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51480/E-GEOD-51480.processed.1.zip	pab2 pab8	nonpolysomal RNA
GSM1246297 1	polysomal RNA	Arabidopsis seedling grown on MS salt/agar in continuous light	pab polysome biological rep 4	10 to 12	day	germination	pab2 pab8	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	aerial part	P-GSE51480-2	ArrayExpress	P-GSE51480-3	ArrayExpress	P-GSE51480-4	ArrayExpress	GSM1246297 extract 1	total RNA	P-GSE51480-5	ArrayExpress	GSM1246297 LE 1	biotin	P-GSE51480-6	ArrayExpress	GSM1246297	A-AFFY-2	ArrayExpress	array assay	P-GSE51480-7	ArrayExpress	GSM1246297_AVA056_P_PL5.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51480/E-GEOD-51480.raw.1.zip	P-GSE51480-1	ArrayExpress	GSM1246297_sample_table.txt norm	GSM1246297_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51480/E-GEOD-51480.processed.1.zip	pab2 pab8	polysomal RNA
GSM1246291 1	polysomal RNA	Arabidopsis seedling grown on MS salt/agar in continuous light	pab polysome biological rep 3	10 to 12	day	germination	pab2 pab8	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	aerial part	P-GSE51480-2	ArrayExpress	P-GSE51480-3	ArrayExpress	P-GSE51480-4	ArrayExpress	GSM1246291 extract 1	total RNA	P-GSE51480-5	ArrayExpress	GSM1246291 LE 1	biotin	P-GSE51480-6	ArrayExpress	GSM1246291	A-AFFY-2	ArrayExpress	array assay	P-GSE51480-7	ArrayExpress	GSM1246291_AVA050_P_PL3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51480/E-GEOD-51480.raw.1.zip	P-GSE51480-1	ArrayExpress	GSM1246291_sample_table.txt norm	GSM1246291_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51480/E-GEOD-51480.processed.1.zip	pab2 pab8	polysomal RNA
GSM1246285 1	polysomal RNA	Arabidopsis seedling grown on MS salt/agar in continuous light	pab polysome biological rep 2	10 to 12	day	germination	pab2 pab8	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	aerial part	P-GSE51480-2	ArrayExpress	P-GSE51480-3	ArrayExpress	P-GSE51480-4	ArrayExpress	GSM1246285 extract 1	total RNA	P-GSE51480-5	ArrayExpress	GSM1246285 LE 1	biotin	P-GSE51480-6	ArrayExpress	GSM1246285	A-AFFY-2	ArrayExpress	array assay	P-GSE51480-7	ArrayExpress	GSM1246285_AVA044_P_PL2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51480/E-GEOD-51480.raw.1.zip	P-GSE51480-1	ArrayExpress	GSM1246285_sample_table.txt norm	GSM1246285_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51480/E-GEOD-51480.processed.1.zip	pab2 pab8	polysomal RNA
GSM1246279 1	polysomal RNA	Arabidopsis seedling grown on MS salt/agar in continuous light	pab polysome biological rep 1	10 to 12	day	germination	pab2 pab8	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	aerial part	P-GSE51480-2	ArrayExpress	P-GSE51480-3	ArrayExpress	P-GSE51480-4	ArrayExpress	GSM1246279 extract 1	total RNA	P-GSE51480-5	ArrayExpress	GSM1246279 LE 1	biotin	P-GSE51480-6	ArrayExpress	GSM1246279	A-AFFY-2	ArrayExpress	array assay	P-GSE51480-7	ArrayExpress	GSM1246279_AVA038_P_PL1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51480/E-GEOD-51480.raw.1.zip	P-GSE51480-1	ArrayExpress	GSM1246279_sample_table.txt norm	GSM1246279_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51480/E-GEOD-51480.processed.1.zip	pab2 pab8	polysomal RNA
GSM1246293 1	total RNA	Arabidopsis seedling grown on MS salt/agar in continuous light	pab total biological rep 3	10 to 12	day	germination	pab2 pab8	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	aerial part	P-GSE51480-2	ArrayExpress	P-GSE51480-3	ArrayExpress	P-GSE51480-4	ArrayExpress	GSM1246293 extract 1	total RNA	P-GSE51480-5	ArrayExpress	GSM1246293 LE 1	biotin	P-GSE51480-6	ArrayExpress	GSM1246293	A-AFFY-2	ArrayExpress	array assay	P-GSE51480-7	ArrayExpress	GSM1246293_AVA052_P_T3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51480/E-GEOD-51480.raw.1.zip	P-GSE51480-1	ArrayExpress	GSM1246293_sample_table.txt norm	GSM1246293_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51480/E-GEOD-51480.processed.1.zip	pab2 pab8	total RNA
GSM1246287 1	total RNA	Arabidopsis seedling grown on MS salt/agar in continuous light	pab total biological rep 2	10 to 12	day	germination	pab2 pab8	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	aerial part	P-GSE51480-2	ArrayExpress	P-GSE51480-3	ArrayExpress	P-GSE51480-4	ArrayExpress	GSM1246287 extract 1	total RNA	P-GSE51480-5	ArrayExpress	GSM1246287 LE 1	biotin	P-GSE51480-6	ArrayExpress	GSM1246287	A-AFFY-2	ArrayExpress	array assay	P-GSE51480-7	ArrayExpress	GSM1246287_AVA046_P_T2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51480/E-GEOD-51480.raw.1.zip	P-GSE51480-1	ArrayExpress	GSM1246287_sample_table.txt norm	GSM1246287_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51480/E-GEOD-51480.processed.1.zip	pab2 pab8	total RNA
