Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [ecotype]	Term Source REF	Term Accession Number	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Term Source REF	Term Accession Number	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]
GSM1543571 1	Gene expression after 3h of chilling treatment	rdm4 mutant, chilling treatment for 48h, replicate 2	rdm4 mutant at 48h after chilling rep2	Col	EFO	EFO_0005147	35S::RDM4	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	http://purl.obolibrary.org/obo/PO_0025034	P-GSE63185-2	ArrayExpress	P-GSE63185-3	ArrayExpress	P-GSE63185-4	ArrayExpress	GSM1543571 extract 1	total RNA	P-GSE63185-5	ArrayExpress	GSM1543571 LE 1	biotin	P-GSE63185-6	ArrayExpress	GSM1543571	A-AFFY-2	ArrayExpress	array assay	P-GSE63185-7	ArrayExpress	GSM1543571_12_rdm4_48h2_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63185/E-GEOD-63185.raw.1.zip	P-GSE63185-1	ArrayExpress	GSM1543571_sample_table.txt norm	GSM1543571_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63185/E-GEOD-63185.processed.1.zip	35S::RDM4
GSM1543570 1	Gene expression without chilling treatment	rdm4 mutant, chilling treatment for 3h, replicate 2	rdm4 mutant at 3h after chilling rep2	Col	EFO	EFO_0005147	35S::RDM4	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	http://purl.obolibrary.org/obo/PO_0025034	P-GSE63185-2	ArrayExpress	P-GSE63185-3	ArrayExpress	P-GSE63185-4	ArrayExpress	GSM1543570 extract 1	total RNA	P-GSE63185-5	ArrayExpress	GSM1543570 LE 1	biotin	P-GSE63185-6	ArrayExpress	GSM1543570	A-AFFY-2	ArrayExpress	array assay	P-GSE63185-7	ArrayExpress	GSM1543570_11_rdm4_3h2_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63185/E-GEOD-63185.raw.1.zip	P-GSE63185-1	ArrayExpress	GSM1543570_sample_table.txt norm	GSM1543570_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63185/E-GEOD-63185.processed.1.zip	35S::RDM4
GSM1543569 1	Gene expression after 48h of chilling treatment	rdm4 mutant, control, replicate 2	rdm4 mutant without chilling rep2	Col	EFO	EFO_0005147	35S::RDM4	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	http://purl.obolibrary.org/obo/PO_0025034	P-GSE63185-2	ArrayExpress	P-GSE63185-3	ArrayExpress	P-GSE63185-4	ArrayExpress	GSM1543569 extract 1	total RNA	P-GSE63185-5	ArrayExpress	GSM1543569 LE 1	biotin	P-GSE63185-6	ArrayExpress	GSM1543569	A-AFFY-2	ArrayExpress	array assay	P-GSE63185-7	ArrayExpress	GSM1543569_10_rdm4_RT2_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63185/E-GEOD-63185.raw.1.zip	P-GSE63185-1	ArrayExpress	GSM1543569_sample_table.txt norm	GSM1543569_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63185/E-GEOD-63185.processed.1.zip	35S::RDM4
GSM1543568 1	Gene expression after 3h of chilling treatment	Col WT, chilling treatment for 48h, replicate 2	C24 WT at 48h after chilling rep2	Col	EFO	EFO_0005147	wildtype	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	http://purl.obolibrary.org/obo/PO_0025034	P-GSE63185-2	ArrayExpress	P-GSE63185-3	ArrayExpress	P-GSE63185-4	ArrayExpress	GSM1543568 extract 1	total RNA	P-GSE63185-5	ArrayExpress	GSM1543568 LE 1	biotin	P-GSE63185-6	ArrayExpress	GSM1543568	A-AFFY-2	ArrayExpress	array assay	P-GSE63185-7	ArrayExpress	GSM1543568_09_C24_48h2_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63185/E-GEOD-63185.raw.1.zip	P-GSE63185-1	ArrayExpress	GSM1543568_sample_table.txt norm	GSM1543568_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63185/E-GEOD-63185.processed.1.zip	wildtype
GSM1543567 1	Gene expression without chilling treatment	Col WT, chilling treatment for 3h, replicate 2	C24 WT at 3h after chilling rep2	Col	EFO	EFO_0005147	wildtype	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	http://purl.obolibrary.org/obo/PO_0025034	P-GSE63185-2	ArrayExpress	P-GSE63185-3	ArrayExpress	P-GSE63185-4	ArrayExpress	GSM1543567 extract 1	total RNA	P-GSE63185-5	ArrayExpress	GSM1543567 LE 1	biotin	P-GSE63185-6	ArrayExpress	GSM1543567	A-AFFY-2	ArrayExpress	array assay	P-GSE63185-7	ArrayExpress	GSM1543567_08_C24_3h2_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63185/E-GEOD-63185.raw.1.zip	P-GSE63185-1	ArrayExpress	GSM1543567_sample_table.txt norm	GSM1543567_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63185/E-GEOD-63185.processed.1.zip	wildtype
GSM1543566 1	Gene expression after drought stress treatment	Col WT, control, replicate 2	C24 WT without chilling rep2	Col	EFO	EFO_0005147	wildtype	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	http://purl.obolibrary.org/obo/PO_0025034	P-GSE63185-2	ArrayExpress	P-GSE63185-3	ArrayExpress	P-GSE63185-4	ArrayExpress	GSM1543566 extract 1	total RNA	P-GSE63185-5	ArrayExpress	GSM1543566 LE 1	biotin	P-GSE63185-6	ArrayExpress	GSM1543566	A-AFFY-2	ArrayExpress	array assay	P-GSE63185-7	ArrayExpress	GSM1543566_07_C24_RT2_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63185/E-GEOD-63185.raw.1.zip	P-GSE63185-1	ArrayExpress	GSM1543566_sample_table.txt norm	GSM1543566_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63185/E-GEOD-63185.processed.1.zip	wildtype
GSM1543565 1	Gene expression after 48h of chilling treatment	rdm4 mutant, chilling treatment for 48h, replicate 1	rdm4 mutant at 48h after chilling rep1	Col	EFO	EFO_0005147	35S::RDM4	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	http://purl.obolibrary.org/obo/PO_0025034	P-GSE63185-2	ArrayExpress	P-GSE63185-3	ArrayExpress	P-GSE63185-4	ArrayExpress	GSM1543565 extract 1	total RNA	P-GSE63185-5	ArrayExpress	GSM1543565 LE 1	biotin	P-GSE63185-6	ArrayExpress	GSM1543565	A-AFFY-2	ArrayExpress	array assay	P-GSE63185-7	ArrayExpress	GSM1543565_06_rdm4_48h1_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63185/E-GEOD-63185.raw.1.zip	P-GSE63185-1	ArrayExpress	GSM1543565_sample_table.txt norm	GSM1543565_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63185/E-GEOD-63185.processed.1.zip	35S::RDM4
GSM1543564 1	Gene expression after 3h of chilling treatment	rdm4 mutant, chilling treatment for 3h, replicate 1	rdm4 mutant at 3h after chilling rep1	Col	EFO	EFO_0005147	35S::RDM4	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	http://purl.obolibrary.org/obo/PO_0025034	P-GSE63185-2	ArrayExpress	P-GSE63185-3	ArrayExpress	P-GSE63185-4	ArrayExpress	GSM1543564 extract 1	total RNA	P-GSE63185-5	ArrayExpress	GSM1543564 LE 1	biotin	P-GSE63185-6	ArrayExpress	GSM1543564	A-AFFY-2	ArrayExpress	array assay	P-GSE63185-7	ArrayExpress	GSM1543564_05_rdm4_3h1_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63185/E-GEOD-63185.raw.1.zip	P-GSE63185-1	ArrayExpress	GSM1543564_sample_table.txt norm	GSM1543564_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63185/E-GEOD-63185.processed.1.zip	35S::RDM4
GSM1543563 1	Gene expression without chilling treatment	rdm4 mutant, control, replicate 1	rdm4 mutant without chilling rep1	Col	EFO	EFO_0005147	35S::RDM4	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	http://purl.obolibrary.org/obo/PO_0025034	P-GSE63185-2	ArrayExpress	P-GSE63185-3	ArrayExpress	P-GSE63185-4	ArrayExpress	GSM1543563 extract 1	total RNA	P-GSE63185-5	ArrayExpress	GSM1543563 LE 1	biotin	P-GSE63185-6	ArrayExpress	GSM1543563	A-AFFY-2	ArrayExpress	array assay	P-GSE63185-7	ArrayExpress	GSM1543563_04_rdm4_RT1_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63185/E-GEOD-63185.raw.1.zip	P-GSE63185-1	ArrayExpress	GSM1543563_sample_table.txt norm	GSM1543563_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63185/E-GEOD-63185.processed.1.zip	35S::RDM4
GSM1543562 1	Gene expression after 48h of chilling treatment	Col WT, chilling treatment for 48h, replicate 1	C24 WT at 48h after chilling rep1	Col	EFO	EFO_0005147	wildtype	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	http://purl.obolibrary.org/obo/PO_0025034	P-GSE63185-2	ArrayExpress	P-GSE63185-3	ArrayExpress	P-GSE63185-4	ArrayExpress	GSM1543562 extract 1	total RNA	P-GSE63185-5	ArrayExpress	GSM1543562 LE 1	biotin	P-GSE63185-6	ArrayExpress	GSM1543562	A-AFFY-2	ArrayExpress	array assay	P-GSE63185-7	ArrayExpress	GSM1543562_03_C24_48h1_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63185/E-GEOD-63185.raw.1.zip	P-GSE63185-1	ArrayExpress	GSM1543562_sample_table.txt norm	GSM1543562_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63185/E-GEOD-63185.processed.1.zip	wildtype
