Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics[DevelopmentalStage]	Characteristics[Genotype]	Description	Protocol REF	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[GENOTYPE]	FactorValue[TREATMENT]
GSE5525GSM128717	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Boyes key 3.90	Col-0	Col-0:  Growth protocol: Seeds were sown in quartz sand for two weeks. Two-week-old seedlings were transferred to 60-mL pots containing a sand - potting soil mixture that was autoclaved twice for 20 min. Plants were cultivated in a growth chamber with a 8-h day (200 uEm-2.sec-1 at 24oC) and 16-h night (20oC) cycle at 70percent  relative humidity for another 3 weeks. Plants were watered every other day and received half-strength Hoagland nutrient solution containing 10 uM Sequestreen once a week.. Stock Code: N1092; Developmental stage: 3.90	  	GSE5525GSM128717 sample	GSE5525GSM128717 extract	total_RNA	GSE5525GSM128717 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Pieterse_1-3_Control-48h_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Pieterse_1-3_Control-48h_Rep1_ATH1	GSM128717.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5525/E-GEOD-5525.raw.1.zip	E-GEOD-5525-processed-data-1628411047.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5525/E-GEOD-5525.processed.1.zip	Col-0	none
GSE5525GSM128723	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Boyes key 3.90	Col-0	Col-0:  Growth protocol: Seeds were sown in quartz sand for two weeks. Two-week-old seedlings were transferred to 60-mL pots containing a sand - potting soil mixture that was autoclaved twice for 20 min. Plants were cultivated in a growth chamber with a 8-h day (200 uEm-2.sec-1 at 24oC) and 16-h night (20oC) cycle at 70percent  relative humidity for another 3 weeks. Plants were watered every other day and received half-strength Hoagland nutrient solution containing 10 uM Sequestreen once a week.. Stock Code: N1092; Developmental stage: 3.90	P-G5525-3	GSE5525GSM128723 sample	GSE5525GSM128723 extract	total_RNA	GSE5525GSM128723 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Pieterse_1-9_Prapae-12h_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Pieterse_1-9_Prapae-12h_Rep1_ATH1	GSM128723.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5525/E-GEOD-5525.raw.1.zip	E-GEOD-5525-processed-data-1628411047.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5525/E-GEOD-5525.processed.1.zip	Col-0	Pieris rapae larvae
GSE5525GSM128726	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Boyes key 3.90	Col-0	Col-0:  Growth protocol: Seeds were sown in quartz sand for two weeks. Two-week-old seedlings were transferred to 60-mL pots containing a sand - potting soil mixture that was autoclaved twice for 20 min. Plants were cultivated in a growth chamber with a 8-h day (200 uEm-2.sec-1 at 24oC) and 16-h night (20oC) cycle at 70percent  relative humidity for another 3 weeks. Plants were watered every other day and received half-strength Hoagland nutrient solution containing 10 uM Sequestreen once a week.. Stock Code: N1092; Developmental stage: 3.90	P-G5525-4	GSE5525GSM128726 sample	GSE5525GSM128726 extract	total_RNA	GSE5525GSM128726 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Pieterse_1-12_Foccidentalis-48h_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Pieterse_1-12_Foccidentalis-48h_Rep1_ATH1	GSM128726.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5525/E-GEOD-5525.raw.1.zip	E-GEOD-5525-processed-data-1628411047.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5525/E-GEOD-5525.processed.1.zip	Col-0	Frankliniella occidentalis
GSE5525GSM128721	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Boyes key 3.90	pad3-1	pad3-1:  Growth protocol: Seeds were sown in quartz sand for two weeks. Two-week-old seedlings were transferred to 60-mL pots containing a sand - potting soil mixture that was autoclaved twice for 20 min. Plants were cultivated in a growth chamber with a 8-h day (200 uEm-2.sec-1 at 24oC) and 16-h night (20oC) cycle at 70percent  relative humidity for another 3 weeks. Plants were watered every other day and received half-strength Hoagland nutrient solution containing 10 uM Sequestreen once a week.. Stock Code: N3805; Developmental stage: 3.90	P-G5525-2	GSE5525GSM128721 sample	GSE5525GSM128721 extract	total_RNA	GSE5525GSM128721 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Pieterse_1-7_Abrassicicola-24h_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Pieterse_1-7_Abrassicicola-24h_Rep1_ATH1	GSM128721.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5525/E-GEOD-5525.raw.1.zip	E-GEOD-5525-processed-data-1628411047.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5525/E-GEOD-5525.processed.1.zip	pad3-1	Alternaria brassicicola strain MUCL 20297
GSE5525GSM128727	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Boyes key 3.90	Col-0	Col-0:  Growth protocol: Seeds were sown in quartz sand for two weeks. Two-week-old seedlings were transferred to 60-mL pots containing a sand - potting soil mixture that was autoclaved twice for 20 min. Plants were cultivated in a growth chamber with a 8-h day (200 uEm-2.sec-1 at 24oC) and 16-h night (20oC) cycle at 70percent  relative humidity for another 3 weeks. Plants were watered every other day and received half-strength Hoagland nutrient solution containing 10 uM Sequestreen once a week.. Stock Code: N1092; Developmental stage: 3.90	P-G5525-5	GSE5525GSM128727 sample	GSE5525GSM128727 extract	total_RNA	GSE5525GSM128727 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Pieterse_1-13_Mpersicae-48h_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Pieterse_1-13_Mpersicae-48h_Rep1_ATH1	GSM128727.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5525/E-GEOD-5525.raw.1.zip	E-GEOD-5525-processed-data-1628411047.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5525/E-GEOD-5525.processed.1.zip	Col-0	Myzus persicae
GSE5525GSM128715	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Boyes key 3.90	Col-0	Col-0:  Growth protocol: Seeds were sown in quartz sand for two weeks. Two-week-old seedlings were transferred to 60-mL pots containing a sand - potting soil mixture that was autoclaved twice for 20 min. Plants were cultivated in a growth chamber with a 8-h day (200 uEm-2.sec-1 at 24oC) and 16-h night (20oC) cycle at 70percent  relative humidity for another 3 weeks. Plants were watered every other day and received half-strength Hoagland nutrient solution containing 10 uM Sequestreen once a week.. Stock Code: N1092; Developmental stage: 3.90	  	GSE5525GSM128715 sample	GSE5525GSM128715 extract	total_RNA	GSE5525GSM128715 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Pieterse_1-1_Control-12h_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Pieterse_1-1_Control-12h_Rep1_ATH1	GSM128715.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5525/E-GEOD-5525.raw.1.zip	E-GEOD-5525-processed-data-1628411047.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5525/E-GEOD-5525.processed.1.zip	Col-0	none
GSE5525GSM128724	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Boyes key 3.90	Col-0	Col-0:  Growth protocol: Seeds were sown in quartz sand for two weeks. Two-week-old seedlings were transferred to 60-mL pots containing a sand - potting soil mixture that was autoclaved twice for 20 min. Plants were cultivated in a growth chamber with a 8-h day (200 uEm-2.sec-1 at 24oC) and 16-h night (20oC) cycle at 70percent  relative humidity for another 3 weeks. Plants were watered every other day and received half-strength Hoagland nutrient solution containing 10 uM Sequestreen once a week.. Stock Code: N1092; Developmental stage: 3.90	P-G5525-3	GSE5525GSM128724 sample	GSE5525GSM128724 extract	total_RNA	GSE5525GSM128724 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Pieterse_1-10_Prapae-24h_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Pieterse_1-10_Prapae-24h_Rep1_ATH1	GSM128724.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5525/E-GEOD-5525.raw.1.zip	E-GEOD-5525-processed-data-1628411047.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5525/E-GEOD-5525.processed.1.zip	Col-0	Pieris rapae larvae
GSE5525GSM128720	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Boyes key 3.90	Col-0	Col-0:  Growth protocol: Seeds were sown in quartz sand for two weeks. Two-week-old seedlings were transferred to 60-mL pots containing a sand - potting soil mixture that was autoclaved twice for 20 min. Plants were cultivated in a growth chamber with a 8-h day (200 uEm-2.sec-1 at 24oC) and 16-h night (20oC) cycle at 70percent  relative humidity for another 3 weeks. Plants were watered every other day and received half-strength Hoagland nutrient solution containing 10 uM Sequestreen once a week.. Stock Code: N1092; Developmental stage: 3.90	P-G5525-1	GSE5525GSM128720 sample	GSE5525GSM128720 extract	total_RNA	GSE5525GSM128720 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Pieterse_1-6_avrPstDC3000-24h_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Pieterse_1-6_avrPstDC3000-24h_Rep1_ATH1	GSM128720.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5525/E-GEOD-5525.raw.1.zip	E-GEOD-5525-processed-data-1628411047.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5525/E-GEOD-5525.processed.1.zip	Col-0	Pseudomonas syringae pv. tomato with pV288::avrRpt2
GSE5525GSM128716	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Boyes key 3.90	Col-0	Col-0:  Growth protocol: Seeds were sown in quartz sand for two weeks. Two-week-old seedlings were transferred to 60-mL pots containing a sand - potting soil mixture that was autoclaved twice for 20 min. Plants were cultivated in a growth chamber with a 8-h day (200 uEm-2.sec-1 at 24oC) and 16-h night (20oC) cycle at 70percent  relative humidity for another 3 weeks. Plants were watered every other day and received half-strength Hoagland nutrient solution containing 10 uM Sequestreen once a week.. Stock Code: N1092; Developmental stage: 3.90	  	GSE5525GSM128716 sample	GSE5525GSM128716 extract	total_RNA	GSE5525GSM128716 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Pieterse_1-2_Control-24h_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Pieterse_1-2_Control-24h_Rep1_ATH1	GSM128716.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5525/E-GEOD-5525.raw.1.zip	E-GEOD-5525-processed-data-1628411047.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5525/E-GEOD-5525.processed.1.zip	Col-0	none
GSE5525GSM128725	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Boyes key 3.90	Col-0	Col-0:  Growth protocol: Seeds were sown in quartz sand for two weeks. Two-week-old seedlings were transferred to 60-mL pots containing a sand - potting soil mixture that was autoclaved twice for 20 min. Plants were cultivated in a growth chamber with a 8-h day (200 uEm-2.sec-1 at 24oC) and 16-h night (20oC) cycle at 70percent  relative humidity for another 3 weeks. Plants were watered every other day and received half-strength Hoagland nutrient solution containing 10 uM Sequestreen once a week.. Stock Code: N1092; Developmental stage: 3.90	P-G5525-4	GSE5525GSM128725 sample	GSE5525GSM128725 extract	total_RNA	GSE5525GSM128725 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Pieterse_1-11_Foccidentalis-24h_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Pieterse_1-11_Foccidentalis-24h_Rep1_ATH1	GSM128725.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5525/E-GEOD-5525.raw.1.zip	E-GEOD-5525-processed-data-1628411047.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5525/E-GEOD-5525.processed.1.zip	Col-0	Frankliniella occidentalis
