Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Description	Characteristics[OrganismPart]	Characteristics[Ecotype]	Protocol REF	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[ORGANISM PART]	FactorValue[SAMPLING TIME POINT]	Unit[TimeUnit]
GSE5623GSM131321	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50% Temperature: 24 Lighting: 16 hour days Medium: Murashige and Skoog Water: N/A. Stock Code: N1092; Tissue: Roots	root	Col-0	P-G5623-1	GSE5623GSM131321 sample	GSE5623GSM131321 extract	total_RNA	GSE5623GSM131321 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_6-3421_Saltstress-Roots-6.0h_Rep1	A-AFFY-2	P-AFFY-6	AtGen_6-3421_Saltstress-Roots-6.0h_Rep1	GSM131321.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5623/E-GEOD-5623.raw.1.zip	E-GEOD-5623-processed-data-1628479793.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5623/E-GEOD-5623.processed.1.zip	root	6	hours
GSE5623GSM131324	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50% Temperature: 24 Lighting: 16 hour days Medium: Murashige and Skoog Water: N/A. Stock Code: N1092; Tissue: Shoots	shoot	Col-0	P-G5623-1	GSE5623GSM131324 sample	GSE5623GSM131324 extract	total_RNA	GSE5623GSM131324 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_6-3512_Saltstress-Shoots-12.0h_Rep2	A-AFFY-2	P-AFFY-6	AtGen_6-3512_Saltstress-Shoots-12.0h_Rep2	GSM131324.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5623/E-GEOD-5623.raw.1.zip	E-GEOD-5623-processed-data-1628479793.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5623/E-GEOD-5623.processed.1.zip	shoot	12	hours
GSE5623GSM131318	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50% Temperature: 24 Lighting: 16 hour days Medium: Murashige and Skoog Water: N/A. Stock Code: N1092; Tissue: Roots	root	Col-0	P-G5623-1	GSE5623GSM131318 sample	GSE5623GSM131318 extract	total_RNA	GSE5623GSM131318 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_6-3322_Saltstress-Roots-3.0h_Rep2	A-AFFY-2	P-AFFY-6	AtGen_6-3322_Saltstress-Roots-3.0h_Rep2	GSM131318.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5623/E-GEOD-5623.raw.1.zip	E-GEOD-5623-processed-data-1628479793.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5623/E-GEOD-5623.processed.1.zip	root	3	hours
GSE5623GSM131310	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50% Temperature: 24 Lighting: 16 hour days Medium: Murashige and Skoog Water: N/A. Stock Code: N1092; Tissue: Roots	root	Col-0	P-G5623-1	GSE5623GSM131310 sample	GSE5623GSM131310 extract	total_RNA	GSE5623GSM131310 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_6-3122_Saltstress-Roots-0.5h_Rep2	A-AFFY-2	P-AFFY-6	AtGen_6-3122_Saltstress-Roots-0.5h_Rep2	GSM131310.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5623/E-GEOD-5623.raw.1.zip	E-GEOD-5623-processed-data-1628479793.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5623/E-GEOD-5623.processed.1.zip	root	0.5	hours
GSE5623GSM131325	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50% Temperature: 24 Lighting: 16 hour days Medium: Murashige and Skoog Water: N/A. Stock Code: N1092; Tissue: Roots	root	Col-0	P-G5623-1	GSE5623GSM131325 sample	GSE5623GSM131325 extract	total_RNA	GSE5623GSM131325 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_6-3521_Saltstress-Roots-12.0h_Rep1	A-AFFY-2	P-AFFY-6	AtGen_6-3521_Saltstress-Roots-12.0h_Rep1	GSM131325.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5623/E-GEOD-5623.raw.1.zip	E-GEOD-5623-processed-data-1628479793.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5623/E-GEOD-5623.processed.1.zip	root	12	hours
GSE5623GSM131311	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50% Temperature: 24 Lighting: 16 hour days Medium: Murashige and Skoog Water: N/A. Stock Code: N1092; Tissue: Shoots	shoot	Col-0	P-G5623-1	GSE5623GSM131311 sample	GSE5623GSM131311 extract	total_RNA	GSE5623GSM131311 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_6-3211_Saltstress-Shoots-1.0h_Rep1	A-AFFY-2	P-AFFY-6	AtGen_6-3211_Saltstress-Shoots-1.0h_Rep1	GSM131311.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5623/E-GEOD-5623.raw.1.zip	E-GEOD-5623-processed-data-1628479793.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5623/E-GEOD-5623.processed.1.zip	shoot	1	hours
GSE5623GSM131320	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50% Temperature: 24 Lighting: 16 hour days Medium: Murashige and Skoog Water: N/A. Stock Code: N1092; Tissue: Shoots	shoot	Col-0	P-G5623-1	GSE5623GSM131320 sample	GSE5623GSM131320 extract	total_RNA	GSE5623GSM131320 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_6-3412_Saltstress-Shoots-6.0h_Rep2	A-AFFY-2	P-AFFY-6	AtGen_6-3412_Saltstress-Shoots-6.0h_Rep2	GSM131320.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5623/E-GEOD-5623.raw.1.zip	E-GEOD-5623-processed-data-1628479793.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5623/E-GEOD-5623.processed.1.zip	shoot	6	hours
GSE5623GSM131326	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50% Temperature: 24 Lighting: 16 hour days Medium: Murashige and Skoog Water: N/A. Stock Code: N1092; Tissue: Roots	root	Col-0	P-G5623-1	GSE5623GSM131326 sample	GSE5623GSM131326 extract	total_RNA	GSE5623GSM131326 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_6-3522_Saltstress-Roots-12.0h_Rep2	A-AFFY-2	P-AFFY-6	AtGen_6-3522_Saltstress-Roots-12.0h_Rep2	GSM131326.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5623/E-GEOD-5623.raw.1.zip	E-GEOD-5623-processed-data-1628479793.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5623/E-GEOD-5623.processed.1.zip	root	12	hours
GSE5623GSM131328	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50% Temperature: 24 Lighting: 16 hour days Medium: Murashige and Skoog Water: N/A. Stock Code: N1092; Tissue: Shoots	shoot	Col-0	P-G5623-1	GSE5623GSM131328 sample	GSE5623GSM131328 extract	total_RNA	GSE5623GSM131328 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_6-3612_Saltstress-Shoots-24.0h_Rep2	A-AFFY-2	P-AFFY-6	AtGen_6-3612_Saltstress-Shoots-24.0h_Rep2	GSM131328.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5623/E-GEOD-5623.raw.1.zip	E-GEOD-5623-processed-data-1628479793.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5623/E-GEOD-5623.processed.1.zip	shoot	24	hours
GSE5623GSM131323	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50% Temperature: 24 Lighting: 16 hour days Medium: Murashige and Skoog Water: N/A. Stock Code: N1092; Tissue: Shoots	shoot	Col-0	P-G5623-1	GSE5623GSM131323 sample	GSE5623GSM131323 extract	total_RNA	GSE5623GSM131323 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_6-3511_Saltstress-Shoots-12.0h_Rep1	A-AFFY-2	P-AFFY-6	AtGen_6-3511_Saltstress-Shoots-12.0h_Rep1	GSM131323.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5623/E-GEOD-5623.raw.1.zip	E-GEOD-5623-processed-data-1628479793.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5623/E-GEOD-5623.processed.1.zip	shoot	12	hours
GSE5623GSM131315	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50% Temperature: 24 Lighting: 16 hour days Medium: Murashige and Skoog Water: N/A. Stock Code: N1092; Tissue: Shoots	shoot	Col-0	P-G5623-1	GSE5623GSM131315 sample	GSE5623GSM131315 extract	total_RNA	GSE5623GSM131315 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_6-3311_Saltstress-Shoots-3.0h_Rep1	A-AFFY-2	P-AFFY-6	AtGen_6-3311_Saltstress-Shoots-3.0h_Rep1	GSM131315.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5623/E-GEOD-5623.raw.1.zip	E-GEOD-5623-processed-data-1628479793.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5623/E-GEOD-5623.processed.1.zip	shoot	3	hours
GSE5623GSM131314	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50% Temperature: 24 Lighting: 16 hour days Medium: Murashige and Skoog Water: N/A. Stock Code: N1092; Tissue: Roots	root	Col-0	P-G5623-1	GSE5623GSM131314 sample	GSE5623GSM131314 extract	total_RNA	GSE5623GSM131314 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_6-3222_Saltstress-Roots-1.0h_Rep2	A-AFFY-2	P-AFFY-6	AtGen_6-3222_Saltstress-Roots-1.0h_Rep2	GSM131314.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5623/E-GEOD-5623.raw.1.zip	E-GEOD-5623-processed-data-1628479793.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5623/E-GEOD-5623.processed.1.zip	root	1	hours
GSE5623GSM131322	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50% Temperature: 24 Lighting: 16 hour days Medium: Murashige and Skoog Water: N/A. Stock Code: N1092; Tissue: Roots	root	Col-0	P-G5623-1	GSE5623GSM131322 sample	GSE5623GSM131322 extract	total_RNA	GSE5623GSM131322 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_6-3422_Saltstress-Roots-6.0h_Rep2	A-AFFY-2	P-AFFY-6	AtGen_6-3422_Saltstress-Roots-6.0h_Rep2	GSM131322.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5623/E-GEOD-5623.raw.1.zip	E-GEOD-5623-processed-data-1628479793.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5623/E-GEOD-5623.processed.1.zip	root	6	hours
GSE5623GSM131313	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50% Temperature: 24 Lighting: 16 hour days Medium: Murashige and Skoog Water: N/A. Stock Code: N1092; Tissue: Roots	root	Col-0	P-G5623-1	GSE5623GSM131313 sample	GSE5623GSM131313 extract	total_RNA	GSE5623GSM131313 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_6-3221_Saltstress-Roots-1.0h_Rep1	A-AFFY-2	P-AFFY-6	AtGen_6-3221_Saltstress-Roots-1.0h_Rep1	GSM131313.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5623/E-GEOD-5623.raw.1.zip	E-GEOD-5623-processed-data-1628479793.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5623/E-GEOD-5623.processed.1.zip	root	1	hours
GSE5623GSM131319	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50% Temperature: 24 Lighting: 16 hour days Medium: Murashige and Skoog Water: N/A. Stock Code: N1092; Tissue: Shoots	shoot	Col-0	P-G5623-1	GSE5623GSM131319 sample	GSE5623GSM131319 extract	total_RNA	GSE5623GSM131319 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_6-3411_Saltstress-Shoots-6.0h_Rep1	A-AFFY-2	P-AFFY-6	AtGen_6-3411_Saltstress-Shoots-6.0h_Rep1	GSM131319.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5623/E-GEOD-5623.raw.1.zip	E-GEOD-5623-processed-data-1628479793.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5623/E-GEOD-5623.processed.1.zip	shoot	6	hours
GSE5623GSM131327	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50% Temperature: 24 Lighting: 16 hour days Medium: Murashige and Skoog Water: N/A. Stock Code: N1092; Tissue: Shoots	shoot	Col-0	P-G5623-1	GSE5623GSM131327 sample	GSE5623GSM131327 extract	total_RNA	GSE5623GSM131327 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_6-3611_Saltstress-Shoots-24.0h_Rep1	A-AFFY-2	P-AFFY-6	AtGen_6-3611_Saltstress-Shoots-24.0h_Rep1	GSM131327.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5623/E-GEOD-5623.raw.1.zip	E-GEOD-5623-processed-data-1628479793.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5623/E-GEOD-5623.processed.1.zip	shoot	24	hours
GSE5623GSM131307	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50% Temperature: 24 Lighting: 16 hour days Medium: Murashige and Skoog Water: N/A. Stock Code: N1092; Tissue: Shoots	shoot	Col-0	P-G5623-1	GSE5623GSM131307 sample	GSE5623GSM131307 extract	total_RNA	GSE5623GSM131307 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_6-3111_Saltstress-Shoots-0.5h_Rep1	A-AFFY-2	P-AFFY-6	AtGen_6-3111_Saltstress-Shoots-0.5h_Rep1	GSM131307.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5623/E-GEOD-5623.raw.1.zip	E-GEOD-5623-processed-data-1628479793.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5623/E-GEOD-5623.processed.1.zip	shoot	0.5	hours
GSE5623GSM131309	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50% Temperature: 24 Lighting: 16 hour days Medium: Murashige and Skoog Water: N/A. Stock Code: N1092; Tissue: Roots	root	Col-0	P-G5623-1	GSE5623GSM131309 sample	GSE5623GSM131309 extract	total_RNA	GSE5623GSM131309 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_6-3121_Saltstress-Roots-0.5h_Rep1	A-AFFY-2	P-AFFY-6	AtGen_6-3121_Saltstress-Roots-0.5h_Rep1	GSM131309.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5623/E-GEOD-5623.raw.1.zip	E-GEOD-5623-processed-data-1628479793.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5623/E-GEOD-5623.processed.1.zip	root	0.5	hours
GSE5623GSM131312	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50% Temperature: 24 Lighting: 16 hour days Medium: Murashige and Skoog Water: N/A. Stock Code: N1092; Tissue: Shoots	shoot	Col-0	P-G5623-1	GSE5623GSM131312 sample	GSE5623GSM131312 extract	total_RNA	GSE5623GSM131312 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_6-3212_Saltstress-Shoots-1.0h_Rep2	A-AFFY-2	P-AFFY-6	AtGen_6-3212_Saltstress-Shoots-1.0h_Rep2	GSM131312.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5623/E-GEOD-5623.raw.1.zip	E-GEOD-5623-processed-data-1628479793.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5623/E-GEOD-5623.processed.1.zip	shoot	1	hours
GSE5623GSM131308	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50% Temperature: 24 Lighting: 16 hour days Medium: Murashige and Skoog Water: N/A. Stock Code: N1092; Tissue: Shoots	shoot	Col-0	P-G5623-1	GSE5623GSM131308 sample	GSE5623GSM131308 extract	total_RNA	GSE5623GSM131308 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_6-3112_Saltstress-Shoots-0.5h_Rep2	A-AFFY-2	P-AFFY-6	AtGen_6-3112_Saltstress-Shoots-0.5h_Rep2	GSM131308.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5623/E-GEOD-5623.raw.1.zip	E-GEOD-5623-processed-data-1628479793.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5623/E-GEOD-5623.processed.1.zip	shoot	0.5	hours
GSE5623GSM131329	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50% Temperature: 24 Lighting: 16 hour days Medium: Murashige and Skoog Water: N/A. Stock Code: N1092; Tissue: Roots	root	Col-0	P-G5623-1	GSE5623GSM131329 sample	GSE5623GSM131329 extract	total_RNA	GSE5623GSM131329 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_6-3621_Saltstress-Roots-24.0h_Rep1	A-AFFY-2	P-AFFY-6	AtGen_6-3621_Saltstress-Roots-24.0h_Rep1	GSM131329.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5623/E-GEOD-5623.raw.1.zip	E-GEOD-5623-processed-data-1628479793.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5623/E-GEOD-5623.processed.1.zip	root	24	hours
GSE5623GSM131316	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50% Temperature: 24 Lighting: 16 hour days Medium: Murashige and Skoog Water: N/A. Stock Code: N1092; Tissue: Shoots	shoot	Col-0	P-G5623-1	GSE5623GSM131316 sample	GSE5623GSM131316 extract	total_RNA	GSE5623GSM131316 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_6-3312_Saltstress-Shoots-3.0h_Rep2	A-AFFY-2	P-AFFY-6	AtGen_6-3312_Saltstress-Shoots-3.0h_Rep2	GSM131316.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5623/E-GEOD-5623.raw.1.zip	E-GEOD-5623-processed-data-1628479793.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5623/E-GEOD-5623.processed.1.zip	shoot	3	hours
GSE5623GSM131317	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50% Temperature: 24 Lighting: 16 hour days Medium: Murashige and Skoog Water: N/A. Stock Code: N1092; Tissue: Roots	root	Col-0	P-G5623-1	GSE5623GSM131317 sample	GSE5623GSM131317 extract	total_RNA	GSE5623GSM131317 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_6-3321_Saltstress-Roots-3.0h_Rep1	A-AFFY-2	P-AFFY-6	AtGen_6-3321_Saltstress-Roots-3.0h_Rep1	GSM131317.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5623/E-GEOD-5623.raw.1.zip	E-GEOD-5623-processed-data-1628479793.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5623/E-GEOD-5623.processed.1.zip	root	3	hours
GSE5623GSM131330	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50% Temperature: 24 Lighting: 16 hour days Medium: Murashige and Skoog Water: N/A. Stock Code: N1092; Tissue: Roots	root	Col-0	P-G5623-1	GSE5623GSM131330 sample	GSE5623GSM131330 extract	total_RNA	GSE5623GSM131330 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_6-3622_Saltstress-Roots-24.0h_Rep2	A-AFFY-2	P-AFFY-6	AtGen_6-3622_Saltstress-Roots-24.0h_Rep2	GSM131330.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5623/E-GEOD-5623.raw.1.zip	E-GEOD-5623-processed-data-1628479793.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5623/E-GEOD-5623.processed.1.zip	root	24	hours
