Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Characteristics [transfection]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [transfection]
GSM1700574 1	4tu pull down RNA	root protoplast 4tu-EV	4tu-EV fraction, biological  rep5	Columbia Col-0	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root cell protoplast	Empty vector (EV=pJD385_35S::GR)	P-GSE69389-2	ArrayExpress	P-GSE69389-3	ArrayExpress	P-GSE69389-4	ArrayExpress	GSM1700574 extract 1	total RNA	P-GSE69389-5	ArrayExpress	GSM1700574 LE 1	biotin	P-GSE69389-6	ArrayExpress	GSM1700574	A-AFFY-2	ArrayExpress	array assay	P-GSE69389-7	ArrayExpress	GSM1700574_Empty_vector_4tU_05.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69389/E-GEOD-69389.raw.1.zip	P-GSE69389-1	ArrayExpress	GSM1700574_sample_table.txt norm	GSM1700574_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69389/E-GEOD-69389.processed.1.zip	Empty vector (EV=pJD385_35S::GR)
GSM1700573 1	4tu pull down RNA	root protoplast 4tu-EV	4tu-EV fraction, biological  rep4	Columbia Col-0	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root cell protoplast	Empty vector (EV=pJD385_35S::GR)	P-GSE69389-2	ArrayExpress	P-GSE69389-3	ArrayExpress	P-GSE69389-4	ArrayExpress	GSM1700573 extract 1	total RNA	P-GSE69389-5	ArrayExpress	GSM1700573 LE 1	biotin	P-GSE69389-6	ArrayExpress	GSM1700573	A-AFFY-2	ArrayExpress	array assay	P-GSE69389-7	ArrayExpress	GSM1700573_Empty_vector_4tU_04.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69389/E-GEOD-69389.raw.1.zip	P-GSE69389-1	ArrayExpress	GSM1700573_sample_table.txt norm	GSM1700573_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69389/E-GEOD-69389.processed.1.zip	Empty vector (EV=pJD385_35S::GR)
GSM1700572 1	4tu pull down RNA	root protoplast 4tu-EV	4tu-EV fraction, biological  rep3	Columbia Col-0	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root cell protoplast	Empty vector (EV=pJD385_35S::GR)	P-GSE69389-2	ArrayExpress	P-GSE69389-3	ArrayExpress	P-GSE69389-4	ArrayExpress	GSM1700572 extract 1	total RNA	P-GSE69389-5	ArrayExpress	GSM1700572 LE 1	biotin	P-GSE69389-6	ArrayExpress	GSM1700572	A-AFFY-2	ArrayExpress	array assay	P-GSE69389-7	ArrayExpress	GSM1700572_Empty_vector_4tU_03.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69389/E-GEOD-69389.raw.1.zip	P-GSE69389-1	ArrayExpress	GSM1700572_sample_table.txt norm	GSM1700572_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69389/E-GEOD-69389.processed.1.zip	Empty vector (EV=pJD385_35S::GR)
GSM1700571 1	4tu pull down RNA	root protoplast 4tu-EV	4tu-EV fraction, biological  rep2	Columbia Col-0	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root cell protoplast	Empty vector (EV=pJD385_35S::GR)	P-GSE69389-2	ArrayExpress	P-GSE69389-3	ArrayExpress	P-GSE69389-4	ArrayExpress	GSM1700571 extract 1	total RNA	P-GSE69389-5	ArrayExpress	GSM1700571 LE 1	biotin	P-GSE69389-6	ArrayExpress	GSM1700571	A-AFFY-2	ArrayExpress	array assay	P-GSE69389-7	ArrayExpress	GSM1700571_Empty_vector_4tU_02.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69389/E-GEOD-69389.raw.1.zip	P-GSE69389-1	ArrayExpress	GSM1700571_sample_table.txt norm	GSM1700571_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69389/E-GEOD-69389.processed.1.zip	Empty vector (EV=pJD385_35S::GR)
GSM1700570 1	4tu pull down RNA	root protoplast 4tu-EV	4tu-EV fraction, biological  rep1	Columbia Col-0	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root cell protoplast	Empty vector (EV=pJD385_35S::GR)	P-GSE69389-2	ArrayExpress	P-GSE69389-3	ArrayExpress	P-GSE69389-4	ArrayExpress	GSM1700570 extract 1	total RNA	P-GSE69389-5	ArrayExpress	GSM1700570 LE 1	biotin	P-GSE69389-6	ArrayExpress	GSM1700570	A-AFFY-2	ArrayExpress	array assay	P-GSE69389-7	ArrayExpress	GSM1700570_Empty_vector_4tU_01.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69389/E-GEOD-69389.raw.1.zip	P-GSE69389-1	ArrayExpress	GSM1700570_sample_table.txt norm	GSM1700570_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69389/E-GEOD-69389.processed.1.zip	Empty vector (EV=pJD385_35S::GR)
GSM1700569 1	4tu pull down RNA	root protoplast 4tu-bZIP1	4tu-bZIP1 fraction, biological  rep6	Columbia Col-0	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root cell protoplast	35S::GR::bZIP1	P-GSE69389-2	ArrayExpress	P-GSE69389-3	ArrayExpress	P-GSE69389-4	ArrayExpress	GSM1700569 extract 1	total RNA	P-GSE69389-5	ArrayExpress	GSM1700569 LE 1	biotin	P-GSE69389-6	ArrayExpress	GSM1700569	A-AFFY-2	ArrayExpress	array assay	P-GSE69389-7	ArrayExpress	GSM1700569_bZIP1_4tU_06.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69389/E-GEOD-69389.raw.1.zip	P-GSE69389-1	ArrayExpress	GSM1700569_sample_table.txt norm	GSM1700569_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69389/E-GEOD-69389.processed.1.zip	35S::GR::bZIP1
GSM1700568 1	4tu pull down RNA	root protoplast 4tu-bZIP1	4tu-bZIP1 fraction, biological  rep5	Columbia Col-0	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root cell protoplast	35S::GR::bZIP1	P-GSE69389-2	ArrayExpress	P-GSE69389-3	ArrayExpress	P-GSE69389-4	ArrayExpress	GSM1700568 extract 1	total RNA	P-GSE69389-5	ArrayExpress	GSM1700568 LE 1	biotin	P-GSE69389-6	ArrayExpress	GSM1700568	A-AFFY-2	ArrayExpress	array assay	P-GSE69389-7	ArrayExpress	GSM1700568_bZIP1_4tU_05.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69389/E-GEOD-69389.raw.1.zip	P-GSE69389-1	ArrayExpress	GSM1700568_sample_table.txt norm	GSM1700568_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69389/E-GEOD-69389.processed.1.zip	35S::GR::bZIP1
GSM1700567 1	4tu pull down RNA	root protoplast 4tu-bZIP1	4tu-bZIP1 fraction, biological  rep4	Columbia Col-0	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root cell protoplast	35S::GR::bZIP1	P-GSE69389-2	ArrayExpress	P-GSE69389-3	ArrayExpress	P-GSE69389-4	ArrayExpress	GSM1700567 extract 1	total RNA	P-GSE69389-5	ArrayExpress	GSM1700567 LE 1	biotin	P-GSE69389-6	ArrayExpress	GSM1700567	A-AFFY-2	ArrayExpress	array assay	P-GSE69389-7	ArrayExpress	GSM1700567_bZIP1_4tU_04.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69389/E-GEOD-69389.raw.1.zip	P-GSE69389-1	ArrayExpress	GSM1700567_sample_table.txt norm	GSM1700567_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69389/E-GEOD-69389.processed.1.zip	35S::GR::bZIP1
GSM1700566 1	4tu pull down RNA	root protoplast 4tu-bZIP1	4tu-bZIP1 fraction, biological  rep3	Columbia Col-0	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root cell protoplast	35S::GR::bZIP1	P-GSE69389-2	ArrayExpress	P-GSE69389-3	ArrayExpress	P-GSE69389-4	ArrayExpress	GSM1700566 extract 1	total RNA	P-GSE69389-5	ArrayExpress	GSM1700566 LE 1	biotin	P-GSE69389-6	ArrayExpress	GSM1700566	A-AFFY-2	ArrayExpress	array assay	P-GSE69389-7	ArrayExpress	GSM1700566_bZIP1_4tU_03.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69389/E-GEOD-69389.raw.1.zip	P-GSE69389-1	ArrayExpress	GSM1700566_sample_table.txt norm	GSM1700566_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69389/E-GEOD-69389.processed.1.zip	35S::GR::bZIP1
GSM1700565 1	4tu pull down RNA	root protoplast 4tu-bZIP1	4tu-bZIP1 fraction, biological  rep2	Columbia Col-0	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root cell protoplast	35S::GR::bZIP1	P-GSE69389-2	ArrayExpress	P-GSE69389-3	ArrayExpress	P-GSE69389-4	ArrayExpress	GSM1700565 extract 1	total RNA	P-GSE69389-5	ArrayExpress	GSM1700565 LE 1	biotin	P-GSE69389-6	ArrayExpress	GSM1700565	A-AFFY-2	ArrayExpress	array assay	P-GSE69389-7	ArrayExpress	GSM1700565_bZIP1_4tU_02.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69389/E-GEOD-69389.raw.1.zip	P-GSE69389-1	ArrayExpress	GSM1700565_sample_table.txt norm	GSM1700565_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-69389/E-GEOD-69389.processed.1.zip	35S::GR::bZIP1
