Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics[Ecotype]	Characteristics[OrganismPart]	Description	Protocol REF	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[ORGANISM PART]	FactorValue[TREATMENT DURATION]	Unit[TimeUnit]	FactorValue[SAMPLING TIME POINT]	Unit[TimeUnit]
GSE5628GSM131450	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	root	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50% Temperature: 24 Lighting: 16 hour days Medium: Murashige and Skoog Water: N/A. Stock Code: N1092; Tissue: Roots	P-G5628-1	GSE5628GSM131450 sample	GSE5628GSM131450 extract	total_RNA	GSE5628GSM131450 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_6-9222_Heatstress-Roots-1.0h_Rep2	A-AFFY-2	P-AFFY-6	AtGen_6-9222_Heatstress-Roots-1.0h_Rep2	GSM131450.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5628/E-GEOD-5628.raw.1.zip	E-GEOD-5628-processed-data-1628501920.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5628/E-GEOD-5628.processed.1.zip	root	1	hours	0	hours
GSE5628GSM131456	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	shoot	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50% Temperature: 24 Lighting: 16 hour days Medium: Murashige and Skoog Water: N/A. Stock Code: N1092; Tissue: Shoots	P-G5628-1	GSE5628GSM131456 sample	GSE5628GSM131456 extract	total_RNA	GSE5628GSM131456 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_6-9812_Heatstress(3h)+1hrecovery-Shoots-4.0h_Rep2	A-AFFY-2	P-AFFY-6	AtGen_6-9812_Heatstress(3h)+1hrecovery-Shoots-4.0h_Rep2	GSM131456.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5628/E-GEOD-5628.raw.1.zip	E-GEOD-5628-processed-data-1628501920.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5628/E-GEOD-5628.processed.1.zip	shoot	3	hours	1	hours
GSE5628GSM131470	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	root	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50% Temperature: 24 Lighting: 16 hour days Medium: Murashige and Skoog Water: N/A. Stock Code: N1092; Tissue: Roots	P-G5628-1	GSE5628GSM131470 sample	GSE5628GSM131470 extract	total_RNA	GSE5628GSM131470 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_6-9622_Heatstress(3h)+21hrecovery-Roots-24.0h_Rep2	A-AFFY-2	P-AFFY-6	AtGen_6-9622_Heatstress(3h)+21hrecovery-Roots-24.0h_Rep2	GSM131470.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5628/E-GEOD-5628.raw.1.zip	E-GEOD-5628-processed-data-1628501920.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5628/E-GEOD-5628.processed.1.zip	root	3	hours	21	hours
GSE5628GSM131440	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	shoot	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50% Temperature: 24 Lighting: 16 hour days Medium: Murashige and Skoog Water: N/A. Stock Code: N1092; Tissue: Shoots	P-G5628-1	GSE5628GSM131440 sample	GSE5628GSM131440 extract	total_RNA	GSE5628GSM131440 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_6-9712_Heatstress-Shoots-0.25h_Rep2	A-AFFY-2	P-AFFY-6	AtGen_6-9712_Heatstress-Shoots-0.25h_Rep2	GSM131440.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5628/E-GEOD-5628.raw.1.zip	E-GEOD-5628-processed-data-1628501920.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5628/E-GEOD-5628.processed.1.zip	shoot	0.25	hours	0	hours
GSE5628GSM131441	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	root	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50% Temperature: 24 Lighting: 16 hour days Medium: Murashige and Skoog Water: N/A. Stock Code: N1092; Tissue: Roots	P-G5628-1	GSE5628GSM131441 sample	GSE5628GSM131441 extract	total_RNA	GSE5628GSM131441 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_6-9721_Heatstress-Roots-0.25h_Rep1	A-AFFY-2	P-AFFY-6	AtGen_6-9721_Heatstress-Roots-0.25h_Rep1	GSM131441.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5628/E-GEOD-5628.raw.1.zip	E-GEOD-5628-processed-data-1628501920.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5628/E-GEOD-5628.processed.1.zip	root	25	hours	0	hours
GSE5628GSM131460	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	shoot	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50% Temperature: 24 Lighting: 16 hour days Medium: Murashige and Skoog Water: N/A. Stock Code: N1092; Tissue: Shoots	P-G5628-1	GSE5628GSM131460 sample	GSE5628GSM131460 extract	total_RNA	GSE5628GSM131460 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_6-9412_Heatstress(3h)+3hrecovery-Shoots-6.0h_Rep2	A-AFFY-2	P-AFFY-6	AtGen_6-9412_Heatstress(3h)+3hrecovery-Shoots-6.0h_Rep2	GSM131460.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5628/E-GEOD-5628.raw.1.zip	E-GEOD-5628-processed-data-1628501920.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5628/E-GEOD-5628.processed.1.zip	shoot	3	hours	3	hours
GSE5628GSM131464	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	shoot	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50% Temperature: 24 Lighting: 16 hour days Medium: Murashige and Skoog Water: N/A. Stock Code: N1092; Tissue: Shoots	P-G5628-1	GSE5628GSM131464 sample	GSE5628GSM131464 extract	total_RNA	GSE5628GSM131464 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_6-9512_Heatstress(3h)+9hrecovery-Shoots-12.0h_Rep2	A-AFFY-2	P-AFFY-6	AtGen_6-9512_Heatstress(3h)+9hrecovery-Shoots-12.0h_Rep2	GSM131464.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5628/E-GEOD-5628.raw.1.zip	E-GEOD-5628-processed-data-1628501920.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5628/E-GEOD-5628.processed.1.zip	shoot	3	hours	9	hours
GSE5628GSM131446	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	root	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50% Temperature: 24 Lighting: 16 hour days Medium: Murashige and Skoog Water: N/A. Stock Code: N1092; Tissue: Roots	P-G5628-1	GSE5628GSM131446 sample	GSE5628GSM131446 extract	total_RNA	GSE5628GSM131446 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_6-9122_Heatstress-Roots-0.5h_Rep2	A-AFFY-2	P-AFFY-6	AtGen_6-9122_Heatstress-Roots-0.5h_Rep2	GSM131446.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5628/E-GEOD-5628.raw.1.zip	E-GEOD-5628-processed-data-1628501920.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5628/E-GEOD-5628.processed.1.zip	root	0.5	hours	0	hours
GSE5628GSM131462	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	root	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50% Temperature: 24 Lighting: 16 hour days Medium: Murashige and Skoog Water: N/A. Stock Code: N1092; Tissue: Roots	P-G5628-1	GSE5628GSM131462 sample	GSE5628GSM131462 extract	total_RNA	GSE5628GSM131462 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_6-9422_Heatstress(3h)+3hrecovery-Roots-6.0h_Rep2	A-AFFY-2	P-AFFY-6	AtGen_6-9422_Heatstress(3h)+3hrecovery-Roots-6.0h_Rep2	GSM131462.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5628/E-GEOD-5628.raw.1.zip	E-GEOD-5628-processed-data-1628501920.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5628/E-GEOD-5628.processed.1.zip	root	3	hours	3	hours
GSE5628GSM131458	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	root	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50% Temperature: 24 Lighting: 16 hour days Medium: Murashige and Skoog Water: N/A. Stock Code: N1092; Tissue: Roots	P-G5628-1	GSE5628GSM131458 sample	GSE5628GSM131458 extract	total_RNA	GSE5628GSM131458 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_6-9822_Heatstress(3h)+1hrecovery-Roots-4.0h_Rep2	A-AFFY-2	P-AFFY-6	AtGen_6-9822_Heatstress(3h)+1hrecovery-Roots-4.0h_Rep2	GSM131458.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5628/E-GEOD-5628.raw.1.zip	E-GEOD-5628-processed-data-1628501920.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5628/E-GEOD-5628.processed.1.zip	root	3	hours	1	hours
