Source Name	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	Factor Value [genotype]	Factor Value [environmental stress]	Factor Value [time]	Unit [time unit]
MUT_K1	abi1td	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	P-MTAB-2068	P-MTAB-2069	P-MTAB-2067	P-MTAB-2070	E_MUT_K1	total_RNA	P-AFFY-2	L_MUT_K1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_MUT_K1	A-AFFY-2	P-AFFY-6	MUT_K1.CEL	MUT_K1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1863/E-MEXP-1863.raw.1.zip	P-MTAB-2071	RMA_subm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1863/E-MEXP-1863.processed.1.zip	abi1td	control	0	hour
MUT_K2	abi1td	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	P-MTAB-2068	P-MTAB-2069	P-MTAB-2067	P-MTAB-2070	E_MUT_K2	total_RNA	P-AFFY-2	L_MUT_K2	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_MUT_K2	A-AFFY-2	P-AFFY-6	MUT_K2.CEL	MUT_K2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1863/E-MEXP-1863.raw.1.zip	P-MTAB-2071	RMA_subm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1863/E-MEXP-1863.processed.1.zip	abi1td	control	0	hour
MUT_K3	abi1td	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	P-MTAB-2068	P-MTAB-2069	P-MTAB-2067	P-MTAB-2070	E_MUT_K3	total_RNA	P-AFFY-2	L_MUT_K3	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_MUT_K3	A-AFFY-2	P-AFFY-6	MUT_K3.CEL	MUT_K3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1863/E-MEXP-1863.raw.1.zip	P-MTAB-2071	RMA_subm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1863/E-MEXP-1863.processed.1.zip	abi1td	control	0	hour
WT_k0hr	wild type	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	P-MTAB-2068	P-MTAB-2069	P-MTAB-2067	P-MTAB-2070	E_WT_k0hr	total_RNA	P-AFFY-2	L_WT_k0hr	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_WT_k0hr	A-AFFY-2	P-AFFY-6	WT_k0hr.CEL	WT_k0hr.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1863/E-MEXP-1863.raw.1.zip	P-MTAB-2071	RMA_subm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1863/E-MEXP-1863.processed.1.zip	wild type	control	0	hour
WT_k2	wild type	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	P-MTAB-2068	P-MTAB-2069	P-MTAB-2067	P-MTAB-2070	E_WT_k2	total_RNA	P-AFFY-2	L_WT_k2	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_WT_K2	A-AFFY-2	P-AFFY-6	WT_K2.CEL	WT_K2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1863/E-MEXP-1863.raw.1.zip	P-MTAB-2071	RMA_subm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1863/E-MEXP-1863.processed.1.zip	wild type	control	0	hour
WT_k3	wild type	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	P-MTAB-2068	P-MTAB-2069	P-MTAB-2067	P-MTAB-2070	E_WT_k3	total_RNA	P-AFFY-2	L_WT_k3	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_WT_K3	A-AFFY-2	P-AFFY-6	WT_K3.CEL	WT_K3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1863/E-MEXP-1863.raw.1.zip	P-MTAB-2071	RMA_subm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1863/E-MEXP-1863.processed.1.zip	wild type	control	0	hour
MUT_SUSZ1	abi1td	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	P-MTAB-2068	P-MTAB-2069	P-MTAB-2067	P-MTAB-2070	E_MUT_SUSZ1	total_RNA	P-AFFY-2	L_MUT_SUSZ1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_MUT_SUSZ1	A-AFFY-2	P-AFFY-6	MUT_SUSZ1.CEL	MUT_SUSZ1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1863/E-MEXP-1863.raw.1.zip	P-MTAB-2071	RMA_subm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1863/E-MEXP-1863.processed.1.zip	abi1td	drought	0	hour
MUT_SUSZ2	abi1td	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	P-MTAB-2068	P-MTAB-2069	P-MTAB-2067	P-MTAB-2070	E_MUT_SUSZ2	total_RNA	P-AFFY-2	L_MUT_SUSZ2	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_MUT_SUSZ2	A-AFFY-2	P-AFFY-6	MUT_SUSZ2.CEL	MUT_SUSZ2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1863/E-MEXP-1863.raw.1.zip	P-MTAB-2071	RMA_subm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1863/E-MEXP-1863.processed.1.zip	abi1td	drought	0	hour
MUT_SUSZ3	abi1td	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	P-MTAB-2068	P-MTAB-2069	P-MTAB-2067	P-MTAB-2070	E_MUT_SUSZ3	total_RNA	P-AFFY-2	L_MUT_SUSZ3	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_MUT_SUSZ3	A-AFFY-2	P-AFFY-6	MUT_SUSZ3.CEL	MUT_SUSZ3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1863/E-MEXP-1863.raw.1.zip	P-MTAB-2071	RMA_subm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1863/E-MEXP-1863.processed.1.zip	abi1td	drought	0	hour
WT_SUSZ1	wild type	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	leaf	EFO	EFO_0000993	P-MTAB-2068	P-MTAB-2069	P-MTAB-2067	P-MTAB-2070	E_WT_SUSZ1	total_RNA	P-AFFY-2	L_WT_SUSZ1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	H_WT_SUSZ1	A-AFFY-2	P-AFFY-6	WT_SUSZ1.CEL	WT_SUSZ1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1863/E-MEXP-1863.raw.1.zip	P-MTAB-2071	RMA_subm.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1863/E-MEXP-1863.processed.1.zip	wild type	drought	0	hour
