Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[age]	Characteristics[organism part]	Term Source REF	Term Accession Number	Characteristics[genotype]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]
GSM436277 1	Gene expression data from 2-week-old seedlings grown under short day conditions	wnk8-3 mutant	wnk 8-3 untreated, biological rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2-week-old	seedling	EFO	EFO_0001992	wnk8-3 mutant	P-GSE17499-2	P-GSE17499-3	P-GSE17499-4	GSM436277 extract 1	total RNA	P-GSE17499-5	GSM436277 LE 1	biotin	P-GSE17499-6	GSM436277	A-AFFY-2	P-GSE17499-7	P-GSE17499-8	GSM436277.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17499/E-GEOD-17499.raw.1.zip	P-GSE17499-1	GSM436277_sample_table.txt norm	GSM436277_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17499/E-GEOD-17499.processed.1.zip	wnk8-3 mutant
GSM436276 1	Gene expression data from 2-week-old seedlings grown under short day conditions	wnk8-3 mutant	wnk 8-3 untreated, biological rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2-week-old	seedling	EFO	EFO_0001992	wnk8-3 mutant	P-GSE17499-2	P-GSE17499-3	P-GSE17499-4	GSM436276 extract 1	total RNA	P-GSE17499-5	GSM436276 LE 1	biotin	P-GSE17499-6	GSM436276	A-AFFY-2	P-GSE17499-7	P-GSE17499-8	GSM436276.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17499/E-GEOD-17499.raw.1.zip	P-GSE17499-1	GSM436276_sample_table.txt norm	GSM436276_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17499/E-GEOD-17499.processed.1.zip	wnk8-3 mutant
GSM436275 1	Gene expression data from 2-week-old seedlings grown under short day conditions	wnk8-3 mutant	wnk 8-3 untreated, biological rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2-week-old	seedling	EFO	EFO_0001992	wnk8-3 mutant	P-GSE17499-2	P-GSE17499-3	P-GSE17499-4	GSM436275 extract 1	total RNA	P-GSE17499-5	GSM436275 LE 1	biotin	P-GSE17499-6	GSM436275	A-AFFY-2	P-GSE17499-7	P-GSE17499-8	GSM436275.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17499/E-GEOD-17499.raw.1.zip	P-GSE17499-1	GSM436275_sample_table.txt norm	GSM436275_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17499/E-GEOD-17499.processed.1.zip	wnk8-3 mutant
GSM436274 1	Gene expression data from 2-week-old seedlings grown under short day conditions	wnk8-2 mutant	wnk 8-2 untreated, biological rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2-week-old	seedling	EFO	EFO_0001992	wnk8-2 mutant	P-GSE17499-2	P-GSE17499-3	P-GSE17499-4	GSM436274 extract 1	total RNA	P-GSE17499-5	GSM436274 LE 1	biotin	P-GSE17499-6	GSM436274	A-AFFY-2	P-GSE17499-7	P-GSE17499-8	GSM436274.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17499/E-GEOD-17499.raw.1.zip	P-GSE17499-1	GSM436274_sample_table.txt norm	GSM436274_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17499/E-GEOD-17499.processed.1.zip	wnk8-2 mutant
GSM436273 1	Gene expression data from 2-week-old seedlings grown under short day conditions	wnk8-2 mutant	wnk 8-2 untreated, biological rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2-week-old	seedling	EFO	EFO_0001992	wnk8-2 mutant	P-GSE17499-2	P-GSE17499-3	P-GSE17499-4	GSM436273 extract 1	total RNA	P-GSE17499-5	GSM436273 LE 1	biotin	P-GSE17499-6	GSM436273	A-AFFY-2	P-GSE17499-7	P-GSE17499-8	GSM436273.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17499/E-GEOD-17499.raw.1.zip	P-GSE17499-1	GSM436273_sample_table.txt norm	GSM436273_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17499/E-GEOD-17499.processed.1.zip	wnk8-2 mutant
GSM436272 1	Gene expression data from 2-week-old seedlings grown under short day conditions	wnk8-2 mutant	wnk 8-2 untreated, biological rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2-week-old	seedling	EFO	EFO_0001992	wnk8-2 mutant	P-GSE17499-2	P-GSE17499-3	P-GSE17499-4	GSM436272 extract 1	total RNA	P-GSE17499-5	GSM436272 LE 1	biotin	P-GSE17499-6	GSM436272	A-AFFY-2	P-GSE17499-7	P-GSE17499-8	GSM436272.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17499/E-GEOD-17499.raw.1.zip	P-GSE17499-1	GSM436272_sample_table.txt norm	GSM436272_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17499/E-GEOD-17499.processed.1.zip	wnk8-2 mutant
GSM436271 1	Gene expression data from 2-week-old seedlings grown under short day conditions	wnk8-1 mutant	wnk 8-1 untreated, biological rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2-week-old	seedling	EFO	EFO_0001992	wnk8-1 mutant	P-GSE17499-2	P-GSE17499-3	P-GSE17499-4	GSM436271 extract 1	total RNA	P-GSE17499-5	GSM436271 LE 1	biotin	P-GSE17499-6	GSM436271	A-AFFY-2	P-GSE17499-7	P-GSE17499-8	GSM436271.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17499/E-GEOD-17499.raw.1.zip	P-GSE17499-1	GSM436271_sample_table.txt norm	GSM436271_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17499/E-GEOD-17499.processed.1.zip	wnk8-1 mutant
GSM436270 1	Gene expression data from 2-week-old seedlings grown under short day conditions	wnk8-1 mutant	wnk 8-1 untreated, biological rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2-week-old	seedling	EFO	EFO_0001992	wnk8-1 mutant	P-GSE17499-2	P-GSE17499-3	P-GSE17499-4	GSM436270 extract 1	total RNA	P-GSE17499-5	GSM436270 LE 1	biotin	P-GSE17499-6	GSM436270	A-AFFY-2	P-GSE17499-7	P-GSE17499-8	GSM436270.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17499/E-GEOD-17499.raw.1.zip	P-GSE17499-1	GSM436270_sample_table.txt norm	GSM436270_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17499/E-GEOD-17499.processed.1.zip	wnk8-1 mutant
GSM436269 1	Gene expression data from 2-week-old seedlings grown under short day conditions	wnk8-1 mutant	wnk 8-1 untreated, biological rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2-week-old	seedling	EFO	EFO_0001992	wnk8-1 mutant	P-GSE17499-2	P-GSE17499-3	P-GSE17499-4	GSM436269 extract 1	total RNA	P-GSE17499-5	GSM436269 LE 1	biotin	P-GSE17499-6	GSM436269	A-AFFY-2	P-GSE17499-7	P-GSE17499-8	GSM436269.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17499/E-GEOD-17499.raw.1.zip	P-GSE17499-1	GSM436269_sample_table.txt norm	GSM436269_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17499/E-GEOD-17499.processed.1.zip	wnk8-1 mutant
GSM436268 1	Gene expression data from 2-week-old seedlings grown under short day conditions	pXVE:HA-EDM2-a, an edm2-2 complementation line	pXVE:HA-EDM2-a untreated, biological rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2-week-old	seedling	EFO	EFO_0001992	pXVE:HA-EDM2-a, an edm2-2 complementation line	P-GSE17499-2	P-GSE17499-3	P-GSE17499-4	GSM436268 extract 1	total RNA	P-GSE17499-5	GSM436268 LE 1	biotin	P-GSE17499-6	GSM436268	A-AFFY-2	P-GSE17499-7	P-GSE17499-8	GSM436268.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17499/E-GEOD-17499.raw.1.zip	P-GSE17499-1	GSM436268_sample_table.txt norm	GSM436268_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17499/E-GEOD-17499.processed.1.zip	pXVE:HA-EDM2-a
GSM436267 1	Gene expression data from 2-week-old seedlings grown under short day conditions	pXVE:HA-EDM2-a, an edm2-2 complementation line	pXVE:HA-EDM2-a untreated, biological rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2-week-old	seedling	EFO	EFO_0001992	pXVE:HA-EDM2-a, an edm2-2 complementation line	P-GSE17499-2	P-GSE17499-3	P-GSE17499-4	GSM436267 extract 1	total RNA	P-GSE17499-5	GSM436267 LE 1	biotin	P-GSE17499-6	GSM436267	A-AFFY-2	P-GSE17499-7	P-GSE17499-8	GSM436267.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17499/E-GEOD-17499.raw.1.zip	P-GSE17499-1	GSM436267_sample_table.txt norm	GSM436267_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17499/E-GEOD-17499.processed.1.zip	pXVE:HA-EDM2-a
GSM436266 1	Gene expression data from 2-week-old seedlings grown under short day conditions	pXVE:HA-EDM2-a, an edm2-2 complementation line	pXVE:HA-EDM2-a untreated, biological rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2-week-old	seedling	EFO	EFO_0001992	pXVE:HA-EDM2-a, an edm2-2 complementation line	P-GSE17499-2	P-GSE17499-3	P-GSE17499-4	GSM436266 extract 1	total RNA	P-GSE17499-5	GSM436266 LE 1	biotin	P-GSE17499-6	GSM436266	A-AFFY-2	P-GSE17499-7	P-GSE17499-8	GSM436266.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17499/E-GEOD-17499.raw.1.zip	P-GSE17499-1	GSM436266_sample_table.txt norm	GSM436266_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17499/E-GEOD-17499.processed.1.zip	pXVE:HA-EDM2-a
GSM436265 1	Gene expression data from 2-week-old seedlings grown under short day conditions	edm2-2 mutant	edm2-2 untreated, biological rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2-week-old	seedling	EFO	EFO_0001992	edm2-2 mutant	P-GSE17499-2	P-GSE17499-3	P-GSE17499-4	GSM436265 extract 1	total RNA	P-GSE17499-5	GSM436265 LE 1	biotin	P-GSE17499-6	GSM436265	A-AFFY-2	P-GSE17499-7	P-GSE17499-8	GSM436265.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17499/E-GEOD-17499.raw.1.zip	P-GSE17499-1	GSM436265_sample_table.txt norm	GSM436265_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17499/E-GEOD-17499.processed.1.zip	edm2-2 mutant
GSM436264 1	Gene expression data from 2-week-old seedlings grown under short day conditions	edm2-2 mutant	edm2-2 untreated, biological rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2-week-old	seedling	EFO	EFO_0001992	edm2-2 mutant	P-GSE17499-2	P-GSE17499-3	P-GSE17499-4	GSM436264 extract 1	total RNA	P-GSE17499-5	GSM436264 LE 1	biotin	P-GSE17499-6	GSM436264	A-AFFY-2	P-GSE17499-7	P-GSE17499-8	GSM436264.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17499/E-GEOD-17499.raw.1.zip	P-GSE17499-1	GSM436264_sample_table.txt norm	GSM436264_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17499/E-GEOD-17499.processed.1.zip	edm2-2 mutant
GSM436263 1	Gene expression data from 2-week-old seedlings grown under short day conditions	edm2-2 mutant	edm2-2 untreated, biological rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2-week-old	seedling	EFO	EFO_0001992	edm2-2 mutant	P-GSE17499-2	P-GSE17499-3	P-GSE17499-4	GSM436263 extract 1	total RNA	P-GSE17499-5	GSM436263 LE 1	biotin	P-GSE17499-6	GSM436263	A-AFFY-2	P-GSE17499-7	P-GSE17499-8	GSM436263.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17499/E-GEOD-17499.raw.1.zip	P-GSE17499-1	GSM436263_sample_table.txt norm	GSM436263_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17499/E-GEOD-17499.processed.1.zip	edm2-2 mutant
GSM436262 1	Gene expression data from 2-week-old seedlings grown under short day conditions	Col-0 wildtype	Col-0 untreated, biological rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2-week-old	seedling	EFO	EFO_0001992	wild type	P-GSE17499-2	P-GSE17499-3	P-GSE17499-4	GSM436262 extract 1	total RNA	P-GSE17499-5	GSM436262 LE 1	biotin	P-GSE17499-6	GSM436262	A-AFFY-2	P-GSE17499-7	P-GSE17499-8	GSM436262.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17499/E-GEOD-17499.raw.1.zip	P-GSE17499-1	GSM436262_sample_table.txt norm	GSM436262_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17499/E-GEOD-17499.processed.1.zip	wild type
GSM436261 1	Gene expression data from 2-week-old seedlings grown under short day conditions	Col-0 wildtype	Col-0 untreated, biological rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2-week-old	seedling	EFO	EFO_0001992	wild type	P-GSE17499-2	P-GSE17499-3	P-GSE17499-4	GSM436261 extract 1	total RNA	P-GSE17499-5	GSM436261 LE 1	biotin	P-GSE17499-6	GSM436261	A-AFFY-2	P-GSE17499-7	P-GSE17499-8	GSM436261.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17499/E-GEOD-17499.raw.1.zip	P-GSE17499-1	GSM436261_sample_table.txt norm	GSM436261_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17499/E-GEOD-17499.processed.1.zip	wild type
GSM436260 1	Gene expression data from 2-week-old seedlings grown under short day conditions	Col-0 wildtype	Col-0 untreated, biological rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	2-week-old	seedling	EFO	EFO_0001992	wild type	P-GSE17499-2	P-GSE17499-3	P-GSE17499-4	GSM436260 extract 1	total RNA	P-GSE17499-5	GSM436260 LE 1	biotin	P-GSE17499-6	GSM436260	A-AFFY-2	P-GSE17499-7	P-GSE17499-8	GSM436260.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17499/E-GEOD-17499.raw.1.zip	P-GSE17499-1	GSM436260_sample_table.txt norm	GSM436260_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-17499/E-GEOD-17499.processed.1.zip	wild type
