Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics[developmental stage]	Characteristics[organism part]	Characteristics[ecotype]	Description	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[ecotype]	FactorValue[compound]
GSE6832GSM157390	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	aerial tissue	Col-0	Col-0:  sterilisation: Sterilized by treatment with bleach. Growth protocol: Arabidopsis seedlings were grown vertically on MS agar plates for 2 weeks. Location: Growth chamber growth substrate type: Agar medium: Murashige and Skoog basal salt mixture. Stock Code: N1092; Tissue: aerial parts	P-G6832-4	GSE6832GSM157390 sample	P-G6832-3	GSE6832GSM157390 extract	total_RNA	P-G6832-2	GSE6832GSM157390 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Sakakibara_1-9_DMSO-treatment-wild_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Sakakibara_1-9_DMSO-treatment-wild_Rep3_ATH1	GSM157390.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6832/E-GEOD-6832.raw.1.zip	E-GEOD-6832-processed-data-1629620297.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6832/E-GEOD-6832.processed.1.zip	Col-0	DMSO
GSE6832GSM157389	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	aerial tissue	Col-0	Col-0:  sterilisation: Sterilized by treatment with bleach. Growth protocol: Arabidopsis seedlings were grown vertically on MS agar plates for 2 weeks. Location: Growth chamber growth substrate type: Agar medium: Murashige and Skoog basal salt mixture. Stock Code: N1092; Tissue: aerial parts	P-G6832-4	GSE6832GSM157389 sample	P-G6832-3	GSE6832GSM157389 extract	total_RNA	P-G6832-2	GSE6832GSM157389 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Sakakibara_1-8_DMSO-treatment-wild_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Sakakibara_1-8_DMSO-treatment-wild_Rep2_ATH1	GSM157389.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6832/E-GEOD-6832.raw.1.zip	E-GEOD-6832-processed-data-1629620297.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6832/E-GEOD-6832.processed.1.zip	Col-0	DMSO
GSE6832GSM157388	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	aerial tissue	Col-0	Col-0:  sterilisation: Sterilized by treatment with bleach. Growth protocol: Arabidopsis seedlings were grown vertically on MS agar plates for 2 weeks. Location: Growth chamber growth substrate type: Agar medium: Murashige and Skoog basal salt mixture. Stock Code: N1092; Tissue: aerial parts	P-G6832-4	GSE6832GSM157388 sample	P-G6832-3	GSE6832GSM157388 extract	total_RNA	P-G6832-2	GSE6832GSM157388 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Sakakibara_1-7_DMSO-treatment-wild_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Sakakibara_1-7_DMSO-treatment-wild_Rep1_ATH1	GSM157388.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6832/E-GEOD-6832.raw.1.zip	E-GEOD-6832-processed-data-1629620297.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6832/E-GEOD-6832.processed.1.zip	Col-0	DMSO
GSE6832GSM157391	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	aerial tissue	SALK_098604, SALK_054752	SALK_098604, SALK_054752:  sterilisation: Sterilized by treatment with bleach. Growth protocol: Arabidopsis seedlings were grown vertically on MS agar plates for 2 weeks. Location: Growth chamber growth substrate type: Agar medium: Murashige and Skoog basal salt mixture. Stock Code: N598604, N554752; Tissue: aerial parts	P-G6832-4	GSE6832GSM157391 sample	P-G6832-3	GSE6832GSM157391 extract	total_RNA	P-G6832-2	GSE6832GSM157391 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Sakakibara_1-10_DMSO-treatment-mutant_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Sakakibara_1-10_DMSO-treatment-mutant_Rep1_ATH1	GSM157391.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6832/E-GEOD-6832.raw.1.zip	E-GEOD-6832-processed-data-1629620297.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6832/E-GEOD-6832.processed.1.zip	SALK_098604, SALK_054752	DMSO
GSE6832GSM157393	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	aerial tissue	SALK_098604, SALK_054752	SALK_098604, SALK_054752:  sterilisation: Sterilized by treatment with bleach. Growth protocol: Arabidopsis seedlings were grown vertically on MS agar plates for 2 weeks. Location: Growth chamber growth substrate type: Agar medium: Murashige and Skoog basal salt mixture. Stock Code: N598604, N554752; Tissue: aerial parts	P-G6832-4	GSE6832GSM157393 sample	P-G6832-3	GSE6832GSM157393 extract	total_RNA	P-G6832-2	GSE6832GSM157393 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Sakakibara_1-12_DMSO-treatment-mutant_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Sakakibara_1-12_DMSO-treatment-mutant_Rep3_ATH1	GSM157393.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6832/E-GEOD-6832.raw.1.zip	E-GEOD-6832-processed-data-1629620297.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6832/E-GEOD-6832.processed.1.zip	SALK_098604, SALK_054752	DMSO
GSE6832GSM157392	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	aerial tissue	SALK_098604, SALK_054752	SALK_098604, SALK_054752:  sterilisation: Sterilized by treatment with bleach. Growth protocol: Arabidopsis seedlings were grown vertically on MS agar plates for 2 weeks. Location: Growth chamber growth substrate type: Agar medium: Murashige and Skoog basal salt mixture. Stock Code: N598604, N554752; Tissue: aerial parts	P-G6832-4	GSE6832GSM157392 sample	P-G6832-3	GSE6832GSM157392 extract	total_RNA	P-G6832-2	GSE6832GSM157392 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Sakakibara_1-11_DMSO-treatment-mutant_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Sakakibara_1-11_DMSO-treatment-mutant_Rep2_ATH1	GSM157392.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6832/E-GEOD-6832.raw.1.zip	E-GEOD-6832-processed-data-1629620297.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6832/E-GEOD-6832.processed.1.zip	SALK_098604, SALK_054752	DMSO
GSE6832GSM157383	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	aerial tissue	Col-0	Col-0:  sterilisation: Sterilized by treatment with bleach. Growth protocol: Arabidopsis seedlings were grown vertically on MS agar plates for 2 weeks. Location: Growth chamber growth substrate type: Agar medium: Murashige and Skoog basal salt mixture. Stock Code: N1092; Tissue: aerial parts	P-G6832-1	GSE6832GSM157383 sample	P-G6832-3	GSE6832GSM157383 extract	total_RNA	P-G6832-2	GSE6832GSM157383 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Sakakibara_1-2_TZ-treatment-wild_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Sakakibara_1-2_TZ-treatment-wild_Rep2_ATH1	GSM157383.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6832/E-GEOD-6832.raw.1.zip	E-GEOD-6832-processed-data-1629620297.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6832/E-GEOD-6832.processed.1.zip	Col-0	t-zeatin
GSE6832GSM157384	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	aerial tissue	Col-0	Col-0:  sterilisation: Sterilized by treatment with bleach. Growth protocol: Arabidopsis seedlings were grown vertically on MS agar plates for 2 weeks. Location: Growth chamber growth substrate type: Agar medium: Murashige and Skoog basal salt mixture. Stock Code: N1092; Tissue: aerial parts	P-G6832-1	GSE6832GSM157384 sample	P-G6832-3	GSE6832GSM157384 extract	total_RNA	P-G6832-2	GSE6832GSM157384 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Sakakibara_1-3_TZ-treatment-wild_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Sakakibara_1-3_TZ-treatment-wild_Rep3_ATH1	GSM157384.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6832/E-GEOD-6832.raw.1.zip	E-GEOD-6832-processed-data-1629620297.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6832/E-GEOD-6832.processed.1.zip	Col-0	t-zeatin
GSE6832GSM157382	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	aerial tissue	Col-0	Col-0:  sterilisation: Sterilized by treatment with bleach. Growth protocol: Arabidopsis seedlings were grown vertically on MS agar plates for 2 weeks. Location: Growth chamber growth substrate type: Agar medium: Murashige and Skoog basal salt mixture. Stock Code: N1092; Tissue: aerial parts	P-G6832-1	GSE6832GSM157382 sample	P-G6832-3	GSE6832GSM157382 extract	total_RNA	P-G6832-2	GSE6832GSM157382 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Sakakibara_1-1_TZ-treatment-wild_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Sakakibara_1-1_TZ-treatment-wild_Rep1_ATH1	GSM157382.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6832/E-GEOD-6832.raw.1.zip	E-GEOD-6832-processed-data-1629620297.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6832/E-GEOD-6832.processed.1.zip	Col-0	t-zeatin
GSE6832GSM157385	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	aerial tissue	SALK_098604, SALK_054752	SALK_098604, SALK_054752:  sterilisation: Sterilized by treatment with bleach. Growth protocol: Arabidopsis seedlings were grown vertically on MS agar plates for 2 weeks. Location: Growth chamber growth substrate type: Agar medium: Murashige and Skoog basal salt mixture. Stock Code: N598604, N554752; Tissue: aerial parts	P-G6832-1	GSE6832GSM157385 sample	P-G6832-3	GSE6832GSM157385 extract	total_RNA	P-G6832-2	GSE6832GSM157385 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Sakakibara_1-4_TZ-treatment-mutant_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Sakakibara_1-4_TZ-treatment-mutant_Rep1_ATH1	GSM157385.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6832/E-GEOD-6832.raw.1.zip	E-GEOD-6832-processed-data-1629620297.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6832/E-GEOD-6832.processed.1.zip	SALK_098604, SALK_054752	t-zeatin
