Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Description	Characteristics[Age]	Unit[TimeUnit]	Characteristics[OrganismPart]	Characteristics[Ecotype]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[TREATMENT TIME]	Unit[TimeUnit]	FactorValue[TEMPERATURE]	Unit[TemperatureUnit]
GSE10522GSM265850	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosettes grown at 10C for 6h:  Gene expression data from Arabidopsis rosettes 6 hours in 10C. Genotype: Columbia-0; Age: 4-5 weeks; Tissue: rosette	4-5	weeks	rosette	Col-0	P-10522-3	P-10522-9	GSE10522GSM265850 sample	P-10522-5	GSE10522GSM265850 extract	total_RNA	P-10522-4	GSE10522GSM265850 LE	biotin	synthetic_RNA	P-10522-1	short 10A	A-AFFY-2	P-AFFY-6	short 10A	GSM265850.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10522/E-GEOD-10522.raw.1.zip	E-GEOD-10522-processed-data-1605344270.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10522/E-GEOD-10522.processed.1.zip	6	hours	10	degree_C
GSE10522GSM265862	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosettes grown at 10C for 6h:  Gene expression data from Arabidopsis rosettes 6 hours in 10C. Genotype: Columbia-0; Age: 4-5 weeks; Tissue: rosette	4-5	weeks	rosette	Col-0	P-10522-3	P-10522-9	GSE10522GSM265862 sample	P-10522-5	GSE10522GSM265862 extract	total_RNA	P-10522-4	GSE10522GSM265862 LE	biotin	synthetic_RNA	P-10522-1	short 10B	A-AFFY-2	P-AFFY-6	short 10B	GSM265862.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10522/E-GEOD-10522.raw.1.zip	E-GEOD-10522-processed-data-1605344270.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10522/E-GEOD-10522.processed.1.zip	6	hours	10	degree_C
GSE10522GSM265868	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosettes grown at 10C for 78h:  Gene expression data from Arabidopsis rosettes 78 hours in 10C. Genotype: Columbia-0; Age: 4-5 weeks; Tissue: rosette	4-5	weeks	rosette	Col-0	P-10522-3	P-10522-9	GSE10522GSM265868 sample	P-10522-5	GSE10522GSM265868 extract	total_RNA	P-10522-4	GSE10522GSM265868 LE	biotin	synthetic_RNA	P-10522-1	long 10B	A-AFFY-2	P-AFFY-6	long 10B	GSM265868.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10522/E-GEOD-10522.raw.1.zip	E-GEOD-10522-processed-data-1605344270.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10522/E-GEOD-10522.processed.1.zip	78	hours	10	degree_C
GSE10522GSM265856	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosettes grown at 10C for 78h:  Gene expression data from Arabidopsis rosettes 78 hours in 10C. Genotype: Columbia-0; Age: 4-5 weeks; Tissue: rosette	4-5	weeks	rosette	Col-0	P-10522-3	P-10522-9	GSE10522GSM265856 sample	P-10522-5	GSE10522GSM265856 extract	total_RNA	P-10522-4	GSE10522GSM265856 LE	biotin	synthetic_RNA	P-10522-1	long 10A	A-AFFY-2	P-AFFY-6	long 10A	GSM265856.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10522/E-GEOD-10522.raw.1.zip	E-GEOD-10522-processed-data-1605344270.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10522/E-GEOD-10522.processed.1.zip	78	hours	10	degree_C
GSE10522GSM265861	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosettes grown at 12C for 6h:  Gene expression data from Arabidopsis rosettes 6 hours in 12C. Genotype: Columbia-0; Age: 4-5 weeks; Tissue: rosette	4-5	weeks	rosette	Col-0	P-10522-3	P-10522-8	GSE10522GSM265861 sample	P-10522-5	GSE10522GSM265861 extract	total_RNA	P-10522-4	GSE10522GSM265861 LE	biotin	synthetic_RNA	P-10522-1	short 12B	A-AFFY-2	P-AFFY-6	short 12B	GSM265861.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10522/E-GEOD-10522.raw.1.zip	E-GEOD-10522-processed-data-1605344270.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10522/E-GEOD-10522.processed.1.zip	6	hours	12	degree_C
GSE10522GSM265849	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosettes grown at 12C for 6h:  Gene expression data from Arabidopsis rosettes 6 hours in 12C. Genotype: Columbia-0; Age: 4-5 weeks; Tissue: rosette	4-5	weeks	rosette	Col-0	P-10522-3	P-10522-8	GSE10522GSM265849 sample	P-10522-5	GSE10522GSM265849 extract	total_RNA	P-10522-4	GSE10522GSM265849 LE	biotin	synthetic_RNA	P-10522-1	short 12A	A-AFFY-2	P-AFFY-6	short 12A	GSM265849.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10522/E-GEOD-10522.raw.1.zip	E-GEOD-10522-processed-data-1605344270.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10522/E-GEOD-10522.processed.1.zip	6	hours	12	degree_C
GSE10522GSM265855	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosettes grown at 12C for 78h:  Gene expression data from Arabidopsis rosettes 78 hours in 12C. Genotype: Columbia-0; Age: 4-5 weeks; Tissue: rosette	4-5	weeks	rosette	Col-0	P-10522-3	P-10522-8	GSE10522GSM265855 sample	P-10522-5	GSE10522GSM265855 extract	total_RNA	P-10522-4	GSE10522GSM265855 LE	biotin	synthetic_RNA	P-10522-1	long 12A	A-AFFY-2	P-AFFY-6	long 12A	GSM265855.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10522/E-GEOD-10522.raw.1.zip	E-GEOD-10522-processed-data-1605344270.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10522/E-GEOD-10522.processed.1.zip	78	hours	12	degree_C
GSE10522GSM265867	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosettes grown at 12C for 78h:  Gene expression data from Arabidopsis rosettes 78 hours in 12C. Genotype: Columbia-0; Age: 4-5 weeks; Tissue: rosette	4-5	weeks	rosette	Col-0	P-10522-3	P-10522-8	GSE10522GSM265867 sample	P-10522-5	GSE10522GSM265867 extract	total_RNA	P-10522-4	GSE10522GSM265867 LE	biotin	synthetic_RNA	P-10522-1	long 12B	A-AFFY-2	P-AFFY-6	long 12B	GSM265867.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10522/E-GEOD-10522.raw.1.zip	E-GEOD-10522-processed-data-1605344270.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10522/E-GEOD-10522.processed.1.zip	78	hours	12	degree_C
GSE10522GSM265860	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosettes grown at 14C for 6h:  Gene expression data from Arabidopsis rosettes 6 hours in 14C. Genotype: Columbia-0; Age: 4-5 weeks; Tissue: rosette	4-5	weeks	rosette	Col-0	P-10522-3	P-10522-7	GSE10522GSM265860 sample	P-10522-5	GSE10522GSM265860 extract	total_RNA	P-10522-4	GSE10522GSM265860 LE	biotin	synthetic_RNA	P-10522-1	short 14B	A-AFFY-2	P-AFFY-6	short 14B	GSM265860.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10522/E-GEOD-10522.raw.1.zip	E-GEOD-10522-processed-data-1605344270.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10522/E-GEOD-10522.processed.1.zip	6	hours	14	degree_C
GSE10522GSM265848	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosettes grown at 14C for 6h:  Gene expression data from Arabidopsis rosettes 6 hours in 14C. Genotype: Columbia-0; Age: 4-5 weeks; Tissue: rosette	4-5	weeks	rosette	Col-0	P-10522-3	P-10522-7	GSE10522GSM265848 sample	P-10522-5	GSE10522GSM265848 extract	total_RNA	P-10522-4	GSE10522GSM265848 LE	biotin	synthetic_RNA	P-10522-1	short 14A	A-AFFY-2	P-AFFY-6	short 14A	GSM265848.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10522/E-GEOD-10522.raw.1.zip	E-GEOD-10522-processed-data-1605344270.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10522/E-GEOD-10522.processed.1.zip	6	hours	14	degree_C
