Source Name	Characteristics[organism]	Characteristics[developmental stage]	Characteristics[age]	Unit[time unit]	Characteristics[organism part]	Characteristics[genotype]	Characteristics[genetic modification]	Comment [biosource type]	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Term Source REF	LabeledExtract Name	Label	Protocol REF	Term Source REF	Hybridization Name	Array Design REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue[genotype]
letm1-1 -HET. LETM2 -HM  rep1	Arabidopsis thaliana	seedling	10	day	leaf	letm1-1 heterozygous, letm2-1 homozygous double mutant	gene knock out	frozen sample	P-MTAB-22400	P-MTAB-22401	E_letm1-1 -HET. LETM2 -HM  rep1	total RNA	P-AFFY-2	ArrayExpress	L_letm1-1 -HET. LETM2 -HM  rep1	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	H_letm1-1 -HET. LETM2 -HM  rep1	A-AFFY-2	P-AFFY-6	ArrayExpress	LETM1-1-HET.letm2-HMrep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3328/E-MEXP-3328.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	LETM1-1-HET.letm2-HMrep1.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3328/E-MEXP-3328.processed.1.zip	letm1-1 heterozygous, letm2-1 homozygous double mutant
letm1-1 -HET. LETM2 -HM  rep2	Arabidopsis thaliana	seedling	10	day	leaf	letm1-1 heterozygous, letm2-1 homozygous double mutant	gene knock out	frozen sample	P-MTAB-22400	P-MTAB-22401	E_letm1-1 -HET. LETM2 -HM  rep2	total RNA	P-AFFY-2	ArrayExpress	L_letm1-1 -HET. LETM2 -HM  rep2	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	H_letm1-1 -HET. LETM2 -HM  rep2	A-AFFY-2	P-AFFY-6	ArrayExpress	LETM1-1-HET.letm2-HMrep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3328/E-MEXP-3328.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	LETM1-1-HET.letm2-HMrep2.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3328/E-MEXP-3328.processed.1.zip	letm1-1 heterozygous, letm2-1 homozygous double mutant
letm1-1 -HET. LETM2 -HM  rep3	Arabidopsis thaliana	seedling	10	day	leaf	letm1-1 heterozygous, letm2-1 homozygous double mutant	gene knock out	frozen sample	P-MTAB-22400	P-MTAB-22401	E_letm1-1 -HET. LETM2 -HM  rep3	total RNA	P-AFFY-2	ArrayExpress	L_letm1-1 -HET. LETM2 -HM  rep3	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	H_letm1-1 -HET. LETM2 -HM  rep3	A-AFFY-2	P-AFFY-6	ArrayExpress	LETM1-1-HET.letm2-HMrep3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3328/E-MEXP-3328.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	LETM1-1-HET.letm2-HMrep3.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3328/E-MEXP-3328.processed.1.zip	letm1-1 heterozygous, letm2-1 homozygous double mutant
letm1-1 -HM. LETM2 -HET  rep1	Arabidopsis thaliana	seedling	10	day	leaf	letm1-1 homozygous, letm2-1 heterozygous double mutant	gene knock out	frozen sample	P-MTAB-22400	P-MTAB-22401	E_letm1-1 -HM. LETM2 -HET  rep1	total RNA	P-AFFY-2	ArrayExpress	L_letm1-1 -HM. LETM2 -HET  rep1	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	H_letm1-1 -HM. LETM2 -HET  rep1	A-AFFY-2	P-AFFY-6	ArrayExpress	letm1-1-HM.LETM2-HETrep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3328/E-MEXP-3328.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	letm1-1-HM.LETM2-HETrep1.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3328/E-MEXP-3328.processed.1.zip	letm1-1 homozygous, letm2-1 heterozygous double mutant
letm1-1 -HM. LETM2 -HET  rep2	Arabidopsis thaliana	seedling	10	day	leaf	letm1-1 homozygous, letm2-1 heterozygous double mutant	gene knock out	frozen sample	P-MTAB-22400	P-MTAB-22401	E_letm1-1 -HM. LETM2 -HET  rep2	total RNA	P-AFFY-2	ArrayExpress	L_letm1-1 -HM. LETM2 -HET  rep2	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	H_letm1-1 -HM. LETM2 -HET  rep2	A-AFFY-2	P-AFFY-6	ArrayExpress	letm1-1-HM.LETM2-HETrep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3328/E-MEXP-3328.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	letm1-1-HM.LETM2-HETrep2.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3328/E-MEXP-3328.processed.1.zip	letm1-1 homozygous, letm2-1 heterozygous double mutant
letm1-1 -HM. LETM2 -HET  rep3	Arabidopsis thaliana	seedling	10	day	leaf	letm1-1 homozygous, letm2-1 heterozygous double mutant	gene knock out	frozen sample	P-MTAB-22400	P-MTAB-22401	E_letm1-1 -HM. LETM2 -HET  rep3	total RNA	P-AFFY-2	ArrayExpress	L_letm1-1 -HM. LETM2 -HET  rep3	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	H_letm1-1 -HM. LETM2 -HET  rep3	A-AFFY-2	P-AFFY-6	ArrayExpress	letm1-1-HM.LETM2-HETrep3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3328/E-MEXP-3328.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	letm1-1-HM.LETM2-HETrep3.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3328/E-MEXP-3328.processed.1.zip	letm1-1 homozygous, letm2-1 heterozygous double mutant
letm1-1 rep1	Arabidopsis thaliana	seedling	10	day	leaf	letm1-1 mutant	gene knock out	frozen sample	P-MTAB-22400	P-MTAB-22401	E_letm1-1 rep1	total RNA	P-AFFY-2	ArrayExpress	L_letm1-1 rep1	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	H_letm1-1 rep1	A-AFFY-2	P-AFFY-6	ArrayExpress	letm1-1rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3328/E-MEXP-3328.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	letm1-1rep1.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3328/E-MEXP-3328.processed.1.zip	letm1-1 mutant
letm1-1 rep2	Arabidopsis thaliana	seedling	10	day	leaf	letm1-1 mutant	gene knock out	frozen sample	P-MTAB-22400	P-MTAB-22401	E_letm1-1 rep2	total RNA	P-AFFY-2	ArrayExpress	L_letm1-1 rep2	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	H_letm1-1 rep2	A-AFFY-2	P-AFFY-6	ArrayExpress	letm1-1rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3328/E-MEXP-3328.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	letm1-1rep2.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3328/E-MEXP-3328.processed.1.zip	letm1-1 mutant
letm1-1 rep3	Arabidopsis thaliana	seedling	10	day	leaf	letm1-1 mutant	gene knock out	frozen sample	P-MTAB-22400	P-MTAB-22401	E_letm1-1 rep3	total RNA	P-AFFY-2	ArrayExpress	L_letm1-1 rep3	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	H_letm1-1 rep3	A-AFFY-2	P-AFFY-6	ArrayExpress	letm1-1rep3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3328/E-MEXP-3328.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	letm1-1rep3.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3328/E-MEXP-3328.processed.1.zip	letm1-1 mutant
letm1-2 -HET. LETM2 -HM  rep1	Arabidopsis thaliana	seedling	10	day	leaf	letm1-2 heterozygous, letm2-1 homozygous double mutant	gene knock out	frozen sample	P-MTAB-22400	P-MTAB-22401	E_letm1-2 -HET. LETM2 -HM  rep1	total RNA	P-AFFY-2	ArrayExpress	L_letm1-2 -HET. LETM2 -HM  rep1	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	H_letm1-2 -HET. LETM2 -HM  rep1	A-AFFY-2	P-AFFY-6	ArrayExpress	LETM1-2-HET.letm2-HMrep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3328/E-MEXP-3328.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	LETM1-2-HET.letm2-HMrep1.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3328/E-MEXP-3328.processed.1.zip	letm1-2 heterozygous, letm2-1 homozygous double mutant
letm1-2 -HET. LETM2 -HM  rep2	Arabidopsis thaliana	seedling	10	day	leaf	letm1-2 heterozygous, letm2-1 homozygous double mutant	gene knock out	frozen sample	P-MTAB-22400	P-MTAB-22401	E_letm1-2 -HET. LETM2 -HM  rep2	total RNA	P-AFFY-2	ArrayExpress	L_letm1-2 -HET. LETM2 -HM  rep2	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	H_letm1-2 -HET. LETM2 -HM  rep2	A-AFFY-2	P-AFFY-6	ArrayExpress	LETM1-2-HET.letm2-HMrep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3328/E-MEXP-3328.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	LETM1-2-HET.letm2-HMrep2.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3328/E-MEXP-3328.processed.1.zip	letm1-2 heterozygous, letm2-1 homozygous double mutant
letm1-2 -HET. LETM2 -HM  rep3	Arabidopsis thaliana	seedling	10	day	leaf	letm1-2 heterozygous, letm2-1 homozygous double mutant	gene knock out	frozen sample	P-MTAB-22400	P-MTAB-22401	E_letm1-2 -HET. LETM2 -HM  rep3	total RNA	P-AFFY-2	ArrayExpress	L_letm1-2 -HET. LETM2 -HM  rep3	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	H_letm1-2 -HET. LETM2 -HM  rep3	A-AFFY-2	P-AFFY-6	ArrayExpress	LETM1-2-HET.letm2-HMrep3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3328/E-MEXP-3328.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	LETM1-2-HET.letm2-HMrep3.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3328/E-MEXP-3328.processed.1.zip	letm1-2 heterozygous, letm2-1 homozygous double mutant
letm1-2 -HM. LETM2 -HET  rep1	Arabidopsis thaliana	seedling	10	day	leaf	letm1-2 homozygous, letm2-1 heterozygous double mutant	gene knock out	frozen sample	P-MTAB-22400	P-MTAB-22401	E_letm1-2 -HM. LETM2 -HET  rep1	total RNA	P-AFFY-2	ArrayExpress	L_letm1-2 -HM. LETM2 -HET  rep1	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	H_letm1-2 -HM. LETM2 -HET  rep1	A-AFFY-2	P-AFFY-6	ArrayExpress	letm1-2-HM.LETM2-HETrep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3328/E-MEXP-3328.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	letm1-2-HM.LETM2-HETrep1.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3328/E-MEXP-3328.processed.1.zip	letm1-2 homozygous, letm2-1 heterozygous double mutant
letm1-2 -HM. LETM2 -HET  rep2	Arabidopsis thaliana	seedling	10	day	leaf	letm1-2 homozygous, letm2-1 heterozygous double mutant	gene knock out	frozen sample	P-MTAB-22400	P-MTAB-22401	E_letm1-2 -HM. LETM2 -HET  rep2	total RNA	P-AFFY-2	ArrayExpress	L_letm1-2 -HM. LETM2 -HET  rep2	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	H_letm1-2 -HM. LETM2 -HET  rep2	A-AFFY-2	P-AFFY-6	ArrayExpress	letm1-2-HM.LETM2-HETrep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3328/E-MEXP-3328.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	letm1-2-HM.LETM2-HETrep2.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3328/E-MEXP-3328.processed.1.zip	letm1-2 homozygous, letm2-1 heterozygous double mutant
letm1-2 -HM. LETM2 -HET  rep3	Arabidopsis thaliana	seedling	10	day	leaf	letm1-2 homozygous, letm2-1 heterozygous double mutant	gene knock out	frozen sample	P-MTAB-22400	P-MTAB-22401	E_letm1-2 -HM. LETM2 -HET  rep3	total RNA	P-AFFY-2	ArrayExpress	L_letm1-2 -HM. LETM2 -HET  rep3	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	H_letm1-2 -HM. LETM2 -HET  rep3	A-AFFY-2	P-AFFY-6	ArrayExpress	letm1-2-HM.LETM2-HETrep3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3328/E-MEXP-3328.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	letm1-2-HM.LETM2-HETrep3.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3328/E-MEXP-3328.processed.1.zip	letm1-2 homozygous, letm2-1 heterozygous double mutant
letm1-2 rep1	Arabidopsis thaliana	seedling	10	day	leaf	letm1-2 mutant	gene knock out	frozen sample	P-MTAB-22400	P-MTAB-22401	E_letm1-2 rep1	total RNA	P-AFFY-2	ArrayExpress	L_letm1-2 rep1	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	H_letm1-2 rep1	A-AFFY-2	P-AFFY-6	ArrayExpress	letm1-2rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3328/E-MEXP-3328.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	letm1-2rep1.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3328/E-MEXP-3328.processed.1.zip	letm1-2 mutant
letm1-2 rep2	Arabidopsis thaliana	seedling	10	day	leaf	letm1-2 mutant	gene knock out	frozen sample	P-MTAB-22400	P-MTAB-22401	E_letm1-2 rep2	total RNA	P-AFFY-2	ArrayExpress	L_letm1-2 rep2	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	H_letm1-2 rep2	A-AFFY-2	P-AFFY-6	ArrayExpress	letm1-2rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3328/E-MEXP-3328.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	letm1-2rep2.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3328/E-MEXP-3328.processed.1.zip	letm1-2 mutant
letm1-2 rep3	Arabidopsis thaliana	seedling	10	day	leaf	letm1-2 mutant	gene knock out	frozen sample	P-MTAB-22400	P-MTAB-22401	E_letm1-2 rep3	total RNA	P-AFFY-2	ArrayExpress	L_letm1-2 rep3	biotin	Affymetrix:Protocol:Hybridization-Unknown	ArrayExpress	H_letm1-2 rep3	A-AFFY-2	P-AFFY-6	ArrayExpress	letm1-2rep3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3328/E-MEXP-3328.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	letm1-2rep3.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-3328/E-MEXP-3328.processed.1.zip	letm1-2 mutant
