Source Name	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Characteristics [ploidy level]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [PLOIDY LEVEL]
GSM1277516 1	tetraploid_dscDNA	4x 5	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	two week old seedlings	tetraploid	P-GSE52885-2	ArrayExpress	P-GSE52885-3	ArrayExpress	GSM1277516 extract 1	total RNA	P-GSE52885-4	ArrayExpress	GSM1277516 LE 1	biotin	P-GSE52885-5	ArrayExpress	GSM1277516	A-AFFY-2	ArrayExpress	array assay	P-GSE52885-6	ArrayExpress	GSM1277516_4N_rep5.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52885/E-GEOD-52885.raw.1.zip	P-GSE52885-1	ArrayExpress	GSM1277516_sample_table.txt norm	GSM1277516_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52885/E-GEOD-52885.processed.1.zip	tetraploid
GSM1277515 1	tetraploid_dscDNA	4x 4	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	two week old seedlings	tetraploid	P-GSE52885-2	ArrayExpress	P-GSE52885-3	ArrayExpress	GSM1277515 extract 1	total RNA	P-GSE52885-4	ArrayExpress	GSM1277515 LE 1	biotin	P-GSE52885-5	ArrayExpress	GSM1277515	A-AFFY-2	ArrayExpress	array assay	P-GSE52885-6	ArrayExpress	GSM1277515_4N_rep4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52885/E-GEOD-52885.raw.1.zip	P-GSE52885-1	ArrayExpress	GSM1277515_sample_table.txt norm	GSM1277515_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52885/E-GEOD-52885.processed.1.zip	tetraploid
GSM1277514 1	tetraploid_dscDNA	4x 3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	two week old seedlings	tetraploid	P-GSE52885-2	ArrayExpress	P-GSE52885-3	ArrayExpress	GSM1277514 extract 1	total RNA	P-GSE52885-4	ArrayExpress	GSM1277514 LE 1	biotin	P-GSE52885-5	ArrayExpress	GSM1277514	A-AFFY-2	ArrayExpress	array assay	P-GSE52885-6	ArrayExpress	GSM1277514_4N_rep3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52885/E-GEOD-52885.raw.1.zip	P-GSE52885-1	ArrayExpress	GSM1277514_sample_table.txt norm	GSM1277514_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52885/E-GEOD-52885.processed.1.zip	tetraploid
GSM1277513 1	tetraploid_dscDNA	4x 2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	two week old seedlings	tetraploid	P-GSE52885-2	ArrayExpress	P-GSE52885-3	ArrayExpress	GSM1277513 extract 1	total RNA	P-GSE52885-4	ArrayExpress	GSM1277513 LE 1	biotin	P-GSE52885-5	ArrayExpress	GSM1277513	A-AFFY-2	ArrayExpress	array assay	P-GSE52885-6	ArrayExpress	GSM1277513_4N_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52885/E-GEOD-52885.raw.1.zip	P-GSE52885-1	ArrayExpress	GSM1277513_sample_table.txt norm	GSM1277513_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52885/E-GEOD-52885.processed.1.zip	tetraploid
GSM1277512 1	tetraploid_dscDNA	4x 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	two week old seedlings	tetraploid	P-GSE52885-2	ArrayExpress	P-GSE52885-3	ArrayExpress	GSM1277512 extract 1	total RNA	P-GSE52885-4	ArrayExpress	GSM1277512 LE 1	biotin	P-GSE52885-5	ArrayExpress	GSM1277512	A-AFFY-2	ArrayExpress	array assay	P-GSE52885-6	ArrayExpress	GSM1277512_4N_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52885/E-GEOD-52885.raw.1.zip	P-GSE52885-1	ArrayExpress	GSM1277512_sample_table.txt norm	GSM1277512_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52885/E-GEOD-52885.processed.1.zip	tetraploid
GSM1277511 1	paternal excess triploid_dscDNA	3x(p) 5	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	two week old seedlings	paternal excess triploid	P-GSE52885-2	ArrayExpress	P-GSE52885-3	ArrayExpress	GSM1277511 extract 1	total RNA	P-GSE52885-4	ArrayExpress	GSM1277511 LE 1	biotin	P-GSE52885-5	ArrayExpress	GSM1277511	A-AFFY-2	ArrayExpress	array assay	P-GSE52885-6	ArrayExpress	GSM1277511_3NP_rep5.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52885/E-GEOD-52885.raw.1.zip	P-GSE52885-1	ArrayExpress	GSM1277511_sample_table.txt norm	GSM1277511_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52885/E-GEOD-52885.processed.1.zip	paternal excess triploid
GSM1277510 1	paternal excess triploid_dscDNA	3x(p) 4	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	two week old seedlings	paternal excess triploid	P-GSE52885-2	ArrayExpress	P-GSE52885-3	ArrayExpress	GSM1277510 extract 1	total RNA	P-GSE52885-4	ArrayExpress	GSM1277510 LE 1	biotin	P-GSE52885-5	ArrayExpress	GSM1277510	A-AFFY-2	ArrayExpress	array assay	P-GSE52885-6	ArrayExpress	GSM1277510_3NP_rep4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52885/E-GEOD-52885.raw.1.zip	P-GSE52885-1	ArrayExpress	GSM1277510_sample_table.txt norm	GSM1277510_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52885/E-GEOD-52885.processed.1.zip	paternal excess triploid
GSM1277509 1	paternal excess triploid_dscDNA	3x(p) 3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	two week old seedlings	paternal excess triploid	P-GSE52885-2	ArrayExpress	P-GSE52885-3	ArrayExpress	GSM1277509 extract 1	total RNA	P-GSE52885-4	ArrayExpress	GSM1277509 LE 1	biotin	P-GSE52885-5	ArrayExpress	GSM1277509	A-AFFY-2	ArrayExpress	array assay	P-GSE52885-6	ArrayExpress	GSM1277509_3NP_rep3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52885/E-GEOD-52885.raw.1.zip	P-GSE52885-1	ArrayExpress	GSM1277509_sample_table.txt norm	GSM1277509_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52885/E-GEOD-52885.processed.1.zip	paternal excess triploid
GSM1277508 1	paternal excess triploid_dscDNA	3x(p) 2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	two week old seedlings	paternal excess triploid	P-GSE52885-2	ArrayExpress	P-GSE52885-3	ArrayExpress	GSM1277508 extract 1	total RNA	P-GSE52885-4	ArrayExpress	GSM1277508 LE 1	biotin	P-GSE52885-5	ArrayExpress	GSM1277508	A-AFFY-2	ArrayExpress	array assay	P-GSE52885-6	ArrayExpress	GSM1277508_3NP_rep2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52885/E-GEOD-52885.raw.1.zip	P-GSE52885-1	ArrayExpress	GSM1277508_sample_table.txt norm	GSM1277508_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52885/E-GEOD-52885.processed.1.zip	paternal excess triploid
GSM1277507 1	paternal excess triploid_dscDNA	3x(p) 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	two week old seedlings	paternal excess triploid	P-GSE52885-2	ArrayExpress	P-GSE52885-3	ArrayExpress	GSM1277507 extract 1	total RNA	P-GSE52885-4	ArrayExpress	GSM1277507 LE 1	biotin	P-GSE52885-5	ArrayExpress	GSM1277507	A-AFFY-2	ArrayExpress	array assay	P-GSE52885-6	ArrayExpress	GSM1277507_3NP_rep1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52885/E-GEOD-52885.raw.1.zip	P-GSE52885-1	ArrayExpress	GSM1277507_sample_table.txt norm	GSM1277507_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-52885/E-GEOD-52885.processed.1.zip	paternal excess triploid
