Source Name	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[developmental stage]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [COMPOUND]	FactorValue [TIME]
GSM904848 1	12 hours Arabidopsis seedling samples without chemical treatment	12 hour control (no chemical treatment) rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6 Days after germination	P-GSE36887-3	P-GSE36887-2	P-GSE36887-4	GSM904848 extract 1	total RNA	P-GSE36887-5	GSM904848 LE 1	biotin	P-GSE36887-6	GSM904848	A-AFFY-2	  	P-GSE36887-7	P-GSE36887-8	GSM904848_BH0291-4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36887/E-GEOD-36887.raw.1.zip	P-GSE36887-1	GSM904848_sample_table.txt norm	GSM904848_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36887/E-GEOD-36887.processed.1.zip	no chemical treatment	12 hour
GSM904847 1	12 hours Arabidopsis seedling samples without chemical treatment	12 hour control (no chemical treatment) rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6 Days after germination	P-GSE36887-3	P-GSE36887-2	P-GSE36887-4	GSM904847 extract 1	total RNA	P-GSE36887-5	GSM904847 LE 1	biotin	P-GSE36887-6	GSM904847	A-AFFY-2	  	P-GSE36887-7	P-GSE36887-8	GSM904847_BH0291-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36887/E-GEOD-36887.raw.1.zip	P-GSE36887-1	GSM904847_sample_table.txt norm	GSM904847_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36887/E-GEOD-36887.processed.1.zip	no chemical treatment	12 hour
GSM904846 1	3 hours Arabidopsis seedling samples without chemical treatment	3 hour control (no chemical treatment) rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6 Days after germination	P-GSE36887-3	P-GSE36887-2	P-GSE36887-4	GSM904846 extract 1	total RNA	P-GSE36887-5	GSM904846 LE 1	biotin	P-GSE36887-6	GSM904846	A-AFFY-2	  	P-GSE36887-7	P-GSE36887-8	GSM904846_BH0291-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36887/E-GEOD-36887.raw.1.zip	P-GSE36887-1	GSM904846_sample_table.txt norm	GSM904846_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36887/E-GEOD-36887.processed.1.zip	no chemical treatment	3 hour
GSM904845 1	3 hours Arabidopsis seedling samples without chemical treatment	3 hour control (no chemical treatment) rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6 Days after germination	P-GSE36887-3	P-GSE36887-2	P-GSE36887-4	GSM904845 extract 1	total RNA	P-GSE36887-5	GSM904845 LE 1	biotin	P-GSE36887-6	GSM904845	A-AFFY-2	  	P-GSE36887-7	P-GSE36887-8	GSM904845_BH0291-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36887/E-GEOD-36887.raw.1.zip	P-GSE36887-1	GSM904845_sample_table.txt norm	GSM904845_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36887/E-GEOD-36887.processed.1.zip	no chemical treatment	3 hour
GSM904844 1	Arabidopsis seedling samples treated by 5929745 for 12 hours	12 hour 5929745 treatment sample rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6 Days after germination	P-GSE36887-3	P-GSE36887-2	P-GSE36887-4	GSM904844 extract 1	total RNA	P-GSE36887-5	GSM904844 LE 1	biotin	P-GSE36887-6	GSM904844	A-AFFY-2	  	P-GSE36887-7	P-GSE36887-8	GSM904844_BH0251-10RS2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36887/E-GEOD-36887.raw.1.zip	P-GSE36887-1	GSM904844_sample_table.txt norm	GSM904844_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36887/E-GEOD-36887.processed.1.zip	5929745	12 hour
GSM904843 1	Arabidopsis seedling samples treated by 5929745 for 12 hours	12 hour 5929745 treatment sample rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6 Days after germination	P-GSE36887-3	P-GSE36887-2	P-GSE36887-4	GSM904843 extract 1	total RNA	P-GSE36887-5	GSM904843 LE 1	biotin	P-GSE36887-6	GSM904843	A-AFFY-2	  	P-GSE36887-7	P-GSE36887-8	GSM904843_BH0251-9.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36887/E-GEOD-36887.raw.1.zip	P-GSE36887-1	GSM904843_sample_table.txt norm	GSM904843_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36887/E-GEOD-36887.processed.1.zip	5929745	12 hour
GSM904842 1	Arabidopsis seedling samples treated by 7606596 for 12 hours	12 hour 7606596 treatment sample rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6 Days after germination	P-GSE36887-3	P-GSE36887-2	P-GSE36887-4	GSM904842 extract 1	total RNA	P-GSE36887-5	GSM904842 LE 1	biotin	P-GSE36887-6	GSM904842	A-AFFY-2	  	P-GSE36887-7	P-GSE36887-8	GSM904842_BH0251-8.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36887/E-GEOD-36887.raw.1.zip	P-GSE36887-1	GSM904842_sample_table.txt norm	GSM904842_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36887/E-GEOD-36887.processed.1.zip	7606596	12 hour
GSM904841 1	Arabidopsis seedling samples treated by 7606596 for 12 hours	12 hour 7606596 treatment sample rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6 Days after germination	P-GSE36887-3	P-GSE36887-2	P-GSE36887-4	GSM904841 extract 1	total RNA	P-GSE36887-5	GSM904841 LE 1	biotin	P-GSE36887-6	GSM904841	A-AFFY-2	  	P-GSE36887-7	P-GSE36887-8	GSM904841_BH0251-7.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36887/E-GEOD-36887.raw.1.zip	P-GSE36887-1	GSM904841_sample_table.txt norm	GSM904841_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36887/E-GEOD-36887.processed.1.zip	7606596	12 hour
GSM904840 1	Arabidopsis seedling samples treated by 5929745 for 3 hours	3 hour 5929745 treatment sample rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6 Days after germination	P-GSE36887-3	P-GSE36887-2	P-GSE36887-4	GSM904840 extract 1	total RNA	P-GSE36887-5	GSM904840 LE 1	biotin	P-GSE36887-6	GSM904840	A-AFFY-2	  	P-GSE36887-7	P-GSE36887-8	GSM904840_BH0251-6.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36887/E-GEOD-36887.raw.1.zip	P-GSE36887-1	GSM904840_sample_table.txt norm	GSM904840_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36887/E-GEOD-36887.processed.1.zip	5929745	3 hour
GSM904839 1	Arabidopsis seedling samples treated by 5929745 for 3 hours	3 hour 5929745 treatment sample rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6 Days after germination	P-GSE36887-3	P-GSE36887-2	P-GSE36887-4	GSM904839 extract 1	total RNA	P-GSE36887-5	GSM904839 LE 1	biotin	P-GSE36887-6	GSM904839	A-AFFY-2	  	P-GSE36887-7	P-GSE36887-8	GSM904839_BH0251-5.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36887/E-GEOD-36887.raw.1.zip	P-GSE36887-1	GSM904839_sample_table.txt norm	GSM904839_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-36887/E-GEOD-36887.processed.1.zip	5929745	3 hour
